holdout_event_reference_cycle,n_train,n_test,roc_auc,balanced_accuracy
60.0,38,14,0.8541666666666666,0.7916666666666667
86.0,38,14,0.6666666666666667,0.6458333333333333
116.0,42,10,0.5416666666666666,0.5833333333333333
156.0,38,14,0.6249999999999999,0.7083333333333333
