roi_id,cohort_role,event_reference_cycle,roi_norm_mean_delta_protocol_residual,roi_norm_mean_slope_protocol_residual,high_fraction_delta_protocol_residual,high_fraction_slope_protocol_residual,low_fraction_delta_protocol_residual,high_radius2_delta_px2_protocol_residual,high_radius2_slope_px2_per_frame_protocol_residual,centroid_path_px_protocol_residual,first_last_corr_protocol_residual,cumulative_abs_norm_change_protocol_residual,temporal_diff_energy_protocol_residual,latent_path_length_protocol_residual,latent_mean_step_protocol_residual,latent_net_displacement_protocol_residual,persistence_mse_protocol_residual,velocity_mse_protocol_residual,low_rank_dmd_mse_protocol_residual,dmd_minus_persistence_mse_protocol_residual,physics_no_qc_rf_event_probability_protocol_residual
cycle58_rank6_obj29,control,60.0,0.0003734916503381329,1.5780027649092896e-05,0.0016971719549984585,6.053048992992491e-05,-0.0012142781690242088,-1.862820607990137,0.14514772845473992,-0.681637692521841,0.06407033493017733,-0.005772264186764606,0.00018320499952826754,1.9221958074079986,0.020233645357448427,-1.559471507274388,0.00019940776081534922,0.0006147099970921558,0.0008074339005248953,0.0005945686442096604,0.05786995582404314
cycle58_rank4_obj2,control,60.0,0.0002146974260759239,-8.902947421452228e-06,0.0018469622485874585,-4.061910942217511e-05,0.0008827859412212913,5.064748857272627,0.2959752898140344,1.2483086818888935,0.0708974447826437,-0.012641518820548907,1.4664833768667559e-05,-2.1703668680680757,-0.022845969281833883,-1.7438002421491134,1.0295674142249249e-05,0.00011349015086395571,-0.0006789078431323049,-0.0007026610127745397,-0.13893351451231906
cycle58_rank1_obj1,control,60.0,7.49021823359329e-05,-3.571410220586145e-05,0.0009482204870535586,-0.00014398744320538127,0.002530479170700091,-4.3841245677337275,-0.10488365118639639,1.5075859022591125,0.07690109261654732,-0.016314489279414104,-6.6445293443291e-05,-5.536352738429404,-0.05827739157501999,-1.3710882856481064,-7.795159905503153e-05,-0.00012868376051034428,-0.0013487499961341049,-0.0012842558925790395,-0.20266352161566867
cycle58_rank3_obj9,control,60.0,9.18671543551329e-05,5.357609109318511e-05,0.0010980107806425586,0.0002660086172550249,0.005526285042479592,-6.405226048470957,-0.06232449618307989,0.7381923901813039,0.07251225287921792,-0.012090296928311206,1.7843641442667535e-05,10.10929717154374,0.1064136468547171,-0.704352278911351,2.094220002184924e-05,0.00011726037201965575,0.000239234572552695,0.00020483487703096032,0.25036759010980375
cycle60_rank3_obj9,event,60.0,0.002970259244948113,7.568128028572063e-05,0.019124423631378222,0.0003888971904342521,-0.012040262155457539,-5.75762242375202,-0.31414470137576816,0.12853322297554115,-0.038419743194066935,0.008783761274045426,5.0869743366659126e-06,7.267405750402816,0.07649900902370482,1.8947446114500721,-6.449024310758192e-06,3.69225714711536e-05,6.804639603503787e-05,7.05172133365216e-05,0.2712771748612524
cycle60_rank1_obj1,event,60.0,0.002846408243685525,-2.1323223012468365e-05,0.01373197306217512,-6.485286169050906e-05,-0.017732293311838537,2.4798337728497635,-0.18825126436042905,-0.0042379290269156655,-0.023210238408594597,0.0009774974100050238,-7.013588816937879e-05,-5.637768504968282,-0.05934493105550738,1.4811763531645497,-8.042286864787219e-05,-0.00015251525755054641,0.00043794767377113757,0.0005143923354097215,-0.13897865752324318
cycle60_rank2_obj2,event,60.0,0.004242810960322113,3.070814777481599e-05,0.019873375099323118,0.00013696281065385212,-0.010542359219567738,21.29105558471321,0.39603615858787033,0.22028938875237358,-0.0035548969706616917,0.0013848914317545237,-6.994062065734098e-06,4.084914447912574,0.042999097596207014,0.32244036264025766,-1.88407870768582e-05,1.1331796176753599e-05,0.00028804849686713766,0.0003029110769347215,0.06711566800244884
cycle60_rank4_obj5,event,60.0,0.0025610063033398127,-5.597334400399523e-06,0.01268344100705242,-3.52583050588479e-05,-0.016683761256715737,5.447299340594162,0.16631881816464744,-0.2880571560862428,-0.06401972020358782,0.009638223659223025,1.1441228192165902e-05,-0.6267573813110552,-0.006597450484237377,1.6298982865294178,1.5575137990417906e-06,7.552972616385356e-05,0.001019870571025238,0.0010143348502169216,-0.08803682072092606
cycle60_rank6_obj26,event,60.0,0.002465691025763413,9.459740597325794e-06,0.01043658660321772,7.879561834945209e-05,-0.013987535972114239,-11.939957964382124,0.002930247095434449,-2.3479957914401357,-0.07338439849912404,0.020948834579413822,0.0001682174801620659,0.7846043130248823,0.008258992324867515,-0.2597358458558361,0.0001603565083610418,0.0005030602816622537,0.0008884988489342377,0.0007241641335639214,-0.13463252640628864
cycle60_rank5_obj18,event,60.0,0.002991508300810613,-1.2419042328536134e-05,0.004295184566069719,-0.00023916239976577646,-0.01608460008235984,-6.412869808529246,-0.14617168440119666,-1.9701834894047767,-0.010205809398543209,0.0029847192130741246,-6.353677651225477e-05,-3.123508212915059,-0.032879030813178695,-0.7966727250138561,-7.502193747535547e-05,-0.00014285173855574642,0.000506172951344338,0.0005772166818103215,-0.16171382708308696
