mode,label,mode_positive,mode_total,outside_positive,outside_total,mode_fraction,outside_fraction,odds_ratio,fisher_p,enrichment_type
2,post_event_16,2,2,8,94,1.0,0.0851063829787234,,0.00986842105263158,event_phase
3,pre_event_16,1,23,19,73,0.043478260869565216,0.2602739726027397,0.1291866028708134,0.03636437626843511,event_phase
0,pre_event_16,18,70,2,26,0.2571428571428571,0.07692307692307693,4.153846153846154,0.08708798108383832,event_phase
2,past16,2,2,28,94,1.0,0.2978723404255319,,0.09539473684210525,binary_label
0,post_event_16,5,70,5,26,0.07142857142857142,0.19230769230769232,0.3230769230769231,0.12800991415098867,event_phase
1,pre_event_16,1,1,19,95,1.0,0.2,,0.20833333333333331,event_phase
0,future16,38,70,10,26,0.5428571428571428,0.38461538461538464,1.9,0.25062679953468014,binary_label
3,far_from_event,9,23,19,73,0.391304347826087,0.2602739726027397,1.8270676691729324,0.29333778610365424,event_phase
3,past16,5,23,25,73,0.21739130434782608,0.3424657534246575,0.5333333333333333,0.3108723098084785,binary_label
3,future16,9,23,39,73,0.391304347826087,0.5342465753424658,0.5604395604395604,0.3390198087422038,binary_label
2,future16,0,2,48,94,0.0,0.5106382978723404,0.0,0.49473684210526314,binary_label
3,future8,8,23,20,73,0.34782608695652173,0.273972602739726,1.4133333333333333,0.5998861617439702,binary_label
3,pre_event_8,8,23,20,73,0.34782608695652173,0.273972602739726,1.4133333333333333,0.5998861617439702,event_phase
0,far_from_event,19,70,9,26,0.2714285714285714,0.34615384615384615,0.7037037037037037,0.613842041226534,event_phase
0,past16,23,70,7,26,0.32857142857142857,0.2692307692307692,1.3282674772036474,0.6293725163110558,binary_label
3,post_event_16,3,23,7,73,0.13043478260869565,0.0958904109589041,1.4142857142857144,0.698503540473862,event_phase
0,past8,8,70,2,26,0.11428571428571428,0.07692307692307693,1.5483870967741935,0.7236848764948425,binary_label
0,post_event_8,8,70,2,26,0.11428571428571428,0.07692307692307693,1.5483870967741935,0.7236848764948425,event_phase
0,future8,20,70,8,26,0.2857142857142857,0.3076923076923077,0.9,0.8066793698255489,binary_label
0,pre_event_8,20,70,8,26,0.2857142857142857,0.3076923076923077,0.9,0.8066793698255489,event_phase
1,future16,1,1,47,95,1.0,0.49473684210526314,,1.0,binary_label
3,past8,2,23,8,73,0.08695652173913043,0.1095890410958904,0.7738095238095238,1.0,binary_label
3,post_event_8,2,23,8,73,0.08695652173913043,0.1095890410958904,0.7738095238095238,1.0,event_phase
1,future8,0,1,28,95,0.0,0.29473684210526313,0.0,1.0,binary_label
1,past8,0,1,10,95,0.0,0.10526315789473684,0.0,1.0,binary_label
1,past16,0,1,30,95,0.0,0.3157894736842105,0.0,1.0,binary_label
1,far_from_event,0,1,28,95,0.0,0.29473684210526313,0.0,1.0,event_phase
1,post_event_16,0,1,10,95,0.0,0.10526315789473684,0.0,1.0,event_phase
1,post_event_8,0,1,10,95,0.0,0.10526315789473684,0.0,1.0,event_phase
1,pre_event_8,0,1,28,95,0.0,0.29473684210526313,0.0,1.0,event_phase
2,future8,0,2,28,94,0.0,0.2978723404255319,0.0,1.0,binary_label
2,past8,0,2,10,94,0.0,0.10638297872340426,0.0,1.0,binary_label
2,far_from_event,0,2,28,94,0.0,0.2978723404255319,0.0,1.0,event_phase
2,post_event_8,0,2,10,94,0.0,0.10638297872340426,0.0,1.0,event_phase
2,pre_event_16,0,2,20,94,0.0,0.2127659574468085,0.0,1.0,event_phase
2,pre_event_8,0,2,28,94,0.0,0.2978723404255319,0.0,1.0,event_phase
