roi_id,cycleNo,source_stem,npz_path,preview_png,cycles_to_next_event,cycles_since_prev_event,event_neighborhood_phase,future8,future16,past8,past16,mode,mode_distance,mode_pc1,mode_pc2,mode_pc3,mode_label
source_balanced_cycle38_rank33_obj1_5_c2_x10_260623,38.0,5_c2_x10_260623,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle38_rank33_obj1_5_c2_x10_260623.npz,,22.0,,far_from_event,0,0,0,0,0,3.709620374313171,0.9124657308060147,-1.896204849226713,0.02743981264742923,source_residual_front_geometry_state
source_balanced_cycle38_rank33_obj2_5_c2_x10_260623,38.0,5_c2_x10_260623,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle38_rank33_obj2_5_c2_x10_260623.npz,,22.0,,far_from_event,0,0,0,0,3,7.065256594736035,-2.050075160330575,6.130581423916784,1.6092180439688892,source_residual_temporal_dictionary_state
source_balanced_cycle42_rank34_obj1_5_c2_x10_260623,42.0,5_c2_x10_260623,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle42_rank34_obj1_5_c2_x10_260623.npz,,18.0,,far_from_event,0,0,0,0,0,2.2233288227001893,-0.15926869260902884,0.005234401124007197,-0.0055042658976887406,source_residual_front_geometry_state
source_balanced_cycle42_rank34_obj2_5_c2_x10_260623,42.0,5_c2_x10_260623,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle42_rank34_obj2_5_c2_x10_260623.npz,,18.0,,far_from_event,0,0,0,0,3,1.9477102963878454,-0.8232953985515409,0.6955220940652973,-0.5670059894894879,source_residual_temporal_dictionary_state
source_balanced_cycle46_rank35_obj1_6_c2_x10_270623_2,46.0,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle46_rank35_obj1_6_c2_x10_270623_2.npz,,14.0,,pre_event_16,0,1,0,0,0,2.728931450921869,-0.47421256933802514,-0.7465347967348237,0.29362703433231996,source_residual_front_geometry_state
source_balanced_cycle46_rank35_obj2_6_c2_x10_270623_2,46.0,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle46_rank35_obj2_6_c2_x10_270623_2.npz,,14.0,,pre_event_16,0,1,0,0,0,3.254178642630049,0.1614981434323075,0.12740005914722538,-0.039463019791481424,source_residual_front_geometry_state
source_balanced_cycle48_rank36_obj1_6_c2_x10_270623_2,48.0,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle48_rank36_obj1_6_c2_x10_270623_2.npz,,12.0,,pre_event_16,0,1,0,0,0,1.7102915705571888,-0.1498878113640455,-0.20410288938160537,0.30842802767264016,source_residual_front_geometry_state
source_balanced_cycle48_rank36_obj2_6_c2_x10_270623_2,48.0,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle48_rank36_obj2_6_c2_x10_270623_2.npz,,12.0,,pre_event_16,0,1,0,0,0,2.572226593569088,0.017665744629177058,-0.01845965338253631,-0.12859891605427295,source_residual_front_geometry_state
source_balanced_cycle52_rank37_obj1_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle52_rank37_obj1_6_c2_x10_270623_2.npz,,8.0,,pre_event_8,1,1,0,0,0,1.843087322135567,-0.26635913817537143,-0.37475137812433257,0.04315369030861798,source_residual_front_geometry_state
source_balanced_cycle52_rank37_obj2_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle52_rank37_obj2_6_c2_x10_270623_2.npz,,8.0,,pre_event_8,1,1,0,0,0,1.591990347853724,-0.11038159536253565,-0.04888640742844258,-0.8055456434724743,source_residual_front_geometry_state
