mode,mode_label,n_roi,n_cycles,n_sources,future8_fraction,future16_fraction,past16_fraction,median_cycles_to_next_event,median_cycles_since_prev_event,phase_counts,top_features
0,source_residual_front_geometry_state,70,39,13,0.2857142857142857,0.5428571428571428,0.32857142857142857,16.0,14.0,"{'pre_event_8': 20, 'far_from_event': 19, 'pre_event_16': 18, 'post_event_8': 8, 'post_event_16': 5}","[{'feature': 'front_radius_q60_slope_px_per_norm_time__source_residual', 'mode_vs_global_z': -0.39006825279676555}, {'feature': 'dictionary_recon_error_last_minus_first__source_residual', 'mode_vs_global_z': 0.33018522895863295}, {'feature': 'dictionary_recon_error_mse_slope__source_residual', 'mode_vs_global_z': 0.29025917750295427}, {'feature': 'front_radius_q70_slope_px_per_norm_time__source_residual', 'mode_vs_global_z': -0.20774958328487514}, {'feature': 'mask_centroid_drift_px__source_residual', 'mode_vs_global_z': -0.20712555147669734}]"
1,source_residual_temporal_dictionary_state,1,1,1,0.0,1.0,0.0,14.0,26.0,{'pre_event_16': 1},"[{'feature': 'resdict_pc09_slope__source_residual', 'mode_vs_global_z': -7.2080873165751145}, {'feature': 'resdict_pc01_mean__source_residual', 'mode_vs_global_z': 6.387193600389078}, {'feature': 'residual_energy_slope__source_residual', 'mode_vs_global_z': -3.1857957753975232}, {'feature': 'residual_energy_last_minus_first__source_residual', 'mode_vs_global_z': -3.140920633873408}, {'feature': 'roi_norm_mean_delta_last_minus_first__source_residual', 'mode_vs_global_z': 2.2934549042893293}]"
2,source_residual_temporal_dictionary_state,2,1,1,0.0,0.0,1.0,24.0,16.0,{'post_event_16': 2},"[{'feature': 'residual_energy_last_minus_first__source_residual', 'mode_vs_global_z': 4.758904232883384}, {'feature': 'residual_energy_slope__source_residual', 'mode_vs_global_z': 4.217482845848987}, {'feature': 'dictionary_recon_error_mse_slope__source_residual', 'mode_vs_global_z': 3.265059155865466}, {'feature': 'dictionary_recon_error_last_minus_first__source_residual', 'mode_vs_global_z': 2.7138153986584626}, {'feature': 'mask_area_fraction_slope__source_residual', 'mode_vs_global_z': -1.7525979142819543}]"
3,source_residual_temporal_dictionary_state,23,16,10,0.34782608695652173,0.391304347826087,0.21739130434782608,18.0,20.0,"{'far_from_event': 9, 'pre_event_8': 8, 'post_event_16': 3, 'post_event_8': 2, 'pre_event_16': 1}","[{'feature': 'dictionary_recon_error_last_minus_first__source_residual', 'mode_vs_global_z': -1.20564639130575}, {'feature': 'dictionary_recon_error_mse_slope__source_residual', 'mode_vs_global_z': -1.1039469224566252}, {'feature': 'resdict_pc10_mean__source_residual', 'mode_vs_global_z': 0.6953259786136352}, {'feature': 'front_radius_q60_slope_px_per_norm_time__source_residual', 'mode_vs_global_z': 0.6646516655757922}, {'feature': 'mask_area_fraction_slope__source_residual', 'mode_vs_global_z': 0.6483014321296491}]"
