embedding_row_id,roi_id,embedding_cohort,cycleNo,source_stem,cohort_role,selection_subrole,validation_label,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,n_frames,height,width,particle_prior_area_fraction,mask_prior_area_px,mask_prior_area_fraction,mask_fallback_frame_fraction,mask_low_area_fraction,mask_high_area_fraction,mask_fragmented_fraction,mask_centroid_jump_fraction,mask_candidate_area_cv,mask_accepted_area_cv,mask_accepted_area_fraction_median,mask_accepted_area_fraction_iqr,mask_accepted_centroid_path_px,mask_accepted_centroid_max_step_px,mask_candidate_centroid_max_jump_px,mask_mask_instability_score,particle_mean_mean,particle_mean_std,particle_mean_slope,particle_mean_first_mean,particle_mean_last_mean,particle_mean_last_minus_first,particle_mean_diff_abs_mean,particle_mean_diff_q10,particle_mean_diff_q90,particle_mean_diff_positive_fraction,particle_std_mean,particle_std_std,particle_std_slope,particle_std_first_mean,particle_std_last_mean,particle_std_last_minus_first,particle_std_diff_abs_mean,particle_std_diff_q10,particle_std_diff_q90,particle_std_diff_positive_fraction,particle_vs_context_mean_mean,particle_vs_context_mean_std,particle_vs_context_mean_slope,particle_vs_context_mean_first_mean,particle_vs_context_mean_last_mean,particle_vs_context_mean_last_minus_first,particle_vs_context_mean_diff_abs_mean,particle_vs_context_mean_diff_q10,particle_vs_context_mean_diff_q90,particle_vs_context_mean_diff_positive_fraction,particle_gradient_mean,particle_gradient_std,particle_gradient_slope,particle_gradient_first_mean,particle_gradient_last_mean,particle_gradient_last_minus_first,particle_gradient_diff_abs_mean,particle_gradient_diff_q10,particle_gradient_diff_q90,particle_gradient_diff_positive_fraction,video_embed_pc01,video_embed_pc02,video_embed_pc03,video_embed_pc04,video_embed_pc05,video_embed_pc06,video_embed_pc07,video_embed_pc08,video_embed_pc09,video_embed_pc10,video_embed_pc11,video_embed_pc12,video_embed_pc13,video_embed_pc14,video_embed_pc15,video_embed_pc16
selected_event_control::cycle58_rank6_obj29,cycle58_rank6_obj29,selected_event_control,58.0,7_c2_x10_290623,control,,control_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle58_rank6_obj29.npz,96,96,96,0.5092230902777778,4693.0,0.5092230902777778,0.0,0.0,0.0,0.0,0.0,0.07265991090534042,0.07265991090534042,0.33709780524184957,0.0058065203494566675,169.15271723631625,6.925180156881033,6.79926630591663,1.8346673821169681,0.1766250397389134,0.009301625769700608,0.007020253323249038,0.1688215984031558,0.1737525649368763,0.004930966533720493,0.0009192374191786114,-0.0014172524213790893,0.0011133015155792238,0.5578947368421052,0.1698743480568131,0.003263167522380917,0.0032158935845821124,0.16691329702734947,0.16926942020654678,0.0023561231791973114,0.00038780334748719867,-0.0004739314317703247,0.0005661427974700938,0.5578947368421052,0.0931774409643064,0.004588194810553052,0.004073922844008391,0.08913430571556091,0.09201012132689357,0.002875815611332655,0.0005229625262712178,-0.0009426727890968322,0.0007283166050910958,0.5157894736842106,0.056887600920163095,0.0025613155042848446,0.0016969371918281837,0.054790659225545824,0.05601610860321671,0.0012254493776708841,0.00032493162312005695,-0.0004593066871166229,0.0004243992269039154,0.5368421052631579,5.4135776,-0.10936719,102.018814,15.0258875,-31.307234,20.069632,0.9992621,-7.4019504,-10.9951,-8.228929,8.50712,0.40654907,0.86690044,-1.8623734,-0.74258816,0.8588549
selected_event_control::cycle58_rank4_obj2,cycle58_rank4_obj2,selected_event_control,58.0,7_c2_x10_290623,control,,control_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle58_rank4_obj2.npz,96,96,96,0.5109592013888888,4709.0,0.5109592013888888,0.0,0.0,0.0,0.0,0.0,0.04037946980295248,0.04037946980295248,0.28243788490125293,0.016670205988532583,133.74763299816334,5.047315658056761,9.912879460183722,1.4335839802004873,0.12790163940129182,0.006723846861705916,0.00508489014734469,0.12222788715735078,0.12576955906115472,0.0035416719038039446,0.0005547321156451577,-0.0007580280303955078,0.0007277905941009524,0.5052631578947369,0.15952155133709311,0.005075788008013992,0.004849098440374962,0.15496387239545584,0.15824075136333704,0.0032768789678812027,0.0006080613324516698,-0.001016998291015625,0.0007340073585510255,0.5789473684210527,0.06572394142858684,0.003502757824966546,0.003195243849198259,0.06261518178507686,0.0648151442874223,0.0021999625023454428,0.0003179017650453668,-0.00048436373472213743,0.00046760439872741707,0.5368421052631579,0.0407044617847229,0.0012319615901422185,0.0010337436922163317,0.03970192244742066,0.04033607663586736,0.0006341541884467006,0.0003375558476699026,-0.0005645878612995147,0.00038719773292541517,0.5368421052631579,6.467686,1.7951782,30.62766,-6.786314,7.4991326,1.7273414,16.204645,10.237222,54.16423,25.985945,-4.242988,3.6881819,1.2039443,2.9445791,0.3476204,-0.0075653144
selected_event_control::cycle58_rank1_obj1,cycle58_rank1_obj1,selected_event_control,58.0,7_c2_x10_290623,control,,control_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle58_rank1_obj1.npz,96,96,96,0.55859375,5148.0,0.55859375,0.0,0.0,0.0,0.0,0.0,0.06083813802602783,0.06083813802602783,0.364024864024864,0.027389277389277378,178.582282561893,4.427113920765838,5.410217577409259,1.9210702480457467,0.1023392491042614,0.005446007609603942,0.0030282134785480585,0.0982314448338002,0.10034561925567687,0.002114174421876669,0.0004441297367999428,-0.0008788168430328369,0.0005228668451309206,0.5789473684210527,0.17051977509011826,0.00934213280407715,0.007863967573827105,0.1629495113156736,0.1683157063089311,0.005366194993257523,0.0007280790492107994,-0.001058754324913025,0.0008339881896972658,0.5473684210526316,0.05112394849614551,0.00379218261012325,0.0027546164958939775,0.04809009248856455,0.04999824659898877,0.0019081541104242206,0.0002883160584851315,-0.0004177287220954895,0.0004433944821357727,0.49473684210526314,0.03097327920841053,0.0006910937546054911,0.00043841038432126164,0.030546209716703743,0.030770608864258975,0.00022439914755523205,0.000250286863822686,-0.00043312907218933104,0.0002926722168922425,0.4631578947368421,-3.3226225,4.894129,-0.9411301,0.0668288,3.1862624,0.8693864,2.2989504,0.36001638,0.43097144,-1.240404,0.24774572,0.35457712,-2.0333998,-0.19881664,0.9054482,2.7233284
selected_event_control::cycle58_rank3_obj9,cycle58_rank3_obj9,selected_event_control,58.0,7_c2_x10_290623,control,,control_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle58_rank3_obj9.npz,96,96,96,0.4932725694444444,4546.0,0.4932725694444444,0.0,0.0,0.0,0.0,0.0,0.0628484830454229,0.0628484830454229,0.2936647602287725,0.011548614166300042,107.14925074879636,11.193603343812763,11.210533675887781,1.1789865116787182,0.12297825577358405,0.01019002709838652,0.013216250009604365,0.11276081879623234,0.12207047222182155,0.009309653425589204,0.000824328551166936,-0.0011099770665168763,0.0010640770196914675,0.5578947368421052,0.18690939464916786,0.009620235611311923,0.018566346084026956,0.1758281672373414,0.18869294878095388,0.01286478154361248,0.0012932162535818,-0.0019760429859161377,0.0018603503704071054,0.5368421052631579,0.06364052180045594,0.006705597995767944,0.011281841681770882,0.056256353040225804,0.0642175751272589,0.007961222087033093,0.0004974804818630218,-0.0006917208433151245,0.0006650380790233613,0.5684210526315789,0.042377307545393705,0.0017472394776619714,0.001995380718222599,0.04087223659735173,0.042132986010983586,0.0012607494136318564,0.0006130937682954889,-0.0011097282171249388,0.0007476538419723522,0.5052631578947369,5.0679107,-1.0476799,-0.5830304,1.369312,1.9719757,0.9133804,0.32588106,-1.9400666,-1.5755225,0.80767536,-0.7962512,-0.06547953,0.08029462,0.1374047,-0.0772066,-1.0226381
selected_event_control::cycle60_rank3_obj9,cycle60_rank3_obj9,selected_event_control,60.0,7_c2_x10_290623,event,,event_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank3_obj9.npz,96,96,96,0.4694010416666667,4326.0,0.4694010416666667,0.0,0.0,0.0,0.0,0.0,0.01229760084585303,0.01229760084585303,0.3055940822931114,0.0037563569116967344,26.756533319684603,0.8253039266444803,9.796559816463766,0.2910114895925676,0.12565758591517806,0.010109747991163752,0.01316677759756744,0.11556499521248043,0.12509303470142186,0.009528039488941431,0.000776873999520352,-0.0012660801410675048,0.0011406958103179934,0.5578947368421052,0.1908054786423842,0.009425935985083856,0.01610050392673187,0.18062462890520692,0.19229120528325438,0.011666576378047466,0.0009838468150088662,-0.0014814883470535278,0.0011827886104583741,0.5263157894736842,0.06604070010750245,0.006338108094817407,0.010579690277173223,0.05917679937556386,0.06681415683124214,0.007637357455678284,0.000526574803026099,-0.0009134277701377868,0.0007593631744384766,0.5684210526315789,0.043692484381608665,0.0017432412711099932,0.002186790509533474,0.04212547140195966,0.04374636244028807,0.0016208910383284092,0.0005231674172376332,-0.0007607154548168182,0.0009166762232780462,0.4842105263157895,4.924278,-1.0742229,-0.56430894,1.3730435,1.9083164,0.9023824,0.32571992,-1.9246273,-1.6409587,0.80040354,-0.8614811,-0.03411022,0.090142116,0.14240594,-0.049380038,-0.90256745
selected_event_control::cycle60_rank1_obj1,cycle60_rank1_obj1,selected_event_control,60.0,7_c2_x10_290623,event,,event_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank1_obj1.npz,96,96,96,0.5748697916666666,5298.0,0.5748697916666666,0.0,0.0,0.0,0.0,0.0,0.06419761454380832,0.06419761454380832,0.3615515288788222,0.04303510758776896,154.54181221949383,5.852341468649243,10.57128520356133,1.6740081584968691,0.09980130094724397,0.005182863401493001,0.002572280359598536,0.09596967650577426,0.097744754049927,0.0017750775441527367,0.00039275429750743664,-0.0006528139114379883,0.0005478844046592715,0.5052631578947369,0.16870252011964718,0.009365792169181314,0.006636395493579952,0.1614682823419571,0.16605439549311996,0.004586113151162863,0.0006918557380375109,-0.0011498987674713134,0.0008720219135284425,0.5157894736842106,0.04685437985851119,0.003506909146793187,0.002735708324123431,0.043997581815347075,0.04589545901399106,0.0018978771986439824,0.00026257261633872987,-0.0004010133445262909,0.00036473721265792855,0.5684210526315789,0.031186206014050793,0.0006311472988692174,0.0005127194748000869,0.030748138262424618,0.031125765410251915,0.00037762714782729745,0.00021817217531957124,-0.0003688301891088486,0.000393490865826607,0.5368421052631579,-2.3619068,-1.685229,-1.9807007,-0.4315031,2.0503745,0.9823604,1.9576876,0.79689395,-0.52907246,-0.98242044,0.92737424,-1.5635086,0.77314925,0.74388874,0.3071581,0.72936106
selected_event_control::cycle60_rank2_obj2,cycle60_rank2_obj2,selected_event_control,60.0,7_c2_x10_290623,event,,event_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank2_obj2.npz,96,96,96,0.4496527777777778,4144.0,0.4496527777777778,0.0,0.0,0.0,0.0,0.0,0.014537319134887604,0.014537319134887604,0.29584942084942084,0.004403957528957503,22.280397346083266,0.8108457286938259,8.727347440476374,0.2466247914899216,0.1371845439231644,0.009981571631564776,0.008730978988226305,0.12853681901469827,0.13461460708640516,0.006077788071706891,0.000726319692636791,-0.0008823633193969727,0.0009665906429290772,0.5157894736842106,0.18093473728125295,0.00930350111173033,0.008543962142286282,0.17278994573280215,0.1786475321277976,0.005857586394995451,0.000672732528887297,-0.0010601311922073364,0.0008709758520126347,0.5052631578947369,0.08190349955111742,0.006169247258463662,0.007410564363847714,0.07598670152947307,0.08107749372720718,0.0050907921977341175,0.0004454913892244038,-0.0006816625595092773,0.0006677448749542238,0.5578947368421052,0.04154391350069394,0.002462914087681116,0.0019308689516037698,0.03948722442146391,0.04081091925036162,0.0013236948288977146,0.00019926134692995173,-0.0003719843924045563,0.00028636604547500617,0.5578947368421052,4.5972815,-1.1183082,-0.4274053,1.5409241,1.8157922,0.897685,0.25299338,-1.1559362,-0.3535081,-1.2713565,-0.7974201,-0.110566534,0.13101155,-0.30240157,-0.25939628,-0.43578878
selected_event_control::cycle60_rank4_obj5,cycle60_rank4_obj5,selected_event_control,60.0,7_c2_x10_290623,event,,event_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank4_obj5.npz,96,96,96,0.4855685763888889,4475.0,0.4855685763888889,0.0,0.0,0.0,0.0,0.0,0.047962086604902796,0.047962086604902796,0.3182122905027933,0.01821229050279327,128.38321557456638,3.9205787678332706,11.45930093698107,1.3852872488399692,0.13518216686012843,0.006894623248886249,0.0036845613491827763,0.12983998004347086,0.13252259721048176,0.0026826171670109034,0.0005438142701199181,-0.0007317602634429931,0.0007449984550476075,0.5157894736842106,0.16492082737386227,0.005720534209737452,0.004590372891002132,0.1600436670705676,0.16335025802254677,0.0033065909519791603,0.0005394305053510164,-0.0008911699056625366,0.0006853967905044556,0.5789473684210527,0.07143746758811176,0.0034660820397663713,0.002700355504015346,0.0685261266771704,0.07045179535634816,0.001925668679177761,0.0003164235698549371,-0.0004508092999458313,0.000488559901714325,0.5578947368421052,0.04280724166892469,0.0012942074102710677,0.0007423739928329758,0.04183936363551766,0.04241932148579508,0.0005799578502774239,0.000258174224903709,-0.00037357434630393984,0.0004388988018035889,0.5684210526315789,4.953466,-0.9372462,0.3352612,1.1940838,2.264323,0.29947641,0.9682986,-1.2070038,0.6524251,-0.50746167,-0.91426456,-0.013346755,-0.02938507,-0.02245599,-0.21354882,-0.585787
selected_event_control::cycle60_rank6_obj26,cycle60_rank6_obj26,selected_event_control,60.0,7_c2_x10_290623,event,,event_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank6_obj26.npz,96,96,96,0.3670789930555556,3383.0,0.3670789930555556,0.0,0.0,0.0,0.0,0.0,0.032539652967888244,0.032539652967888244,0.3884126514927579,0.023130357670706425,90.1827933125934,2.6881931589458836,7.004921669639969,0.9719437499740695,0.20940964063629508,0.01033355126263423,0.006921917363310095,0.20101493503898382,0.20616605458781123,0.00515111954882741,0.000952535397128055,-0.0015719085931777954,0.0013864904642105112,0.5578947368421052,0.184518415791293,0.0026711610335074004,0.0034118297596260256,0.18186066346243024,0.18421655613929033,0.002355892676860094,0.0004853607792603342,-0.0008350729942321778,0.0007458180189132693,0.5894736842105263,0.1234765996535619,0.0052704622703602915,0.005713716350956688,0.11860649823211133,0.12279047421179712,0.004183975979685783,0.0006908030886399119,-0.0011652231216430664,0.0008944839239120486,0.5368421052631579,0.06491010554600507,0.0031366580048826074,0.0023205241538852995,0.062281470745801926,0.06397837435360998,0.0016969036078080535,0.0003144544598303343,-0.0004806190729141235,0.000517062842845917,0.5157894736842106,4.9548464,-1.0781417,0.670751,1.295346,1.7979685,0.32993925,0.84691745,-1.4037089,-0.67538613,-1.0744749,-0.6688136,-0.16668345,0.026461802,-0.12723674,-0.23420803,-0.16167843
selected_event_control::cycle60_rank5_obj18,cycle60_rank5_obj18,selected_event_control,60.0,7_c2_x10_290623,event,,event_multicycle_roi_candidate,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle60_rank5_obj18.npz,96,96,96,0.5823567708333334,5367.0,0.5823567708333334,0.0,0.0,0.0,0.0,0.0,0.07526584819068217,0.07526584819068217,0.3529904974846283,0.011226010806782205,127.84340171726622,8.459651565573575,8.211110311128124,1.4069679494122054,0.10710479815800984,0.0077339769085989175,0.0018176236525945548,0.10203852481208742,0.10332836955785751,0.0012898447457700968,0.0005879268050193786,-0.0009465605020523071,0.00077948272228241,0.5157894736842106,0.17884690826758742,0.012722089193875557,0.00797672138655007,0.1693612728267908,0.17500905832275748,0.005647785495966673,0.0009525804143202932,-0.0014280825853347778,0.0011891812086105348,0.5157894736842106,0.05042385643658539,0.0052893264123467,-0.0003475019199408807,0.04750383272767067,0.047317933989688754,-0.00018589873798191547,0.0003989049870716898,-0.000697501003742218,0.00048321858048439026,0.5157894736842106,0.036631648312322795,0.0012272232255903179,0.0002111137638195122,0.03599177475553006,0.036176389548927546,0.0001846147933974862,0.00033253376421175506,-0.0005093254148960114,0.0005438528954982761,0.5263157894736842,4.58832,-1.6109405,-2.4281657,-12.197888,-3.7714412,0.14639312,3.0430737,-2.889109,-0.8925639,1.0900929,-3.6196792,-1.090675,5.245117,-13.443546,9.526233,-1.2521086
