embedding_row_id,roi_id,embedding_cohort,cycleNo,cohort_role,future_any_drop_within_8cycles,video_embedding_cluster,cluster_distance
transfer_ranked::cycle40_rank8_obj2,cycle40_rank8_obj2,transfer_ranked,40.0,,,1,2.3657797487412138
transfer_ranked::cycle40_rank8_obj4,cycle40_rank8_obj4,transfer_ranked,40.0,,,4,1.668168865190264
transfer_ranked::cycle116_rank12_obj1,cycle116_rank12_obj1,transfer_ranked,116.0,,,1,5.491454836904178
transfer_ranked::cycle116_rank12_obj3,cycle116_rank12_obj3,transfer_ranked,116.0,,,1,6.790843076599825
transfer_ranked::cycle116_rank12_obj2,cycle116_rank12_obj2,transfer_ranked,116.0,,,1,4.326348932328669
transfer_ranked::cycle116_rank12_obj4,cycle116_rank12_obj4,transfer_ranked,116.0,,,1,2.874358377345816
transfer_ranked::cycle146_rank2_obj4,cycle146_rank2_obj4,transfer_ranked,146.0,,,0,4.581736581311704
transfer_ranked::cycle146_rank2_obj3,cycle146_rank2_obj3,transfer_ranked,146.0,,,0,4.4885095170306
transfer_ranked::cycle146_rank2_obj2,cycle146_rank2_obj2,transfer_ranked,146.0,,,0,3.44301819881757
transfer_ranked::cycle146_rank2_obj1,cycle146_rank2_obj1,transfer_ranked,146.0,,,0,3.3261520995025062
transfer_ranked::cycle147_rank11_obj3,cycle147_rank11_obj3,transfer_ranked,147.0,,,3,5.1494587408690125
transfer_ranked::cycle147_rank11_obj1,cycle147_rank11_obj1,transfer_ranked,147.0,,,0,4.942632228930464
transfer_ranked::cycle147_rank11_obj2,cycle147_rank11_obj2,transfer_ranked,147.0,,,0,3.6576308241367386
transfer_ranked::cycle147_rank11_obj4,cycle147_rank11_obj4,transfer_ranked,147.0,,,0,2.7833863108136576
transfer_ranked::cycle148_rank9_obj4,cycle148_rank9_obj4,transfer_ranked,148.0,,,3,4.823583246092161
transfer_ranked::cycle148_rank9_obj1,cycle148_rank9_obj1,transfer_ranked,148.0,,,0,5.341283497833329
transfer_ranked::cycle148_rank9_obj2,cycle148_rank9_obj2,transfer_ranked,148.0,,,0,4.898206421463746
transfer_ranked::cycle148_rank9_obj3,cycle148_rank9_obj3,transfer_ranked,148.0,,,0,4.591380454500494
transfer_ranked::cycle150_rank1_obj4,cycle150_rank1_obj4,transfer_ranked,150.0,,,3,13.389350095537155
transfer_ranked::cycle150_rank1_obj1,cycle150_rank1_obj1,transfer_ranked,150.0,,,3,3.6664802247224366
transfer_ranked::cycle150_rank1_obj2,cycle150_rank1_obj2,transfer_ranked,150.0,,,6,5.222979957045886
transfer_ranked::cycle150_rank1_obj3,cycle150_rank1_obj3,transfer_ranked,150.0,,,6,3.365689589107496
transfer_ranked::cycle151_rank4_obj1,cycle151_rank4_obj1,transfer_ranked,151.0,,,3,3.5583100698130856
transfer_ranked::cycle151_rank4_obj3,cycle151_rank4_obj3,transfer_ranked,151.0,,,0,4.1248640412421445
transfer_ranked::cycle151_rank4_obj4,cycle151_rank4_obj4,transfer_ranked,151.0,,,3,5.192590990656676
transfer_ranked::cycle151_rank4_obj2,cycle151_rank4_obj2,transfer_ranked,151.0,,,6,3.063138558146457
transfer_ranked::cycle152_rank5_obj3,cycle152_rank5_obj3,transfer_ranked,152.0,,,3,6.255125833115414
transfer_ranked::cycle152_rank5_obj1,cycle152_rank5_obj1,transfer_ranked,152.0,,,3,5.6757575179276625
transfer_ranked::cycle152_rank5_obj4,cycle152_rank5_obj4,transfer_ranked,152.0,,,7,12.938205637673716
transfer_ranked::cycle152_rank5_obj2,cycle152_rank5_obj2,transfer_ranked,152.0,,,6,2.823770924538521
transfer_ranked::cycle153_rank7_obj3,cycle153_rank7_obj3,transfer_ranked,153.0,,,7,9.568803619044086
transfer_ranked::cycle153_rank7_obj1,cycle153_rank7_obj1,transfer_ranked,153.0,,,7,5.733375940083161
