roi_id,cycleNo,source_stem,validation_score,object_x_full_approx,object_y_full_approx,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta,roi_mean_slope_per_frame,roi_mean_slope_r2,high_fraction_first,high_fraction_last,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,front_radius_high_delta,front_radius_high_slope_px_per_frame,front_radius_high_slope_r2,front_radius_high_monotonic_pos_fraction,apparent_front_radius2_slope_px2_per_frame,apparent_diffusion_proxy_px2_per_frame,front_radius2_slope_r2,weighted_radial_mean_delta,weighted_radial_mean_slope_px_per_frame,temporal_diff_energy,cumulative_abs_change,trace_csv,mode_cluster,mode_name
cycle86_rank5_obj8,86.0,10_c2_x10_030723,5.377963073534964,1660.7096774193549,191.1290322580645,96,906,1812,0.0834420844912529,0.08377459645271301,0.0003325119614601135,5.633915944224814e-06,0.057346090519738116,0.08018663194444445,0.08159722222222222,0.0014105902777777762,8.987307743480068e-06,0.056571529097002866,0.0,0.0,0.44452264730815827,-0.00014696861768784695,0.002789662067837962,0.5368421052631579,-0.006254463825159609,-0.0015636159562899023,0.002168561381000517,0.08718536579645075,-0.00017615922914634866,5.278667595121078e-05,0.013875181786715984,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank5_obj8_frame_descriptors.csv,1,brightening_expanding_front
cycle86_rank2_obj6,86.0,10_c2_x10_030723,5.344092852173012,1335.859296482412,171.678391959799,96,906,1812,0.07436051964759827,0.07449217885732651,0.00013165920972824097,4.273518383193611e-06,0.059288990999088104,0.06846788194444445,0.07139756944444445,0.0029296875,6.558196439118868e-06,0.0932717869043388,0.0,0.0,0.7286835918335726,0.000441132339631964,0.03638968857313577,0.5368421052631579,0.018361539507621174,0.0045903848769052935,0.04023037152335288,0.05510419851188786,-0.00036270418349310156,4.831897240364924e-05,0.011798858642578125,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank2_obj6_frame_descriptors.csv,1,brightening_expanding_front
cycle86_rank3_obj5,86.0,10_c2_x10_030723,4.595016519669338,1184.2469135802469,1085.9753086419753,96,906,1812,0.07550061494112015,0.07611338794231415,0.0006127730011940002,7.242272247971764e-06,0.09689966465746802,0.1369357638888889,0.1391059027777778,0.002170138888888895,1.6253709234255687e-05,0.05840887899645289,0.0,0.0,0.3877184916974983,-0.0003929646263192118,0.09922686141293816,0.4842105263157895,-0.02335445509653306,-0.005838613774133265,0.09966217863750353,0.07135785915905046,-0.0003106891336639799,9.460682485951111e-05,0.013881008140742779,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank3_obj5_frame_descriptors.csv,0,near_static_or_mixed
cycle86_rank8_obj17,86.0,10_c2_x10_030723,3.8991914755100505,116.0,1002.9019607843136,96,906,1812,0.11490217596292496,0.11530789732933044,0.00040572136640548706,8.287890506493163e-06,0.23246064355197102,0.1462673611111111,0.15049913194444445,0.004231770833333343,2.878339766367901e-05,0.33944614053059047,-0.0009765625,-2.69673998999614e-06,0.022775670758228728,-0.00017255419229957798,0.12482688928701109,0.5263157894736842,-0.011905172393902132,-0.002976293098475533,0.12491557207114165,0.04863879447946573,-0.000458226764596623,0.00010395733988843858,0.018225936219096184,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank8_obj17_frame_descriptors.csv,0,near_static_or_mixed
cycle86_rank4_obj9,86.0,10_c2_x10_030723,3.518927813373632,810.7391304347826,383.69565217391306,96,906,1812,0.08359380811452866,0.08293188363313675,-0.0006619244813919067,1.0903105693949668e-05,0.15922700520840588,0.1484375,0.1472439236111111,-0.001193576388888895,2.1375691490704033e-05,0.15063939307861537,0.0,0.0,-0.035915777715722186,-0.0002915642672216749,0.027863719735415543,0.5157894736842106,-0.01717139947624205,-0.004292849869060512,0.027314556092353382,0.10166473766830464,-0.0004423125181371146,0.00012165113002993166,0.017737364396452904,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank4_obj9_frame_descriptors.csv,0,near_static_or_mixed
cycle116_rank3_obj9,116.0,13_c2_x6_100723,4.261017170280639,820.927536231884,380.1159420289855,96,909,1818,0.07678136229515076,0.07572346180677414,-0.0010579004883766174,1.1912440269951144e-05,0.1779192061144904,0.13487413194444445,0.13368055555555555,-0.001193576388888895,2.4033650336298853e-05,0.1432916519435764,0.0,0.0,-0.15171264313928745,0.00011751257237208981,0.005964622572890842,0.5052631578947369,0.007114292549542748,0.001778573137385687,0.005931578342605493,0.020502732792046174,-0.0003646736328310066,8.857985812937841e-05,0.008924048393964767,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank3_obj9_frame_descriptors.csv,0,near_static_or_mixed
cycle116_rank2_obj2,116.0,13_c2_x6_100723,4.159234021974196,1348.6176470588234,177.44117647058823,96,909,1818,0.07582628726959229,0.07563389837741852,-0.0001923888921737671,4.752053950866325e-06,0.13089280392507027,0.06130642361111111,0.05946180555555555,-0.0018446180555555594,6.456854492795028e-06,0.07425409539697929,0.0,0.0,-0.8950169131611698,0.0008777644016493995,0.03290214346695288,0.4631578947368421,0.030417268781459117,0.007604317195364779,0.03079100216226153,0.08861694161193157,-0.0004840641583074686,4.295408871257678e-05,0.00626085139811039,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank2_obj2_frame_descriptors.csv,1,brightening_expanding_front
cycle116_rank1_obj6,116.0,13_c2_x6_100723,4.033089505345082,1199.1515151515152,1088.4242424242425,96,909,1818,0.07839798927307129,0.07723325490951538,-0.0011647343635559082,9.600006711823718e-06,0.12839943771470003,0.14051649305555555,0.13639322916666666,-0.004123263888888895,2.3671295916387783e-05,0.11205455901366448,0.0,0.0,-0.03020594686567435,-0.00046057549122082694,0.4307432473020626,0.5052631578947369,-0.02798202506577512,-0.00699550626644378,0.43011394667756503,-0.05132675975306711,-0.00020254392686423666,7.897186151240021e-05,0.007965223863720894,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank1_obj6_frame_descriptors.csv,0,near_static_or_mixed
cycle116_rank8_obj20,116.0,13_c2_x6_100723,3.987079460919189,88.47058823529412,1086.1176470588234,96,909,1818,0.11127623170614243,0.11153454333543777,0.0002583116292953491,8.179285479536069e-06,0.16104439309819174,0.1773003472222222,0.17664930555555555,-0.0006510416666666574,1.8464781835078058e-05,0.08966359265639466,0.00043402777777777624,-5.080063360733793e-06,0.14325476904472367,-0.00028483629689950147,0.10030611819203973,0.4631578947368421,-0.020238788339850464,-0.005059697084962616,0.10030822842352138,0.16338523722347986,3.831201049530282e-05,8.303269714815542e-05,0.009630510583519936,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank8_obj20_frame_descriptors.csv,0,near_static_or_mixed
cycle116_rank7_obj37,116.0,13_c2_x6_100723,3.780379242324946,1255.090909090909,900.2727272727273,96,909,1818,0.1357230842113495,0.1347198635339737,-0.0010032206773757935,8.66767092011256e-06,0.11271953646087225,0.1943359375,0.18880208333333334,-0.005533854166666657,2.390943895450723e-05,0.0886001549571695,0.004014756944444434,-1.4938995248039113e-05,0.16357032926640258,0.0003485536182152181,0.08898798529068883,0.5052631578947369,0.021321728754148377,0.005330432188537094,0.08805007249736285,0.005900322691136495,0.00015820138015188267,0.00023368009715341032,0.013864361681044102,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank7_obj37_frame_descriptors.csv,2,brightening_expanding_front
