cycleNo,method,particle_mse_mean_mean,particle_mse_mean_median,nonparticle_mse_mean_mean,nonparticle_mse_mean_median,particle_to_nonparticle_mse_ratio_mean_mean,particle_to_nonparticle_mse_ratio_mean_median,mask_fallback_used_mean_mean
58.0,low_rank_dmd,0.005678049960806675,0.006141445708635729,0.0010283179235557327,0.0009836448666646902,6.13166121203145,5.968657740466862,0.0
58.0,persistence,0.0003401828597304757,0.0003727128802211155,0.0001233139944361028,0.00010166027539071365,1.9896600739923465,1.8263964985620404,0.0
58.0,velocity,0.0008227007467098701,0.000872512453724994,0.0003447742953994748,0.0002852879133570241,1.8661611719328979,1.6878188060066157,0.0
60.0,low_rank_dmd,0.009146024442695003,0.008107261917757569,0.001272513707287241,0.0012608618453668896,8.952303817211282,6.81458923204808,0.0
60.0,persistence,0.0002141331196601944,0.000203576283070106,9.627782364418636e-05,8.390521054479905e-05,2.0057971360299764,1.8833055346045975,0.0
60.0,velocity,0.0005112240875556987,0.00048605475080876204,0.0002700568662324561,0.0002332252659016376,1.6954081082971826,1.5580711158713645,0.0
62.0,low_rank_dmd,0.006956770507258625,0.005224963038926944,0.0009094585357161122,0.0008567005934310146,7.660432886695439,7.409544357536243,0.0
62.0,persistence,8.563471286038293e-05,9.073535670722777e-05,6.448396072755713e-05,6.677529938770022e-05,1.3222846084546385,1.2950879278832905,0.0
62.0,velocity,0.00019891640243940856,0.00022035183496882382,0.000187483658464771,0.0001924576854435145,1.0498911134409679,1.0150585089121358,0.0
86.0,low_rank_dmd,0.009281170415609571,0.008536156547052087,0.002038732652560308,0.0015605413718731143,6.17672914072747,4.647252317487795,0.0
86.0,persistence,0.00014635760270683326,0.0001467134810582138,7.652235389817481e-05,8.035643315906782e-05,1.3704939875997073,1.4000854227256831,0.0
86.0,velocity,0.0003160872414203671,0.0003401492567718378,0.00021281626432786047,0.00022287323895398004,1.2964566038303595,1.3171086001507244,0.0
88.0,low_rank_dmd,0.0052872324358759215,0.005760505227954127,0.0012101108234219282,0.0013688225062651327,5.5035518412534845,4.28308907397456,0.0
88.0,persistence,0.00023854054182947948,0.00018894999436724902,7.955851742735831e-05,7.028075560810976e-05,1.483990524989284,1.476441264843141,0.0
88.0,velocity,0.0004064330527171478,0.0003324562126181263,0.00020268191303784988,0.00018172657416926086,1.4138692395036587,1.381859208051941,0.0
90.0,low_rank_dmd,0.004454357888789673,0.003533132687152829,0.0009141148221942785,0.0008366095662495354,5.778065017418911,5.7373317618575905,0.0
90.0,persistence,8.433780712380212e-05,8.196115049941e-05,8.254321991785218e-05,7.967160274802154e-05,1.0431827755179588,1.0838560843197458,0.0
90.0,velocity,0.00023014489937622784,0.00023116844658943592,0.00024030335157476657,0.00022982932159720804,0.97089936842578,0.9964754402713722,0.0
116.0,low_rank_dmd,0.0048604758182288306,0.0045712160608673,0.0010483828411148959,0.00103429884165962,4.465766009343574,4.282215330950611,0.0
116.0,persistence,8.885818696550511e-05,7.867118904414383e-05,8.774903602670747e-05,7.055880769257783e-05,1.0542023454150395,1.0387827569778327,0.0
116.0,velocity,0.00025468737749179127,0.000223637716317171,0.00025632504063347977,0.00020584230423992267,1.0237806704802968,0.9843217995852886,0.0
118.0,low_rank_dmd,0.0037193056905380217,0.003654657535662409,0.000799989198185358,0.0008519836001141812,4.71869265259141,4.6514160677799365,0.0
118.0,persistence,8.067414472634482e-05,8.261111798901766e-05,7.005065671705779e-05,6.983670908766726e-05,1.1606466195120795,1.1604712161552437,0.0
118.0,velocity,0.00022484915967879715,0.00022634903803009365,0.00020369107642181916,0.00020067617037966556,1.0962550974011456,1.0849923266493047,0.0
156.0,low_rank_dmd,0.012929292598225098,0.012286227560252883,0.0026961478597513633,0.0025999977506216965,7.517102777741614,4.449096534884948,0.0
156.0,persistence,0.00023655962326074587,0.00025514415887073483,8.773542033206165e-05,7.19844514946999e-05,2.3520277983895057,2.4685346463293225,0.0
156.0,velocity,0.00033220721631247824,0.00031104681124816125,0.0002040221936188876,0.00014265584650274832,1.4711179231368436,1.4545683462221781,0.0
157.0,low_rank_dmd,0.0070523750264328555,0.004991094527213136,0.0009975345828934223,0.0010194873038926744,8.09097017921315,6.962928449241057,0.0
157.0,persistence,8.879268514760952e-05,8.334850031133101e-05,5.0515577797227706e-05,4.157330403131709e-05,1.7424339096539847,1.7652436996369198,0.0
157.0,velocity,0.00017535547505076465,0.0001543252268447759,0.0001388344078350201,0.00010741591268015327,1.257705928214433,1.1996813218591336,0.0
158.0,low_rank_dmd,0.007533812484325608,0.007664150602067821,0.0012167748785714139,0.0015034442967589712,7.371498447670175,6.2656560639310275,0.0
158.0,persistence,0.0007060059725461088,0.000619786227161967,0.00011599299084252834,0.00012192761886353765,3.5838180854867163,3.4491502452161655,0.0
158.0,velocity,0.0010273675736698351,0.0009228615515439742,0.00022988239089727358,0.00021668136082553247,2.1498085360579573,2.00549903070214,0.0
