roi_id,cycleNo,cohort_role,event_reference_cycle,method,particle_mse_mean,particle_mse_median,particle_mse_max,particle_mae_mean,particle_mae_median,nonparticle_mse_mean,nonparticle_mse_median,nonparticle_mae_mean,nonparticle_mae_median,full_crop_mse_mean,full_crop_mse_median,particle_to_nonparticle_mse_ratio_mean,particle_to_nonparticle_mse_ratio_median,particle_mse_fraction_of_full_mean,particle_mse_fraction_of_full_median,particle_mask_area_fraction_mean,nonparticle_context_area_fraction_mean,mask_fallback_used_mean,accepted_area_fraction_median,validation_score_first
cycle116_rank1_obj6,116.0,event,116.0,low_rank_dmd,0.005880123353563249,0.0058072751853615046,0.006548832170665264,0.050603503244929016,0.05023681931197643,0.0012876760738436133,0.001291479798965156,0.020251422363799065,0.020241672173142433,0.002239832370833028,0.0022153721656650305,4.569159874121591,4.564495811011654,2.6250213681877526,2.6008902624058976,0.13322279188368055,0.621551513671875,0.0,0.13362630208333331,5.030580641918212
cycle116_rank1_obj6,116.0,event,116.0,persistence,6.813742504618858e-05,6.428979759220965e-05,0.00011259803432039917,0.006170041539007798,0.00610466836951673,6.69182013552927e-05,6.621742431889288e-05,0.006456331131630577,0.006434067152440548,7.79044924001937e-05,7.648823157069273e-05,1.0150316878425227,0.9684452876992817,0.869557694387256,0.8397743897223304,0.13322279188368055,0.621551513671875,0.0,0.13362630208333331,5.030580641918212
cycle116_rank1_obj6,116.0,event,116.0,velocity,0.00019136362470817403,0.00017638567805988714,0.00032753535197116435,0.010396107332780957,0.010098748374730349,0.00019315262761665508,0.00019231129408581182,0.010985636850818992,0.010956082493066788,0.00022105422385720885,0.0002167504353565164,0.9869185849780028,0.9403023669166015,0.8602240643053182,0.8297984138782406,0.13322279188368055,0.621551513671875,0.0,0.13362630208333331,5.030580641918212
cycle116_rank2_obj2,116.0,event,116.0,low_rank_dmd,0.0028726331584039144,0.0028007224900648,0.003902999684214592,0.03200168552575633,0.03172673285007477,0.000559138932658243,0.000568049872526899,0.015769443387398496,0.01584513671696186,0.0010156973257835489,0.0009899899014271796,5.130554644039264,4.978781310854417,2.8204812838568443,2.858763751093968,0.21600341796875,0.5387708875868056,0.0,0.2004123263888889,5.324312767584873
cycle116_rank2_obj2,116.0,event,116.0,persistence,3.886068009251176e-05,3.769129762076773e-05,6.409264460671693e-05,0.004644809188903309,0.004583748755976558,3.650767678209377e-05,3.657667912193574e-05,0.004775907262228429,0.004779089242219925,4.2193137119284074e-05,4.1860521378112026e-05,1.0625338261131427,1.0288806605335568,0.9165485745763947,0.9051876373503424,0.21600341796875,0.5387708875868056,0.0,0.2004123263888889,5.324312767584873
cycle116_rank2_obj2,116.0,event,116.0,velocity,0.00010650479634932708,9.998544192058034e-05,0.00018373335478827357,0.007794233955792151,0.00766684184782207,0.00010825819981619134,0.00010861336704692803,0.008213281544158235,0.008224709890782833,0.00012289237338336534,0.00012154732758062892,0.9817250141925744,0.9424101512376406,0.8619286771615853,0.8312709905264077,0.21600341796875,0.5387708875868056,0.0,0.2004123263888889,5.324312767584873
cycle116_rank3_obj9,116.0,event,116.0,low_rank_dmd,0.0032623087681713514,0.0031399946892634034,0.004862386733293533,0.03938693949021399,0.03871031664311886,0.0008485197122354293,0.0007982015085872263,0.01885524851968512,0.01842972170561552,0.001008083523629466,0.0009479114960413426,3.8614281202676968,3.7615143787849368,3.236077986684546,3.1594785701301635,0.089202880859375,0.6655714246961806,0.0,0.0891384548611111,5.098809654631046
cycle116_rank3_obj9,116.0,event,116.0,persistence,8.928698548515968e-05,7.718416236457415e-05,0.00017599211423657835,0.006815512038883753,0.006451987661421299,7.558198512924719e-05,7.503897722926922e-05,0.006839876092271879,0.006831697188317776,8.672821081745496e-05,8.546136086806655e-05,1.1720920146494584,1.0194015649298471,1.0153517327210533,0.9013162315565767,0.089202880859375,0.6655714246961806,0.0,0.0891384548611111,5.098809654631046
cycle116_rank3_obj9,116.0,event,116.0,velocity,0.0002519651857255667,0.00021260728681227192,0.000584919995162636,0.011506818584166467,0.010922316927462816,0.00021759052697234438,0.000216763983189594,0.011616690113442019,0.0115928933955729,0.00024847147778928047,0.0002442480472382158,1.1479107614479898,0.9825081079456046,0.9982322044793653,0.8746306223010033,0.089202880859375,0.6655714246961806,0.0,0.0891384548611111,5.098809654631046
cycle116_rank5_obj43,116.0,event,116.0,low_rank_dmd,0.0011503233326948248,0.0008558971167076379,0.0033224422950297594,0.022570962086319923,0.020716706290841103,0.0007181926603152533,0.0005950950144324452,0.017595572862774134,0.01687693130224943,0.000677103206726315,0.0005589284410234541,1.469732983343799,1.470032223546626,1.5596848503689251,1.554812493524127,0.10628255208333333,0.6484917534722222,0.0,0.10639105902777778,4.3043625905483625
