roi_id,cycleNo,cohort_role,event_reference_cycle,method,particle_mse_ratio_vs_persistence,particle_mse_delta_vs_persistence
cycle58_rank4_obj2,58.0,control,58.0,velocity,2.408011973166138,0.0004044420791160519
cycle58_rank4_obj2,58.0,control,58.0,low_rank_dmd,15.431316697886025,0.004145299785022871
cycle58_rank6_obj29,58.0,control,58.0,velocity,2.536167080787785,0.0007850245060581074
cycle58_rank6_obj29,58.0,control,58.0,low_rank_dmd,15.856709453588419,0.007592195631787035
cycle60_rank1_obj1,60.0,event,60.0,velocity,2.2581980018658045,9.806250295696373e-05
cycle60_rank1_obj1,60.0,event,60.0,low_rank_dmd,140.6169456648148,0.010881583921445781
cycle60_rank2_obj2,60.0,event,60.0,velocity,2.3730114510341775,0.0002666948614660214
cycle60_rank2_obj2,60.0,event,60.0,low_rank_dmd,37.168370071413094,0.00702537363281408
cycle60_rank3_obj9,60.0,event,60.0,velocity,2.2839540985219777,0.0003880615827256406
cycle60_rank3_obj9,60.0,event,60.0,low_rank_dmd,24.921777260771552,0.007230104842619767
cycle60_rank4_obj5,60.0,event,60.0,velocity,2.4008718193831267,0.0002982620740112907
cycle60_rank4_obj5,60.0,event,60.0,low_rank_dmd,61.44501146037831,0.012869453316397994
cycle60_rank5_obj18,60.0,event,60.0,velocity,2.3007222744533746,0.00010445708471706894
cycle60_rank5_obj18,60.0,event,60.0,low_rank_dmd,92.14790591332397,0.007319813550338949
cycle60_rank6_obj26,60.0,event,60.0,velocity,2.503035763106847,0.0006270077014960407
cycle60_rank6_obj26,60.0,event,60.0,low_rank_dmd,20.812545557283876,0.008265018674592284
cycle62_rank1_obj4,62.0,control,62.0,velocity,2.4461560018930175,0.00011103343604190741
cycle62_rank1_obj4,62.0,control,62.0,low_rank_dmd,60.262875975592195,0.004550104373720387
cycle62_rank2_obj2,62.0,control,62.0,velocity,2.1359986992688467,5.204244905598898e-05
cycle62_rank2_obj2,62.0,control,62.0,low_rank_dmd,49.595257392743626,0.0022262492103664044
cycle62_rank3_obj9,62.0,control,62.0,velocity,2.2307495132403017,0.0001418513527369214
cycle62_rank3_obj9,62.0,control,62.0,low_rank_dmd,131.05682503533197,0.014989838602787131
cycle62_rank4_obj1,62.0,control,62.0,velocity,2.4155711149820585,0.0001481995204812847
