method,x,y,n,spearman_rho,p_value
low_rank_dmd,particle_mse_ratio_vs_persistence_velocity,high_fraction_slope_per_s,52,0.18748399214547934,0.1832093383697377
persistence,particle_mse_ratio_vs_persistence_velocity,high_fraction_slope_per_s,52,0.18748399214547934,0.1832093383697377
velocity,particle_mse_ratio_vs_persistence_velocity,high_fraction_slope_per_s,52,0.18748399214547934,0.1832093383697377
low_rank_dmd,particle_mse_fraction_of_full_mean,front_quality_score,52,0.1795440963032528,0.20279931619765337
persistence,particle_mse_ratio_vs_persistence_low_rank_dmd,front_quality_score,52,0.17399470673610518,0.2173412184608608
velocity,particle_mse_ratio_vs_persistence_low_rank_dmd,front_quality_score,52,0.17399470673610518,0.2173412184608608
low_rank_dmd,particle_mse_ratio_vs_persistence_low_rank_dmd,front_quality_score,52,0.17399470673610518,0.2173412184608608
low_rank_dmd,particle_to_nonparticle_mse_ratio_mean,front_quality_score,52,0.165115683428669,0.24209264840334785
persistence,particle_mse_fraction_of_full_mean,front_quality_score,52,0.14112524545376934,0.31831048118121125
persistence,particle_mse_ratio_vs_persistence_low_rank_dmd,high_fraction_slope_per_s,52,-0.1381371126099206,0.32876799935639867
velocity,particle_mse_ratio_vs_persistence_low_rank_dmd,high_fraction_slope_per_s,52,-0.1381371126099206,0.32876799935639867
low_rank_dmd,particle_mse_ratio_vs_persistence_low_rank_dmd,high_fraction_slope_per_s,52,-0.1381371126099206,0.32876799935639867
persistence,particle_mse_mean,front_quality_score,52,0.12601383078630582,0.37337739431796596
persistence,particle_to_nonparticle_mse_ratio_mean,front_quality_score,52,0.11824468539229915,0.40378441693577966
low_rank_dmd,particle_mse_mean,accepted_area_cv,52,0.1106462904465124,0.43486827638447095
persistence,particle_mse_mean,accepted_area_cv,52,0.10962178775719285,0.4391593579218748
persistence,particle_to_nonparticle_mse_ratio_mean,fallback_frame_fraction,52,-0.10729521453833714,0.448991142379952
velocity,particle_mse_ratio_vs_persistence_velocity,mask_instability_score,52,-0.10637752924101425,0.4529021980143734
persistence,particle_mse_ratio_vs_persistence_velocity,mask_instability_score,52,-0.10637752924101425,0.4529021980143734
low_rank_dmd,particle_mse_ratio_vs_persistence_velocity,mask_instability_score,52,-0.10637752924101425,0.4529021980143734
persistence,particle_mse_mean,fallback_frame_fraction,52,-0.09796519588282956,0.48961014273391973
low_rank_dmd,particle_mse_ratio_vs_persistence_velocity,accepted_centroid_path_px,52,-0.09664475369247844,0.4955096236993326
velocity,particle_mse_ratio_vs_persistence_velocity,accepted_centroid_path_px,52,-0.09664475369247844,0.4955096236993326
persistence,particle_mse_ratio_vs_persistence_velocity,accepted_centroid_path_px,52,-0.09664475369247844,0.4955096236993326
persistence,particle_to_nonparticle_mse_ratio_mean,accepted_area_cv,52,0.09536412533082898,0.501266179155719
low_rank_dmd,particle_mse_ratio_vs_persistence_velocity,accepted_area_cv,52,-0.09280286860753009,0.5128814885855825
persistence,particle_mse_ratio_vs_persistence_velocity,accepted_area_cv,52,-0.09280286860753009,0.5128814885855825
velocity,particle_mse_ratio_vs_persistence_velocity,accepted_area_cv,52,-0.09280286860753009,0.5128814885855825
persistence,particle_to_nonparticle_mse_ratio_mean,mask_instability_score,52,0.09058311278067105,0.5230569194485207
velocity,particle_mse_mean,front_quality_score,52,0.09032698710834117,0.5242374391834003
velocity,particle_mse_ratio_vs_persistence_velocity,front_quality_score,52,-0.08682660291983266,0.5405027481886246
persistence,particle_mse_ratio_vs_persistence_velocity,front_quality_score,52,-0.08682660291983266,0.5405027481886246
low_rank_dmd,particle_mse_ratio_vs_persistence_velocity,front_quality_score,52,-0.08682660291983266,0.5405027481886246
velocity,particle_to_nonparticle_mse_ratio_mean,accepted_area_cv,52,0.08281396738666438,0.5594442516523483
persistence,particle_mse_fraction_of_full_mean,accepted_area_cv,52,0.08204559036967472,0.5631066430976832
persistence,particle_to_nonparticle_mse_ratio_mean,accepted_centroid_path_px,52,0.08187483992145479,0.5639220279312683
velocity,particle_mse_fraction_of_full_mean,front_quality_score,52,0.0794843336463758,0.5753949111555123
velocity,particle_to_nonparticle_mse_ratio_mean,front_quality_score,52,0.07598394945786732,0.5923847118193157
persistence,particle_mse_fraction_of_full_mean,fallback_frame_fraction,52,-0.06064512126079926,0.6693204070371255
velocity,particle_to_nonparticle_mse_ratio_mean,high_fraction_slope_per_s,52,-0.05950653120464441,0.6751809005452415
