already_in_existing_video_cohort,any_abrupt_drop,cohort_role,crop_size_full,crop_x0,crop_x1,crop_y0,crop_y1,cycleNo,cycles_since_prev_event,cycles_to_next_event,event_relative_bin,expansion_cycle_rank,first_frame_index,future_any_drop_within_16cycles,future_any_drop_within_8cycles,future_event_within_32cycles,last_frame_index,local_cycle_index,n_frames,npz_path,object_area_ds_px,object_candidate_rank,object_mean_abs_z,object_mean_residual,object_x_full_approx,object_y_full_approx,output_size,past_event_within_16cycles,pixel_size_um,preview_png,roi_id,roi_mean_delta_last_minus_first,roi_mean_first,roi_mean_last,roi_norm_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,selection_reason,source_stem,stage_drift_xy_sampled,status,thr30_seg_apparent_D_um2_per_s,thr30_seg_r2,thr30_seg_slope_px2_per_s,thr30_seg_status,thr30_seg_window_n,thr30_seg_window_t0_s,thr30_seg_window_t1_s,thr50_seg_apparent_D_um2_per_s,thr50_seg_r2,thr50_seg_slope_px2_per_s,thr50_seg_status,thr50_seg_window_n,thr50_seg_window_t0_s,thr50_seg_window_t1_s,thr70_seg_apparent_D_um2_per_s,thr70_seg_r2,thr70_seg_slope_px2_per_s,thr70_seg_status,thr70_seg_window_n,thr70_seg_window_t0_s,thr70_seg_window_t1_s,timing_dt_max_to_median_ratio,timing_dt_median_s,timing_elapsed_s,timing_status,validation_label,validation_score
True,0.0,source_balanced_pre_event_sampling,192,1247,1439,109,301,98.0,12.0,18.0,post_event_1_16,6,2706,0.0,0.0,1.0,3607,3,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj1_11_c2_x10_050723.npz,103.0,1,21.21138000488281,8562.1708984375,1343.0679611650485,204.50485436893203,96,1.0,0.096,,source_balanced_cycle98_rank6_obj1_11_c2_x10_050723,12.58984375,8874.2353515625,8886.8251953125,0.0008185878396034241,0.07134261727333069,0.07216120511293411,source_fill,11_c2_x10_050723,0.22360679774992814,ok,5.399047777229655e-06,0.8035123569760285,0.0023433367088670377,ok,46,4476.192103967071,8771.30708476156,1.0408686352444171e-05,0.7631196688262252,0.004517659007137227,ok,52,4194.278274092823,9062.552844729275,-2.2990411956528967e-05,0.7142052186190331,-0.00997847741168792,ok,24,2856.913755171001,5048.4090632759035,1.1139829710911697,91.17483854293823,9062.552844729275,ok,source_balanced_pre_event_candidate,23.327083525321505
True,0.0,source_balanced_pre_event_sampling,192,740,932,0,192,98.0,12.0,18.0,post_event_1_16,6,2706,0.0,0.0,1.0,3607,3,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle98_rank6_obj2_11_c2_x10_050723.npz,42.0,2,29.523515701293945,13457.7646484375,835.7142857142857,94.66666666666669,96,1.0,0.096,,source_balanced_cycle98_rank6_obj2_11_c2_x10_050723,3.9169921875,8964.4775390625,8968.39453125,0.0006546825170516968,0.08117502182722092,0.08182970434427261,source_fill,11_c2_x10_050723,0.22360679774992814,ok,-4.9322439406082515e-06,0.7897381733885169,-0.0021407308770001092,ok,45,945.1642423085868,5149.245748698711,5.8927150381187515e-06,0.6949248269941455,0.0025576020130723747,ok,50,4384.9701342359185,9062.552844729275,-9.775383968917986e-06,0.7993285954659893,-0.004242788180953987,ok,60,0.0,5621.662922121584,1.1139829710911697,91.17483854293823,9062.552844729275,ok,source_balanced_pre_event_candidate,24.558909812946133
True,0.0,source_balanced_pre_event_sampling,192,1246,1438,108,300,100.0,14.0,16.0,post_event_1_16,7,4510,1.0,0.0,1.0,5411,5,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj1_11_c2_x10_050723.npz,108.0,1,20.41080665588379,8197.46484375,1342.2222222222222,204.22222222222223,96,1.0,0.096,,source_balanced_cycle100_rank7_obj1_11_c2_x10_050723,5.150390625,8880.9482421875,8886.0986328125,0.00019350647926330566,0.07151804119348526,0.07171154767274857,post_event_1_16,11_c2_x10_050723,0.29154759474225334,ok,-7.574405536942535e-06,0.8559452019168119,-0.003287502403186864,ok,38,1328.1033274754882,4859.720384478569,-1.0893455564308984e-05,0.8428557508225435,-0.0047280623108979965,ok,60,0.0,5624.538025997579,-1.0512586185494632e-05,0.6475480389732076,-0.0045627544207876005,ok,34,2284.366932168603,5433.11562788859,1.1114847884171604,91.1041423715651,9064.27415401116,ok,source_balanced_pre_event_candidate,23.335890706615764
True,0.0,source_balanced_pre_event_sampling,192,738,930,0,192,100.0,14.0,16.0,post_event_1_16,7,4510,1.0,0.0,1.0,5411,5,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle100_rank7_obj2_11_c2_x10_050723.npz,45.0,2,27.73917961120605,12717.9267578125,834.3111111111111,94.22222222222224,96,1.0,0.096,,source_balanced_cycle100_rank7_obj2_11_c2_x10_050723,5.359375,8958.8818359375,8964.2412109375,0.00021892786026000977,0.08066722750663757,0.08088615536689758,post_event_1_16,11_c2_x10_050723,0.29154759474225334,ok,-5.068963560411929e-06,0.8431339740214483,-0.002200070989762122,ok,54,0.0,5050.718591958284,-6.760862366194462e-06,0.772010325408288,-0.0029344020686607906,ok,57,0.0,5343.071930702776,9.679853568827729e-06,0.7588901564246804,0.004201325333692591,ok,51,4286.702183429152,9064.27415401116,1.1114847884171604,91.1041423715651,9064.27415401116,ok,source_balanced_pre_event_candidate,24.28248417017058
True,0.0,source_balanced_pre_event_sampling,192,738,930,0,192,102.0,16.0,14.0,post_event_1_16,8,6314,1.0,0.0,1.0,7215,7,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj1_11_c2_x10_050723.npz,45.0,1,27.896915435791016,12752.44140625,834.3111111111111,93.77777777777776,96,1.0,0.096,,source_balanced_cycle102_rank8_obj1_11_c2_x10_050723,-5.83984375,8966.798828125,8960.958984375,-0.00022527575492858887,0.0812777653336525,0.08105248957872391,source_fill,11_c2_x10_050723,0.22360679774997896,ok,-3.118860090294642e-06,0.7202508719347557,-0.0013536719141903828,ok,57,0.0,5340.952592611313,-8.150170597917071e-06,0.8084381768381064,-0.0035374004331237283,ok,58,0.0,5431.396926149726,-6.451966937753814e-06,0.6209239102450884,-0.0028003328722889815,ok,63,0.0,5914.913563925773,1.1110251167578489,91.26912667229772,9061.895798057318,ok,source_balanced_pre_event_candidate,24.32786903333057
True,0.0,source_balanced_pre_event_sampling,192,1242,1434,104,296,102.0,16.0,14.0,post_event_1_16,8,6314,1.0,0.0,1.0,7215,7,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle102_rank8_obj2_11_c2_x10_050723.npz,137.0,2,17.030691146850586,6112.04638671875,1337.7518248175184,199.94160583941607,96,1.0,0.096,,source_balanced_cycle102_rank8_obj2_11_c2_x10_050723,-1.9951171875,8884.5400390625,8882.544921875,-2.5101006031036377e-05,0.07142522931098938,0.07140012830495834,source_fill,11_c2_x10_050723,0.22360679774997896,ok,9.725662790311721e-06,0.9166172422745301,0.004221207808295018,ok,51,4284.841774579138,9061.895798057318,-1.6851962013330093e-05,0.9275616332202491,-0.0073142196238411865,ok,57,181.33642134815454,5532.257204346359,-6.85188195587701e-06,0.6497660780630943,-0.002973907098904952,ok,65,281.84322379529476,6387.071652911603,1.1110251167578489,91.26912667229772,9061.895798057318,ok,source_balanced_pre_event_candidate,22.59967126305032
True,0.0,source_balanced_pre_event_sampling,192,1246,1438,107,299,104.0,18.0,12.0,mid_pre_event_9_16,9,8118,1.0,0.0,1.0,9019,9,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj1_11_c2_x10_050723.npz,96.0,1,22.527719497680664,9298.2919921875,1342.125,203.375,96,0.0,0.096,,source_balanced_cycle104_rank9_obj1_11_c2_x10_050723,-9.423828125,8889.599609375,8880.17578125,-0.00040759891271591187,0.07188384979963303,0.07147625088691711,mid_pre_event_9_16,11_c2_x10_050723,0.2500000000000227,ok,-1.1561238236196629e-05,0.9462419094575654,-0.005017898540015898,ok,49,0.0,4576.936064656824,-1.756966225221011e-05,0.9191158731335141,-0.00762572146363286,ok,52,0.0,4858.920687012374,-1.4092872977227548e-05,0.693644178113406,-0.0061166983408105675,ok,49,663.4862830005586,5241.29429711774,1.111254246486867,91.5047853179276,9065.996495399624,ok,source_balanced_pre_event_candidate,23.914457040802272
True,0.0,source_balanced_pre_event_sampling,192,738,930,0,192,104.0,18.0,12.0,mid_pre_event_9_16,9,8118,1.0,0.0,1.0,9019,9,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle104_rank9_obj2_11_c2_x10_050723.npz,45.0,2,27.745155334472656,12765.328125,834.3111111111111,93.77777777777776,96,0.0,0.096,,source_balanced_cycle104_rank9_obj2_11_c2_x10_050723,-8.69140625,8966.6513671875,8957.9599609375,-0.0004327446222305298,0.08209259063005447,0.08165984600782394,mid_pre_event_9_16,11_c2_x10_050723,0.2500000000000227,ok,-3.744474067693977e-06,0.7777711620100112,-0.001625205758547733,ok,57,181.0300716534257,5532.752248454839,-1.1268620080193604e-05,0.9176433694008587,-0.004890894132028474,ok,48,0.0,4476.382130615413,-1.2227572131416047e-05,0.7567953160624366,-0.005307105959815993,ok,35,1709.7703540436924,4959.451057899743,1.111254246486867,91.5047853179276,9065.996495399624,ok,source_balanced_pre_event_candidate,24.37434705398142
False,0.0,source_balanced_pre_event_sampling,192,1245,1437,102,294,106.0,20.0,10.0,mid_pre_event_9_16,10,904,1.0,0.0,1.0,1807,1,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj1_12_c2_x10_070723.npz,110.0,1,19.803709030151367,8347.205078125,1341.0181818181818,198.21818181818185,96,0.0,0.096,,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,-12.611328125,8853.5986328125,8840.9873046875,-0.0005349889397621155,0.07480251044034958,0.07426752150058746,mid_pre_event_9_16,12_c2_x10_070723,0.2121320343559321,ok,-6.777773815588639e-06,0.8651761229867645,-0.002941742107460347,ok,52,0.0,4868.91072461009,-5.789803531324779e-06,0.6918035200924215,-0.0025129355604708243,ok,52,90.58570459112525,4969.535318683833,-2.5547098606069495e-05,0.6488510093195845,-0.011088150436662107,ok,25,0.0,2292.7090245336294,1.0120084820771245,100.08258805051446,9086.353796061128,ok,source_balanced_pre_event_candidate,23.629607198020047
False,0.0,source_balanced_pre_event_sampling,192,1568,1760,127,319,106.0,20.0,10.0,mid_pre_event_9_16,10,904,1.0,0.0,1.0,1807,1,96,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle106_rank10_obj2_12_c2_x10_070723.npz,71.0,2,22.96823501586914,10313.61328125,1664.225352112676,223.2112676056338,96,0.0,0.096,,source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,-15.8701171875,8251.080078125,8235.2099609375,-0.0007946789264678955,0.07885780930519104,0.07806313037872314,mid_pre_event_9_16,12_c2_x10_070723,0.2121320343559321,ok,6.8978776894201626e-06,0.6814360186379527,0.0029938705249219454,ok,39,1809.6874072253704,5442.49447208643,-3.0613104540408522e-06,0.5751558143976787,-0.001328693773455231,ok,91,0.0,8602.625225543976,-6.673022599079925e-06,0.6816261150138807,-0.0028962771697395506,ok,94,0.0,8884.916088175029,1.0120084820771245,100.08258805051446,9086.353796061128,ok,source_balanced_pre_event_candidate,23.87471907906338
