cycleNo,method,mse_mean,mse_std,mae_mean,mae_std,ssim_mean,ssim_std,psnr_mean,psnr_std
58.0,low_rank_dmd,0.001611178327948437,0.0009571903436300535,0.023424963823345024,0.00860008270481029,0.8282583669829067,0.06515407858295683,28.877227704191643,3.160260890447317
58.0,persistence,0.00017467362141587728,0.00011626925125859526,0.008769301141001051,0.003152982860568323,0.9584790451555041,0.019105196658232692,39.317551106394276,3.0645515609770544
58.0,velocity,0.0004649795081377306,0.00031231163347206486,0.014733122479810845,0.0052810485934254615,0.895540395458722,0.04176624466140888,34.78362773426515,3.0799652174833927
60.0,low_rank_dmd,0.002409969886078519,0.00036037242930802167,0.02785447284501667,0.004443467298488998,0.749712571656659,0.06527460270187793,26.386588654277173,0.7199555391437847
60.0,persistence,0.00012696062221569568,8.735020766749904e-05,0.007875763660801264,0.002773011535797231,0.9647655173327866,0.016893888512461635,40.063152307904495,2.8195464692455086
60.0,velocity,0.00034108331146853743,0.00023900657727260642,0.013100875296610562,0.00462253244907076,0.9092672879821064,0.03818471384745072,35.73417940923704,2.8672537837791454
62.0,low_rank_dmd,0.0018416785811723457,0.0013980246274662175,0.021951721912046196,0.00822662845282912,0.8197078792321163,0.0873429782077009,28.82717945385204,3.7847208053034187
62.0,persistence,7.692324055597055e-05,2.7456663759492614e-05,0.006668298672593664,0.001298319466411239,0.9699948918146231,0.007570998885526197,41.417471465730685,1.8046346446369739
62.0,velocity,0.000214609603858662,7.846709295640312e-05,0.011236992155318148,0.0022197644947739084,0.9193233052047292,0.018957217665097472,36.961709473231494,1.844184182640737
86.0,low_rank_dmd,0.0012066539690446614,0.00043608658414636103,0.01863600059004966,0.0026820989375593244,0.8779568406386878,0.011937154513325068,30.277034987057196,1.3259820930507598
86.0,persistence,9.833250684702459e-05,3.741879737502676e-05,0.007060287180744733,0.0014739947403254452,0.9673970832404155,0.009067318430190126,40.98794460618535,1.8817165747114708
86.0,velocity,0.0002576863488457093,9.85311096100181e-05,0.011888648155339373,0.002466838959474794,0.9150053244358726,0.02124838563932788,36.42733877512831,1.8713973063864782
88.0,low_rank_dmd,0.0011423992646086845,0.0004518994785145214,0.01891561186494073,0.0032966803144227415,0.8624197096411983,0.026357237129016244,29.995221536372014,2.0895452957193013
88.0,persistence,0.0001118967459774467,5.4479416054486895e-05,0.006968131649045972,0.0016040516202421272,0.9625087368178266,0.011967312674761501,41.20921324025009,2.001648957182064
88.0,velocity,0.0002579128722572932,0.00011942102711705996,0.011553365438885521,0.002621643965465558,0.9059394920046692,0.027262653734631,36.71479301198729,1.9606008914347146
90.0,low_rank_dmd,0.0010799981469062914,0.0005707206010092702,0.019500691567372996,0.004423165870530027,0.8508868548938138,0.03973998501318518,30.101540749854745,2.098282751207205
90.0,persistence,9.332894393310198e-05,4.932796019575202e-05,0.00732967189833289,0.0020723082680477204,0.9600364916701514,0.014647901613501237,40.81222195490064,2.471460952669765
90.0,velocity,0.00026744571266590356,0.0001399012996385082,0.012441766390111297,0.0034705794369687313,0.8954013109080103,0.033503259470953325,36.22660080746855,2.435201242820452
116.0,low_rank_dmd,0.001055991736317689,0.0008340672176389332,0.018709262886356253,0.008057743395659275,0.8707068427356076,0.07796469615961878,31.253189655163343,3.888435467880359
116.0,persistence,0.00010023317347910658,6.685651225011248e-05,0.007498420939858382,0.0023104054082161572,0.9643423342785257,0.014826289012492909,40.61005944329186,2.391787741326668
116.0,velocity,0.0002905188709974027,0.00019602107640969433,0.012783311680929424,0.0039693191819197265,0.9068968042983087,0.03350181027284537,35.99793733199489,2.401294826876469
118.0,low_rank_dmd,0.000921216207643738,0.0002629726092713741,0.01760711432871176,0.0032759318028619737,0.8744847013154081,0.027539395463080426,30.648865894824667,1.411026322106585
118.0,persistence,8.222315284456272e-05,3.2384796661521684e-05,0.006937838767044013,0.0014595589786078446,0.9655451892967692,0.0076983274489907496,41.14376116312435,1.8772296912968056
118.0,velocity,0.00023585368205658597,9.417561448721686e-05,0.011779930297052488,0.002480768964927681,0.9086217700217472,0.018343514000200463,36.56857009966896,1.871476649651692
156.0,low_rank_dmd,0.0031278518869536733,0.001339603905284758,0.029236935341032222,0.008149569449654814,0.7536557458042931,0.08507573217749936,25.752178846937287,1.9373126652904178
156.0,persistence,0.0001155221971013513,8.535782563774417e-05,0.0070095813207444735,0.0027712262711510993,0.9711355384674359,0.016096082088209656,40.903033608176436,2.6815760627263883
156.0,velocity,0.0002445796155446563,0.00021322612453814925,0.010941717676663151,0.00453411045968303,0.9284368378161107,0.035684445988127485,37.38463058979436,2.8727326705354024
157.0,low_rank_dmd,0.0012560188060888322,0.0006038079406908921,0.018892246444011107,0.004945888875832574,0.8616236084025701,0.06894740898852274,29.60058252475196,2.322351853706301
157.0,persistence,6.397599966589951e-05,2.8650202554499834e-05,0.005854942235600902,0.001367457923161896,0.9773915293837472,0.006318528190229377,42.348111809491044,1.795188988343988
157.0,velocity,0.00016318465321774056,8.10053051507543e-05,0.00962304860513541,0.0023475908799206807,0.9387746935282593,0.01585949532943061,38.26719685095898,1.925505007111206
158.0,low_rank_dmd,0.0020669718082899635,0.0007221217890122326,0.023759996161970776,0.004052062291294135,0.8071983471675555,0.02783823486612786,27.448291184882045,1.8825636711992197
158.0,persistence,0.00023628768005323764,9.974920621585498e-05,0.0073886790887627285,0.0017327268541762776,0.9659031497289049,0.010641952219835056,40.2890402773093,1.8249954438317975
158.0,velocity,0.0004037567238697193,0.00017142781896842656,0.010993113941367483,0.002694476543823672,0.926223833539228,0.02126130840663245,37.298937627200615,1.923682599873921
