cycleNo,n_event_particles,particles,mean_drop_frac,median_drop_frac,mean_recovery_frac_next,median_next_deficit_frac,n_sustained_next_cycle,n_frames,global_frame_percentile,session_frame_percentile,source_stem,local_cycle_index,synchronized_event,all_event_particles_sustained_next,n_particles_event,n_frames_z,n_frames_percentile,any_event,synchronized_event_echem,V_mean,I_mean_mA,I_abs_mean_mA,V_range,block_mode,I_pos_fraction,I_neg_fraction,roi_fraction,fallback_mask,roi_cv_time,roi_background_contrast,stage_drift_xy_sampled,stage_drift_z_sampled,average_intensity_sample_delta,preview_png,degradation_mode_hypothesis,evidence_score,next_action
116.0,3,"particle0,particle1,particle2",0.1917019578422557,0.1992481203007518,0.3180293501048217,0.1310344827586207,3,892.0,0.0112359550561797,0.5,13_c2_x6_100723,1,1,1,3,-0.9443908889045964,0.0112359550561797,1,1,3.903938643271297,0.0070410067032469,0.500889,1.413987,galvanostatic_10,0.5070285100124449,0.4929714899875551,0.0900277777777777,True,0.0108758471906185,1054.6453857421875,0.1414213562373416,5.508583311743337,-4.832902777778145,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_116_13_c2_x6_100723_local1.png,synchronized_persistent_drop_low_frame_count,12.929917335181958,manual ROI preview validation; compare with exact object detector coordinates; test if low frame count is protocol or acquisition artifact
86.0,3,"particle0,particle1,particle2",0.1420951480652973,0.1351351351351351,-0.2532680171234387,0.1723202170963365,3,899.0,0.0786516853932584,0.2,10_c2_x10_030723,1,1,1,3,-0.8974987614010048,0.0786516853932584,1,1,3.821635612224316,0.0034861829990025,0.500889,1.2002969999999995,galvanostatic_2,0.5034799955668846,0.4965200044331154,0.0810833333333333,True,0.0120964255183935,1231.0736083984375,0.2692582403567336,6.628180292874106,5.385833333332812,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_86_10_c2_x10_030723_local1.png,synchronized_persistent_drop_low_frame_count,12.399287527913966,manual ROI preview validation; compare with exact object detector coordinates; test if low frame count is protocol or acquisition artifact
60.0,1,particle3,0.1707317073170731,0.1707317073170731,0.0,0.1707317073170731,1,920.0,0.3707865168539326,1.0,7_c2_x10_290623,5,0,1,1,-0.75682237889023,0.3707865168539326,1,0,3.829972590648973,0.0216442830997643,0.500889,1.239483,galvanostatic_10,0.5216058678666974,0.4783941321333026,0.0573333333333333,True,0.0138519760221242,1108.2313232421875,0.1802775637732877,5.315935477954781,0.4115416666663805,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_60_7_c2_x10_290623_local5.png,single_persistent_drop_needs_roi_qc,5.3772244077517595,prioritize particle-level crop validation before mechanistic interpretation
156.0,1,particle1,0.1656050955414012,0.1656050955414012,0.5,0.0828025477707006,1,1246.0,0.9101123595505618,1.0,18_c2_xN_HighHighCOV_170723,0,0,1,1,1.4270109877056083,0.9101123595505618,1,0,,,,,,,,0.023,True,0.0211494471877813,1064.675048828125,0.1118033988749894,4.7758391615116125,329.05031944444545,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_156_18_c2_xN_HighHighCOV_170723_local0.png,single_persistent_drop_needs_roi_qc,4.816527810967591,prioritize particle-level crop validation before mechanistic interpretation
