candidate_id,x_ds,y_ds,x_full_approx,y_full_approx,area_ds_px,area_full_approx_px,bbox_x0_ds,bbox_y0_ds,bbox_x1_ds,bbox_y1_ds,mean_residual,mean_abs_z,mean_temporal_std,polarity,rank_score,candidate_rank,cycleNo,expansion_cycle_rank,selection_reason,selection_priority,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,cycle_table_n_frames,downsample,n_candidates,overlay_png
98,297.93333333333334,163.1,1191.7333333333333,652.4,30,480,295,160,301,167,13611.0244140625,34.50833511352539,1895.556884765625,bright,14090813.75156533,1,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
37,143.54761904761904,58.214285714285715,574.1904761904761,232.85714285714286,42,672,140,55,148,63,11196.3671875,29.26946449279785,1731.316650390625,bright,13763890.217400044,2,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
12,208.01923076923077,16.634615384615383,832.0769230769231,66.53846153846153,52,832,203,13,213,21,10054.0146484375,25.828767776489258,1552.8702392578125,bright,13503506.0979475,3,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
18,407.6875,27.90625,1630.75,111.625,32,512,405,25,412,32,12112.3154296875,30.7471981048584,2162.828857421875,bright,11917432.384804308,4,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
22,334.04615384615386,42.743589743589745,1336.1846153846154,170.97435897435898,195,3120,325,31,343,53,3815.83056640625,14.422640800476074,898.1820678710938,bright,10731698.954877129,5,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
26,249.25,42.55555555555556,997.0,170.22222222222223,36,576,246,39,253,47,10752.36328125,27.33428382873535,1802.51220703125,bright,10580693.391336948,6,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
145,296.48571428571427,271.54285714285714,1185.942857142857,1086.1714285714286,70,1120,292,265,301,279,7529.94091796875,19.247350692749023,1309.6636962890625,bright,10145198.948067753,7,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
30,410.8333333333333,47.861111111111114,1643.3333333333333,191.44444444444446,36,576,408,44,415,52,9766.8505859375,24.861059188842773,1635.8079833984375,bright,8741313.018200733,8,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
92,474.3703703703704,139.0,1897.4814814814815,556.0,27,432,471,137,478,142,10570.279296875,26.877328872680664,1870.4912109375,bright,7670723.569331322,9,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
61,202.82432432432432,95.48648648648648,811.2972972972973,381.94594594594594,74,1184,198,90,208,102,6324.70556640625,16.22271156311035,1176.447021484375,bright,7592686.685280124,10,92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
