cycleNo,expansion_cycle_rank,selection_reason,selection_priority,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,cycle_table_n_frames,downsample,n_candidates,overlay_png
92,1,source_representative,0.20269547449141773,False,0,0,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_92_rank1_10_c2_x10_030723_local7.png
94,2,future16_negative,0.2054243156069886,False,0,0,0,10_c2_x10_030723,9,10,9068,8161,9068,8161,9067,12,901.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_94_rank2_10_c2_x10_030723_local9.png
98,3,future16_negative,0.2193130273059711,False,0,0,0,11_c2_x10_050723,3,10,9020,2706,3608,2706,3607,12,898.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_98_rank3_11_c2_x10_050723_local3.png
100,4,future16_positive,1.1370652075218899,False,0,1,0,11_c2_x10_050723,5,10,9020,4510,5412,4510,5411,12,899.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_100_rank4_11_c2_x10_050723_local5.png
102,5,source_representative,1.1249174109485875,False,0,1,0,11_c2_x10_050723,7,10,9020,6314,7216,6314,7215,12,899.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_102_rank5_11_c2_x10_050723_local7.png
108,6,source_fill,1.7728491564323323,True,1,1,0,12_c2_x10_070723,3,10,9042,2712,3616,2712,3615,12,902.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_108_rank6_12_c2_x10_070723_local3.png
110,7,source_fill,1.8474491435025824,True,1,1,0,12_c2_x10_070723,5,10,9042,4521,5425,4521,5424,12,900.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_110_rank7_12_c2_x10_070723_local5.png
112,8,future16_positive,1.7626806641375838,False,1,1,0,12_c2_x10_070723,7,10,9042,6329,7233,6329,7232,12,901.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_112_rank8_12_c2_x10_070723_local7.png
114,9,source_representative,1.7428379859893908,False,1,1,0,12_c2_x10_070723,9,10,9042,8137,9042,8137,9041,12,900.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_114_rank9_12_c2_x10_070723_local9.png
123,10,source_fill,0.0714843527404055,False,0,0,0,14_c2_x10_HighCOV_110723,2,10,11902,2380,3570,2380,3569,12,1189.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_123_rank10_14_c2_x10_HighCOV_110723_local2.png
125,11,source_representative,0.09024222421425261,False,0,0,0,14_c2_x10_HighCOV_110723,4,10,11902,4760,5951,4760,5950,12,1189.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_125_rank11_14_c2_x10_HighCOV_110723_local4.png
126,12,future16_negative,0.75,False,0,0,0,14_c2_x10_HighCOV_110723,5,10,11902,5951,7141,5951,7140,12,1187.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_126_rank12_14_c2_x10_HighCOV_110723_local5.png
127,13,source_fill,0.04185351059327835,False,0,0,0,14_c2_x10_HighCOV_110723,6,10,11902,7141,8331,7141,8330,12,1188.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_127_rank13_14_c2_x10_HighCOV_110723_local6.png
132,14,source_fill,0.023610982475673708,False,0,0,0,15_c2_x5_HighCOV_120723,1,5,6193,1238,2477,1238,2476,12,1176.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_132_rank14_15_c2_x5_HighCOV_120723_local1.png
