source_stem,selected_cycles,new_cycles,future8_positive,future16_positive,same_cycle_drop,mean_selection_priority,sampled_cycles,total_candidates
10_c2_x10_030723,2,2,0,0,0,0.20405989504920316,2,120
11_c2_x10_050723,3,3,0,2,0,0.8270985485921495,3,180
12_c2_x10_070723,4,2,4,4,0,1.7814542375154723,4,240
14_c2_x10_HighCOV_110723,4,4,0,0,0,0.2383950218869841,4,240
15_c2_x5_HighCOV_120723,3,3,0,0,0,0.027999055938343082,3,180
16_c2_x10_HighHighCOV_130723,4,4,0,3,0,0.810819786411374,4,240
17_c2_x10_HighHighCOV_150723,3,0,3,3,0,2.3248254003339084,3,180
2_c2_x14_200623,4,4,0,0,0,0.10362768358022598,4,240
4_c2_x10_240623,4,4,0,0,0,0.13814125629953258,4,240
5_c2_x10_260623,3,3,0,0,0,0.12608984483845787,3,180
6_c2_x10_270623_2,4,4,2,4,0,1.4167388558607306,4,240
7_c2_x10_290623,2,2,1,1,0,0.9243011355439383,2,120
8_c2_x10_300623,4,4,0,3,0,0.8406388111254056,4,240
9_c2_x10_010723,4,2,4,4,0,1.7664937114100536,4,240
