cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,validation_score,validation_label,cohort_role,selection_reason,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
108,12_c2_x10_070723,3,6,2,23.516560988539883,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,True,1,1,0,1665.6533333333334,226.02666666666667,416.41333333333336,56.50666666666667,75,9762.6484375,21.804306030273438,2712,3616,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_108_rank6_12_c2_x10_070723_local3.png
108,12_c2_x10_070723,3,6,1,23.365257710020515,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,True,1,1,0,1344.7118644067796,206.23728813559322,336.1779661016949,51.559322033898304,118,7579.54248046875,18.480348587036133,2712,3616,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_108_rank6_12_c2_x10_070723_local3.png
110,12_c2_x10_070723,5,7,2,23.874389180648002,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,True,1,1,0,839.8367346938776,97.38775510204081,209.9591836734694,24.346938775510203,49,11246.7548828125,25.28079605102539,4521,5425,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_110_rank7_12_c2_x10_070723_local5.png
110,12_c2_x10_070723,5,7,1,23.136898638745315,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,True,1,1,0,1346.7768595041323,202.54545454545453,336.6942148760331,50.63636363636363,121,6796.548828125,17.81061363220215,4521,5425,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_110_rank7_12_c2_x10_070723_local5.png
112,12_c2_x10_070723,7,8,1,24.433332988208193,source_balanced_expansion_candidate,source_balanced_expansion,future16_positive,False,1,1,0,840.25,97.91666666666667,210.0625,24.479166666666668,48,11418.2138671875,26.133630752563477,6329,7233,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_112_rank8_12_c2_x10_070723_local7.png
112,12_c2_x10_070723,7,8,2,23.38806596464201,source_balanced_expansion_candidate,source_balanced_expansion,future16_positive,False,1,1,0,1199.6571428571428,1123.0285714285715,299.9142857142857,280.75714285714287,70,9125.0146484375,20.911787033081055,6329,7233,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_112_rank8_12_c2_x10_070723_local7.png
114,12_c2_x10_070723,9,9,1,24.341180100195942,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,1,1,0,1343.7281553398059,205.35922330097088,335.93203883495147,51.33980582524272,103,9044.693359375,21.196462631225586,8137,9042,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_114_rank9_12_c2_x10_070723_local9.png
114,12_c2_x10_070723,9,9,2,24.046731379998924,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,1,1,0,1670.3333333333333,231.11111111111111,417.5833333333333,57.77777777777778,72,10013.48046875,22.64031219482422,8137,9042,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_114_rank9_12_c2_x10_070723_local9.png
123,14_c2_x10_HighCOV_110723,2,10,2,24.18449265574761,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,843.3076923076923,78.38461538461539,210.82692307692307,19.596153846153847,52,11407.560546875,25.961259841918945,2380,3570,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_123_rank10_14_c2_x10_HighCOV_110723_local2.png
123,14_c2_x10_HighCOV_110723,2,10,1,23.408876847510307,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1348.8055555555557,180.97222222222223,337.2013888888889,45.24305555555556,144,6378.58935546875,17.22971534729004,2380,3570,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_123_rank10_14_c2_x10_HighCOV_110723_local2.png
