cycleNo,particle0,particle1,particle2,particle3,addrs,n_frames,particle0_norm,particle0_abrupt_drop,particle1_norm,particle1_abrupt_drop,particle2_norm,particle2_abrupt_drop,particle3_norm,particle3_abrupt_drop,particle0_norm_delta_prev,particle0_norm_abs_delta_prev,particle0_norm_rolling3_slope,particle0_norm_rolling5_mean,particle0_norm_rolling5_std,particle1_norm_delta_prev,particle1_norm_abs_delta_prev,particle1_norm_rolling3_slope,particle1_norm_rolling5_mean,particle1_norm_rolling5_std,particle2_norm_delta_prev,particle2_norm_abs_delta_prev,particle2_norm_rolling3_slope,particle2_norm_rolling5_mean,particle2_norm_rolling5_std,particle3_norm_delta_prev,particle3_norm_abs_delta_prev,particle3_norm_rolling3_slope,particle3_norm_rolling5_mean,particle3_norm_rolling5_std,particle_norm_mean,particle_norm_std,particle_norm_min,particle_norm_max,particle_norm_range,particle_norm_cv,mean_delta_prev,mean_abs_delta_prev,max_abs_delta_prev,delta_std_across_particles,drop_count,any_abrupt_drop,synchronized_drop_2plus,synchronized_drop_3plus,cycle_gap,frames_percentile,future_any_drop_within_4cycles,future_sync2_drop_within_4cycles,cycles_to_next_drop_within_4,future_any_drop_within_8cycles,future_sync2_drop_within_8cycles,cycles_to_next_drop_within_8,future_any_drop_within_16cycles,future_sync2_drop_within_16cycles,cycles_to_next_drop_within_16,charge_capacity_mAh,discharge_capacity_mAh,capacity_mAh,coulombic_efficiency_pct,V_min,V_max,n_points,echem_shape_points,echem_shape_duration_s,shape_V_min,shape_V_max,shape_V_range,shape_V_mean,shape_V_std,shape_I_mean_mA,shape_I_abs_mean_mA,shape_I_pos_fraction,shape_I_neg_fraction,shape_charge_mAh_signed,shape_charge_mAh_abs,shape_charge_mAh_pos,shape_charge_mAh_neg_abs,shape_dVdt_slope,shape_dIdt_slope,shape_V_q05,shape_I_q05,shape_V_q10,shape_I_q10,shape_V_q25,shape_I_q25,shape_V_q50,shape_I_q50,shape_V_q75,shape_I_q75,shape_V_q90,shape_I_q90,shape_V_q95,shape_I_q95,shape_dVdt_abs_median,shape_dVdt_abs_p95,shape_dVdt_sign_consistency,all_dq_abs_total_mAh,all_dq_abs_lowV_frac,all_dq_abs_midV_frac,all_dq_abs_highV_frac,all_dq_abs_peak_voltage,all_dq_abs_peak_frac,all_dq_abs_entropy,all_dqdv_abs_integral_proxy,pos_dq_abs_total_mAh,pos_dq_abs_lowV_frac,pos_dq_abs_midV_frac,pos_dq_abs_highV_frac,pos_dq_abs_peak_voltage,pos_dq_abs_peak_frac,pos_dq_abs_entropy,pos_dqdv_abs_integral_proxy,neg_dq_abs_total_mAh,neg_dq_abs_lowV_frac,neg_dq_abs_midV_frac,neg_dq_abs_highV_frac,neg_dq_abs_peak_voltage,neg_dq_abs_peak_frac,neg_dq_abs_entropy,neg_dqdv_abs_integral_proxy,shape_block_mode,shape_block_nunique,cycle_state_pc1,cycle_state_pc2,cycle_state_pc3,cycle_state_pc4,cycle_state_pc5,cycle_state_pc6,cycle_state_pc7,cycle_state_pc8,degradation_state_axis,degradation_axis_oriented_to,cycle_state_cluster,state_step_norm,axis_step,transferred_masked_residual_signature,source_stem,local_cycle_index,cycleNo_int,future8,future16,same_cycle_drop,warning_z,pc2_z,frame_low_z,selection_priority,already_in_existing_video_cohort,selection_reason,expansion_cycle_rank,n_frames_table
92,290,108,185,20,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle7.hdf5,905.0,0.8169014084507042,False,0.8852459016393442,False,0.7581967213114754,False,1.1111111111111112,False,0.0169014084507042,0.0169014084507042,-0.02112676056338,0.8867605633802818,0.0995805525747922,0.0409836065573769,0.0409836065573769,-0.0040983606557375,0.9229508196721312,0.088395473537986,0.0286885245901639,0.0286885245901639,-0.0266393442622949,0.8311475409836067,0.1107088518550563,0.1111111111111111,0.1111111111111111,0.0277777777777779,1.0333333333333334,0.0633430791721733,0.8928637856281587,0.1544834707393776,0.7581967213114754,1.1111111111111112,0.3529143897996357,0.173020199974505,0.049421162677339,0.049421162677339,0.1111111111111111,0.0422856113749247,0,0,0,0,2.0,0.2022471910112359,0,0,,0,0,,0,0,,0.6321511414464831,0.6253181712982415,0.6253181712982415,98.91909233405694,2.989738,4.201423999999999,50572.0,50572.0,9037.710003376014,2.989738,4.201423999999999,1.2116859999999994,3.822322834236336,0.1938237655160203,0.005368224274302,0.500889,0.5053586965119038,0.4946413034880962,0.0069498457954103,1.2574693127447247,0.6322095792700674,0.6252597334746571,-3.978270308579725e-05,-0.0001664645462897,3.516147,-0.500889,3.583902,-0.500889,3.693354,-0.500889,3.830023,0.500889,3.954145,0.500889,4.079039,0.500889,4.132896,0.500889,0.0,0.0096347908142634,0.0117854106108243,1.2573524370975702,0.0728272068666276,0.6711394616134518,0.2560333315199205,3.825,0.1193123293028172,2.7252001176543064,1.0376883426049082,0.6321511414464842,0.0018114227407677,0.5948593680577632,0.4033292092014691,3.825,0.1686706663671229,2.280292916598186,0.5867741371019773,0.6252012956510732,0.144632414738326,0.7482674978896067,0.1071000873720673,3.675,0.1402393607005217,2.6555651805896345,0.5525049096579224,galvanostatic_14,2.0,-6.3200589209783455,-2.7505761569883425,-3.4522509129327914,3.618738712932709,1.2603572573683175,2.034034194903864,-5.500146899397168,1.9732444519986096,6.3200589209783455,mean_abs_delta_prev,1,2.499289041599082,-0.5795204742701374,-0.5386160158043448,10_c2_x10_030723,7,92,0,0,0,-0.005837020835400307,-0.7797661571060721,0.8573055092550691,0.20269547449141773,False,source_representative,1,905.0
94,307,111,193,20,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle9.hdf5,901.0,0.8647887323943662,False,0.9098360655737704,False,0.7909836065573771,False,1.1111111111111112,False,0.0478873239436619,0.0478873239436619,0.0323943661971831,0.8501408450704225,0.0432465471054091,0.0245901639344261,0.0245901639344261,0.0327868852459015,0.8901639344262294,0.0287470129782778,0.0327868852459016,0.0327868852459016,0.0307377049180328,0.7868852459016394,0.0448016621087618,0.0,0.0,0.0555555555555556,1.0444444444444445,0.0724355822800286,0.9191798789091562,0.137012877504625,0.7909836065573771,1.1111111111111112,0.320127504553734,0.1490599181383584,0.0263160932809974,0.0263160932809974,0.0478873239436619,0.0200225268022333,0,0,0,0,2.0,0.1404494382022472,0,0,,0,0,,0,0,,0.6339913802178231,0.6268646283366863,0.6268646283366863,98.87589136011783,2.94534,4.201231,45515.0,45515.0,9062.050935029984,2.94534,4.201231,1.255891,3.8234271201362175,0.1948733690898068,0.0139212256398989,0.5008889999999999,0.5138965176315501,0.4861034823684499,0.0072853663808342,1.2608560085545093,0.6340706874676718,0.6267853210868375,-3.902396574973098e-05,-0.0001661864357213,3.515182,-0.500889,3.585061,-0.500889,3.698759,-0.500889,3.830988,0.500889,3.955882,0.500889,4.080198,0.500889,4.132124,0.500889,0.0,0.0095947534667652,0.0116447686426154,1.260693220282318,0.074425426338258,0.6703591825529541,0.2552153911087877,3.825,0.1204264802834232,2.726149861607828,1.0038237556303198,0.6339913802178223,0.0025281769212667,0.5955906605313349,0.4018811625473982,3.825,0.1713522788957945,2.2917309376196418,0.571086746209583,0.6267018400645205,0.1471589552314374,0.745997381522406,0.1068436632461565,3.675,0.1419816318809751,2.6564277140233425,0.5330964930439238,galvanostatic_18,2.0,-5.903740541066177,-2.7517352957250107,-2.269388914452007,1.1467863865435668,0.382828089793743,0.49478228731203,-7.1765443500708495,1.4024450767774437,5.903740541066177,mean_abs_delta_prev,1,2.77182848467324,-0.4163183799121688,-0.7800139124153213,10_c2_x10_030723,9,94,0,0,0,-0.03493829719191837,-0.7800947635894622,0.8841010106856929,0.2054243156069886,False,future16_negative,2,901.0
98,382,135,253,20,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle3.hdf5,898.0,1.076056338028169,False,1.1065573770491803,False,1.036885245901639,False,1.1111111111111112,False,-0.0309859154929579,0.0309859154929579,0.1056338028169014,0.9329577464788732,0.1471194012715855,-0.0409836065573767,0.0409836065573767,0.098360655737705,0.978688524590164,0.1382065414709012,-0.0245901639344265,0.0245901639344265,0.1229508196721311,0.8754098360655739,0.160350161043682,0.0,0.0,9.95293696070622e-17,1.088888888888889,0.0496903994999945,1.0826525180225248,0.0342514554122456,1.036885245901639,1.1111111111111112,0.074225865209472,0.0316366099390839,-0.0241399214961903,0.0241399214961903,0.0409836065573767,0.0174500801176731,0,0,0,0,2.0,0.0449438202247191,0,0,,0,0,,0,0,,0.6365252931394945,0.624932044368529,0.624932044368529,98.1786664417081,2.999969,4.201617,60147.0,60147.0,9066.372819185255,2.999969,4.201617,1.2016479999999996,3.8114391528089513,0.1942937718516403,-0.0195785332435532,0.500889,0.4804562156051008,0.5195437843948991,0.0117003788816818,1.2614573375080234,0.6365788581948526,0.6248784793131708,-4.038482976027602e-05,-0.0001649164192376,3.506495,-0.500889,3.575409,-0.500889,3.681579,-0.500889,3.818441,-0.500889,3.940246,0.500889,4.072862,0.500889,4.127105,0.500889,0.0,0.0048289982566429,0.012785555149137,1.261350207397299,0.0720765045061644,0.6710308118455456,0.2568926836482899,3.825,0.120459834982214,2.723512354479184,1.0496836073436644,0.6365252931394992,0.0018813737857306,0.5958982699314354,0.402220356282834,3.825,0.170700979110715,2.2904961899575813,0.5699995102940592,0.6248249142578097,0.1435860988568675,0.747570274621278,0.1088436265218544,3.675,0.1419850460335738,2.652105477458461,0.556922674136403,galvanostatic_7,2.0,-4.569015536257349,-3.0310859608915,2.265304177218445,0.449554375183988,2.619493241228533,-2.8079452506985327,-1.3436098678324009,-1.0329749152027785,4.569015536257349,mean_abs_delta_prev,1,2.1955201689174566,0.7238650285198163,-1.0961552938273758,11_c2_x10_050723,3,98,0,0,0,-0.07305013593353749,-0.8592884242007003,0.9041976367586607,0.2193130273059711,False,future16_negative,3,898.0
100,392,142,261,20,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle5.hdf5,899.0,1.104225352112676,False,1.1639344262295082,False,1.069672131147541,False,1.1111111111111112,False,0.028169014084507,0.028169014084507,-0.0014084507042253,0.9938028169014084,0.1411742631813765,0.0573770491803278,0.0573770491803278,0.0081967213114755,1.042622950819672,0.1343612397878318,0.0327868852459019,0.0327868852459019,0.0040983606557377,0.9434426229508196,0.1550459182445982,0.0,0.0,9.95293696070622e-17,1.1111111111111112,0.0,1.1122357551502091,0.0389437460132965,1.069672131147541,1.1639344262295082,0.0942622950819671,0.0350139310240364,0.0295832371276841,0.0295832371276841,0.0573770491803278,0.0235225232167787,0,0,0,0,2.0,0.0786516853932584,0,0,,0,0,,1,1,16.0,0.633428408206735,0.6271394643536904,0.6271394643536904,99.00715790899734,2.999969,4.200845,63808.0,63808.0,9059.980037927628,2.999969,4.200845,1.200876,3.8214978067170255,0.195444444735699,0.0024334815383651,0.500889,0.5024291624874624,0.4975708375125376,0.0064392058319248,1.2605678725604257,0.6335035391961752,0.6270643333642503,-4.039039322734953e-05,-0.0001663639224673,3.514217,-0.500889,3.581586,-0.500889,3.692775,-0.500889,3.829058,0.500889,3.955689,0.500889,4.081356,0.500889,4.132317,0.500889,0.0,0.0096328990539533,0.0122243640979829,1.2604176105815523,0.0726688701312673,0.6726423626038875,0.2546887672648452,3.825,0.1198191814276723,2.724327760517398,1.049581814093672,0.6334284082067335,0.0015397896957406,0.59809690392017,0.4003633063840893,3.825,0.1706632905015116,2.2838507802352903,0.5833608775316981,0.6269892023748146,0.1445284492545304,0.7479534063255673,0.1075181444199022,3.675,0.1407138047170334,2.6575102634740864,0.5592365730737803,galvanostatic_10,2.0,-3.6884175893799607,-1.1126790698530613,1.277783065286462,-0.2691814259392203,2.3493368146770703,-0.6049534473014814,-0.6701805311819565,-0.2716688461643886,3.6884175893799607,mean_abs_delta_prev,1,2.4387531326388983,-0.8805979468773883,-1.4462718224524078,11_c2_x10_050723,5,100,0,1,0,-0.11525778562537219,-0.3154355425452623,0.8974987614010048,1.1370652075218899,False,future16_positive,4,899.0
102,392,139,260,19,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle7.hdf5,899.0,1.104225352112676,False,1.139344262295082,False,1.0655737704918034,False,1.0555555555555556,False,0.0,0.0,0.0140845070422534,1.0512676056338028,0.1050103668567602,-0.0245901639344261,0.0245901639344261,0.0163934426229508,1.0934426229508196,0.1047449904965891,-0.0040983606557376,0.0040983606557376,0.0143442622950821,1.0049180327868854,0.1202713495706534,-0.0555555555555555,0.0555555555555555,-0.0277777777777776,1.1,0.0248451997499962,1.0911747351137793,0.0383612534332008,1.0555555555555556,1.139344262295082,0.0837887067395264,0.0351559215941714,-0.0210610200364298,0.0210610200364298,0.0555555555555555,0.0253878331461698,0,0,0,0,2.0,0.0786516853932584,0,0,,0,0,,1,1,14.0,0.6347794124100321,0.6269655434009839,0.6269655434009839,98.76904183464588,2.963485,4.200652,60596.0,60596.0,9068.439995527267,2.963485,4.200652,1.237167,3.821027348207802,0.1949705428635613,0.0082164444187735,0.500889,0.5082018615090105,0.4917981384909895,0.0078389091890755,1.261744955811016,0.6347919325000457,0.6269530233109704,-3.9521318016278015e-05,-0.0001658334573335,3.512672,-0.500889,3.582744,-0.500889,3.693354,-0.500889,3.828865,0.500889,3.953952,0.500889,4.078846,0.500889,4.131931,0.500889,0.0,0.009637830651583,0.0114695932007591,1.2617115632760587,0.0727840078463799,0.6727707791777509,0.2544452129758692,3.825,0.1193632711919351,2.725569325584036,1.0198393291092138,0.634779412410031,0.0017556884858953,0.598838302356102,0.3994060091580026,3.825,0.1688249475486638,2.2954364427787275,0.5758012427206413,0.6269321508659972,0.1447013832208002,0.7476286631290757,0.1076699536501239,3.675,0.1404780367502829,2.65501187170394,0.5417430554037566,galvanostatic_14,2.0,-3.618076796282532,-0.8270084722431623,1.015195542016054,-1.5235018040155806,0.0515620208999293,-0.2359789403273237,-1.1953013983426044,-1.0941571402074015,3.618076796282532,mean_abs_delta_prev,1,1.3148487881681614,-0.0703407930974284,-0.6544736305048066,11_c2_x10_050723,7,102,0,1,0,-0.01980402100706551,-0.2344502320565805,0.8974987614010048,1.1249174109485875,False,source_representative,5,899.0
108,386,146,262,23,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle3.hdf5,902.0,1.087323943661972,False,1.1967213114754098,False,1.0737704918032789,False,1.2777777777777777,False,-0.0309859154929577,0.0309859154929577,-0.0056338028169013,1.1025352112676057,0.011196961641887,-0.016393442622951,0.016393442622951,0.0122950819672132,1.1770491803278689,0.028747012978278,-0.0163934426229506,0.0163934426229506,0.0081967213114757,1.071311475409836,0.0121577024378591,0.0,0.0,0.0277777777777778,1.1888888888888889,0.1009216784699162,1.1588983811796096,0.0964927331414832,1.0737704918032789,1.2777777777777777,0.2040072859744988,0.0832624626183928,-0.0159432001847148,0.0159432001847148,0.0309859154929577,0.012660626004548,0,0,0,0,2.0,0.1629213483146067,0,0,,1,1,8.0,1,1,8.0,0.6328849435231105,0.623962989806186,0.623962989806186,98.59027240129016,2.977191,4.201038,62042.0,62042.0,9033.24401211739,2.977191,4.201038,1.2238469999999997,3.817930742964444,0.1969645459297325,0.0051023798072273,0.500889,0.5050933238773734,0.4949066761226266,0.0090096051944493,1.2568479333292963,0.6329287692618729,0.6239191640674235,-4.052308288482686e-05,-0.0001659447366324,3.503793,-0.500889,3.5762968000000006,-0.500889,3.688335,-0.500889,3.827128,0.500889,3.951443,0.500889,4.079232,0.500889,4.131738,0.500889,0.0,0.0064336973820121,0.0114440450669718,1.2567199358490115,0.0761553738119097,0.6692891323498751,0.2545554938382153,3.825,0.1174891526426027,2.733887846106501,1.026860331274262,0.6328849435231133,0.0018093198031265,0.5971081607580326,0.4010825194388408,3.825,0.1666833963415385,2.298692380241989,0.5738818545313294,0.6238349923259054,0.1515799632808077,0.7425172306311449,0.1059028060880474,3.675,0.1405197648586948,2.661925289461847,0.5458962875585907,galvanostatic_6,2.0,-2.2576549596201296,-0.3517473474856625,2.709637395044453,-1.6919171004635447,-1.2259446257032136,3.416852608899494,-1.7001513858819848,0.4005119377169567,2.2576549596201296,mean_abs_delta_prev,1,1.4536063845591392,-0.1068989687470423,0.3455880466883458,12_c2_x10_070723,3,108,1,1,0,0.10075656237060075,-0.09971753616939087,0.877402135328037,1.7728491564323323,True,source_fill,6,902.0
110,376,143,258,20,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle5.hdf5,900.0,1.0591549295774647,False,1.1721311475409837,False,1.0573770491803278,False,1.1111111111111112,False,-0.0281690140845072,0.0281690140845072,-0.0295774647887323,1.0935211267605631,0.0222160497500054,-0.0245901639344261,0.0245901639344261,-0.0204918032786884,1.178688524590164,0.0280371006171909,-0.016393442622951,0.016393442622951,-0.0163934426229506,1.0688524590163937,0.0137157381399006,-0.1666666666666665,0.1666666666666665,-0.0833333333333332,1.1888888888888889,0.1009216784699162,1.099943559352472,0.0541952710357459,1.0573770491803278,1.1721311475409837,0.1147540983606558,0.0492709562912939,-0.0589548218271377,0.0589548218271377,0.1666666666666665,0.0719768670915561,0,0,0,0,2.0,0.1179775280898876,0,0,,1,1,6.0,1,1,6.0,0.6328746442701579,0.6265993163629001,0.6265993163629001,99.00844061867976,2.995336,4.200845,55449.0,55449.0,9052.117851018906,2.995336,4.200845,1.2055090000000002,3.836861087936663,0.1880789446548046,0.0554736667748742,0.5008889999999999,0.5553752096521127,0.4446247903478872,0.0063003747217982,1.259473960633058,0.6328871676774283,0.6265867929556298,-3.477526738189244e-05,-0.0001675787919806,3.535643,-0.500889,3.603206,-0.500889,3.720572,-0.500889,3.836586,0.500889,3.97036,0.500889,4.089077,0.500889,4.139266,0.500889,0.0,0.008391129688362,0.0074844899725869,1.2594489138185312,0.0730295578975675,0.6704234149571922,0.2565470271452403,3.825,0.1147149068538225,2.7248070071868886,1.044744513577693,0.632874644270154,0.0018379255535589,0.5979035327991239,0.4002585416473173,3.825,0.1667212623359512,2.287767274681541,0.5760910752554501,0.6265742695483606,0.1449370414704304,0.743672504257332,0.1113904542722375,3.675,0.1424084355876112,2.645299939305086,0.5571396290044263,galvanostatic_10,2.0,-2.9618547499190666,2.164953302444044,0.2626472044129541,-0.6581090115873459,-1.0515427746496735,2.4100384120839724,0.2550333096928336,-1.780393118492744,2.9618547499190666,mean_abs_delta_prev,1,3.726419147611593,0.704199790298937,0.1861489207307045,12_c2_x10_070723,5,110,1,1,0,0.08153567382237785,0.6137468008918129,0.8907998860433488,1.8474491435025824,True,source_fill,7,900.0
112,396,143,262,21,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle7.hdf5,901.0,1.115492957746479,False,1.1721311475409837,False,1.0737704918032789,False,1.1666666666666667,False,0.0563380281690142,0.0563380281690142,0.0140845070422535,1.095774647887324,0.0240676161839925,0.0,0.0,-0.012295081967213,1.1852459016393444,0.0188702695626565,0.016393442622951,0.016393442622951,2.3231889157994714e-16,1.0704918032786883,0.0137157381399005,0.0555555555555555,0.0555555555555555,-0.0555555555555552,1.211111111111111,0.0724355822800292,1.132015315939352,0.0464594587112015,1.0737704918032789,1.1721311475409837,0.0983606557377048,0.0410413693675595,0.0320717565868802,0.0320717565868802,0.0563380281690142,0.0283710406918667,0,0,0,0,2.0,0.1404494382022472,1,1,4.0,1,1,4.0,1,1,4.0,0.8374377096489228,0.831203029316235,0.831203029316235,99.25550518434362,2.990317,4.400058,117033.0,117033.0,11992.88996219635,2.990317,4.400058,1.4097409999999997,3.914310885314398,0.2408118622698808,0.0143504893235241,0.500889,0.5143250194389617,0.4856749805610383,0.006311202844997,1.6686407389651576,0.8374759709050774,0.8311647680600803,-2.85718208936132e-05,-0.0001262112229405,3.543751,-0.500889,3.614016,-0.500889,3.750685,-0.500889,3.897199,0.500889,4.100466,0.500889,4.2498374000000005,0.500889,4.314157,0.500889,0.0,0.0095950907071517,0.0005810376649121,1.505965905969484,0.0649028850319995,0.5845075251520043,0.3505895898159962,3.825,0.1020851456263162,2.801384367418952,1.0682571521786517,0.6760693585270311,0.0010639865723999,0.5561754750820901,0.4427605383455101,3.825,0.1546595417646158,2.38654341526416,0.5272166041586817,0.829896547442453,0.1169087925919975,0.6075880295540917,0.2755031778539107,3.625,0.1063968555321156,2.853883752596832,0.6276183056295708,galvanostatic_2,2.0,5.498248175674021,0.5707525817062122,-1.3322011536712897,-0.5478057703630242,0.3142362902323478,-1.49373210435765,2.2277729890873696,3.785774621905893,-5.498248175674021,mean_abs_delta_prev,0,8.756170712128581,-8.460102925593088,-2.2322047384796657,12_c2_x10_070723,7,112,1,1,0,-0.21000447276760537,0.16180375379343073,0.8841010106856929,1.7626806641375838,False,future16_positive,8,901.0
114,403,147,270,22,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle9.hdf5,900.0,1.1352112676056338,False,1.2049180327868851,False,1.1065573770491803,False,1.2222222222222223,False,0.0197183098591549,0.0197183098591549,0.0380281690140846,1.103098591549296,0.0299837951340506,0.0327868852459014,0.0327868852459014,0.0163934426229508,1.1918032786885244,0.0188702695626565,0.0327868852459014,0.0327868852459014,0.0245901639344265,1.0803278688524591,0.0186914004114593,0.0555555555555555,0.0555555555555555,0.0555555555555556,1.211111111111111,0.0724355822800292,1.1672272249159803,0.0552295171363816,1.1065573770491803,1.2222222222222223,0.1156648451730419,0.0473168513871471,0.0352119089766283,0.0352119089766283,0.0555555555555555,0.0148960514894658,0,0,0,0,2.0,0.1179775280898876,1,1,2.0,1,1,2.0,1,1,2.0,0.8400391320299193,0.8279939523711375,0.8279939523711375,98.56611683914352,2.972944,4.403532,61048.0,61048.0,11988.522614479063,2.972944,4.403532,1.4305880000000002,3.9093519758878257,0.2435733579769681,0.0162948098873017,0.500889,0.5162658891364172,0.4837341108635827,0.0121916907490875,1.668033084401057,0.8401123875750722,0.8279206968259847,-2.89620424368266e-05,-0.0001252838308659,3.534871,-0.500889,3.605329,-0.500889,3.745666,-0.500889,3.893146,0.500889,4.096606,0.500889,4.246981,0.500889,4.313192,0.500889,0.0,0.0052162245527128,0.0086326928432191,1.5042191519389956,0.0671920448549561,0.581525339196219,0.351282615948825,3.825,0.1013314394166907,2.807830670181682,1.0514691525016255,0.6788892270430904,0.0021398425763784,0.5573526851872801,0.4405074722363415,3.825,0.1556480979292969,2.388618324046515,0.515524627754095,0.8253299248959145,0.1207018449847932,0.6014089686402598,0.2778891863749468,3.625,0.1074727528480341,2.862244705508893,0.6148299724114381,galvanostatic_6,2.0,5.761328568576032,0.0883739987188055,-0.4912172335337172,-1.6610176998510846,0.9392419639754382,-0.9157014762704758,-0.5516931301610339,1.3291941268544554,-5.761328568576032,mean_abs_delta_prev,0,1.4994649526877593,-0.2630803929020109,-1.2544964270681471,12_c2_x10_070723,9,114,1,1,0,-0.09213865800326299,0.025053315900371922,0.8907998860433488,1.7428379859893908,False,source_representative,9,900.0
123,389,139,251,20,D://NMC_degradation_3_160623_Halfthedata\14_c2_x10_HighCOV_110723chopped\14_c2_x10_HighCOV_110723_cycle2.hdf5,1189.0,1.095774647887324,False,1.139344262295082,False,1.028688524590164,False,1.1111111111111112,False,0.1098591549295776,0.1098591549295776,0.0802816901408451,1.0535211267605633,0.0878448796028883,0.1065573770491803,0.1065573770491803,0.0983606557377048,1.098360655737705,0.1084324307813351,0.0860655737704918,0.0860655737704918,0.0778688524590165,1.0049180327868854,0.0960888602672284,-0.0555555555555555,0.0555555555555555,-5.96573328186304e-17,1.1555555555555554,0.0464811125852259,1.09372963647092,0.0469657252902729,1.028688524590164,1.139344262295082,0.1106557377049179,0.0429408911710711,0.0617316375484235,0.0895094153262013,0.1098591549295776,0.0788966221696315,0,0,0,0,5.0,0.7415730337078652,0,0,,0,0,,0,0,,0.8311153776065031,0.8194850102914072,0.8194850102914072,98.60063143716702,2.999969,4.400058,85758.0,85758.0,11863.229969978333,2.999969,4.400058,1.4000889999999997,3.902530867732456,0.2450874716886381,0.0107586177149653,0.500889,0.5107395228433499,0.4892604771566501,0.011649846644911,1.6506003878979103,0.8311251172714107,0.8194752706264996,-3.0671637822807474e-05,-0.0001260515785405,3.525799,-0.500889,3.597994,-0.500889,3.735628,-0.500889,3.886969,0.500889,4.09038,0.500889,4.242734,0.500889,4.311262,0.500889,0.0,0.0064382002640487,0.0087106591881712,1.491725350654574,0.0705367595670686,0.5799851889281789,0.3494780515047525,3.825,0.1012250330326915,2.8121355363788343,1.0654503754079738,0.6729888962710157,0.0013376324183375,0.5537842222733605,0.4448781453083019,3.825,0.1544660614045958,2.384908152162608,0.5290352346982217,0.8187364543835713,0.1274173881910916,0.6015219844816765,0.2710606273272318,3.625,0.1072489483074417,2.8650313591971406,0.6252020376261949,galvanostatic_4,2.0,4.649682637529732,-1.681043771509026,-1.836469260668497,0.0035808155729236,5.40542290495587,-3.503555178047014,1.8928306754735835,0.7077701074899707,-4.649682637529732,mean_abs_delta_prev,0,4.088888526220553,-0.8555978424725299,-1.692118640652609,14_c2_x10_HighCOV_110723,2,123,0,0,0,-0.14489539348466698,-0.4765623516027034,-1.0451750923192193,0.0714843527404055,False,source_fill,10,1189.0
