feature,target,n,rho,p_value
shape_charge_mAh_abs,particle_norm_mean,81,0.4581665434046792,1.7002904107471436e-05
shape_charge_mAh_neg_abs,particle_norm_mean,81,0.4542482737666898,2.048030737235752e-05
neg_dq_abs_total_mAh,particle_norm_mean,81,0.4539772695265982,2.074384772980078e-05
shape_dVdt_sign_consistency,particle_norm_mean,81,-0.452328660399375,2.2416503444882405e-05
all_dq_abs_peak_voltage,coulombic_efficiency_pct,81,-0.4442027681128661,3.2662766008733115e-05
pos_dq_abs_midV_frac,capacity_mAh,81,-0.44150858175248414,3.692721324941987e-05
all_dq_abs_peak_voltage,particle_norm_mean,81,0.4412316353790885,3.7393781303849836e-05
pos_dq_abs_highV_frac,capacity_mAh,81,0.44076332429990966,3.819524567366805e-05
shape_dVdt_sign_consistency,coulombic_efficiency_pct,81,0.439453477868112,4.0522623123080894e-05
pos_dq_abs_peak_voltage,particle_norm_mean,81,0.4317098063766126,5.7204677182271755e-05
neg_dqdv_abs_integral_proxy,capacity_mAh,81,0.4291779584462511,6.391549927319265e-05
shape_V_q90,coulombic_efficiency_pct,81,-0.42913387453546653,6.403856820132503e-05
neg_dq_abs_peak_voltage,coulombic_efficiency_pct,81,0.4244592672815898,7.841119202202441e-05
shape_dVdt_slope,particle_norm_mean,81,0.40167345118894027,0.00020185005384173904
shape_charge_mAh_pos,coulombic_efficiency_pct,81,-0.39853206865401986,0.0002287550902984929
neg_dq_abs_midV_frac,coulombic_efficiency_pct,81,0.3974480578139114,0.00023878014126805738
pos_dq_abs_peak_frac,capacity_mAh,81,-0.3937895212285456,0.0002756750184155082
all_dq_abs_peak_voltage,mean_abs_delta_prev,80,-0.3947120876396087,0.00029105440410635673
all_dq_abs_peak_voltage,max_abs_delta_prev,80,-0.39397629012881924,0.00029944916443531744
all_dq_abs_total_mAh,particle_norm_mean,81,0.3865536729605024,0.00036450693660693606
pos_dqdv_abs_integral_proxy,capacity_mAh,81,-0.3864046973803071,0.0003665846568055676
shape_dIdt_slope,coulombic_efficiency_pct,81,-0.3841011743450768,0.00040012442386349337
neg_dq_abs_peak_frac,coulombic_efficiency_pct,81,0.3822944896115628,0.00042837241100488214
pos_dq_abs_entropy,capacity_mAh,81,0.3803297199638663,0.0004611560577239846
shape_V_q50,coulombic_efficiency_pct,81,-0.37137097997335033,0.0006417521249473832
all_dq_abs_lowV_frac,capacity_mAh,81,0.36585365853658536,0.0007829519820076522
all_dq_abs_lowV_frac,coulombic_efficiency_pct,81,-0.3642728093947606,0.0008283270177783507
all_dq_abs_highV_frac,coulombic_efficiency_pct,81,-0.34159891598915987,0.0018019996037256303
neg_dqdv_abs_integral_proxy,coulombic_efficiency_pct,81,0.34119241192411925,0.0018263459408537877
shape_charge_mAh_signed,capacity_mAh,81,0.33495934959349594,0.002238666947072294
shape_I_mean_mA,coulombic_efficiency_pct,81,-0.322289972899729,0.0033435417747722557
shape_I_neg_fraction,coulombic_efficiency_pct,81,0.322289972899729,0.0033435417747722557
shape_I_pos_fraction,coulombic_efficiency_pct,81,-0.322289972899729,0.0033435417747722557
all_dqdv_abs_integral_proxy,capacity_mAh,81,-0.3178861788617886,0.0038289120586841655
pos_dq_abs_peak_voltage,coulombic_efficiency_pct,81,-0.30780939393981543,0.00518288967012222
shape_V_q25,coulombic_efficiency_pct,81,-0.3049161264389294,0.005643049213046715
shape_dVdt_slope,coulombic_efficiency_pct,81,-0.29528003613369463,0.007446916913253285
shape_V_mean,coulombic_efficiency_pct,81,-0.29299909665763324,0.007941785303427217
neg_dq_abs_highV_frac,coulombic_efficiency_pct,81,-0.2853206865401987,0.009826321375547698
all_dq_abs_total_mAh,coulombic_efficiency_pct,81,-0.27820686540198736,0.011909851800450474
pos_dq_abs_total_mAh,particle_norm_mean,81,0.27596135931649923,0.012642783211368613
neg_dq_abs_entropy,coulombic_efficiency_pct,81,-0.27490966576332426,0.0129993129522331
shape_V_q75,coulombic_efficiency_pct,81,-0.27264668340596293,0.013796167351991883
echem_shape_duration_s,coulombic_efficiency_pct,81,-0.26434056007226736,0.017094344811414978
shape_charge_mAh_abs,coulombic_efficiency_pct,81,-0.26434056007226736,0.017094344811414978
all_dqdv_abs_integral_proxy,mean_abs_delta_prev,80,0.2579011832040488,0.020907350844098838
pos_dqdv_abs_integral_proxy,max_abs_delta_prev,80,0.2549116103860299,0.02249209700718404
neg_dq_abs_lowV_frac,capacity_mAh,81,-0.24887082204155372,0.02506496813188877
shape_V_max,mean_abs_delta_prev,80,-0.24991813751331696,0.025367395390061387
pos_dq_abs_peak_voltage,max_abs_delta_prev,80,-0.24438813349032742,0.028909782300150472
shape_I_mean_mA,particle_norm_mean,81,0.24009846487772507,0.03085111328152952
shape_I_neg_fraction,particle_norm_mean,81,-0.24009846487772507,0.03085111328152952
shape_I_pos_fraction,particle_norm_mean,81,0.24009846487772507,0.03085111328152952
shape_V_max,max_abs_delta_prev,80,-0.23792407443801286,0.033571165972683226
shape_dVdt_abs_p95,capacity_mAh,81,-0.233108813852032,0.03623178647883041
all_dq_abs_peak_voltage,capacity_mAh,81,0.23013724860549425,0.03874606999036297
shape_V_std,max_abs_delta_prev,80,-0.2280073187037051,0.04193737481638594
neg_dq_abs_lowV_frac,coulombic_efficiency_pct,81,-0.22233514001806684,0.046047220483502384
shape_V_std,mean_abs_delta_prev,80,-0.22324322107287395,0.04653370396443769
neg_dq_abs_peak_voltage,max_abs_delta_prev,80,0.22244394470168016,0.04734412408245462
pos_dqdv_abs_integral_proxy,mean_abs_delta_prev,80,0.22227040712059545,0.04752161016863164
all_dqdv_abs_integral_proxy,max_abs_delta_prev,80,0.2199646274346311,0.049932358732935556
shape_V_range,mean_abs_delta_prev,80,-0.21546806986136796,0.05492291237986758
pos_dq_abs_peak_voltage,mean_abs_delta_prev,80,-0.21408218895691095,0.0565407917803328
shape_V_q90,max_abs_delta_prev,80,-0.2138449139014752,0.05682164819529916
shape_V_q90,mean_abs_delta_prev,80,-0.21155697213975388,0.059588655237002235
neg_dq_abs_peak_voltage,mean_abs_delta_prev,80,0.21053058280061418,0.06086508145456813
neg_dq_abs_midV_frac,mean_abs_delta_prev,80,0.2103270647426221,0.06112079818839173
neg_dq_abs_highV_frac,mean_abs_delta_prev,80,-0.2085220846383945,0.06342711435850054
shape_dIdt_slope,mean_abs_delta_prev,80,-0.20791261083696702,0.0642216101577299
shape_dIdt_slope,max_abs_delta_prev,80,-0.2058214058992372,0.0670090974655764
neg_dq_abs_entropy,mean_abs_delta_prev,80,-0.20431437127853935,0.06907783346030165
shape_charge_mAh_neg_abs,mean_abs_delta_prev,80,-0.19993084816827236,0.07538893440142731
neg_dq_abs_highV_frac,max_abs_delta_prev,80,-0.19882724326968684,0.07704845333933466
neg_dq_abs_total_mAh,mean_abs_delta_prev,80,-0.19847748756486835,0.07758043961278265
pos_dq_abs_midV_frac,max_abs_delta_prev,80,0.19768339384475186,0.07879916771928878
pos_dq_abs_highV_frac,max_abs_delta_prev,80,-0.1968731671687563,0.08005834921843147
shape_V_q95,max_abs_delta_prev,80,-0.19376137020597495,0.0850441248211288
shape_V_q95,mean_abs_delta_prev,80,-0.19024173316294998,0.09097672289531493
shape_charge_mAh_signed,max_abs_delta_prev,80,-0.18663809783522353,0.09738422443046231
shape_I_mean_mA,capacity_mAh,81,0.18518518518518517,0.09790193040507969
shape_I_neg_fraction,capacity_mAh,81,-0.18518518518518517,0.09790193040507969
shape_I_pos_fraction,capacity_mAh,81,0.18518518518518517,0.09790193040507969
shape_charge_mAh_neg_abs,max_abs_delta_prev,80,-0.186006597631874,0.09854263807675517
neg_dq_abs_total_mAh,max_abs_delta_prev,80,-0.1850057293850559,0.10040068287303262
pos_dq_abs_lowV_frac,coulombic_efficiency_pct,81,-0.18326972158516425,0.10148556699149262
shape_charge_mAh_neg_abs,coulombic_efficiency_pct,81,-0.18048780487804877,0.10687172135584884
neg_dq_abs_total_mAh,coulombic_efficiency_pct,81,-0.17990063233965672,0.10803645729268287
all_dq_abs_highV_frac,mean_abs_delta_prev,80,-0.18083790927355342,0.10843390755905354
neg_dq_abs_entropy,max_abs_delta_prev,80,-0.1788098783333248,0.11251900131593703
shape_dVdt_abs_p95,coulombic_efficiency_pct,81,0.17716902195981313,0.11358500759009323
all_dq_abs_midV_frac,mean_abs_delta_prev,80,0.17715762516493355,0.11593428054505472
pos_dq_abs_midV_frac,mean_abs_delta_prev,80,0.1765950339636159,0.11711523705987513
all_dq_abs_highV_frac,max_abs_delta_prev,80,-0.1746753392661119,0.12121474313215691
shape_V_mean,mean_abs_delta_prev,80,-0.17449703760870203,0.12160102336584355
echem_shape_duration_s,mean_abs_delta_prev,80,-0.17371175405686276,0.1233135372022426
shape_charge_mAh_abs,mean_abs_delta_prev,80,-0.17371175405686276,0.1233135372022426
pos_dq_abs_highV_frac,mean_abs_delta_prev,80,-0.17317260415559999,0.12449994228641169
neg_dq_abs_midV_frac,max_abs_delta_prev,80,0.17075527196607432,0.12992688385783974
neg_dq_abs_peak_voltage,mean_delta_prev,80,-0.16918376110935054,0.13355034321640663
all_dq_abs_lowV_frac,mean_abs_delta_prev,80,-0.16701926289118776,0.13866592816923892
shape_V_mean,max_abs_delta_prev,80,-0.1663586007389805,0.140256452120402
shape_V_range,max_abs_delta_prev,80,-0.16291064709675193,0.14878134787856548
echem_shape_duration_s,max_abs_delta_prev,80,-0.16259342971523622,0.1495847231701967
shape_charge_mAh_abs,max_abs_delta_prev,80,-0.16259342971523622,0.1495847231701967
shape_charge_mAh_pos,mean_abs_delta_prev,80,-0.16149883672825802,0.1523817845017096
shape_V_q75,max_abs_delta_prev,80,-0.16087486801363607,0.15399360865298406
pos_dq_abs_entropy,mean_delta_prev,80,0.15925925925925927,0.1582260215128258
neg_dq_abs_lowV_frac,particle_norm_mean,81,0.15785996985329429,0.15927927009772333
all_dq_abs_entropy,max_abs_delta_prev,80,-0.15829207927355363,0.16080073717597376
shape_V_q75,mean_abs_delta_prev,80,-0.15827877897095266,0.16083635879150085
