transform,residual_feature,physics_feature,n,spearman_rho,spearman_p,abs_spearman_rho,residual_source_eta2,physics_source_eta2,residual_future16_auc,residual_future16_ap,residual_future16_direction,physics_future16_auc,physics_future16_ap,physics_future16_direction,target_aligned
raw,residual_energy_p95,mask_centroid_max_step_px,96,0.7821079761258817,5.121165664987581e-21,0.7821079761258817,0.7665131615608545,0.6948806403715535,0.4735243055555556,0.5557856936138543,lower_in_positive,0.5603298611111112,0.6176058980167888,higher_in_positive,False
raw,residual_energy_mean,mask_centroid_path_px,96,0.7697232772653283,5.0365292246301697e-20,0.7697232772653283,0.8096277079526524,0.7531927100689071,0.4813368055555555,0.5418099079705535,lower_in_positive,0.47265625,0.4962958017082447,lower_in_positive,True
raw,residual_energy_p95,mask_centroid_path_px,96,0.7672137818773739,7.866398439500304e-20,0.7672137818773739,0.7665131615608545,0.7531927100689071,0.4735243055555556,0.5557856936138543,lower_in_positive,0.47265625,0.4962958017082447,lower_in_positive,True
raw,residual_energy_mean,mask_centroid_max_step_px,96,0.7312126966901791,2.6977714389372335e-17,0.7312126966901791,0.8096277079526524,0.6948806403715535,0.4813368055555555,0.5418099079705535,lower_in_positive,0.5603298611111112,0.6176058980167888,higher_in_positive,False
raw,resdict_pc09_std,mask_centroid_max_step_px,96,0.7226532826912644,9.432505081176447e-17,0.7226532826912644,0.3825376478492777,0.6948806403715535,0.5308159722222222,0.602340306150046,higher_in_positive,0.5603298611111112,0.6176058980167888,higher_in_positive,True
raw,resdict_pc03_std,mask_centroid_max_step_px,96,0.6986842105263158,2.4810784107766422e-15,0.6986842105263158,0.4576790464904872,0.6948806403715535,0.5881076388888888,0.6508897161267444,higher_in_positive,0.5603298611111112,0.6176058980167888,higher_in_positive,True
raw,dictionary_recon_error_mse_mean,mask_centroid_path_px,96,0.6905046120455778,7.042668108838585e-15,0.6905046120455778,0.49841041280474396,0.7531927100689071,0.5516493055555557,0.5929317192026269,higher_in_positive,0.47265625,0.4962958017082447,lower_in_positive,False
raw,resdict_pc07_std,mask_centroid_max_step_px,96,0.6581389039609332,3.1862959974596614e-13,0.6581389039609332,0.6247446082416996,0.6948806403715535,0.5082465277777778,0.5842179870911632,lower_in_positive,0.5603298611111112,0.6176058980167888,higher_in_positive,False
raw,resdict_pc08_std,mask_centroid_max_step_px,96,0.6534861638632664,5.306440922417551e-13,0.6534861638632664,0.6291649152507811,0.6948806403715535,0.5525173611111112,0.5537535663328789,lower_in_positive,0.5603298611111112,0.6176058980167888,higher_in_positive,False
raw,dictionary_recon_energy_mean,mask_area_fraction_iqr,96,0.6460021234261453,1.1834228628369736e-12,0.6460021234261453,0.7844592374442761,0.4588899993031377,0.5308159722222223,0.5671750846964101,lower_in_positive,0.4874131944444445,0.5193475697411922,lower_in_positive,True
