transform,residual_feature,physics_feature,n,spearman_rho,spearman_p,abs_spearman_rho,residual_source_eta2,physics_source_eta2,residual_future16_auc,residual_future16_ap,residual_future16_direction,physics_future16_auc,physics_future16_ap,physics_future16_direction,target_aligned
raw,dictionary_recon_error_last_minus_first,mask_area_fraction_slope,96,-0.5848209441128596,3.935679717808318e-10,0.5848209441128596,0.27813154352209063,0.5196638754533984,0.5499131944444444,0.5258242263658097,higher_in_positive,0.48046875,0.4770668988982676,higher_in_positive,True
raw,resdict_pc02_slope,mask_area_fraction_median,96,0.5764458119309686,7.951209891158872e-10,0.5764458119309686,0.19870221659682255,0.31651562217274176,0.66796875,0.7194626371000175,higher_in_positive,0.607421875,0.6057461686537231,higher_in_positive,True
raw,dictionary_recon_error_mse_slope,mask_area_fraction_slope,96,-0.556945198046663,3.7949751786907585e-09,0.556945198046663,0.36093239680245054,0.5196638754533984,0.5559895833333333,0.5511395099249046,higher_in_positive,0.48046875,0.4770668988982676,higher_in_positive,True
raw,resdict_pc02_slope,mask_base_area_fraction,96,0.5500729138036212,6.429170206397972e-09,0.5500729138036212,0.19870221659682255,0.2433020504283421,0.66796875,0.7194626371000175,higher_in_positive,0.5952690972222222,0.6095188061691361,higher_in_positive,True
raw,dictionary_recon_error_mse_slope,masked_minus_background_mean_slope,96,0.5317824199674444,2.471609105657991e-08,0.5317824199674444,0.36093239680245054,0.6335286140459528,0.5559895833333333,0.5511395099249046,higher_in_positive,0.6901041666666666,0.6956991002779074,higher_in_positive,True
raw,dictionary_recon_error_last_minus_first,masked_minus_background_mean_slope,96,0.48605534454693433,5.160212072019927e-07,0.48605534454693433,0.27813154352209063,0.6335286140459528,0.5499131944444444,0.5258242263658097,higher_in_positive,0.6901041666666666,0.6956991002779074,higher_in_positive,True
raw,resdict_pc01_mean,mask_area_fraction_slope,96,0.38917525773195877,8.897589322688812e-05,0.38917525773195877,0.1871819646086245,0.5196638754533984,0.6684027777777777,0.6696796462489019,higher_in_positive,0.48046875,0.4770668988982676,higher_in_positive,True
raw,resdict_pc02_slope,front_radius_q80_median_px,96,-0.3854687051280648,0.00010517755711362934,0.3854687051280648,0.19870221659682255,0.15278402559104312,0.66796875,0.7194626371000175,higher_in_positive,0.5757378472222222,0.5376818359953068,lower_in_positive,False
raw,resdict_pc09_slope,mask_area_fraction_median,96,-0.37489190141018136,0.00016770122897488514,0.37489190141018136,0.14957006570799145,0.31651562217274176,0.6527777777777778,0.673614835757878,lower_in_positive,0.607421875,0.6057461686537231,higher_in_positive,False
raw,resdict_pc09_slope,masked_minus_background_mean_slope,96,-0.3712967986977754,0.0001958148597334576,0.3712967986977754,0.14957006570799145,0.6335286140459528,0.6527777777777778,0.673614835757878,lower_in_positive,0.6901041666666666,0.6956991002779074,higher_in_positive,False
raw,dictionary_recon_error_mse_slope,masked_minus_background_mean_median,96,0.37090341833966356,0.00019914219948623132,0.37090341833966356,0.36093239680245054,0.42699180880559934,0.5559895833333333,0.5511395099249046,higher_in_positive,0.5347222222222222,0.5519793580050363,lower_in_positive,False
raw,resdict_pc02_slope,masked_minus_background_mean_slope,96,0.33766956049918606,0.0007667489865769171,0.33766956049918606,0.19870221659682255,0.6335286140459528,0.66796875,0.7194626371000175,higher_in_positive,0.6901041666666666,0.6956991002779074,higher_in_positive,True
raw,resdict_pc09_slope,mask_base_area_fraction,96,-0.30678604148275695,0.002364454231755816,0.30678604148275695,0.14957006570799145,0.2433020504283421,0.6527777777777778,0.673614835757878,lower_in_positive,0.5952690972222222,0.6095188061691361,higher_in_positive,False
raw,resdict_pc09_slope,mask_centroid_path_px,96,-0.2957677699403147,0.00343665540186491,0.2957677699403147,0.14957006570799145,0.7531927100689071,0.6527777777777778,0.673614835757878,lower_in_positive,0.47265625,0.4962958017082447,lower_in_positive,True
raw,resdict_pc09_slope,front_radius_q60_median_px,96,0.29290683165620246,0.0037783379549349515,0.29290683165620246,0.14957006570799145,0.15635567933160932,0.6527777777777778,0.673614835757878,lower_in_positive,0.578342013888889,0.5347890099662073,lower_in_positive,True
raw,resdict_pc09_slope,front_gradient_peak_radius_median_px,96,-0.2891155023277269,0.004277824873020996,0.2891155023277269,0.14957006570799145,0.2147865873417065,0.6527777777777778,0.673614835757878,lower_in_positive,0.5635850694444444,0.5495969627661449,higher_in_positive,False
raw,resdict_pc09_slope,front_radius_q80_median_px,96,0.2873449978730631,0.004530641489412645,0.2873449978730631,0.14957006570799145,0.15278402559104312,0.6527777777777778,0.673614835757878,lower_in_positive,0.5757378472222222,0.5376818359953068,lower_in_positive,True
raw,dictionary_recon_error_last_minus_first,masked_minus_background_mean_median,96,0.27832338578404775,0.006037186631329104,0.27832338578404775,0.27813154352209063,0.42699180880559934,0.5499131944444444,0.5258242263658097,higher_in_positive,0.5347222222222222,0.5519793580050363,lower_in_positive,False
raw,resdict_pc02_slope,front_radius_q70_median_px,96,-0.2711705481697378,0.007531476236571086,0.2711705481697378,0.19870221659682255,0.15489097275022762,0.66796875,0.7194626371000175,higher_in_positive,0.4188368055555556,0.44337062016617745,higher_in_positive,True
raw,dictionary_recon_error_mse_slope,front_gradient_peak_radius_median_px,96,0.2698859723827428,0.007831942458706132,0.2698859723827428,0.36093239680245054,0.2147865873417065,0.5559895833333333,0.5511395099249046,higher_in_positive,0.5635850694444444,0.5495969627661449,higher_in_positive,True
