feature,coef
cycle_state_pc5,-0.2711125099975008
cycle_state_pc6,0.24463740959462346
frames_percentile,0.21439364166315772
delta_std_across_particles,0.15804489815464035
coulombic_efficiency_pct,-0.14160858604177912
max_abs_delta_prev,0.1130774330348108
axis_step,0.10411679171128646
cycle_state_pc4,-0.10244115036536589
capacity_mAh,-0.08954462935933613
cycle_state_pc7,0.07178864644847079
particle_norm_range,0.06099416553264831
cycle_state_pc2,-0.05872135568493758
cycle_state_pc3,0.043686400654162176
state_step_norm,0.027977158457839928
cycle_state_pc1,-0.0277686840069603
degradation_state_axis,0.027768684006960236
particle_norm_cv,-0.025522256998847814
cycle_state_pc8,-0.015395895283134479
mean_abs_delta_prev,-0.007828204213552249
