cycleNo,particle0,particle1,particle2,particle3,addrs,n_frames,particle0_norm,particle0_abrupt_drop,particle1_norm,particle1_abrupt_drop,particle2_norm,particle2_abrupt_drop,particle3_norm,particle3_abrupt_drop,particle0_norm_delta_prev,particle0_norm_abs_delta_prev,particle0_norm_rolling3_slope,particle0_norm_rolling5_mean,particle0_norm_rolling5_std,particle1_norm_delta_prev,particle1_norm_abs_delta_prev,particle1_norm_rolling3_slope,particle1_norm_rolling5_mean,particle1_norm_rolling5_std,particle2_norm_delta_prev,particle2_norm_abs_delta_prev,particle2_norm_rolling3_slope,particle2_norm_rolling5_mean,particle2_norm_rolling5_std,particle3_norm_delta_prev,particle3_norm_abs_delta_prev,particle3_norm_rolling3_slope,particle3_norm_rolling5_mean,particle3_norm_rolling5_std,particle_norm_mean,particle_norm_std,particle_norm_min,particle_norm_max,particle_norm_range,particle_norm_cv,mean_delta_prev,mean_abs_delta_prev,max_abs_delta_prev,delta_std_across_particles,drop_count,any_abrupt_drop,synchronized_drop_2plus,synchronized_drop_3plus,cycle_gap,frames_percentile,future_any_drop_within_4cycles,future_sync2_drop_within_4cycles,cycles_to_next_drop_within_4,future_any_drop_within_8cycles,future_sync2_drop_within_8cycles,cycles_to_next_drop_within_8,future_any_drop_within_16cycles,future_sync2_drop_within_16cycles,cycles_to_next_drop_within_16,charge_capacity_mAh,discharge_capacity_mAh,capacity_mAh,coulombic_efficiency_pct,V_min,V_max,n_points,echem_shape_points,echem_shape_duration_s,shape_V_min,shape_V_max,shape_V_range,shape_V_mean,shape_V_std,shape_I_mean_mA,shape_I_abs_mean_mA,shape_I_pos_fraction,shape_I_neg_fraction,shape_charge_mAh_signed,shape_charge_mAh_abs,shape_charge_mAh_pos,shape_charge_mAh_neg_abs,shape_dVdt_slope,shape_dIdt_slope,shape_V_q05,shape_I_q05,shape_V_q10,shape_I_q10,shape_V_q25,shape_I_q25,shape_V_q50,shape_I_q50,shape_V_q75,shape_I_q75,shape_V_q90,shape_I_q90,shape_V_q95,shape_I_q95,shape_dVdt_abs_median,shape_dVdt_abs_p95,shape_dVdt_sign_consistency,all_dq_abs_total_mAh,all_dq_abs_lowV_frac,all_dq_abs_midV_frac,all_dq_abs_highV_frac,all_dq_abs_peak_voltage,all_dq_abs_peak_frac,all_dq_abs_entropy,all_dqdv_abs_integral_proxy,pos_dq_abs_total_mAh,pos_dq_abs_lowV_frac,pos_dq_abs_midV_frac,pos_dq_abs_highV_frac,pos_dq_abs_peak_voltage,pos_dq_abs_peak_frac,pos_dq_abs_entropy,pos_dqdv_abs_integral_proxy,neg_dq_abs_total_mAh,neg_dq_abs_lowV_frac,neg_dq_abs_midV_frac,neg_dq_abs_highV_frac,neg_dq_abs_peak_voltage,neg_dq_abs_peak_frac,neg_dq_abs_entropy,neg_dqdv_abs_integral_proxy,shape_block_mode,shape_block_nunique,cycle_state_pc1,cycle_state_pc2,cycle_state_pc3,cycle_state_pc4,cycle_state_pc5,cycle_state_pc6,cycle_state_pc7,cycle_state_pc8,degradation_state_axis,degradation_axis_oriented_to,cycle_state_cluster,state_step_norm,axis_step,transferred_masked_residual_signature
150,431,164,295,21,D://NMC_degradation_3_160623_Halfthedata\17_c2_x10_HighHighCOV_150723chopped\17_c2_x10_HighHighCOV_150723_cycle4.hdf5,1237.0,1.2140845070422537,False,1.3442622950819672,False,1.209016393442623,False,1.1666666666666667,False,-0.0140845070422532,0.0140845070422532,-0.0028169014084504,1.2225352112676056,0.0097580327186924,-0.0245901639344263,0.0245901639344263,-0.0081967213114751,1.3508196721311476,0.0195694039119856,-0.0040983606557378,0.0040983606557378,0.0040983606557379,1.205737704918033,0.0067342937398127,0.0555555555555555,0.0555555555555555,0.0277777777777779,1.1,0.0464811125852265,1.2335074655583775,0.0768361646409199,1.1666666666666667,1.3442622950819672,0.1775956284153004,0.0622907982207778,0.0031956309807845,0.0245821467969932,0.0555555555555555,0.035895299528094,0,0,0,0,1.0,0.848314606741573,0,0,,1,0,6.0,1,0,6.0,0.8584703128022811,0.4018784230033991,0.4018784230033991,46.81331631510453,3.123126,4.61317,46319.0,46319.0,9058.40505361557,3.123126,4.61317,1.490044,4.038487277531898,0.1979068444001592,0.1813599045532072,0.500889,0.6810380189555042,0.3189619810444958,0.4567446607517465,1.2603487358056804,0.8585466982787135,0.4018020375269669,2.4622535348999058e-05,-0.0001442963766335,3.784081,-0.500889,3.81014,-0.500889,3.8737455,-0.500889,4.011284,0.500889,4.165519,0.500889,4.332495,0.500889,4.401216,0.500889,0.0,0.0069057127222195,0.0048793125782633,1.045513831881809,0.0006435721698321,0.4871972093302296,0.5121592184999383,3.875,0.1424213037365856,2.337038577507103,0.7016664151406324,0.6458227632418009,0.0010418703763183,0.5407731274274813,0.4581850021962,3.875,0.1514833705949633,2.35915040573348,0.4334252969991495,0.3996910686400138,0.0,0.4006289815574151,0.5993710184425848,4.074999999999999,0.1472575159638595,2.213682148283206,0.5492185705707542,galvanostatic_8,2.0,6.674485392649005,25.30493760374338,6.376941956464427,12.525776018285008,2.354396263857907,-2.365434171455429,-2.231735703056256,-1.6349489050368562,-6.674485392649005,mean_abs_delta_prev,2,29.647137869789937,3.404189967878925,40.971861830039266
146,431,161,292,19,D://NMC_degradation_3_160623_Halfthedata\17_c2_x10_HighHighCOV_150723chopped\17_c2_x10_HighHighCOV_150723_cycle0.hdf5,1244.0,1.2140845070422537,False,1.319672131147541,False,1.1967213114754098,False,1.0555555555555556,False,-0.0028169014084504,0.0028169014084504,0.0042253521126762,1.1746478873239437,0.0517497832982353,-0.0245901639344261,0.0245901639344261,0.0040983606557376,1.2639344262295082,0.0848667482330798,-0.0081967213114753,0.0081967213114753,0.0102459016393445,1.1508196721311474,0.0586366425130465,-0.0555555555555555,0.0555555555555555,1.6113064868195182e-16,1.077777777777778,0.0304290309725098,1.19650837630519,0.1085448814964243,1.0555555555555556,1.319672131147541,0.2641165755919854,0.0907180289298184,-0.0227898355524768,0.0227898355524768,0.0555555555555555,0.0237255886556796,0,0,0,0,1.0,0.8876404494382022,0,0,,0,0,,1,0,10.0,0.893380532396876,0.8465362155334497,0.8465362155334497,94.75651022551988,2.999776,4.600042999999999,125050.0,125050.0,12505.166399240496,2.999776,4.600042999999999,1.6002669999999992,3.929626109148341,0.2675389265832479,0.0135226010715713,0.5008889999999999,0.5134986005597761,0.4865013994402239,0.0468836874268307,1.7399167479303257,0.8934002176785782,0.8465165302517474,-3.3690941076093833e-05,-0.0001200736858279,3.513444,-0.500889,3.591431,-0.500889,3.772112,-0.500889,3.912449,0.500889,4.112627,0.500889,4.29717,0.500889,4.377666,0.500889,0.0,0.0064250164479133,0.0168254044414589,1.5163361721007234,0.0793223220868035,0.5556618855994411,0.3650157923137554,3.825,0.1092314242037475,2.813372890238522,0.9475519848254847,0.6726302579222028,0.0,0.5351897357033911,0.464810264296609,3.825,0.1751275775170261,2.2400484148321085,0.7401195382572687,0.843705914178521,0.1425607006113675,0.5719829605538693,0.285456338834763,3.625,0.1022366638336519,2.893952681106602,0.5621509329551403,galvanostatic_0,2.0,8.366266876242605,-0.1363769546912965,0.9260319953602744,-0.7696791037275079,-0.8563593540862237,-0.0304898892917355,3.139483737292436,2.6772447977404767,-8.366266876242605,mean_abs_delta_prev,0,2.834328402176376,1.1268865572495717,3.21719464829548
156,385,131,263,21,D://NMC_degradation_3_160623_Halfthedata\18_c2_xN_HighHighCOV_170723chopped\18_c2_xN_HighHighCOV_170723_cycle0.hdf5,1246.0,1.0845070422535212,False,1.0737704918032789,True,1.0778688524590163,False,1.1666666666666667,False,-0.0929577464788731,0.0929577464788731,-0.0450704225352113,1.1611267605633802,0.0431547089318806,-0.2131147540983602,0.2131147540983602,-0.1065573770491798,1.2508196721311475,0.0999865618490282,-0.0778688524590165,0.0778688524590165,-0.0471311475409836,1.1442622950819674,0.0379402846263364,0.0555555555555555,0.0555555555555555,4.99753663869928e-17,1.1,0.0724355822800295,1.1007032632956208,0.0441975589780303,1.0737704918032789,1.1666666666666667,0.0928961748633878,0.040153927449709,-0.0820964493701735,0.1098742271479513,0.2131147540983602,0.1099237781138179,1,1,0,0,1.0,0.9101123595505618,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2859718258330584,1.2872442413850915,-1.2179521059108869,0.464169953755173,-0.7764069634048006,3.7418410206301713,4.431810919054059,-4.136721515914923,2.2859718258330584,mean_abs_delta_prev,1,6.385183479815459,1.7715416460695592,1.611586757942234
151,425,160,286,21,D://NMC_degradation_3_160623_Halfthedata\17_c2_x10_HighHighCOV_150723chopped\17_c2_x10_HighHighCOV_150723_cycle5.hdf5,1236.0,1.1971830985915493,False,1.3114754098360657,False,1.1721311475409837,False,1.1666666666666667,False,-0.0169014084507044,0.0169014084507044,-0.0154929577464788,1.2191549295774649,0.014958780898421,-0.0327868852459014,0.0327868852459014,-0.0286885245901638,1.3491803278688526,0.0228921967930608,-0.0368852459016393,0.0368852459016393,-0.0204918032786886,1.2008196721311477,0.0166476196816289,0.0,0.0,0.0277777777777778,1.1222222222222222,0.0464811125852262,1.2118640806588163,0.0677236057827246,1.1666666666666667,1.3114754098360657,0.1448087431693989,0.0558838296006821,-0.0216433848995613,0.0216433848995613,0.0368852459016393,0.016806887252231,0,0,0,0,1.0,0.8314606741573034,0,0,,1,0,5.0,1,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0135317125971764,2.3464881791734293,4.086857923824772,-2.871584320195113,-1.9148194408785904,3.052403051842983,1.3559719192612385,-0.97628568474423,0.0135317125971764,mean_abs_delta_prev,1,28.533194056224296,6.688017105246181,1.4388691546947752
152,419,157,281,19,D://NMC_degradation_3_160623_Halfthedata\17_c2_x10_HighHighCOV_150723chopped\17_c2_x10_HighHighCOV_150723_cycle6.hdf5,1235.0,1.180281690140845,False,1.286885245901639,False,1.151639344262295,False,1.0555555555555556,False,-0.0169014084507042,0.0169014084507042,-0.0169014084507041,1.2078873239436618,0.0191466427808045,-0.0245901639344265,0.0245901639344265,-0.0286885245901639,1.3344262295081966,0.0344847278163302,-0.0204918032786887,0.0204918032786887,-0.0286885245901639,1.189344262295082,0.0264653840835443,-0.1111111111111111,0.1111111111111111,-0.0555555555555554,1.1222222222222222,0.0464811125852262,1.1685904589650835,0.0952095429062279,1.0555555555555556,1.286885245901639,0.2313296903460835,0.0814738321503553,-0.0432736216937326,0.0432736216937326,0.1111111111111111,0.0453339513901318,0,0,0,0,1.0,0.8202247191011236,1,0,4.0,1,0,4.0,1,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5622501690765456,2.070677823110428,2.698360771950492,-2.2542861031699952,-1.9090813746906856,3.437667732657792,1.3850766666787149,-1.7301559675079143,0.5622501690765456,mean_abs_delta_prev,1,1.6389462244070354,0.5487184564793691,1.1876601241161993
154,417,157,286,21,D://NMC_degradation_3_160623_Halfthedata\17_c2_x10_HighHighCOV_150723chopped\17_c2_x10_HighHighCOV_150723_cycle8.hdf5,1228.0,1.1746478873239437,False,1.286885245901639,False,1.1721311475409837,False,1.1666666666666667,False,-0.0140845070422535,0.0140845070422535,-0.0028169014084505,1.1909859154929578,0.015480148353838,-0.0327868852459019,0.0327868852459019,2.0808378140129238e-16,1.3098360655737704,0.0241768544323785,0.0081967213114755,0.0081967213114755,0.0102459016393445,1.1737704918032787,0.0214136893075601,0.1666666666666667,0.1666666666666667,0.0555555555555558,1.1111111111111112,0.0785674201318386,1.2000827368583082,0.0579641620298565,1.1666666666666667,1.286885245901639,0.1202185792349723,0.048300138190139,0.0319979989224967,0.0554336950665744,0.1666666666666667,0.0913287641082308,0,0,0,0,1.0,0.7921348314606742,1,0,2.0,1,0,2.0,1,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5817194979377159,1.921769764976593,3.888394377835808,-2.481391749307892,0.5413831099283746,3.838557067922253,1.9712480047493317,-1.31458950333947,0.5817194979377159,mean_abs_delta_prev,1,0.5547306155173712,0.2614759978057061,1.0097002411185476
153,422,161,284,18,D://NMC_degradation_3_160623_Halfthedata\17_c2_x10_HighHighCOV_150723chopped\17_c2_x10_HighHighCOV_150723_cycle7.hdf5,1231.0,1.1887323943661972,False,1.319672131147541,False,1.1639344262295082,False,1.0,False,0.0084507042253521,0.0084507042253521,-0.0042253521126761,1.2016901408450704,0.0193732381566727,0.0327868852459019,0.0327868852459019,0.0040983606557376,1.3262295081967213,0.0314267041191467,0.0122950819672131,0.0122950819672131,-0.0040983606557375,1.181967213114754,0.0275841289679719,-0.0555555555555555,0.0555555555555555,-0.0833333333333332,1.1,0.0724355822800295,1.1680847379358117,0.1312437525002043,1.0,1.319672131147541,0.319672131147541,0.1123580749219723,-0.000505721029272,0.0272720567485056,0.0555555555555555,0.0382228553994484,0,0,0,0,1.0,0.8089887640449438,1,0,3.0,1,0,3.0,1,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3202435001320098,1.7830453363427,3.429507553161454,-2.383745584998787,-1.2610196342529725,3.321178291234018,-0.0584170269542658,-0.928990952207358,0.3202435001320098,mean_abs_delta_prev,1,0.8322469875994432,-0.2420066689445357,0.8710369083836372
40,341,116,220,20,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle5.hdf5,927.0,0.9605633802816902,False,0.9508196721311476,False,0.9016393442622952,False,1.1111111111111112,False,-0.0619718309859154,0.0619718309859154,-0.0690140845070421,1.0608450704225354,0.0680326887368018,-0.081967213114754,0.081967213114754,-0.0737704918032787,1.0557377049180328,0.0654199014401145,-0.0696721311475407,0.0696721311475407,-0.0758196721311473,1.0098360655737706,0.0723682763931179,0.1666666666666667,0.1666666666666667,0.0833333333333335,0.9888888888888888,0.0724355822800294,0.981033376946561,0.0904719442210058,0.9016393442622952,1.1111111111111112,0.2094717668488159,0.0922210664254842,-0.0117361271453858,0.0950694604787192,0.1666666666666667,0.1192199211212534,0,0,0,0,2.0,0.4662921348314606,0,0,,0,0,,0,0,,0.65414076302676,0.6456776883909884,0.6456776883909884,98.70623035375256,2.999969,4.201423999999999,55703.0,55703.0,9342.082627296457,2.999969,4.201423999999999,1.2014549999999993,3.825958122722295,0.1890908953675941,0.020457111376407,0.500889,0.5204208031883382,0.4795791968116618,0.0085396034840414,1.2998184514177484,0.6541790274508948,0.6456394239668535,-3.422495830625256e-05,-0.0001596746925778,3.528887,-0.500889,3.600117,-0.500889,3.711113,-0.500889,3.828093,0.500889,3.951829,0.500889,4.077302,0.500889,4.12807,0.500889,0.0,0.0064267992303888,0.0105382212487881,1.2997419225694666,0.0616573948463905,0.6783262732865363,0.2600163318670731,3.825,0.1267334218901282,2.6979478692179977,1.0818065783316624,0.6541407630267585,0.0018632515196976,0.6066725517182799,0.3914641967620225,3.825,0.1834420452411126,2.260353429970942,0.5920163439424682,0.6456011595427158,0.1222424572523479,0.7509277849281293,0.1268297578195227,3.675,0.1461408080593706,2.6618860888199287,0.5705327433090803,galvanostatic_10,2.0,-5.235546508470637,0.7079144140698478,-2.9138150929442337,2.6445315082354424,-0.0333566131815427,3.097695539370263,0.3151817791020266,-0.7506319857582023,5.235546508470637,mean_abs_delta_prev,1,3.0569007235031207,0.7365967282812473,0.7842017555889671
148,433,166,293,20,D://NMC_degradation_3_160623_Halfthedata\17_c2_x10_HighHighCOV_150723chopped\17_c2_x10_HighHighCOV_150723_cycle2.hdf5,1240.0,1.2197183098591549,False,1.360655737704918,False,1.2008196721311477,False,1.1111111111111112,False,-0.0169014084507042,0.0169014084507042,0.0028169014084505,1.2185915492957746,0.0113727488665793,0.0,0.0,0.0204918032786886,1.339344262295082,0.0228921967930608,-0.0081967213114753,0.0081967213114753,0.002049180327869,1.1975409836065574,0.0127642717232738,0.0555555555555555,0.0555555555555555,0.0277777777777778,1.077777777777778,0.0304290309725098,1.2230762077015829,0.103232647910711,1.1111111111111112,1.360655737704918,0.2495446265938068,0.0844041011186922,0.007614356448344,0.0201634213294337,0.0555555555555555,0.0326973490488765,0,0,0,0,1.0,0.8764044943820225,0,0,,1,0,8.0,1,0,8.0,0.863547523728956,0.8459858724847423,0.8459858724847423,97.966336448007,2.983947,4.603132,77395.0,77395.0,12286.794532060623,2.983947,4.603132,1.6191849999999994,3.931696596162544,0.2650013358355272,0.0379833004845274,0.500889,0.5379158860391499,0.4620841139608502,0.017673650590278,1.7095333962136985,0.8636035234019881,0.8459298728117101,-3.018700971082642e-05,-0.0001220878848863,3.516919,-0.500889,3.598187,-0.500889,3.76304,-0.500889,3.91438,0.500889,4.113592,0.500889,4.296011,0.500889,4.371875,0.500889,0.0,0.0055139717041556,0.005064992118252,1.4963208156872088,0.0843256667094082,0.555467448419598,0.3602068848709938,3.875,0.0991153552909779,2.838852505121441,0.9241197365879804,0.6526646286472423,0.0017303847130584,0.5404280169635937,0.4578415983233479,3.875,0.1509990312285768,2.370090678064196,0.4374504037250263,0.8436561870399661,0.1482225714915552,0.567102170119133,0.2846752583893119,3.625,0.1002248919866532,2.9002787914793124,0.5549091900154347,galvanostatic_4,2.0,10.119787426502562,0.6075503518224842,1.5458788249172546,-1.975791138951648,-1.5021445452062954,1.151613642304112,-0.5750022976796635,-0.4918238750226916,-10.119787426502562,mean_abs_delta_prev,0,1.2155468832528935,0.0819156541861989,0.7480825471472065
155,418,157,282,20,D://NMC_degradation_3_160623_Halfthedata\17_c2_x10_HighHighCOV_150723chopped\17_c2_x10_HighHighCOV_150723_cycle9.hdf5,1228.0,1.1774647887323944,False,1.286885245901639,False,1.1557377049180328,False,1.1111111111111112,False,0.0028169014084507,0.0028169014084507,-0.0056338028169013,1.1836619718309858,0.0092143252021333,0.0,0.0,-0.0163934426229508,1.2983606557377048,0.0159783513849284,-0.0163934426229508,0.0163934426229508,-0.0040983606557374,1.1631147540983606,0.0093457002057246,-0.0555555555555555,0.0555555555555555,0.0555555555555557,1.1,0.0724355822800295,1.1827997126657943,0.0746857137132471,1.1111111111111112,1.286885245901639,0.1757741347905279,0.0631431618671266,-0.0172830241925139,0.0186914748967392,0.0555555555555555,0.026884245366058,0,0,0,0,1.0,0.7921348314606742,1,0,1.0,1,0,1.0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.514430179763499,2.0547761846604518,3.969131166368204,-2.7197380395203568,-1.6902454696126932,2.726919665525729,0.6262630812757328,-0.4387029934746184,0.514430179763499,mean_abs_delta_prev,1,0.2924823808335112,-0.0672893181742169,0.7426923860413742
