scenario,n_rows,n_roi,n_sources,median_dt_max_to_median,median_roi_elapsed_to_h5,median_D_um2_per_s,median_abs_D_um2_per_s,positive_D_fraction,future8_median_positive_minus_negative,future8_mannwhitney_p,future8_abs_oriented_auc,test_status
all_q70_rows,72,72,9,13.755103684869571,1.0015865878588945,4.3220445950440535e-08,2.5974263989097762e-06,0.5138888888888888,-6.333555643354226e-07,0.17474756355189647,0.5933641975308642,ok
strict_h5_timebase_sources,24,24,5,1.1395036320715501,1.0008553345293345,9.619435978981394e-08,1.4809627388576812e-06,0.5,1.1589981949800953e-07,0.8398599725400034,0.5277777777777778,ok
pause_heavy_sources,48,48,4,13.75745087739935,1.0016278898386979,4.3220445950440535e-08,3.286319665115409e-06,0.5208333333333334,-1.7137062871645817e-06,0.07790381462085116,0.6493055555555556,ok
roi_elapsed_h5_aligned,72,72,9,13.755103684869571,1.0015865878588945,4.3220445950440535e-08,2.5974263989097762e-06,0.5138888888888888,-6.333555643354226e-07,0.17474756355189647,0.5933641975308642,ok
strict_source_and_roi_aligned,24,24,5,1.1395036320715501,1.0008553345293345,9.619435978981394e-08,1.4809627388576812e-06,0.5,1.1589981949800953e-07,0.8398599725400034,0.5277777777777778,ok
