roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,degradation_mode_hypothesis,threshold_quantile,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_delta_px2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_diffusion_proxy_um2_per_s,interface_density_delta,interface_density_slope_per_s,interface_density_slope_r2,centroid_path_px,centroid_net_px,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,first_frame_index,last_frame_index,timing_elapsed_s,transferred_masked_residual_signature,validation_score_recon,relative_path,sampled_timing_dt_median_s,sampled_timing_dt_min_s,sampled_timing_dt_max_s,sampled_timing_fps_median,sampled_timing_duration_s,movie_shape,camera_timing_shape,camera_timing_unit_inference,movie_n_frames,frame_span,frame_span_in_movie,h5_elapsed_median_s,h5_elapsed_min_s,h5_elapsed_max_s,roi_elapsed_to_h5_median_ratio,h5_dt_max_to_median_ratio,h5_dt_min_to_median_ratio,radius2_slope_h5_median_px2_per_s,radius2_slope_h5_min_dt_px2_per_s,radius2_slope_h5_max_dt_px2_per_s,apparent_D_h5median_px0p08_um2_per_s,apparent_D_h5median_px0p096_um2_per_s,apparent_D_h5median_px0p12_um2_per_s,apparent_D_reported_to_h5median_ratio,apparent_D_h5median_abs_um2_per_s,apparent_D_h5_fast_dt_px0p096_um2_per_s,apparent_D_h5_slow_dt_px0p096_um2_per_s,apparent_D_h5_timing_envelope_abs_min_um2_per_s,apparent_D_h5_timing_envelope_abs_max_um2_per_s,h5_dt_median_s,h5_dt_min_s,h5_dt_max_s,source_strict_timebase,roi_h5_elapsed_aligned,timebase_gate,automatic_diffusion_physics_consistent,publication_ready_diffusion_candidate,gate_h5_timing_stable,gate_q70_positive_ci,gate_fit_quality,gate_positive_expansion,physics_consistency_score,median_radius2_fit_r2,positive_D_fraction
cycle40_rank2_obj3,40.0,future8_negative,0,40.0,,0.7,0.0775967843830585,0.292840023966447,0.2901437986818454,-0.0026962252846015,1.2572894658880078e-06,0.0129997931216777,18.962658262110835,0.0011306406741123,0.2900129998542643,2.604996113154949e-06,-0.0008987417615338,7.26958308398802e-08,0.0017211326197756,22.61605188393202,0.5737425033661222,5_c2_x10_260623,0,0,0,4639,5566,9322.243530232,0.7842017555889671,26.16938597041552,NMC_degradation_3_160623_Halfthedata/5_c2_x10_260623.hdf5,10.03889363631606,8.907752603292465,138.3688085116446,0.0996125704910811,93391.27845935152,"(9279, 1200, 1920)","(2, 9279)",ns_to_s,9279.0,927,True,9306.054400864989,8257.486663252115,128267.88549029456,1.0017396340779512,13.783272691633115,0.8873241341125828,0.0020376689674571,0.0022964200894806,0.0001478363675336,3.2602703479314767e-06,4.694789301021326e-06,7.335608282845821e-06,0.5548696535940912,4.694789301021326e-06,5.290951886163456e-06,3.406149907975928e-07,3.406149907975928e-07,5.290951886163456e-06,10.03889363631606,8.907752603292465,138.3688085116446,False,True,False,False,False,False,False,False,False,2.488433379577865,0.0796682032806942,0.7142857142857143
cycle40_rank2_obj1,40.0,future8_negative,0,40.0,,0.7,0.101794509589672,0.292840023966447,0.2980826842420611,0.0052426602756141,1.8999294020920248e-06,0.0340673290892035,19.188253286894792,0.0015438734417056,0.0534514529594678,3.5570844096899108e-06,0.0044937088076692,4.702804845445558e-07,0.036755160697194,22.04918697988688,0.2481213905109635,5_c2_x10_260623,0,0,0,4639,5566,9322.243530232,0.7842017555889671,25.31408396943277,NMC_degradation_3_160623_Halfthedata/5_c2_x10_260623.hdf5,10.03889363631606,8.907752603292465,138.3688085116446,0.0996125704910811,93391.27845935152,"(9279, 1200, 1920)","(2, 9279)",ns_to_s,9279.0,927,True,9306.054400864989,8257.486663252115,128267.88549029456,1.0017396340779512,13.783272691633115,0.8873241341125828,0.002061910715363,0.002323740148717,0.000149595147792,3.299057144580847e-06,4.75064228819642e-06,7.422878575306906e-06,0.7487586296547613,4.75064228819642e-06,5.353897302644157e-06,3.4466722051289095e-07,3.4466722051289095e-07,5.353897302644157e-06,10.03889363631606,8.907752603292465,138.3688085116446,False,True,False,False,False,False,False,False,True,2.683084668588364,0.0802654242840514,1.0
cycle40_rank2_obj2,40.0,future8_negative,0,40.0,,0.7,0.0743608050048351,0.2944877171959257,0.2982324745356501,0.0037447573397244,9.600876407879318e-07,0.0123584665254713,14.451643279804898,-0.0006508661074446,0.0533267825872274,-1.499595511552432e-06,0.0014979029358897,1.7673322020627233e-08,0.0001726935907022,21.93800233759656,0.3345363082634809,5_c2_x10_260623,0,0,0,4639,5566,9322.243530232,0.7842017555889671,24.798367448484505,NMC_degradation_3_160623_Halfthedata/5_c2_x10_260623.hdf5,10.03889363631606,8.907752603292465,138.3688085116446,0.0996125704910811,93391.27845935152,"(9279, 1200, 1920)","(2, 9279)",ns_to_s,9279.0,927,True,9306.054400864989,8257.486663252115,128267.88549029456,1.0017396340779512,13.783272691633115,0.8873241341125828,0.0015529291638851,0.0017501261423912,0.000112667665991,2.4846866622162253e-06,3.577948793591364e-06,5.590544989986506e-06,-0.4191215688269294,3.577948793591364e-06,4.032290632069518e-06,2.595863024434896e-07,2.595863024434896e-07,4.032290632069518e-06,10.03889363631606,8.907752603292465,138.3688085116446,False,True,False,False,False,False,False,False,True,2.981694986502762,0.0533267825872274,1.0
cycle44_rank4_obj1,44.0,future8_negative,0,44.0,,0.7,0.1020411558449268,0.2881965248651887,0.2837028160575194,-0.0044937088076693,6.12372319046642e-07,0.0047213521834681,-9.894041145361143,-0.0004972813733412,0.0589683802036807,-1.1457362841783354e-06,-0.0011983223487118,-5.427406190241511e-09,4.013095932231536e-06,22.71655897953327,0.2442912501179361,5_c2_x10_260623,0,1,0,8351,9278,9321.254368328,0.6286054582853854,27.21840723515396,NMC_degradation_3_160623_Halfthedata/5_c2_x10_260623.hdf5,10.03889363631606,8.907752603292465,138.3688085116446,0.0996125704910811,93391.27845935152,"(9279, 1200, 1920)","(2, 9279)",ns_to_s,9279.0,927,True,9306.054400864989,8257.486663252115,128267.88549029456,1.001633341780336,13.783272691633115,0.8873241341125828,-0.0010631832481488,-0.0011981903875657,-7.713576245169942e-05,-1.7010931970380929e-06,-2.449574203734853e-06,-3.827459693335708e-06,0.4677287515648382,2.449574203734853e-06,-2.7606306529515103e-06,-1.7772079668871548e-07,1.7772079668871548e-07,2.7606306529515103e-06,10.03889363631606,8.907752603292465,138.3688085116446,False,True,False,False,False,False,False,False,False,1.614686845979438,0.0506788860338071,0.0
cycle44_rank4_obj3,44.0,future8_negative,0,44.0,,0.7,0.0774323180317878,0.2831036548831636,0.2822049131216297,-0.0008987417615338,4.3171854273111226e-07,0.0011251194045303,10.753523405115857,0.00047589033866,0.0340982922225862,1.0964513402728377e-06,0.0014979029358897,-1.3769009523836972e-07,0.0020246869068392,22.144213359098824,0.0396408427823326,5_c2_x10_260623,0,1,0,8351,9278,9321.254368328,0.6286054582853854,26.52636345001568,NMC_degradation_3_160623_Halfthedata/5_c2_x10_260623.hdf5,10.03889363631606,8.907752603292465,138.3688085116446,0.0996125704910811,93391.27845935152,"(9279, 1200, 1920)","(2, 9279)",ns_to_s,9279.0,927,True,9306.054400864989,8257.486663252115,128267.88549029456,1.001633341780336,13.783272691633115,0.8873241341125828,0.0011555405698161,0.0013022756007553,8.383644404841715e-05,1.8488649117058811e-06,2.662365472856469e-06,4.159946051338233e-06,0.411833518520073,2.662365472856469e-06,3.000442984140304e-06,1.9315916708755312e-07,1.9315916708755312e-07,3.000442984140304e-06,10.03889363631606,8.907752603292465,138.3688085116446,False,True,False,False,False,False,False,False,True,2.6275524744055465,0.0106542828684766,0.8571428571428571
cycle44_rank4_obj2,44.0,future8_negative,0,44.0,,0.7,0.0762523889541626,0.2887956860395446,0.2855002995805872,-0.0032953864589574,-6.505535778037609e-07,0.0097239313290954,-1.3962405245719085,-0.0014218980010704,0.1717206801015208,-3.276052994466323e-06,-0.0053924505692031,-4.817746591381194e-07,0.0282526634548784,26.46659707520385,0.2641051117584274,5_c2_x10_260623,0,1,0,8351,9278,9321.254368328,0.6286054582853854,24.701245784994107,NMC_degradation_3_160623_Halfthedata/5_c2_x10_260623.hdf5,10.03889363631606,8.907752603292465,138.3688085116446,0.0996125704910811,93391.27845935152,"(9279, 1200, 1920)","(2, 9279)",ns_to_s,9279.0,927,True,9306.054400864989,8257.486663252115,128267.88549029456,1.001633341780336,13.783272691633115,0.8873241341125828,-0.0001500357148612,-0.0001690878328372,-1.08853476397064e-05,-2.400571437780772e-07,-3.456822870404311e-07,-5.401285735006736e-07,9.477063527073792,3.456822870404311e-07,-3.895783668570557e-07,-2.5079840961883543e-08,2.5079840961883543e-08,3.895783668570557e-07,10.03889363631606,8.907752603292465,138.3688085116446,False,True,False,False,False,False,False,False,False,1.804229327452707,0.0847771462339661,0.0
cycle76_rank8_obj1,76.0,future8_negative,0,76.0,,0.7,0.0768842443823814,0.2934391851408028,0.2923906530856801,-0.0010485320551227,4.0652614132580106e-07,0.0034075505795921,5.073596327165888,-0.0014639828054539,0.1729578868966745,-3.3730163837659693e-06,0.0008987417615338,-2.299343724597616e-07,0.0303225027106814,19.40877077114789,0.3459751772217259,9_c2_x10_010723,0,1,0,909,1818,9131.576459066,0.2739127589669339,26.288093847288607,NMC_degradation_3_160623_Halfthedata/9_c2_x10_010723.hdf5,10.038895670324564,8.624965902417898,11.405692629516125,0.0996125503083019,91456.47103865072,"(9096, 1200, 1920)","(2, 9096)",ns_to_s,9096.0,909,True,9125.356164325029,7840.094005297869,10367.774600230156,1.0006816495300523,1.1361501308587034,0.8591548498619916,0.0005559888552077,0.0006471346292196,0.0004893621363116,8.895821683323704e-07,1.2809983223986132e-06,2.001559878747833e-06,-2.63311537945666,1.2809983223986132e-06,1.4909981857221476e-06,1.1274903620619518e-06,1.1274903620619518e-06,1.4909981857221476e-06,10.038895670324564,8.624965902417898,11.405692629516125,True,True,True,False,False,True,False,False,False,3.459823286954933,0.1816564312692125,0.5714285714285714
cycle76_rank8_obj3,76.0,future8_negative,0,76.0,,0.7,0.0970866903662681,0.2889454763331336,0.2913421210305572,0.0023966446974236,7.467722145351732e-07,0.0072796385644077,1.0018169436592643,0.0003905342539447,0.0047021261638116,8.997909210886433e-07,0.0008987417615338,1.250166964194812e-07,0.0019121089832513,22.384711375474925,0.4165102257928855,9_c2_x10_010723,0,1,0,909,1818,9131.576459066,0.2739127589669339,25.981851806001654,NMC_degradation_3_160623_Halfthedata/9_c2_x10_010723.hdf5,10.038895670324564,8.624965902417898,11.405692629516125,0.0996125503083019,91456.47103865072,"(9096, 1200, 1920)","(2, 9096)",ns_to_s,9096.0,909,True,9125.356164325029,7840.094005297869,10367.774600230156,1.0006816495300523,1.1361501308587034,0.8591548498619916,0.0001097838731572,0.0001277812412685,9.662796330825177e-05,1.756541970516484e-07,2.529420437543737e-07,3.952219433662089e-07,3.557300746578968,2.529420437543737e-07,2.944079798827936e-07,2.226308274622121e-07,2.226308274622121e-07,2.944079798827936e-07,10.038895670324564,8.624965902417898,11.405692629516125,True,True,True,False,False,True,False,False,False,2.7219926384183557,0.0077069241326408,0.7142857142857143
cycle76_rank8_obj2,76.0,future8_negative,0,76.0,,0.7,0.0779114723205566,0.2917914919113241,0.2887956860395446,-0.0029958058717795,1.9647297989605382e-06,0.0244740400873676,-7.818466860361127,0.000277986135851,0.0168410174821206,6.404800570008565e-07,-0.0029958058717795,2.576218162535077e-07,0.014087990367821,21.53692387445518,0.1320299498365109,9_c2_x10_010723,0,1,0,909,1818,9131.576459066,0.2739127589669339,25.083032624261563,NMC_degradation_3_160623_Halfthedata/9_c2_x10_010723.hdf5,10.038895670324564,8.624965902417898,11.405692629516125,0.0996125503083019,91456.47103865072,"(9096, 1200, 1920)","(2, 9096)",ns_to_s,9096.0,909,True,9125.356164325029,7840.094005297869,10367.774600230156,1.0006816495300523,1.1361501308587034,0.8591548498619916,-0.000856784844292,-0.0009972414686708,-0.0007541123492583,-1.3708557508673516e-06,-1.9740322812489864e-06,-3.084425439451541e-06,-0.3244526764251391,1.9740322812489864e-06,-2.2976443438177424e-06,-1.7374748526913525e-06,1.7374748526913525e-06,2.2976443438177424e-06,10.038895670324564,8.624965902417898,11.405692629516125,True,True,True,False,False,True,False,False,False,3.087907604877313,0.0452487079887322,0.7142857142857143
cycle78_rank22_obj1,78.0,future8_positive,0,78.0,,0.7,0.0762487426400184,0.2916417016177351,0.2964349910125823,0.0047932893948471,9.234190026969704e-07,0.0167365629917152,-9.447580177378654,-0.0009601304070802,0.1590262920865164,-2.212140457912842e-06,0.0038945476333133,2.1482977530737749e-07,0.0151161347041289,21.02338107818681,0.5424813602790197,9_c2_x10_010723,1,1,0,2728,3637,9143.028396564,0.2683863942126585,24.74683509607009,NMC_degradation_3_160623_Halfthedata/9_c2_x10_010723.hdf5,10.038895670324564,8.624965902417898,11.405692629516125,0.0996125503083019,91456.47103865072,"(9096, 1200, 1920)","(2, 9096)",ns_to_s,9096.0,909,True,9125.356164325029,7840.094005297869,10367.774600230156,1.0019366073960003,1.1361501308587034,0.8591548498619916,-0.0010353108423661,-0.001205034043086,-0.0009112447503603,-1.6564973477858697e-06,-2.3853561808116523e-06,-3.727119032518207e-06,0.9273837071829368,2.3853561808116523e-06,-2.7763984352702176e-06,-2.099507904830146e-06,2.099507904830146e-06,2.7763984352702176e-06,10.038895670324564,8.624965902417898,11.405692629516125,True,True,True,False,False,True,False,False,False,2.876730112104714,0.1590262920865164,0.2857142857142857
