target,feature,direction,n,n_positive,oriented_auc,average_precision,median_positive_minus_negative,raw_source_eta2
clean_pre8_vs_post_control,masked_minus_background_mean_slope,higher_in_positive,84,32,0.796875,0.7485611143193457,0.0056373878590973495,0.5781004525786195
clean_pre8_vs_post_control,front_radius_q60_slope_px_per_norm_time,higher_in_positive,41,21,0.7,0.6725288586293996,0.2503221649484537,0.5424860083157899
clean_pre8_vs_post_control,mask_centroid_max_step_px,higher_in_positive,84,32,0.649639423076923,0.6637792042924955,0.056094182820635385,0.7553858029701687
clean_pre8_vs_post_control,temporal_energy_p95,higher_in_positive,84,32,0.6484375,0.6769071342168835,0.0019122272729874008,0.8374275676480234
clean_pre8_vs_post_control,temporal_energy_late_minus_early,higher_in_positive,84,32,0.6430288461538461,0.661495167839652,8.51494260132087e-05,0.28233130688118036
clean_pre8_vs_post_control,mask_area_fraction_iqr,higher_in_positive,84,32,0.6400240384615385,0.5288377568905553,0.0026177300347222003,0.3839107963796472
clean_pre8_vs_post_control,roi_norm_mean_positive_step_fraction,higher_in_positive,84,32,0.6373197115384615,0.5051178281318548,0.010526315789473717,0.12356133059905985
clean_pre8_vs_post_control,masked_minus_background_mean_median,higher_in_positive,84,32,0.6274038461538461,0.5214562236222127,0.0023195268586277684,0.43670484472087534
clean_pre8_vs_post_control,front_radius_q70_positive_step_fraction,higher_in_positive,84,32,0.6225961538461537,0.562704613095238,0.0210526315789473,0.36398625429553283
clean_pre8_vs_post_control,object_mean_abs_z,lower_in_positive,84,32,0.6177884615384617,0.4615446085551368,-2.370538711547848,0.24062877316727443
clean_pre8_vs_post_control,object_x_full_approx,higher_in_positive,84,32,0.6147836538461539,0.47993164820569956,21.513788819875572,0.2701791145026204
clean_pre8_vs_post_control,object_area_ds_px,higher_in_positive,84,32,0.6111778846153845,0.42013813952354767,17.5,0.10986075143354154
clean_pre8_vs_post_control,mask_area_fraction_slope,lower_in_positive,84,32,0.6027644230769231,0.4776874900786505,-0.00563211867080095,0.3709568317727134
clean_pre8_vs_post_control,persistence_mse_late_mean,higher_in_positive,84,32,0.6015624999999999,0.6166358157253672,1.3152675819583237e-05,0.6646846224893732
clean_pre8_vs_post_control,object_mean_residual,lower_in_positive,84,32,0.5979567307692307,0.4289057964366551,-972.70849609375,0.17496062687710975
