target,feature,direction,n,n_positive,oriented_auc,average_precision,median_positive_minus_negative,raw_source_eta2
clean_pre8_vs_post_control,front_radius_q60_delta_px,higher_in_positive,84,32,0.5964543269230769,0.4720139486517499,0.0,0.19692374664441703
clean_pre8_vs_post_control,velocity_minus_persistence_mse,higher_in_positive,84,32,0.5895432692307692,0.58512178641983,1.9065228116299987e-05,0.7970380411936366
clean_pre8_vs_post_control,velocity_mse_mean,higher_in_positive,84,32,0.5889423076923077,0.5871737432911249,3.497069701555001e-05,0.783022062622364
clean_pre8_vs_post_control,persistence_mse_mean,higher_in_positive,84,32,0.5859375,0.589174563812623,8.773502486292273e-06,0.7541982340374828
clean_pre8_vs_post_control,roi_norm_mean_late_minus_early,higher_in_positive,84,32,0.576923076923077,0.529272529150573,4.605545351904993e-05,0.5985554655138969
clean_pre8_vs_post_control,mask_centroid_path_px,higher_in_positive,84,32,0.5763221153846154,0.6086502680277318,0.2193615226231369,0.7648575103265738
clean_pre8_vs_post_control,temporal_energy_mean,higher_in_positive,84,32,0.5721153846153846,0.5723277473997161,0.0006363489665091489,0.7281690036904103
clean_pre8_vs_post_control,roi_norm_mean_delta_last_minus_first,lower_in_positive,84,32,0.5715144230769231,0.424801462734601,-9.015575051307177e-05,0.41398376879987014
clean_pre8_vs_post_control,roi_norm_mean_last,lower_in_positive,84,32,0.5709134615384616,0.45107277780072824,-0.005393818020820659,0.19923670283826445
near_pre_vs_far_pre,masked_minus_background_mean_slope,higher_in_positive,54,32,0.734375,0.8154888837005645,0.0035926103327883997,0.5781004525786195
near_pre_vs_far_pre,masked_minus_background_mean_median,higher_in_positive,54,32,0.7102272727272728,0.8168283318839566,0.0032617291435599327,0.43670484472087534
near_pre_vs_far_pre,object_y_full_approx,higher_in_positive,54,32,0.65625,0.7707426472938987,48.80673163082437,0.1767898202994347
near_pre_vs_far_pre,roi_norm_mean_late_minus_early,higher_in_positive,54,32,0.6477272727272727,0.7247435797997485,0.00041874350669485,0.5985554655138969
near_pre_vs_far_pre,raw_roi_mean_delta_last_minus_first,lower_in_positive,54,32,0.6420454545454546,0.6540162095582375,-3.22265625,0.4591139102176846
near_pre_vs_far_pre,roi_mean_delta_last_minus_first,lower_in_positive,54,32,0.6420454545454546,0.6540162095582375,-3.22265625,0.4591139102176846
near_pre_vs_far_pre,object_x_full_approx,higher_in_positive,54,32,0.6392045454545455,0.7100404192015938,189.45592635094442,0.2701791145026204
near_pre_vs_far_pre,temporal_energy_p95,higher_in_positive,54,32,0.6221590909090909,0.7633435041446445,0.0012280913535505505,0.8374275676480234
near_pre_vs_far_pre,persistence_mse_late_mean,higher_in_positive,54,32,0.6178977272727273,0.7672745019869474,1.885630626929924e-05,0.6646846224893732
near_pre_vs_far_pre,roi_norm_mean_delta_last_minus_first,lower_in_positive,54,32,0.6122159090909091,0.6394840136784944,-0.00021791830658907723,0.41398376879987014
near_pre_vs_far_pre,roi_mean_last,lower_in_positive,54,32,0.609375,0.6672921962144579,-51.65869140625,0.30627922624238274
near_pre_vs_far_pre,mask_centroid_max_step_px,higher_in_positive,54,32,0.6079545454545454,0.7430810885885519,0.030833755499129145,0.7553858029701687
near_pre_vs_far_pre,front_radius_q70_median_px,lower_in_positive,54,32,0.5958806818181818,0.6393995098039216,-0.5,0.18852166145600718
near_pre_vs_far_pre,temporal_energy_late_minus_early,higher_in_positive,54,32,0.5951704545454546,0.7384008916504903,7.598381489513047e-05,0.28233130688118036
near_pre_vs_far_pre,roi_mean_first,lower_in_positive,54,32,0.5923295454545454,0.648822579864578,-50.80126953125,0.30772430287000074
near_pre_vs_far_pre,mask_area_fraction_iqr,higher_in_positive,54,32,0.5830965909090908,0.724562638543786,0.000840928819444451,0.3839107963796472
near_pre_vs_far_pre,front_radius_q80_median_px,lower_in_positive,54,32,0.5830965909090908,0.6371430661163406,-0.5,0.18760524310145266
near_pre_vs_far_pre,roi_norm_mean_last,lower_in_positive,54,32,0.5696022727272727,0.6778343021952526,-0.0056807994842529574,0.19923670283826445
near_pre_vs_far_pre,object_mean_abs_z,lower_in_positive,54,32,0.5681818181818181,0.5972894964149915,-2.2808809280395472,0.24062877316727443
near_pre_vs_far_pre,mask_centroid_drift_px,lower_in_positive,54,32,0.5667613636363636,0.6465017483277493,-0.135310945364437,0.1618456126623724
near_pre_vs_far_pre,object_area_ds_px,higher_in_positive,54,32,0.5660511363636364,0.5843868108813219,19.0,0.10986075143354154
near_pre_vs_far_pre,velocity_minus_persistence_mse,higher_in_positive,54,32,0.5653409090909091,0.7214003497750024,1.3263932487500015e-05,0.7970380411936366
near_pre_vs_far_pre,object_mean_residual,lower_in_positive,54,32,0.5653409090909091,0.589847150580696,-1434.4072265625,0.17496062687710975
near_pre_vs_far_pre,velocity_mse_p95,higher_in_positive,54,32,0.5639204545454546,0.7202884850921626,6.723794067510004e-05,0.67054335146267
