task,feature_set,target,n_eval,n_cycles,r2,mae,spearman_rho,spearman_p
regression,residual_dictionary,residual_energy_mean,45,12,0.9798084094494913,1.1217087801825968e-05,0.9628385056335244,4.49151448395845e-26
regression,handcrafted_scalar,residual_energy_mean,45,12,0.8808772364092972,3.7049499936122526e-05,0.8895697436911116,3.1563659814488187e-16
regression,pca_video,residual_energy_mean,45,12,-0.7148512972586705,0.00014144434795641564,0.35138696712130196,0.01793915358336776
regression,residual_dictionary_plus_handcrafted,residual_energy_mean,45,12,0.9558053863925603,2.0422851128256407e-05,0.9176385319891942,7.687225546389996e-19
regression,residual_dictionary,dictionary_recon_error_mse_mean,45,12,0.9657054711787147,7.76147994704628e-06,0.9692956447255716,7.908429138192658e-28
regression,handcrafted_scalar,dictionary_recon_error_mse_mean,45,12,0.7844335605911568,1.9285643850129877e-05,0.8858799499242274,6.159291353039937e-16
regression,pca_video,dictionary_recon_error_mse_mean,45,12,-0.22571936945493976,4.484027703643912e-05,0.45285629571061475,0.0017862748247157274
regression,residual_dictionary_plus_handcrafted,dictionary_recon_error_mse_mean,45,12,0.8115771921593155,1.4916346412105924e-05,0.9152665217104828,1.3816371867464939e-18
