embedding_row_id,roi_id,embedding_cohort,cycleNo,source_stem,cohort_role,selection_subrole,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,transferred_masked_residual_signature,residual_energy_mean,residual_energy_slope,residual_energy_last_minus_first,dictionary_recon_energy_mean,dictionary_recon_error_mse_mean,dictionary_recon_error_mse_slope,dictionary_recon_error_last_minus_first,resdict_pc01_mean,resdict_pc01_std,resdict_pc01_slope,resdict_pc01_last_minus_first,resdict_pc02_mean,resdict_pc02_std,resdict_pc02_slope,resdict_pc02_last_minus_first,resdict_pc03_mean,resdict_pc03_std,resdict_pc03_slope,resdict_pc03_last_minus_first,resdict_pc04_mean,resdict_pc04_std,resdict_pc04_slope,resdict_pc04_last_minus_first,resdict_pc05_mean,resdict_pc05_std,resdict_pc05_slope,resdict_pc05_last_minus_first,resdict_pc06_mean,resdict_pc06_std,resdict_pc06_slope,resdict_pc06_last_minus_first,resdict_pc07_mean,resdict_pc07_std,resdict_pc07_slope,resdict_pc07_last_minus_first,resdict_pc08_mean,resdict_pc08_std,resdict_pc08_slope,resdict_pc08_last_minus_first,particle_prior_area_fraction,mask_prior_area_px,mask_prior_area_fraction,mask_fallback_frame_fraction,mask_low_area_fraction,mask_high_area_fraction,mask_fragmented_fraction,mask_centroid_jump_fraction,mask_candidate_area_cv,mask_accepted_area_cv,mask_accepted_area_fraction_median,mask_accepted_area_fraction_iqr,mask_accepted_centroid_path_px,mask_accepted_centroid_max_step_px,mask_candidate_centroid_max_jump_px,mask_mask_instability_score,particle_mean_mean,particle_mean_std,particle_mean_slope,particle_mean_first_mean,particle_mean_last_mean,particle_mean_last_minus_first,particle_mean_diff_abs_mean,particle_mean_diff_q10,particle_mean_diff_q90,particle_mean_diff_positive_fraction,particle_std_mean,particle_std_std,particle_std_slope,particle_std_first_mean,particle_std_last_mean,particle_std_last_minus_first,particle_std_diff_abs_mean,particle_std_diff_q10,particle_std_diff_q90,particle_std_diff_positive_fraction,particle_vs_context_mean_mean,particle_vs_context_mean_std,particle_vs_context_mean_slope,particle_vs_context_mean_first_mean,particle_vs_context_mean_last_mean,particle_vs_context_mean_last_minus_first,particle_vs_context_mean_diff_abs_mean,particle_vs_context_mean_diff_q10,particle_vs_context_mean_diff_q90,particle_vs_context_mean_diff_positive_fraction,particle_gradient_mean,particle_gradient_std,particle_gradient_slope,particle_gradient_first_mean,particle_gradient_last_mean,particle_gradient_last_minus_first,particle_gradient_diff_abs_mean,particle_gradient_diff_q10,particle_gradient_diff_q90,particle_gradient_diff_positive_fraction,video_embed_pc01,video_embed_pc02,video_embed_pc03,video_embed_pc04,video_embed_pc05,video_embed_pc06,video_embed_pc07,video_embed_pc08,video_embed_pc09,video_embed_pc10,video_embed_pc11,video_embed_pc12,video_embed_pc13,video_embed_pc14,video_embed_pc15,video_embed_pc16
balanced_future::cycle40_rank2_obj3,cycle40_rank2_obj3,balanced_future,40.0,5_c2_x10_260623,future8_negative,hard_negative_high_warning,0.0,0.0,0.0,0.7842017555889671,0.00010188863961957395,3.6996300830076822e-06,1.7386118997819722e-06,1.8439533278069575e-06,0.00010023609502241015,3.5564771008610006e-06,1.710439391899854e-06,-0.0032906164415180683,0.009245914407074451,-0.004168764009955339,-0.00234607863239944,-0.0031254529021680355,0.012338687665760517,0.009675085047676576,0.007912376895546913,0.002435327274724841,0.01298622414469719,-0.02058025713087869,-0.01540457271039486,-0.004553310573101044,0.01206499058753252,-0.0026746112586758884,-0.0025978153571486473,0.002858320251107216,0.00940842553973198,-0.0016742365618579503,-0.0014860860537737608,-0.0007139181834645569,0.010845395736396313,-0.012726174404011354,-0.00890585407614708,-0.0013986831763759255,0.012491325847804546,0.014154059888556067,0.010900650173425674,0.00018013692169915885,0.00869368389248848,0.003349540573789885,0.002488918136805296,0.5222439236111112,4813.0,0.5222439236111112,0.0,0.0,0.0,0.0,0.0,0.1370642948275149,0.1370642948275149,0.2935798878038645,0.0299709121130272,152.3476237524968,10.801269519877945,13.737255337509833,1.724018708916023,0.1172565716163565,0.0071748804999599,0.0048275041278721,0.1114397381898015,0.1148059631232172,0.0033662249334156,0.0005600906516376,-0.0008348673582077,0.0007301270961761,0.5052631578947369,0.1655104989185929,0.0070737632956237,0.0095695097037811,0.1585836741141975,0.1652304446324706,0.0066467705182731,0.0005265664113195,-0.0006154596805572,0.0007048845291137,0.5052631578947369,0.0560551056405529,0.0037947283234646,0.0024183937804485,0.0530353776412084,0.0547162344446405,0.0016808568034321,0.0003013925724907,-0.0004410699009895,0.0004612579941749,0.4842105263157895,0.0422516437635446,0.0015427142944287,0.0011068663257414,0.0410705546382814,0.0417817957932129,0.0007112411549314,0.0002103425562381,-0.0003391250967979,0.000318931043148,0.5052631578947369,13.652472,19.626404,24.768208,-14.597606,19.056305,-27.66835,-31.458954,25.999994,-7.9368167,4.5075264,-2.6639607,1.6203071,0.10521368,-1.7100888,0.23365146,0.36870605
selected_event_control::cycle58_rank6_obj29,cycle58_rank6_obj29,selected_event_control,58.0,7_c2_x10_290623,,,,,,,0.00029790130793116987,0.00015341818269869125,0.0001284675090573728,9.739227607497014e-06,0.00028838214348070323,0.0001431512758580013,0.00011985971650574356,-0.003558053867891431,0.017678042873740196,-0.004141271769491905,-0.0028441462200134993,-0.0033158198930323124,0.01945606805384159,-0.0030063399144350336,-0.0012776560615748167,0.0019500820199027658,0.03647999465465546,-0.003801432805209374,-0.0036717078182846308,-0.004961625672876835,0.016673166304826736,-0.0023648416197638174,-0.0021897770930081606,0.002820547902956605,0.03653460741043091,-0.002694193211286079,-4.4729094952344894e-05,0.0010243029100820422,0.020415695384144783,-0.004956618972248281,-0.003937589004635811,-0.0006771952612325549,0.026849374175071716,0.00937718177646227,0.006047239061444998,-0.0010736332042142749,0.0276983343064785,-0.0011207638551958966,-0.0017752980347722769,0.5092230902777778,4693.0,0.5092230902777778,0.0,0.0,0.0,0.0,0.0,0.0726599109053404,0.0726599109053404,0.3370978052418495,0.0058065203494566,169.15271723631625,6.925180156881033,6.79926630591663,1.834667382116968,0.1766250397389134,0.0093016257697006,0.007020253323249,0.1688215984031558,0.1737525649368763,0.0049309665337204,0.0009192374191786,-0.001417252421379,0.0011133015155792,0.5578947368421052,0.1698743480568131,0.0032631675223809,0.0032158935845821,0.1669132970273494,0.1692694202065467,0.0023561231791973,0.0003878033474871,-0.0004739314317703,0.00056614279747,0.5578947368421052,0.0931774409643064,0.004588194810553,0.0040739228440083,0.0891343057155609,0.0920101213268935,0.0028758156113326,0.0005229625262712,-0.0009426727890968,0.000728316605091,0.5157894736842106,0.056887600920163,0.0025613155042848,0.0016969371918281,0.0547906592255458,0.0560161086032167,0.0012254493776708,0.00032493162312,-0.0004593066871166,0.0004243992269039,0.5368421052631579,5.4135776,-0.10936719,102.018814,15.0258875,-31.307234,20.069632,0.9992621,-7.4019504,-10.9951,-8.228929,8.50712,0.40654907,0.86690044,-1.8623734,-0.74258816,0.8588549
transfer_ranked::cycle40_rank8_obj3,cycle40_rank8_obj3,transfer_ranked,40.0,5_c2_x10_260623,,,,,,,0.00010188863961957395,3.6996300830076822e-06,1.7386118997819722e-06,1.8439533278069575e-06,0.00010023609502241015,3.5564771008610006e-06,1.710439391899854e-06,-0.0032906164415180683,0.009245914407074451,-0.004168764009955339,-0.00234607863239944,-0.0031254529021680355,0.012338687665760517,0.009675085047676576,0.007912376895546913,0.002435327274724841,0.01298622414469719,-0.02058025713087869,-0.01540457271039486,-0.004553310573101044,0.01206499058753252,-0.0026746112586758884,-0.0025978153571486473,0.002858320251107216,0.00940842553973198,-0.0016742365618579503,-0.0014860860537737608,-0.0007139181834645569,0.010845395736396313,-0.012726174404011354,-0.00890585407614708,-0.0013986831763759255,0.012491325847804546,0.014154059888556067,0.010900650173425674,0.00018013692169915885,0.00869368389248848,0.003349540573789885,0.002488918136805296,0.5222439236111112,4813.0,0.5222439236111112,0.0,0.0,0.0,0.0,0.0,0.1370642948275149,0.1370642948275149,0.2935798878038645,0.0299709121130272,152.3476237524968,10.801269519877945,13.737255337509833,1.724018708916023,0.1172565716163565,0.0071748804999599,0.0048275041278721,0.1114397381898015,0.1148059631232172,0.0033662249334156,0.0005600906516376,-0.0008348673582077,0.0007301270961761,0.5052631578947369,0.1655104989185929,0.0070737632956237,0.0095695097037811,0.1585836741141975,0.1652304446324706,0.0066467705182731,0.0005265664113195,-0.0006154596805572,0.0007048845291137,0.5052631578947369,0.0560551056405529,0.0037947283234646,0.0024183937804485,0.0530353776412084,0.0547162344446405,0.0016808568034321,0.0003013925724907,-0.0004410699009895,0.0004612579941749,0.4842105263157895,0.0422516437635446,0.0015427142944287,0.0011068663257414,0.0410705546382814,0.0417817957932129,0.0007112411549314,0.0002103425562381,-0.0003391250967979,0.000318931043148,0.5052631578947369,13.652472,19.626404,24.768208,-14.597606,19.056305,-27.66835,-31.458954,25.999994,-7.9368167,4.5075264,-2.6639607,1.6203071,0.10521368,-1.7100888,0.23365146,0.36870605
balanced_future::cycle40_rank2_obj1,cycle40_rank2_obj1,balanced_future,40.0,5_c2_x10_260623,future8_negative,hard_negative_high_warning,0.0,0.0,0.0,0.7842017555889671,0.0001090711957658641,5.466649389219082e-06,4.530316800810397e-06,1.6510275600012392e-06,0.0001076110202120617,5.549862908083049e-06,4.625049768947065e-06,-0.004083792679011822,0.010889389552175999,-0.005585392203034931,-0.003853997914120555,-0.0038092846516519785,0.011551914736628532,-0.00669202786858047,-0.003280563745647669,0.003189041977748275,0.00899658352136612,0.001881958929803467,0.0015804104041308165,-0.004553368780761957,0.009060334414243698,0.0018841562020641414,0.001199951395392418,0.002187296049669385,0.01027560606598854,-0.0017205888224692133,-0.0006503433687612414,0.001149341114796698,0.010438051074743271,0.00021020763830931384,-0.00010890967678278685,-0.0015378689859062433,0.012275295332074165,-0.008402762347434062,-0.006568619050085545,-0.0006244808319024742,0.01009367872029543,0.004645242235059606,0.00356847420334816,0.4946831597222222,4559.0,0.4946831597222222,0.0,0.0,0.0,0.0,0.0,0.0300768102287167,0.0300768102287167,0.3264970388243036,0.0069094099583241,83.09724145409211,2.975257521187446,11.08001168489786,0.8956730753755097,0.1376431787696977,0.0068502922402536,0.0053944296309168,0.131784641649574,0.1355890315026044,0.0038043898530304,0.0005276689403935,-0.000781887769699,0.0006717890501022,0.5052631578947369,0.1621821753991147,0.0039658194022117,0.005234604346153,0.1582964449189603,0.1618542270734906,0.0035577821545302,0.0004787840341266,-0.0007523208856582,0.0007679969072341,0.5052631578947369,0.0690955795968572,0.0033450472540806,0.0030862189368489,0.066139418631792,0.0682721938937902,0.0021327752619981,0.0002933932762396,-0.0004245847463607,0.0004641607403755,0.5368421052631579,0.0413728610534841,0.0006016653693796,0.0005847797032983,0.041131722042337,0.0414379868889227,0.0003062648465856,0.0002342410385608,-0.0004033342003822,0.0003752768039703,0.5473684210526316,5.004073,-0.9651539,0.37054738,1.1911871,2.2463796,0.25294867,1.0020744,-1.1387601,0.76526374,-0.5299706,-0.8500479,-0.0063612517,-0.013587608,-0.0663604,-0.21358402,-0.48773524
selected_event_control::cycle58_rank4_obj2,cycle58_rank4_obj2,selected_event_control,58.0,7_c2_x10_290623,,,,,,,0.00013083999510854483,5.820719201629371e-05,4.9644746468402445e-05,4.105335392523557e-06,0.00012695886834990233,5.351833897293541e-05,4.5667933591175824e-05,-0.003441491164267063,0.008721345104277134,-0.002181043222203467,-0.001503562554717064,-0.003851118730381131,0.012200996279716492,-0.007888486665232404,-0.005948812700808048,0.002343900268897414,0.012200024910271168,-0.0041620266400155086,-0.00277568562887609,-0.00502651697024703,0.012850192375481129,0.0011012606429990036,0.0006328318268060684,0.0021592334378510714,0.0163955669850111,-0.0036690046444020595,-0.001864396850578487,0.0010468583786860108,0.018265293911099434,-0.008218020056818588,-0.004179476760327816,-0.0011833611642941833,0.021514153108000755,0.005236109610996212,0.0038822791539132595,-0.000712364970240742,0.02629937045276165,0.006022054293058128,0.0050591109320521355,0.5109592013888888,4709.0,0.5109592013888888,0.0,0.0,0.0,0.0,0.0,0.0403794698029524,0.0403794698029524,0.2824378849012529,0.0166702059885325,133.74763299816334,5.047315658056761,9.912879460183722,1.4335839802004873,0.1279016394012918,0.0067238468617059,0.0050848901473446,0.1222278871573507,0.1257695590611547,0.0035416719038039,0.0005547321156451,-0.0007580280303955,0.0007277905941009,0.5052631578947369,0.1595215513370931,0.0050757880080139,0.0048490984403749,0.1549638723954558,0.158240751363337,0.0032768789678812,0.0006080613324516,-0.0010169982910156,0.000734007358551,0.5789473684210527,0.0657239414285868,0.0035027578249665,0.0031952438491982,0.0626151817850768,0.0648151442874223,0.0021999625023454,0.0003179017650453,-0.0004843637347221,0.0004676043987274,0.5368421052631579,0.0407044617847229,0.0012319615901422,0.0010337436922163,0.0397019224474206,0.0403360766358673,0.0006341541884467,0.0003375558476699,-0.0005645878612995,0.0003871977329254,0.5368421052631579,6.467686,1.7951782,30.62766,-6.786314,7.4991326,1.7273414,16.204645,10.237222,54.16423,25.985945,-4.242988,3.6881819,1.2039443,2.9445791,0.3476204,-0.0075653144
transfer_ranked::cycle40_rank8_obj1,cycle40_rank8_obj1,transfer_ranked,40.0,5_c2_x10_260623,,,,,,,0.0001090711957658641,5.466649389219082e-06,4.530316800810397e-06,1.6510275600012392e-06,0.0001076110202120617,5.549862908083049e-06,4.625049768947065e-06,-0.004083792679011822,0.010889389552175999,-0.005585392203034931,-0.003853997914120555,-0.0038092846516519785,0.011551914736628532,-0.00669202786858047,-0.003280563745647669,0.003189041977748275,0.00899658352136612,0.001881958929803467,0.0015804104041308165,-0.004553368780761957,0.009060334414243698,0.0018841562020641414,0.001199951395392418,0.002187296049669385,0.01027560606598854,-0.0017205888224692133,-0.0006503433687612414,0.001149341114796698,0.010438051074743271,0.00021020763830931384,-0.00010890967678278685,-0.0015378689859062433,0.012275295332074165,-0.008402762347434062,-0.006568619050085545,-0.0006244808319024742,0.01009367872029543,0.004645242235059606,0.00356847420334816,0.4946831597222222,4559.0,0.4946831597222222,0.0,0.0,0.0,0.0,0.0,0.0300768102287167,0.0300768102287167,0.3264970388243036,0.0069094099583241,83.09724145409211,2.975257521187446,11.08001168489786,0.8956730753755097,0.1376431787696977,0.0068502922402536,0.0053944296309168,0.131784641649574,0.1355890315026044,0.0038043898530304,0.0005276689403935,-0.000781887769699,0.0006717890501022,0.5052631578947369,0.1621821753991147,0.0039658194022117,0.005234604346153,0.1582964449189603,0.1618542270734906,0.0035577821545302,0.0004787840341266,-0.0007523208856582,0.0007679969072341,0.5052631578947369,0.0690955795968572,0.0033450472540806,0.0030862189368489,0.066139418631792,0.0682721938937902,0.0021327752619981,0.0002933932762396,-0.0004245847463607,0.0004641607403755,0.5368421052631579,0.0413728610534841,0.0006016653693796,0.0005847797032983,0.041131722042337,0.0414379868889227,0.0003062648465856,0.0002342410385608,-0.0004033342003822,0.0003752768039703,0.5473684210526316,5.004073,-0.9651539,0.37054738,1.1911871,2.2463796,0.25294867,1.0020744,-1.1387601,0.76526374,-0.5299706,-0.8500479,-0.0063612517,-0.013587608,-0.0663604,-0.21358402,-0.48773524
balanced_future::cycle40_rank2_obj2,cycle40_rank2_obj2,balanced_future,40.0,5_c2_x10_260623,future8_negative,hard_negative_high_warning,0.0,0.0,0.0,0.7842017555889671,3.876121263601817e-05,2.504028127173339e-06,1.4891193131916225e-06,9.433655918655859e-07,3.804251900874078e-05,2.3403200860852027e-06,1.295127731282264e-06,-0.0035680613946169615,0.006344674155116081,-0.004645471214806957,-0.0036558802239596844,-0.002904573455452919,0.006685515400022268,0.0024426004063570874,0.0022945741657167673,0.0012488223146647215,0.006883224938064814,-0.010518141388035335,-0.00817361380904913,-0.004968627821654081,0.00919624324887991,0.01133293500078205,0.0082307830452919,0.002483256394043565,0.005412534810602665,-0.0018823938490210204,-0.001210363581776619,0.00013576680794358253,0.011461053974926472,-0.012458639458667391,-0.009620418772101402,-0.0010667354799807072,0.006857746280729771,-0.006024101614878565,-0.0041506667621433735,-0.0010803708573803306,0.006833269260823727,-0.011713888860494516,-0.007903271354734898,0.5375434027777778,4954.0,0.5375434027777778,0.0,0.0,0.0,0.0,0.0,0.0572509416306142,0.0572509416306142,0.3787848203471942,0.0256863140896245,133.51308672931458,5.4550960953455245,10.132058228501254,1.4480122617276412,0.1042809879872948,0.0059502714379769,0.0038219127160756,0.0996393398381769,0.1022411654703319,0.0026018256321549,0.0004354784363194,-0.0005886569619178,0.0005604773759841,0.5052631578947369,0.1746495765012999,0.0090853830261877,0.0081711667157787,0.1672642691992223,0.1726592215709388,0.0053949523717164,0.0006990340195204,-0.0008715212345123,0.0008998543024063,0.5263157894736842,0.0522482720358918,0.0039060542073216,0.0034356047255322,0.0489461391698569,0.0512724416330456,0.0023263024631887,0.0002861126473075,-0.0004019141197204,0.0003979638218879,0.4947368421052631,0.0306169039104133,0.0003528462546796,-0.0001068527632652,0.0307251332560554,0.0305657419958151,-0.0001593912602402,0.0001426466985752,-0.0002472329884767,0.0001982055604457,0.4947368421052631,-5.7168736,3.8241215,-2.7691083,-1.3589889,4.1457767,1.4265144,4.6456733,3.7234316,0.28424305,0.577206,0.7983172,-1.051986,-0.0678329,0.38683653,1.233337,2.3154225
selected_event_control::cycle58_rank1_obj1,cycle58_rank1_obj1,selected_event_control,58.0,7_c2_x10_290623,,,,,,,5.0083686801372096e-05,1.9091620920095797e-05,1.584398341947235e-05,7.486018603231059e-06,4.2816216591745615e-05,8.310729103150642e-06,6.862432201160118e-06,-0.0038758947048336267,0.005901315715163946,-0.002283609325011064,-0.00111681898124516,-0.003485807916149497,0.008147066459059715,6.118871280801186e-05,0.00026839878410100937,0.0011575331445783377,0.019826194271445274,-0.005297703046572249,-0.00372388307005167,-0.0045912922360002995,0.006497466936707497,0.004049525060997297,0.0028132395818829536,0.0021268296986818314,0.016202427446842194,-0.011104828472659731,-0.008162080310285091,0.00021166048827581108,0.05755743011832237,-0.007032487988334128,-0.0071993437595665455,-0.0013433434069156647,0.007321500685065985,0.0012629473566592299,0.00047896202886477113,-0.00179007975384593,0.008627762086689472,-0.008422705153842752,-0.005234044510871172,0.55859375,5148.0,0.55859375,0.0,0.0,0.0,0.0,0.0,0.0608381380260278,0.0608381380260278,0.364024864024864,0.0273892773892773,178.582282561893,4.427113920765838,5.410217577409259,1.9210702480457469,0.1023392491042614,0.0054460076096039,0.003028213478548,0.0982314448338002,0.1003456192556768,0.0021141744218766,0.0004441297367999,-0.0008788168430328,0.0005228668451309,0.5789473684210527,0.1705197750901182,0.0093421328040771,0.0078639675738271,0.1629495113156736,0.1683157063089311,0.0053661949932575,0.0007280790492107,-0.001058754324913,0.0008339881896972,0.5473684210526316,0.0511239484961455,0.0037921826101232,0.0027546164958939,0.0480900924885645,0.0499982465989887,0.0019081541104242,0.0002883160584851,-0.0004177287220954,0.0004433944821357,0.4947368421052631,0.0309732792084105,0.0006910937546054,0.0004384103843212,0.0305462097167037,0.0307706088642589,0.0002243991475552,0.0002502868638226,-0.0004331290721893,0.0002926722168922,0.4631578947368421,-3.3226225,4.894129,-0.9411301,0.0668288,3.1862624,0.8693864,2.2989504,0.36001638,0.43097144,-1.240404,0.24774572,0.35457712,-2.0333998,-0.19881664,0.9054482,2.7233284
transfer_ranked::cycle40_rank8_obj2,cycle40_rank8_obj2,transfer_ranked,40.0,5_c2_x10_260623,,,,,,,3.876121263601817e-05,2.504028127173339e-06,1.4891193131916225e-06,9.433655918655859e-07,3.804251900874078e-05,2.3403200860852027e-06,1.295127731282264e-06,-0.0035680613946169615,0.006344674155116081,-0.004645471214806957,-0.0036558802239596844,-0.002904573455452919,0.006685515400022268,0.0024426004063570874,0.0022945741657167673,0.0012488223146647215,0.006883224938064814,-0.010518141388035335,-0.00817361380904913,-0.004968627821654081,0.00919624324887991,0.01133293500078205,0.0082307830452919,0.002483256394043565,0.005412534810602665,-0.0018823938490210204,-0.001210363581776619,0.00013576680794358253,0.011461053974926472,-0.012458639458667391,-0.009620418772101402,-0.0010667354799807072,0.006857746280729771,-0.006024101614878565,-0.0041506667621433735,-0.0010803708573803306,0.006833269260823727,-0.011713888860494516,-0.007903271354734898,0.5375434027777778,4954.0,0.5375434027777778,0.0,0.0,0.0,0.0,0.0,0.0572509416306142,0.0572509416306142,0.3787848203471942,0.0256863140896245,133.51308672931458,5.4550960953455245,10.132058228501254,1.4480122617276412,0.1042809879872948,0.0059502714379769,0.0038219127160756,0.0996393398381769,0.1022411654703319,0.0026018256321549,0.0004354784363194,-0.0005886569619178,0.0005604773759841,0.5052631578947369,0.1746495765012999,0.0090853830261877,0.0081711667157787,0.1672642691992223,0.1726592215709388,0.0053949523717164,0.0006990340195204,-0.0008715212345123,0.0008998543024063,0.5263157894736842,0.0522482720358918,0.0039060542073216,0.0034356047255322,0.0489461391698569,0.0512724416330456,0.0023263024631887,0.0002861126473075,-0.0004019141197204,0.0003979638218879,0.4947368421052631,0.0306169039104133,0.0003528462546796,-0.0001068527632652,0.0307251332560554,0.0305657419958151,-0.0001593912602402,0.0001426466985752,-0.0002472329884767,0.0001982055604457,0.4947368421052631,-5.7168736,3.8241215,-2.7691083,-1.3589889,4.1457767,1.4265144,4.6456733,3.7234316,0.28424305,0.577206,0.7983172,-1.051986,-0.0678329,0.38683653,1.233337,2.3154225
balanced_future::cycle44_rank4_obj1,cycle44_rank4_obj1,balanced_future,44.0,5_c2_x10_260623,future8_negative,hard_negative_high_warning,0.0,1.0,0.0,0.6286054582853854,0.00010679369006538764,1.4731582364459119e-06,1.4179022400639951e-06,1.7757701016307692e-06,0.00010525697871344164,1.700802165846448e-06,1.500840880908072e-06,-0.0030749819707125425,0.007844028063118458,-0.0003045303875727489,0.00022553279995918274,-0.004004220943897963,0.011162569746375084,-0.004098931308161762,-0.002125917701050639,0.003162384033203125,0.010034443810582161,-0.006117506694557193,-0.004965497180819511,-0.0036633724812418222,0.010442971251904964,0.005373129537819242,0.003341425210237503,0.0027222693897783756,0.010659257881343365,-0.008658146486911732,-0.005417440086603165,0.0006544746574945748,0.011961771175265312,-0.014504657266125412,-0.008877256885170937,-0.0017075061332434416,0.011829833500087261,-0.0026891843734407127,-0.0021405646111816168,-0.00027910369681194425,0.012701621279120445,-0.0018396173995968552,-0.0018214094452559948,0.5595703125,5157.0,0.5595703125,0.0,0.0,0.0,0.0,0.0,0.0712084801802498,0.0712084801802498,0.2620709714950552,0.0196335078534031,148.71873013996472,10.304850328837418,15.435317815952343,1.6203619191382157,0.1277111683351298,0.0069563119222942,0.0028340916734995,0.1225595786236226,0.1246452727355063,0.0020856941118836,0.0005453298750676,-0.0007017761468887,0.0007424294948577,0.5052631578947369,0.1541492893981436,0.0063856426698672,0.0039881346171203,0.1490589207969606,0.1518575367517769,0.0027986159548163,0.0005005706297723,-0.000717356801033,0.0007160663604736,0.4947368421052631,0.0595568669959902,0.0039488859593415,0.0017167559642459,0.0566333045717328,0.0578351027797907,0.0012017982080578,0.0003459924145748,-0.0005768939852714,0.0005148664116859,0.5052631578947369,0.0381893250936021,0.0023646406907178,0.0004295682553778,0.0366229662904515,0.0369799229083582,0.0003569566179066,0.0002306442511709,-0.000356601178646,0.0003264091908931,0.5368421052631579,3.682184,-1.0882624,6.0687127,-2.332365,2.2412038,2.4584782,3.359372,0.92595375,11.5093565,3.1204524,-0.16498159,0.96440935,-0.95675266,0.06354298,0.8329355,0.98586124
