cycleNo,source_stem,local_cycle_index,coverage_gap_priority,has_any_roi_video_sequence,has_primary_roi_sequence,any_abrupt_drop,future_any_drop_within_8cycles,future_any_drop_within_16cycles,cycles_to_next_drop_within_16,n_roi_total_across_tracked_cohorts,capacity_fraction_of_first,cross_modal_consensus_score,hazard_probability_mean,echem_outlier_score,consensus_class,transfer_max_transfer_oriented_feature_score,transfer_mean_transfer_oriented_feature_score,transfer_max_fixed_transport_mechanism_score,transfer_mean_fixed_transport_mechanism_score,transfer_max_fixed_qc_review_score,transfer_mean_fixed_qc_review_score,transfer_n_roi_rows,mechanism_max_transport_mechanism_score,mechanism_mean_transport_mechanism_score,mechanism_max_front_kinetic_score,mechanism_mean_front_kinetic_score,mechanism_max_qc_review_score,mechanism_mean_qc_review_score,mechanism_max_visual_sanity_score,mechanism_mean_visual_sanity_score,mechanism_n_roi_rows,manual_qc_max_manual_qc_decision_score,manual_qc_mean_manual_qc_decision_score,manual_qc_max_strict_qc_priority_score,manual_qc_mean_strict_qc_priority_score,manual_qc_max_front_evidence_score,manual_qc_mean_front_evidence_score,manual_qc_max_kinetic_evidence_score,manual_qc_mean_kinetic_evidence_score,manual_qc_n_roi_rows,diffusion_max_review_priority,diffusion_mean_review_priority,diffusion_max_gate_count,diffusion_mean_gate_count,diffusion_max_median_radius2_fit_r2,diffusion_mean_median_radius2_fit_r2,diffusion_n_roi_rows,cycle_action_priority,roi_count_penalty_bonus,recommended_cycle_action
58,7_c2_x10_290623,3.0,4.130867021207221,True,True,0,1,1,2.0,12,0.9658603581567288,0.4907264225694314,,0.4567901234567901,low_consensus,0.7349940609740004,0.7170494038977608,0.743074433656958,0.724789169953479,0.5697916666666667,0.44505208333333335,2.0,0.743074433656958,0.724789169953479,0.5859375,0.5806280339805826,0.5697916666666667,0.44505208333333335,0.5368105456321062,0.5368105456321062,2.0,0.5154847277389629,0.3697216098817144,0.2927966246111948,0.2927966246111948,-0.0907612431304365,-0.0907612431304365,1.092182270943485,0.887097403710488,2.0,10.04649591053546,5.337374609042905,,,,,3.0,10.381605933995969,0.0,manual_qc_existing_visual_assets
52,6_c2_x10_270623_2,7.0,3.726900684664437,True,True,0,1,1,8.0,8,0.9670432907466742,0.279470605976536,,0.3728395061728394,low_consensus,0.5022307955824538,0.40058736806903633,0.6032133014765372,0.5388905112257282,0.6889322916666666,0.6486328124999999,2.0,0.6032133014765372,0.6032133014765372,0.5722542475728155,0.5722542475728155,0.6083333333333333,0.6083333333333333,0.5451768282532197,0.5451768282532197,1.0,0.5780021137517941,0.5690629418076458,0.4385463800916656,0.3763227820379623,0.4302109920791674,0.3904153538949388,0.6117638749569837,0.17435975871869236,2.0,,,,,,,,10.244605265767131,1.0,manual_qc_existing_visual_assets
56,7_c2_x10_290623,1.0,4.187879229461349,True,True,0,1,1,4.0,8,0.9634432441908478,0.5298946340222869,,0.4444444444444443,low_consensus,0.580399014561612,0.4537696317803881,0.56111328125,0.47988078984627824,0.7247395833333333,0.5170572916666667,2.0,,,,,,,,,,0.7816485472992648,0.49250571311654967,0.4559302425694193,0.4559302425694193,0.0058157892849015,0.0058157892849015,1.2178691033035196,0.7376384325421829,2.0,,,,,,,,9.929656556327759,1.0,manual_qc_existing_visual_assets
54,6_c2_x10_270623_2,9.0,3.870788922766727,True,True,0,1,1,6.0,8,0.9669171895228345,0.3548229380782439,,0.4024691358024691,low_consensus,0.4991670201138644,0.4017394699923329,0.5922244766383495,0.5207714211670712,0.6647135416666667,0.5554036458333333,2.0,0.5922244766383495,0.5922244766383495,0.537257281553398,0.537257281553398,0.44609375,0.44609375,,,1.0,0.5545841186535121,0.46927664622144893,0.3097407661012884,0.3097407661012884,0.2140303589512014,-0.0649469275963077,0.7881085109809233,0.5986905825111215,2.0,,,,,,,,9.401849457253343,1.0,manual_qc_existing_visual_assets
46,6_c2_x10_270623_2,1.0,2.0104835155657663,True,True,0,0,1,14.0,8,0.9669318567388288,0.4476915167068101,,0.3802469135802469,low_consensus,0.2799485326503645,0.26383235999412724,0.4905363824838187,0.44705577467637536,0.8106770833333333,0.6147135416666667,2.0,,,,,,,,,,0.8967932211164332,0.6177000452418817,0.5520213636592144,0.5520213636592144,3.900515347434717,2.15132755304672,-0.1788277085560439,-0.4026962757069669,2.0,,,,,,,,7.911252704738413,1.0,manual_qc_existing_visual_assets
114,12_c2_x10_070723,9.0,4.3805418517474894,True,True,0,1,1,2.0,8,1.2511933001293012,0.4918830406099344,0.203385771981906,0.6197530864197531,low_consensus,0.6295239729300054,0.5516108644849663,0.3944140625,0.35612778746966023,0.33671875,0.3203125,2.0,,,,,,,,,,0.2491268190321615,0.21998837860067955,,,-1.869504212214372,-1.869504212214372,-0.5008028870946384,-0.5882166929121729,2.0,,,,,,,,7.290659695305844,1.0,manual_qc_existing_visual_assets
137,16_c2_x10_HighHighCOV_130723,1.0,3.971551620452833,False,False,0,0,0,,0,1.301216928897572,0.4420377349729772,0.3418528377101889,0.7259259259259259,low_consensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.971551620452833,3.0,extract_roi_candidates_for_uncovered_cycle
112,12_c2_x10_070723,7.0,4.49731346993023,True,True,0,1,1,4.0,8,1.2560425814094447,0.6492858679943373,0.1990453058133759,0.4,low_consensus,0.3309232987863676,0.3106674977629898,0.266013349514563,0.24472921723300967,0.39140625,0.3681640625,2.0,,,,,,,,,,0.3111964937993274,0.28525244575863345,,,-0.3049625858193688,-3.1524812929096844,-0.2982187063474378,-0.49366570602033677,2.0,,,,,,,,6.905691301480612,1.0,manual_qc_existing_visual_assets
76,9_c2_x10_010723,1.0,3.157571565189913,True,True,0,0,1,10.0,10,0.9468080200353298,0.7100667532723229,0.8227760165580846,0.5308641975308641,low_consensus,0.5235639298939081,0.4705638244127754,0.49060546875,0.47846110816140774,0.47890625,0.3626953124999999,2.0,,,,,,,,,,0.5088015023856176,0.31298722238818766,,,-0.2212143110900188,-0.2212143110900188,1.2447008485477469,0.9954250963819791,2.0,4.345982328695493,4.327386544591612,4.0,4.0,0.1816564312692125,0.11345256962897235,2.0,6.560026468929487,0.0,manual_qc_existing_visual_assets
2,2_c2_x14_200623,1.0,0.3017378877343458,True,True,0,0,0,,8,1.0,0.3885767790262172,,0.2074074074074074,low_consensus,,,,,,,,0.6572212530339806,0.6330622661306635,0.8319933252427185,0.6377047936893204,0.6115885416666667,0.5274739583333333,0.5864394254675425,0.5864394254675425,2.0,0.7778209930704929,0.5793766080849609,0.4235057236447983,0.4235057236447983,4.165055695697131,1.303254377358703,0.9107841608923956,0.39954790858841405,2.0,,,,,,,,6.5269080986346015,1.0,manual_qc_existing_visual_assets
106,12_c2_x10_070723,1.0,3.1401574942273363,True,True,0,0,1,10.0,4,0.9393028944169742,0.653099512589666,0.9403633721245898,0.5111111111111111,low_consensus,0.5848391524554986,0.5788703533172904,0.4269512287621359,0.42681811286407767,0.3421875,0.3134765625,2.0,,,,,,,,,,0.2586076546674555,0.21091271802191186,,,-0.4179565338568847,-3.208978266928442,0.0344943932277102,-0.39297197893641417,2.0,,,,,,,,6.3847639924567545,1.0,manual_qc_existing_visual_assets
50,6_c2_x10_270623_2,5.0,2.03340410803895,True,True,0,0,1,10.0,4,0.9670201658628756,0.4586556892268503,,0.3876543209876543,low_consensus,0.4296167680788242,0.34765236293045787,0.527109375,0.5090068454186893,0.4898437499999999,0.37499999999999994,2.0,,,,,,,,,,0.5258041575319997,0.32635474602662184,,,1.016167227076627,1.016167227076627,-0.1114661374967556,-0.1339368813603008,2.0,,,,,,,,5.99718738367233,1.0,manual_qc_existing_visual_assets
38,5_c2_x10_260623,3.0,0.734418377137301,True,True,0,0,0,,8,0.9767406697958962,0.5932911617212491,,0.3530864197530864,low_consensus,,,,,,,,0.8068169751213592,0.7155214654126214,0.6874241504854368,0.5427108616504854,0.4734375,0.43378906249999993,,,2.0,0.4836781093950536,0.39767421019176447,,,3.4360899772972595,-1.2819550113513702,0.9532822621763716,-0.1671204038459309,2.0,,,,,,,,5.973806073726085,1.0,manual_qc_existing_visual_assets
153,17_c2_x10_HighHighCOV_150723,7.0,4.53107832904562,True,True,0,1,1,3.0,14,,0.510754289908875,0.7124990729848445,,low_consensus,,,,,,,,,,,,,,,,,,,,,,,,,,5.410387396133704,5.014280657906892,5.0,4.666666666666667,0.3376148437794777,0.2207810437977711,3.0,5.658929861473392,0.0,manual_qc_diffusion_blocker_followup
149,17_c2_x10_HighHighCOV_150723,3.0,4.549743489270309,True,True,0,1,1,7.0,6,1.2767005094859576,0.4103303381363065,0.5101945107671042,0.7296296296296296,low_consensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.549743489270309,1.0,densify_existing_cycle_roi_candidates
96,11_c2_x10_050723,1.0,0.9775053336788124,True,True,0,0,0,,4,0.9466646390988418,0.5930616145518888,0.1479627706786541,0.5753086419753086,low_consensus,,,,,,,,0.7099226334951457,0.7099226334951457,0.8009405339805825,0.8009405339805825,0.470703125,0.470703125,,,1.0,0.4587682541207364,0.2862743665879008,,,0.9396954074558008,0.9396954074558008,0.928806473910436,0.732527335981211,2.0,,,,,,,,5.488550293859484,1.0,manual_qc_existing_visual_assets
126,14_c2_x10_HighCOV_110723,5.0,1.8386110652087624,True,True,0,0,0,,8,1.3197942381614527,0.5645102487330952,0.9989304526276724,0.9802469135802468,multimodal_outlier_without_trace_drop,,,,,,,,0.5780731694983818,0.5780731694983818,0.4398968446601941,0.4398968446601941,0.4720052083333332,0.4720052083333332,0.5137709607672689,0.5137709607672689,1.0,0.5012014018111489,0.2712295577902208,0.4120141897945024,0.4120141897945024,1.6390256225284887,-2.1804871887357558,-2.117161226001908,-2.5565561937348726,2.0,,,,,,,,5.178211139084799,1.0,manual_qc_existing_visual_assets
