event_cycle,n_sources,source_stems,feature,n_cycle_rows,has_mid_bin,near_median,mid_median,far_median,near_minus_far
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_radius_q80_slope_px_per_norm_time,16,True,-0.683634020618557,0.17364690721649495,0.566849226804124,-1.250483247422681
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_radius_q80_slope_px_per_norm_time,12,True,0.4230025773195878,-0.3028350515463918,-0.2358247422680413,0.6588273195876291
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,mask_area_fraction_iqr,16,True,0.003838433159722175,0.007670084635416625,0.005961100260416575,-0.0021226671006944
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,mask_area_fraction_iqr,12,True,0.011006673177083301,0.0117594401041666,0.0086534288194444,0.0023532443576389003
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,mask_area_fraction_median,16,True,0.25259060329861105,0.25771755642361105,0.25174967447916663,0.0008409288194444198
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,mask_area_fraction_median,12,True,0.21601019965277773,0.22987196180555555,0.21942816840277773,-0.00341796875
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,mask_area_fraction_slope,16,True,0.002256832581615075,0.007239639963890624,-0.0057665113730938,0.008023343954708875
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,mask_area_fraction_slope,12,True,-0.004728546666935075,0.0072482918545961495,0.0025474661950529,-0.007276012861987975
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,mask_base_area_fraction,16,True,0.2692057291666667,0.2791069878472222,0.2691786024305556,2.7126736111104943e-05
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,mask_base_area_fraction,12,True,0.2548828125,0.2586805555555556,0.24576822916666666,0.009114583333333343
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,mask_centroid_drift_px,16,True,0.18875704268108284,0.49636646140045804,0.35454158500367505,-0.1657845423225922
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,mask_centroid_drift_px,12,True,0.2487238938655148,0.33882707504566945,0.4741049792285472,-0.22538108536303242
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,mask_centroid_max_step_px,16,True,0.2095601996498942,0.21362996999275652,0.21452637057427876,-0.004966170924384561
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,mask_centroid_max_step_px,12,True,3.7677593817713584,2.6099225900162897,1.3174277275526427,2.450331654218716
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,mask_centroid_path_px,16,True,7.988096250528107,7.7141358983593395,8.693937565297967,-0.7058413147698595
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,mask_centroid_path_px,12,True,33.75953979654972,14.904141602186153,11.369123825024293,22.390415971525425
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,masked_minus_background_mean_median,16,True,0.1440651044249534,0.15027979621663684,0.1441681962460279,-0.00010309182107448578
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,masked_minus_background_mean_median,12,True,0.15747447498142714,0.14361720439046616,0.14481337182223794,0.012661103159189196
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,masked_minus_background_mean_slope,16,True,0.004241190403675825,0.0030262261063830004,0.0049799593944419,-0.000738768990766075
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,masked_minus_background_mean_slope,12,True,0.019902682092674425,-0.0025912518673048,-0.0196739184386913,0.039576600531365726
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,object_area_ds_px,16,True,84.25,52.5,89.5,-5.25
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,object_area_ds_px,12,True,76.25,76.5,103.5,-27.25
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,object_candidate_rank,16,True,1.5,1.5,1.5,0.0
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,object_candidate_rank,12,True,1.5,1.5,1.5,0.0
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,object_mean_abs_z,16,True,24.829394340515137,25.468339443206787,26.15520715713501,-1.325812816619873
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,object_mean_abs_z,12,True,22.088475704193115,19.903438568115234,19.960862636566162,2.127613067626953
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,object_mean_residual,16,True,9671.527099609375,10523.924072265625,10404.93603515625,-733.408935546875
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,object_mean_residual,12,True,7951.076171875,8365.722412109375,8596.996337890625,-645.920166015625
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,object_x_full_approx,16,True,951.2353532517766,874.8242673992675,947.7394747508699,3.495878500906656
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,object_x_full_approx,12,True,1023.2708735415165,1024.6594101123596,1093.7380414312618,-70.46716788974527
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,object_y_full_approx,16,True,148.7736655378165,481.2973776223776,130.20797094377207,18.56569459404443
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,object_y_full_approx,12,True,594.6115798214993,591.999297752809,130.7964218455744,463.8151579759249
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,persistence_mse_late_mean,16,True,6.881711942695609e-05,9.288726687370568e-05,7.59616086724835e-05,-7.144489245527403e-06
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,persistence_mse_late_mean,12,True,0.00115100744005755,0.0002204766569775,6.573349855898414e-05,0.0010852739414985658
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,persistence_mse_mean,16,True,6.884505910420414e-05,9.294265873901975e-05,7.495217232642536e-05,-6.107113222221218e-06
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,persistence_mse_mean,12,True,0.0008454191120108249,0.00016399536980309998,0.0001109700242522867,0.0007344490877585381
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,persistence_mse_p95,16,True,0.000269606126312225,0.00036404321726872497,0.000292120149060725,-2.2514022748500032e-05
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,persistence_mse_p95,12,True,0.0009791997239516751,0.00032973115667115,0.0002725289370573,0.0007066707868943751
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,raw_roi_mean_delta_last_minus_first,16,True,-1.178466796875,-2.671630859375,3.300537109375,-4.47900390625
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,raw_roi_mean_delta_last_minus_first,12,True,-4.588623046875,-13.5673828125,28.779296875,-33.367919921875
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,roi_norm_mean_delta_last_minus_first,16,True,-3.52952629327772e-05,-0.000180348753929125,0.00014521740376950001,-0.00018051266670227723
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,roi_norm_mean_delta_last_minus_first,12,True,-0.00023807585239409997,-0.0007155500352382499,0.0009673982858657501,-0.00120547413825985
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,roi_norm_mean_first,16,True,0.08042903244495385,0.08525525778532023,0.08182989619672294,-0.0014008637517690936
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,roi_norm_mean_first,12,True,0.07891025766730306,0.07581763342022894,0.0789670757949352,-5.681812763214111e-05
