event_relative_bin,n_cycle_rows,n_sources,n_event_cycles,n_roi_proposals,object_candidate_rank,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,persistence_mse_mean,persistence_mse_p95,persistence_mse_late_mean
far_pre_event_17_32,11,4,2,22,1.5,1026.556438791733,130.65847333408502,95.5,10293.66015625,25.163411140441895,0.08002162724733344,0.0803250409662723,0.00019365549087525,7.617378287245673e-05,0.00029146186607245,7.596079740322075e-05
mid_pre_event_9_16,11,6,3,22,1.5,1023.3486338797813,591.6717668488161,75.5,9212.43017578125,21.916321754455566,0.0769882202148437,0.0765680484473705,-0.0005517378449439999,0.00010305708929075,0.00032973115667115,9.030874571177428e-05
near_pre_event_1_8,16,5,4,32,1.5,1058.771513604582,572.1544184476304,85.0,8935.469482421875,22.036144256591797,0.07799244485795492,0.0782941188663244,-9.9398195743575e-05,8.11756153780115e-05,0.000269606126312225,8.025985243873473e-05
