source_stem,event_cycle,cycleNo,event_relative_bin,cycles_to_next_event,proximity_score,event_bin_order,object_candidate_rank,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,persistence_mse_mean,persistence_mse_p95,persistence_mse_late_mean,velocity_mse_mean,velocity_mse_p95,velocity_minus_persistence_mse,temporal_energy_mean,temporal_energy_p95,temporal_energy_late_minus_early,roi_norm_mean_late_minus_early,roi_norm_mean_positive_step_fraction,raw_roi_mean_delta_last_minus_first,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,n_roi_proposals
11_c2_x10_050723,116.0,104.0,mid_pre_event_9_16,12.0,21.0,1.0,1.5,1088.2180555555556,148.57638888888889,70.5,11031.81005859375,25.13643741607666,0.0769882202148437,0.0765680484473705,-0.0004201717674732,5.088110265205614e-05,0.0002003040641284,5.0841306801885366e-05,0.0001485095126554,0.00058643523079805,9.761125693327869e-05,0.0070773689076304,0.0072827258845790995,2.2961990907788277e-05,7.107201963660144e-05,0.4947368421052631,-9.0576171875,0.24593098958333331,0.2302788628472222,0.0037977430555555,0.0006087784914625499,9.637684504569629,0.2334382747892105,0.08017295569383005,0.13815919216722244,0.0020171159844768497,8.0,0.0,0.0135309278350515,7.5,0.0,0.053479381443299,6.5,0.0,0.0567010309278349,0.01052631578947365,9.5,-0.6684922680412375,0.954252577319588,0.0351775670103092,2
12_c2_x10_070723,116.0,106.0,mid_pre_event_9_16,10.0,23.0,1.0,1.5,1502.6217669654288,210.71472471190782,90.5,9330.4091796875,21.385972023010254,0.07683015987277025,0.07616532593965525,-0.00066483393311495,5.140142820891924e-05,0.0001801739512302,5.973511724732816e-05,0.00013660667900690002,0.00049725578792275,8.512502608937211e-05,0.0069727846421301,0.01028493787162,-1.15914735943079e-05,0.001947673348089,0.5157894736842106,-14.24072265625,0.2587890625,0.23657226562499994,0.01083713107638885,0.01076760133653705,7.324832226419108,0.19344771788584542,0.6270023138006778,0.1529905395582318,0.0060436779647566,10.0,-1.0,-2.5045103092783507,9.0,-2.0,-2.1903994845360835,8.5,-1.0,-2.47938144329897,0.0210526315789473,6.0,-0.7065077319587632,-41.450708762886606,-1.5280389278350524,2
12_c2_x10_070723,116.0,108.0,near_pre_event_1_8,8.0,25.0,2.0,1.5,1505.1825988700566,216.13197740112992,96.5,8671.095458984375,20.142327308654785,0.0756803676486015,0.07561703771352765,-6.332993507385254e-05,5.7332976211910136e-05,0.0001956892167072,5.761822103522718e-05,0.00015919339057285001,0.0005490120471222,0.00010168932203665,0.0073201602790504,0.01211941926740105,0.00115933502092955,0.0018942689057439002,0.5263157894736842,-0.6396484375,0.2577039930555556,0.2414822048611111,0.005479600694444401,-0.00867580138530925,7.688921305012773,0.2668519983216502,0.15391882727651945,0.15086044184863567,0.011234088132359502,10.5,0.0,-0.2976804123711339,9.5,0.5,-0.2570876288659796,7.5,-0.5,0.2570876288659794,0.0578947368421052,8.5,1.359213917525774,-4.144329896907218,-0.15277657731958777,2
12_c2_x10_070723,116.0,110.0,near_pre_event_1_8,6.0,27.0,2.0,1.5,1093.306797099005,149.96660482374767,85.0,9021.65185546875,21.54570484161377,0.08295451104640955,0.08283504471182815,-0.00011946633458139999,0.00010114129690918192,0.0003229226393159,7.210041803773493e-05,0.0002825620977091,0.0009178730237181,0.0001820262623368,0.009325460996478751,0.0128795063588768,-0.00190614489838475,0.0008054252248257,0.5157894736842106,0.033203125,0.2559678819444444,0.23817274305555555,0.0049235026041666,0.00249412160831895,12.191027607687147,0.4967236387805876,0.3266245395463798,0.1444924436509609,0.0052976935655454,8.5,-0.5,-0.1707474226804125,5.5,0.0,-0.1172680412371134,5.0,0.0,-0.0167525773195876,0.0157894736842105,3.5,-0.057345360824742196,-1.641752577319589,-0.0605215670103092,2
12_c2_x10_070723,116.0,112.0,near_pre_event_1_8,4.0,29.0,2.0,1.5,1019.9535714285714,610.4726190476192,59.0,10271.6142578125,23.522708892822266,0.08160063624382016,0.08122249320149415,-0.0003781430423259,0.0001181817060569,0.0003572129273379,0.00011570852802825,0.00030895871168465003,0.0010111401759786,0.00019031249394169998,0.0099246795289218,0.0133940711151808,-0.00202774163335555,0.0004482975540061,0.5,-5.0478515625,0.2599826388888889,0.23437499999999994,0.01898871527777775,0.01158752091834905,10.58364289566099,0.671446525800989,0.32055677391429205,0.14732906688004724,0.00201241806816765,10.5,0.5,0.1649484536082475,9.0,1.0,-0.114046391752577,9.0,0.0,0.1359536082474225,0.0421052631578947,3.5,6.328608247422685,-2.6011597938144373,-0.0958891546391751,2
12_c2_x10_070723,116.0,114.0,near_pre_event_1_8,2.0,31.0,2.0,1.5,1507.0307443365696,218.235167206041,87.5,9529.0869140625,21.918387413024902,0.07424537837505335,0.0739382281899452,-0.00030715018510815,5.051271728007123e-05,0.0001751372692524,5.812681411043741e-05,0.00013348052743815002,0.0004895610225503,8.304312359541655e-05,0.0067909327335654995,0.0072975635295733,-0.0001108241267502115,0.00035934592597179995,0.5210526315789474,-6.60791015625,0.25634765625,0.23649088541666666,0.0165879991319444,0.017459690229452998,7.053809583988507,0.30250946034557813,0.5511463377877536,0.1515791285783052,-0.0013444783986958499,10.0,-1.0,-2.050902061855671,9.5,-0.5,-1.3795103092783514,8.5,-1.0,-0.8463273195876292,0.0052631578947368,3.0,1.9597293814432997,-23.45167525773197,-0.8645225567010312,2
15_c2_x5_HighCOV_120723,156.0,133.0,far_pre_event_17_32,23.0,10.0,0.0,1.5,1093.7380414312618,130.7964218455744,119.5,7508.4453125,18.37508487701416,0.07662720978260035,0.0793465450406074,0.002719335258007,0.0001109700242522867,0.0002725289370573,6.573349855898414e-05,0.00025730512425065,0.00075343935022825,0.0001458178412576,0.008733535883948151,0.01046927613206205,-0.0018147155642509,-0.0050892189610749,0.531578947368421,61.91943359375,0.24576822916666666,0.21942816840277773,0.015950520833333252,0.00046853046919744987,11.369123825024293,0.7906472703793801,0.4741049792285472,0.14481337182223794,-0.0099650198118473,12.0,0.0,0.9104381443298972,11.5,0.5,0.6172680412371137,10.5,-2.0,-2.0860180412371143,0.02631578947368415,3.5,6.682345360824746,15.369845360824744,0.5665939793814426,2
15_c2_x5_HighCOV_120723,156.0,134.0,far_pre_event_17_32,22.0,11.0,0.0,1.5,1094.0849673202615,129.75163398692808,103.5,8596.996337890625,19.960862636566162,0.08002162724733344,0.08098902553319931,0.0009673982858657501,0.00010357639985158362,0.0002598977687739,5.969541052763816e-05,0.00023380884522335,0.0007092170853866,0.00012969408999197096,0.0085048750042915,0.01104433033615345,-0.0009137559682130499,-0.00742989731952545,0.531578947368421,28.779296875,0.24750434027777776,0.2272677951388889,0.0086534288194444,0.00652205739234315,11.240442624357481,1.3174277275526427,0.479863618932333,0.14277433790266508,-0.0196739184386913,12.0,0.0,,12.0,0.5,0.1849226804123712,9.0,2.0,1.3653350515463927,0.01052631578947365,8.0,4.170425257731961,3.8833762886597953,0.1431567835051548,2
16_c2_x10_HighHighCOV_130723,156.0,138.0,far_pre_event_17_32,18.0,15.0,0.0,1.5,1026.556438791733,371.83889772125065,44.0,11555.33251953125,28.654135704040527,0.0789670757949352,0.07773258909583085,-0.0012344866991043,0.00022726136376145,0.00047672368164054996,9.620787022865955e-05,0.00060517308884295,0.0013176467909943,0.00037642286042675,0.01197177590802305,0.022174113150685952,-0.00059875147417185,-0.0111216807660336,0.5052631578947369,-16.95361328125,0.2351345486111111,0.2099880642361111,0.0076226128472222,0.0025474661950529,17.45639251041333,1.6318569043005624,0.1521612572682747,0.14624652639031405,-0.0278791703503415,8.0,0.0,-0.3086340206185569,8.0,0.0,-0.9903350515463925,7.5,0.0,-0.2358247422680413,0.03684210526315785,3.5,-0.0064432989690721,-20.86662371134021,-0.769227216494846,2
16_c2_x10_HighHighCOV_130723,156.0,141.0,mid_pre_event_9_16,15.0,18.0,1.0,1.5,1020.5485053037609,591.2628736740598,73.0,9212.43017578125,21.916321754455566,0.0765193030238151,0.07585934177041051,-0.0006599612534046,0.00034211021556980004,0.0005362870608223,0.0003140033441013,0.0007027851243037,0.0013717204332351,0.00035769444366445,0.013396143913269,0.040199348330497695,0.00186917744576925,-0.00728843019654345,0.4842105263157894,-9.646484375,0.25797526041666663,0.2220052083333333,0.02372233072916665,-0.007794636904442249,27.3907859721373,2.9222164982170686,0.6841642256444108,0.1494387332350015,-0.010486167842359,9.0,0.5,0.31282216494845394,9.0,0.0,0.4072164948453609,8.0,0.0,0.12564432989690727,0.0421052631578947,4.5,1.1221005154639183,5.714561855670107,0.21066160824742292,2
