empirical_p_ge_observed,n_permutation,null_auc_mean,null_auc_p95,split,feature_set,target,observed_roc_auc,null_mode
0.994001199760048,5000,0.5007468115942029,0.6210507246376813,cycle_block_cv,acquisition_context,future_any_drop_within_8cycles,0.3159420289855072,heldout_score_label_shuffle
0.7826434713057389,5000,0.5006618840579711,0.6260869565217391,cycle_block_cv,echem_regime,future_any_drop_within_8cycles,0.4398550724637682,heldout_score_label_shuffle
0.9886022795440912,5000,0.5005153623188405,0.6253623188405797,cycle_block_cv,echem_plus_acquisition,future_any_drop_within_8cycles,0.3326086956521739,heldout_score_label_shuffle
0.0005998800239952009,5000,0.5019725955204216,0.619235836627141,cycle_block_cv,acquisition_context,high_cross_modal_consensus_q75,0.7299077733860343,heldout_score_label_shuffle
0.0005998800239952009,5000,0.5001910408432148,0.616600790513834,cycle_block_cv,echem_regime,high_cross_modal_consensus_q75,0.7602108036890645,heldout_score_label_shuffle
0.0001999600079984003,5000,0.5013221343873518,0.6205533596837945,cycle_block_cv,echem_plus_acquisition,high_cross_modal_consensus_q75,0.8043478260869564,heldout_score_label_shuffle
0.5960807838432314,5000,0.4991175230566535,0.6152832674571804,cycle_block_cv,acquisition_context,high_particle_norm_cv_q75,0.4822134387351778,heldout_score_label_shuffle
0.033993201359728054,5000,0.4996840579710144,0.6199275362318842,cycle_block_cv,echem_regime,high_particle_norm_cv_q75,0.6337285902503293,heldout_score_label_shuffle
0.0631873625274945,5000,0.4996711462450592,0.616600790513834,cycle_block_cv,echem_plus_acquisition,high_particle_norm_cv_q75,0.6093544137022397,heldout_score_label_shuffle
0.0001999600079984003,5000,0.5021425925925925,0.7314814814814815,cycle_block_cv,acquisition_context,high_roi_phase_slope_abs_q75,0.9444444444444444,heldout_score_label_shuffle
0.0001999600079984003,5000,0.5006018518518518,0.7314814814814815,cycle_block_cv,echem_regime,high_roi_phase_slope_abs_q75,1.0,heldout_score_label_shuffle
0.0001999600079984003,5000,0.5000648148148148,0.7314814814814815,cycle_block_cv,echem_plus_acquisition,high_roi_phase_slope_abs_q75,0.9907407407407407,heldout_score_label_shuffle
0.27794441111777646,5000,0.4989166666666666,0.6184573002754821,cycle_block_cv,acquisition_context,high_state_step_norm_q75,0.5440771349862259,heldout_score_label_shuffle
0.46370725854829037,5000,0.4995546831955923,0.6184917355371903,cycle_block_cv,echem_regime,high_state_step_norm_q75,0.5048209366391184,heldout_score_label_shuffle
0.5190961807638472,5000,0.4993060606060606,0.6170798898071626,cycle_block_cv,echem_plus_acquisition,high_state_step_norm_q75,0.4951790633608816,heldout_score_label_shuffle
