split,feature_set,target,n_eval,n_positive,positive_rate,roc_auc,average_precision,balanced_accuracy_at_0p5,brier,spearman_rho,spearman_p,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
leave_one_cycle,acquisition_context,future_any_drop_within_8cycles,89,20,0.2247191011235955,0.6760869565217391,0.3673350413119332,0.630072463768116,0.2211828447950038,0.2546213184520823,0.016041663615790652,0.011397720455908818,0.5007398550724638,0.6246376811594202,5000.0
rolling_origin,acquisition_context,future_any_drop_within_8cycles,68,19,0.27941176470588236,0.640171858216971,0.41397054807898725,0.6294307196562836,0.30051517829698926,0.21790357098659005,0.07424791160874558,,,,
leave_one_cycle,echem_regime,future_any_drop_within_8cycles,89,20,0.2247191011235955,0.6210144927536232,0.30303955672003424,0.6293478260869565,0.24078691216856368,0.17498666741357094,0.1009707648281379,0.05158968206358728,0.49971695652173914,0.6217391304347826,5000.0
rolling_origin,echem_regime,future_any_drop_within_8cycles,68,19,0.27941176470588236,0.49516648764769067,0.27982995113042175,0.5725026852846402,0.36009669144909073,-0.007513916240916899,0.9515077985248789,,,,
leave_one_cycle,echem_plus_acquisition,future_any_drop_within_8cycles,89,20,0.2247191011235955,0.65,0.330532676096557,0.6083333333333334,0.23213784244839658,0.21689964164436637,0.041183832246205185,0.01979604079184163,0.4998350724637681,0.6195652173913044,5000.0
rolling_origin,echem_plus_acquisition,future_any_drop_within_8cycles,68,19,0.27941176470588236,0.5585392051557465,0.329148572365544,0.5708915145005371,0.34509007224793065,0.09100187447332687,0.46048930031344193,,,,
leave_one_cycle,cycle_state_upper_bound,future_any_drop_within_8cycles,89,20,0.2247191011235955,0.8115942028985507,0.5372440539836545,0.7735507246376812,0.1766094490957382,0.4505644729810509,9.396815599678677e-06,,,,
leave_one_cycle,acquisition_context,high_cross_modal_consensus_q75,89,23,0.25842696629213485,0.6884057971014492,0.5827089762790397,0.6669960474308301,0.21339479720091256,0.28573153847150773,0.006641304316122957,0.003999200159968006,0.5015533596837944,0.6172595520421608,5000.0
rolling_origin,acquisition_context,high_cross_modal_consensus_q75,73,21,0.2876712328767123,0.6263736263736264,0.4107288129543044,0.6304945054945055,0.3175127192048533,0.19818751039934196,0.09280065965715573,,,,
leave_one_cycle,echem_regime,high_cross_modal_consensus_q75,89,23,0.25842696629213485,0.7852437417654808,0.5090992391622762,0.7104743083003953,0.18865836599923386,0.43259355300056934,2.298704390318894e-05,0.0001999600079984003,0.5005176548089592,0.6185770750988141,5000.0
rolling_origin,echem_regime,high_cross_modal_consensus_q75,73,21,0.2876712328767123,0.6858974358974359,0.4235876187710548,0.63507326007326,0.32081311755886766,0.29153670008019145,0.012331329149974351,,,,
leave_one_cycle,echem_plus_acquisition,high_cross_modal_consensus_q75,89,23,0.25842696629213485,0.7891963109354413,0.6384070983080734,0.6963109354413702,0.18651015961814982,0.4385879209405311,1.7152528662727877e-05,0.0001999600079984003,0.5011179183135704,0.6198945981554678,5000.0
rolling_origin,echem_plus_acquisition,high_cross_modal_consensus_q75,73,21,0.2876712328767123,0.6364468864468864,0.40796925360454667,0.6213369963369964,0.3180198399697576,0.21398506557610109,0.06908671617893089,,,,
leave_one_cycle,cycle_state_upper_bound,high_cross_modal_consensus_q75,89,23,0.25842696629213485,0.83399209486166,0.6809148277163881,0.7635046113306982,0.16225057333576914,0.5065240909267636,4.0944915273266243e-07,,,,
leave_one_cycle,acquisition_context,high_particle_norm_cv_q75,89,23,0.25842696629213485,0.5270092226613966,0.27445990763450623,0.5563241106719368,0.2567628235968615,0.04096151425640495,0.7031087265552135,0.3505298940211958,0.4989855072463768,0.6119894598155466,5000.0
rolling_origin,acquisition_context,high_particle_norm_cv_q75,73,20,0.273972602739726,0.5018867924528302,0.2767053000405148,0.5231132075471698,0.33130743409874547,0.0029153156094733016,0.9804708557914834,,,,
leave_one_cycle,echem_regime,high_particle_norm_cv_q75,89,23,0.25842696629213485,0.6429512516469038,0.41862004676987274,0.5932147562582345,0.23094699395156562,0.21679630716194814,0.041282846797686956,0.020995800839832032,0.4995671936758894,0.616600790513834,5000.0
rolling_origin,echem_regime,high_particle_norm_cv_q75,73,20,0.273972602739726,0.6028301886792452,0.4326521696858052,0.5797169811320755,0.30649041375016467,0.15888470071629493,0.1793926346994084,,,,
