roi_id,cycleNo,cohort_role,event_reference_cycle,degradation_mode_hypothesis,n_frames_percentile,V_mean,I_mean_mA,roi_norm_mean_delta_protocol_residual,roi_norm_mean_slope_protocol_residual,high_fraction_delta_protocol_residual,high_fraction_slope_protocol_residual,low_fraction_delta_protocol_residual,high_radius2_delta_px2_protocol_residual,high_radius2_slope_px2_per_frame_protocol_residual,centroid_path_px_protocol_residual,first_last_corr_protocol_residual,cumulative_abs_norm_change_protocol_residual,temporal_diff_energy_protocol_residual,latent_path_length_protocol_residual,latent_mean_step_protocol_residual,latent_net_displacement_protocol_residual,persistence_mse_protocol_residual,velocity_mse_protocol_residual,low_rank_dmd_mse_protocol_residual,dmd_minus_persistence_mse_protocol_residual,physics_no_qc_rf_event_probability_protocol_residual,phase_slope_median_per_s_protocol_residual,phase_slope_iqr_per_s_protocol_residual,phase_slope_positive_fraction_protocol_residual,phase_slope_negative_fraction_protocol_residual,phase_slope_abs_median_per_s_protocol_residual,radius2_slope_median_px2_per_s_protocol_residual,radius2_slope_iqr_px2_per_s_protocol_residual,radius2_slope_positive_fraction_protocol_residual,radius2_slope_negative_fraction_protocol_residual,diffusion_proxy_median_um2_per_s_protocol_residual,diffusion_proxy_iqr_um2_per_s_protocol_residual,default_q70_diffusion_proxy_um2_per_s_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_slope_bootstrap_p50_protocol_residual,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,threshold_robust_diffusion_score_protocol_residual,rollout_mobility_difficulty_score,latent_path_length,latent_net_displacement,first_last_corr,cumulative_abs_first_last,qc_priority_score,qc_reason,manual_qc_status,manual_qc_decision,is_event_roi,mode_cluster,mode_pc1,mode_pc2,roi_norm_mean_delta_protocol_residual_z,high_fraction_delta_protocol_residual_z,low_fraction_delta_protocol_residual_z,first_last_corr_protocol_residual_z,cumulative_abs_norm_change_protocol_residual_z,latent_net_displacement_protocol_residual_z,dmd_minus_persistence_mse_protocol_residual_z,phase_slope_positive_fraction_protocol_residual_z,phase_slope_median_per_s_protocol_residual_z,threshold_robust_phase_score_protocol_residual_z,diffusion_proxy_median_um2_per_s_protocol_residual_z,diffusion_proxy_abs_median_um2_per_s_protocol_residual_z,rollout_mobility_difficulty_score_z,mode_label,mode_review_priority
cycle60_rank3_obj9,60.0,event,60.0,single_persistent_drop_needs_roi_qc,0.3707865168539326,3.829972590648973,0.0216442830997643,0.0029702592449481,7.568128028572063e-05,0.0191244236313782,0.0003888971904342,-0.0120402621554575,-5.75762242375202,-0.3141447013757681,0.1285332229755411,-0.0384197431940669,0.0087837612740454,5.0869743366659126e-06,7.267405750402816,0.0764990090237048,1.894744611450072,-6.449024310758192e-06,3.69225714711536e-05,6.804639603503787e-05,7.05172133365216e-05,0.2712771748612524,2.2998918936290807e-06,6.573455226925818e-07,0.1594674278574455,-0.1594674278798112,2.092751640812165e-06,-0.0014398243133637,-0.0007998285450423,-0.3566362801832518,0.3566362801832519,-3.3173552179902525e-06,-1.8428049677209469e-06,-4.297406148436023e-06,1.877002417149028e-06,2.394321279084535e-06,-0.0018865117040336,0.1567315503431298,0.9314665391220875,2.846153846153846,22.6298942565918,4.303770542144775,0.8693920360382953,0.03590939193964,5.322115384615385,event_roi;hard_rollout;diffusion_proxy;conditioned_front_direction;,pending,,1,3,3.057942896552585,-2.1298233119533148,0.772424318410982,0.8983452506434361,-0.5517316280759368,-1.2278088429668819,1.3441367247312639,2.6760574059492566,0.08977761392545212,1.2995881849252582,2.1091923459107558,0.6147982037897675,-1.23521013910662,1.0057527777698148,1.648927763672571,optical_brightening_decorrelating_rollout_hard_front_positive,3.673076923076923
cycle60_rank6_obj26,60.0,event,60.0,single_persistent_drop_needs_roi_qc,0.3707865168539326,3.829972590648973,0.0216442830997643,0.0024656910257634,9.459740597325794e-06,0.0104365866032177,7.879561834945209e-05,-0.0139875359721142,-11.939957964382124,0.0029302470954344,-2.347995791440136,-0.073384398499124,0.0209488345794138,0.000168217480162,0.7846043130248823,0.0082589923248675,-0.2597358458558361,0.000160356508361,0.0005030602816622,0.0008884988489342,0.0007241641335639,-0.1346325264062886,-2.9120416730739998e-08,-3.741223644332055e-07,0.1594674278574455,-0.1594674278798112,-2.3626066954765587e-07,2.143419787721209e-05,-0.0002307086073392,-0.0709219944689661,0.0709219944689661,4.93843919089243e-08,-5.315526312531552e-07,1.6499435550219894e-07,-1.4897371927501488e-06,1.1703893175823786e-07,-1.0270954881388202e-05,0.1759623195738991,-0.4627642301086816,2.615384615384616,16.147092819213867,2.149290084838867,0.8344286417451272,0.0480567663908004,4.552884615384615,event_roi;hard_rollout;conditioned_front_direction;,pending,,1,3,3.411487794363526,-1.584629447961331,0.6412099257755633,0.49024525855756,-0.6409632859337101,-2.345200824427798,3.2056993604451645,-0.3668399581097309,0.921955433654383,1.2995881849252582,-0.02670584658712405,0.6902331902662523,0.018388172984524064,-0.798244747085218,1.3600645058029246,optical_brightening_decorrelating_rollout_hard_front_positive,3.5961538461538463
cycle60_rank4_obj5,60.0,event,60.0,single_persistent_drop_needs_roi_qc,0.3707865168539326,3.829972590648973,0.0216442830997643,0.0025610063033398,-5.597334400399523e-06,0.0126834410070524,-3.52583050588479e-05,-0.0166837612567157,5.447299340594162,0.1663188181646474,-0.2880571560862428,-0.0640197202035878,0.009638223659223,1.1441228192165902e-05,-0.6267573813110552,-0.0065974504842373,1.6298982865294178,1.5575137990417906e-06,7.552972616385356e-05,0.0010198705710252,0.0010143348502169,-0.088036820720926,-3.020883439614745e-07,-2.571548301366837e-07,0.1594674278574455,-0.1594674278798112,-5.092285967783904e-07,0.0013549547366829,-0.0009392003607908,0.6433637198167481,-0.6433637198167481,3.1218157133174998e-06,-2.163917631205638e-06,3.0253422269186607e-06,-2.1059433793047044e-06,-4.550083922790212e-07,0.0013038457624499,0.0413469349585145,0.5083896160451644,2.596153846153846,14.73573112487793,4.038924217224121,0.843922762808349,0.036674365401268,4.802884615384616,event_roi;hard_rollout;diffusion_proxy;conditioned_front_direction;,pending,,1,3,3.6141415905548895,-1.5329434148748096,0.6659969333208909,0.5957883599590839,-0.7645148121983155,-2.0459267047461505,1.474890992292287,2.3019996226684025,1.2913806185072016,1.2995881849252582,-0.27704016203432025,0.16218828493086074,1.1624014216506708,-1.128426039418089,1.3359925676471196,optical_brightening_decorrelating_rollout_hard_front_positive,3.4807692307692304
cycle62_rank3_obj9,62.0,control,60.0,single_persistent_drop_needs_roi_qc,0.3370786516853932,3.8226030426780016,0.002895681360255,-0.0037434281175023,3.165804094612488e-05,-0.0171247737584646,0.0001571855806957,0.0056421130800418,7.465213046302475,-0.2541808790356868,-0.5590548762590348,-0.0568196676081996,0.0082748296819106,-2.3002406414368475e-05,2.063588030158652,0.0217219862475105,1.815721878279234,-2.3059219180478736e-05,-4.835572802008967e-05,0.0020208129436202,0.0020492144406036,0.3628252019573766,1.4451650932196863e-06,9.019694835657468e-07,-0.0739292207347166,0.0739292207002716,1.6033348616468095e-06,-0.0017752040149332,0.0009120389401942,-0.3570888760933821,0.3570888760933821,-4.090070050406275e-06,2.101337718228442e-06,-4.074587511056821e-06,2.925061821723941e-06,1.6639923347953235e-06,-0.0017317952026046,0.046773507359125,0.2979403699727568,3.057692307692308,14.523822784423828,5.199330806732178,0.8235944518090812,0.0394897200167179,4.903846153846154,hard_rollout;,pending,,0,3,1.62566835348404,-4.318265455494974,-0.9734890707268802,-0.8044142647530479,0.2585435595378065,-1.81582916864889,1.2662573719094077,2.5644490292518123,2.6089173720046315,-0.602490070094184,1.3253367089296553,0.18347466254485403,-1.5229288586643601,1.5673336515014793,1.9137190833864153,optical_brightening_decorrelating_rollout_hard_front_positive,3.307692307692308
cycle156_rank7_obj27,156.0,event,156.0,single_persistent_drop_needs_roi_qc,0.9101123595505618,,,0.0103061226079044,5.037375237938052e-07,0.021029192723025,-8.279904900408892e-05,0.0163570656228108,38.32514244118365,0.2318841426445477,-1.986225194383872,-0.0518228772833762,0.0175571009658599,0.0002031208397696,4.114816298455029,0.0433138531340036,-0.6339080473253098,0.0001739523751553,0.0003890298878819,0.0024493445683967,0.0022697105063283,0.0591939402159761,-2.30406095250893e-07,-1.7754235256778481e-07,0.0296361115027952,-0.0296361114217485,-2.417138621918892e-07,0.0007094475527495,-0.0002236383169821,0.6401609685059827,-0.6401609685059826,1.6345671615349794e-06,-5.152626824618988e-07,1.525686900984106e-06,-1.5908840057147065e-07,-2.369619492826985e-07,0.0006075294473498,0.0366612473823781,0.4682694358743832,3.019230769230769,22.51093482971192,3.542245864868164,0.8532744525665208,0.060945488512516,5.264423076923077,event_roi;hard_rollout;phase_front;diffusion_proxy;conditioned_optical_shift;,pending,,1,3,3.8522279738934446,-1.6513439392838487,2.6801363363856545,0.9878193336294364,0.7495443479632394,-1.6561429542908266,2.686678684877142,-0.8953050002012908,2.8896376348183197,0.24152104836474017,-0.21130157200022104,0.14380811642603894,0.6086275958719677,-0.0852442166956517,1.865575207074807,optical_brightening_decorrelating_rollout_hard_front_positive,3.2596153846153846
cycle157_rank2_obj2,157.0,control,156.0,single_persistent_drop_needs_roi_qc,0.7696629213483146,,,-0.0101483748808666,-4.529375063932395e-05,-0.0593311407564729,-0.0002352551418078,0.0501534042114014,-50.2381371802097,-0.1696240033135372,2.696633402979103,-0.0282541559562624,0.0056633359591083,-3.067297001236341e-05,2.125467408256494,0.0223733364666303,1.0686096441879904,-1.730852871902195e-05,-0.0001340618818758,-9.987776229047982e-05,-2.968682590069995e-05,-0.0154462667070374,-8.039591835434622e-07,4.405854652697346e-07,-0.0888448999578106,0.0888449000078598,3.309936836047355e-07,-0.0004716665363258,0.0001582042704555,-0.3583726654577004,0.3583726654577004,-1.086719699694871e-06,3.645026390183296e-07,-1.0215458783236744e-06,3.112057966509353e-07,-7.683089682218388e-07,-0.0003860604244531,-0.1004728674718626,0.4303269906196799,1.8846153846153844,19.71229362487793,3.989521026611328,0.889086857718422,0.0363945141434669,4.875,diffusion_proxy;conditioned_optical_shift;,pending,,0,2,-2.3734517638755155,-2.90035978798012,-2.639113593759704,-2.787004175455797,2.2982239922878778,-0.9029394693877497,0.8666330527016631,1.5092592084004113,-0.03779520301898629,-0.7240461818902345,-0.7372975056139902,-0.3941168087476657,-0.404637762079403,0.1667531653556178,0.4453308558823731,optical_loss_rollout_hard,3.105769230769231
cycle156_rank5_obj4,156.0,event,156.0,single_persistent_drop_needs_roi_qc,0.9101123595505618,,,0.0060401921042976,4.714635589699381e-05,0.0569788631843791,0.0003905629694448,-0.0828041087330909,23.79868641924976,0.1107099724311888,-0.1842463724423737,-0.0267958079474029,0.0043204888843322,9.13209548371175e-06,1.4407592916190843,0.0151658874643717,0.4648868898084792,-5.358546866238598e-06,-7.867484711958489e-05,0.0003763280268524,0.0003760048868056,0.0604707015043107,1.1694176486761676e-06,3.312100607110098e-07,0.0296361115027952,-0.0296361114217485,1.1581098817351714e-06,0.0003686643530369,-2.9380091778139416e-05,0.354446682791697,-0.3544466827916969,8.494026693971114e-07,-6.769173159206626e-08,9.1006554249757e-07,-9.442528927093386e-07,1.0938294093783432e-06,0.0003949679819615,0.0174304781516089,-0.4836536410486938,3.0384615384615383,19.836877822875977,4.641040802001953,0.8783012282705677,0.0476934053003788,4.9375,event_roi;hard_rollout;conditioned_optical_shift;,pending,,1,3,4.496937670746598,0.10087673603073335,1.5707690421867864,2.676508956053765,-3.794406229101786,-0.8563339371134644,0.661143625952566,0.6565866433305824,0.4787032834185907,0.24152104836474017,1.0724533446955613,0.06837312994955454,0.31627327207339884,-0.5059583094208656,1.889647145230611,optical_brightening_decorrelating_rollout_hard_front_positive,2.932692307692308
cycle62_rank4_obj1,62.0,control,60.0,single_persistent_drop_needs_roi_qc,0.3370786516853932,3.8226030426780016,0.002895681360255,-0.0051184774701482,-4.9363057589841e-05,-0.026711352548159,-0.0002459622376332,0.0357499620914257,-33.09496604548584,0.0204669745861684,0.1414637443011503,-0.0629878120162438,0.0080586510858908,-8.234824526409418e-06,-3.356422536552774,-0.0353307676182083,-0.2491604001631486,-5.035882274073225e-06,1.3639341680010316e-05,-0.0004473793186928,-0.0004370011586158,-0.145386926330988,-1.1051910013874067e-06,1.1072287405299596e-07,-0.0739292207347166,0.0739292207002716,-9.470212329602832e-07,1.8649231850366197e-05,0.0002791623202956,-0.0713745903790963,0.0713745903790964,4.296783018309298e-08,6.431899859822044e-07,-3.2312882142098053e-07,-1.207976058865427e-06,-1.2881621198347208e-06,-0.0001756151993479,-0.2032264926408749,-0.4232134761810893,2.1346153846153846,9.103812217712402,3.134448528289795,0.8175055906243376,0.039314366877079,4.091346153846154,hard_rollout;conditioned_optical_shift;,pending,,0,2,-1.0686937289200429,-2.1458967639031936,-1.3310745443873038,-1.2547314973995343,1.6382022694925882,-2.0129492329512177,1.2331766015030379,-0.3519036444788022,-0.556359496453255,-0.602490070094184,-1.0135521618877175,-0.7971801616494442,0.015998979913197806,-0.6472688929877258,0.7582660519078248,optical_loss_rollout_hard,2.923076923076923
cycle60_rank2_obj2,60.0,event,60.0,single_persistent_drop_needs_roi_qc,0.3707865168539326,3.829972590648973,0.0216442830997643,0.0042428109603221,3.070814777481599e-05,0.0198733750993231,0.0001369628106538,-0.0105423592195677,21.29105558471321,0.3960361585878703,0.2202893887523735,-0.0035548969706616,0.0013848914317545,-6.994062065734098e-06,4.084914447912574,0.042999097596207,0.3224403626402576,-1.88407870768582e-05,1.13317961767536e-05,0.0002880484968671,0.0003029110769347,0.0671156680024488,6.826234746311135e-07,-4.42238866234169e-07,0.1594674278574455,-0.1594674278798112,4.754832218141977e-07,0.0025831640490634,0.0010784757108478,0.6433637198167481,-0.6433637198167481,5.951609969042372e-06,2.484808037849965e-06,6.067219932635646e-06,7.238508764201678e-07,7.035704927360926e-07,0.0026575711236313,0.4644238580354375,0.0468511545067029,2.307692307692308,19.44740295410156,2.731466293334961,0.9042864481677793,0.0284551549702882,5.1730769230769225,event_roi;hard_rollout;phase_front;conditioned_front_direction;conditioned_optical_shift;,pending,,1,3,2.7969137520622644,1.3697113517744615,1.1033549915710303,0.9335262844439439,-0.4830918912622636,-0.11360653595124894,0.2119232724012265,0.4554011739661721,0.38564532590096445,1.2995881849252582,0.6260225586338535,1.8217579874135197,2.2160692764831236,0.3878604646425965,0.9749134953100608,optical_brightening_decorrelating_rollout_hard_front_positive,2.923076923076923
cycle58_rank3_obj9,58.0,control,60.0,single_persistent_drop_needs_roi_qc,0.3539325842696629,3.828237694919734,0.0163604508805609,9.18671543551329e-05,5.357609109318511e-05,0.0010980107806425,0.000266008617255,0.0055262850424795,-6.405226048470957,-0.0623244961830798,0.7381923901813039,0.0725122528792179,-0.0120902969283112,1.7843641442667535e-05,10.10929717154374,0.1064136468547171,-0.704352278911351,2.094220002184924e-05,0.0001172603720196,0.0002392345725526,0.0002048348770309,0.2503675901098037,1.8524113721453657e-06,8.988889732480774e-07,0.0849698428160106,-0.0849698428418473,1.900484176819176e-06,-0.0006391660797284,-0.0008398029436772,-0.3567618970557438,0.3567618970557439,-1.4726386476942778e-06,-1.93490598218532e-06,-1.3861540833117265e-06,1.0798715843163389e-07,1.9276661636595693e-06,-0.0005934689091158,0.0947439159878634,0.7971701258235347,2.0961538461538463,25.56525230407715,1.8161002397537231,0.9791821792309802,0.0161265470087528,3.3701923076923075,diffusion_proxy;,pending,,0,0,-0.45856643425997423,2.229900973271272,0.023890313348140377,0.05157764693763764,0.2532358684829133,2.3173290060487277,-1.8501199665191097,-0.9947974629337527,0.2607815260763562,0.6924662000402809,1.6988154523393286,0.37164431310623053,-0.5483338591561039,0.05786267698101827,0.710122175596217,near_baseline_or_context_like,2.9134615384615383
