removed_group,n_removed_features,remaining_features,pooled_oof_auc_without_group,pooled_oof_auc_drop,pooled_oof_balanced_accuracy_without_group
mean_intensity_trace,18,36,0.27575757575757576,0.1712121212121212,0.32727272727272727
frame_texture_level,5,49,0.44848484848484843,-0.0015151515151514694,0.5121212121212122
stage_drift,3,51,0.46969696969696967,-0.022727272727272707,0.4893939393939394
temporal_change_energy,14,40,0.4954545454545454,-0.048484848484848464,0.5242424242424242
bright_dark_fraction,14,40,0.5212121212121211,-0.07424242424242417,0.5348484848484849
