eval_cohort,model_name,n_roi,median_particle_mse,median_particle_to_nonparticle_ratio,median_dmd_ratio_vs_persistence,median_mask_fallback,internal_baseline_model,mwu_p_vs_internal,median_particle_mse_shift_vs_internal,median_particle_mse_ratio_vs_internal
selected,selected_internal,11,0.0015718995082352194,5.416331067611033,22.807826716571903,0.0,selected_internal,,,
selected,pooled,11,0.005535067313758191,4.473264802662185,40.24641379003091,0.0,selected_internal,0.11503496229473924,0.003963167805522971,3.5212602871620224
selected,transfer_ranked_internal,11,0.016166897694347426,5.185530472029532,102.02862890583,0.0,selected_internal,0.0008112851998172991,0.014594998186112207,10.284943541014334
transfer_ranked,transfer_ranked_internal,48,0.005849017223226838,8.308110288302188,20.622329860114462,0.0,transfer_ranked_internal,,,
transfer_ranked,pooled,48,0.006203636898135301,8.448995302849326,21.376005892304107,0.0,transfer_ranked_internal,0.6735077659052876,0.0003546196749084629,1.0606289332676684
transfer_ranked,selected_internal,48,0.0204373593442142,7.492595817099098,65.44011705824471,0.0,transfer_ranked_internal,3.2774508483012605e-09,0.014588342120987363,3.4941527036467055
