cycleNo,phase_slope_median_per_s,phase_slope_abs_median_per_s,phase_slope_positive_fraction,radius2_slope_median_px2_per_s,radius2_slope_positive_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score,q70_phase_slope_bootstrap_p50,q70_radius2_slope_bootstrap_p50_px2_per_s,roi_norm_mean_delta_last_minus_first,low_rank_dmd_particle_mse_mean,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,persistence_particle_mse_mean,transferred_masked_residual_signature,transfer_rank,object_mean_abs_z,object_mean_residual,roi_mean_delta_last_minus_first,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,cycle_group_n_roi,cycle_group_phase_slope_median_per_s,cycle_group_phase_slope_abs_median_per_s,cycle_group_diffusion_proxy_median_um2_per_s,cycle_group_diffusion_proxy_abs_median_um2_per_s,cycle_group_threshold_robust_phase_score,cycle_group_threshold_robust_diffusion_score
40.0,1.579959827620567e-06,1.579959827620567e-06,1.0,0.0007313126953457501,0.6428571428571428,1.6849444500767296e-06,2.4347422058529455e-06,0.6614583333333333,0.22135416666666663,1.5749773211532015e-06,0.000697732624851225,0.00030657462775705,0.005194904845666299,8.48684556473535,8.209054432482284e-05,0.7842017555889671,8.0,22.74650478363037,8776.990234375,5.802490234375,0.0,0.0,0.0,4,1.579959827620567e-06,1.579959827620567e-06,1.6849444500767296e-06,2.434742205852945e-06,0.6614583333333333,0.2213541666666666
116.0,3.254343253030876e-06,3.254343253030876e-06,1.0,-0.0007283046675398001,0.2857142857142857,-1.6780139540117393e-06,2.504638403772934e-06,0.96875,0.8020833333333334,3.2414407077394153e-06,-0.0008126431764931251,-0.0004390943795442,0.00449492949019255,9.208109020070385,7.024267657127811e-05,0.6939075621668416,12.0,26.917513847351074,11137.795166015625,-10.2520751953125,0.0,0.0,1.0,4,3.254343253030876e-06,3.254343253030876e-06,-1.6780139540117391e-06,2.504638403772934e-06,0.96875,0.8020833333333334
146.0,2.6414309254655345e-06,2.6414309254655345e-06,1.0,-0.0024685355287310997,0.0,-5.687505858196595e-06,5.687505858196595e-06,0.609375,0.7291666666666666,2.4861109049007733e-06,-0.0024486240732693003,-0.00028872862458230003,0.005118631439927375,9.357959275199633,0.00013213735709876906,3.21719464829548,2.0,17.848680019378662,6485.8941650390625,-3.925537109375,0.0,1.0,0.0,4,2.6414309254655345e-06,2.6414309254655345e-06,-5.687505858196595e-06,5.687505858196595e-06,0.609375,0.7291666666666666
147.0,3.909132403986564e-06,3.909132403986564e-06,1.0,-0.00274935232829705,0.10714285714285712,-6.334507764396589e-06,6.334507764396589e-06,0.7291666666666666,0.7005208333333333,4.0397889096627145e-06,-0.0028476295848651498,0.0009638089686631751,0.0028719752376673,6.3098010509188125,0.00012671898741697043,0.6943342227566772,11.0,20.618937492370605,7551.390380859375,6.301513671875,0.0,1.0,0.0,4,3.909132403986564e-06,3.909132403986564e-06,-6.33450776439659e-06,6.33450776439659e-06,0.7291666666666666,0.7005208333333333
148.0,3.3765221287578366e-06,3.3765221287578366e-06,1.0,-0.001889590585943375,0.10714285714285712,-4.353616710013648e-06,4.353616710013648e-06,0.8124999999999999,0.6588541666666665,3.2998403873680157e-06,-0.002018911241019175,0.000526905059814449,0.003833961683085325,7.205303917984704,0.00017044649067085,0.7480825471472065,9.0,21.469695568084717,7734.7747802734375,1.051513671875,1.0,1.0,0.0,4,3.376522128757837e-06,3.376522128757837e-06,-4.353616710013648e-06,4.353616710013648e-06,0.8125,0.6588541666666666
150.0,2.4705466750303487e-06,2.4705466750303487e-06,1.0,0.000594076006033925,0.6785714285714286,1.3687511179022188e-06,2.054080447165175e-06,1.0104166666666665,0.40625,2.484528210850285e-06,0.0005150458971606499,-0.00015561934560539997,0.004174375328147975,6.454240748132902,0.000159983973134025,40.97186183003927,1.0,23.700449466705322,8247.418090820312,-4.9737548828125,1.0,1.0,0.0,4,2.4705466750303487e-06,2.4705466750303487e-06,1.3687511179022188e-06,2.054080447165175e-06,1.0104166666666663,0.40625
151.0,1.225881190181032e-06,1.565964235467684e-06,0.7857142857142857,0.0020580840618898,0.9642857142857143,4.741825678594232e-06,4.741825678594232e-06,0.3984374999999999,0.6510416666666666,1.221385624434424e-06,0.001987560066749125,6.8619847297625e-05,0.01038921096369445,10.267832381507574,0.0008459397190847,1.4388691546947752,4.0,21.59004783630371,7263.8201904296875,2.846435546875,1.0,1.0,0.0,4,1.2258811901810325e-06,1.565964235467684e-06,4.741825678594232e-06,4.741825678594232e-06,0.3984374999999999,0.6510416666666666
152.0,-1.5472924804072575e-07,1.6667132100887825e-06,0.46428571428571425,0.002254357184167925,0.8214285714285714,5.194038952323008e-06,5.194038952323008e-06,-0.04687500000000004,0.30729166666666663,-5.7853301724374386e-08,0.002270123127485375,-0.0003610886633396,0.008501239724864674,13.600143746084214,0.000685936834457775,1.1876601241161993,5.0,22.56676959991455,8064.7105712890625,-5.4957275390625,1.0,1.0,0.0,4,-1.5472924804072578e-07,1.6667132100887823e-06,5.194038952323007e-06,5.194038952323007e-06,-0.046875,0.3072916666666666
153.0,-1.3935186192669693e-06,3.018320940162996e-06,0.42857142857142855,0.0058643302259366505,0.9285714285714286,1.3511416840558195e-05,1.3511416840558195e-05,0.12239583333333334,0.5494791666666666,-1.4475664922899706e-06,0.006015337948030599,-0.0007463656365870975,0.0109301441298157,12.637650442978074,0.00274015241981825,0.8710369083836372,7.0,18.333974838256836,6307.174133300781,-13.52197265625,1.0,1.0,0.0,4,-1.3935186192669693e-06,3.018320940162996e-06,1.3511416840558191e-05,1.3511416840558191e-05,0.1223958333333333,0.5494791666666666
154.0,-6.67914978256358e-07,1.769973706739252e-06,0.46428571428571425,0.0032410684589924002,0.8571428571428572,7.467421729518639e-06,7.467421729518639e-06,-0.140625,0.40624999999999994,-7.457361598845557e-07,0.003187833194244275,-0.000463388860225625,0.0086876133937039,14.227254580653456,0.000675018958645475,1.0097002411185476,6.0,22.323958158493042,8349.815185546875,-8.864013671875,1.0,1.0,0.0,4,-6.67914978256358e-07,1.769973706739252e-06,7.467421729518639e-06,7.467421729518639e-06,-0.140625,0.4062499999999999
155.0,-6.67807191344622e-07,1.502714981701497e-06,0.39285714285714285,0.0025268947217784252,0.8214285714285714,5.82196543897763e-06,5.82196543897763e-06,0.015624999999999944,0.21875000000000003,-6.525696566639194e-07,0.00254419262441445,0.00155897624790665,0.0072207720477308,11.255004186506875,0.00279528787362435,0.7426923860413742,10.0,17.20904231071472,6107.3077392578125,30.4580078125,1.0,1.0,0.0,4,-6.67807191344622e-07,1.502714981701497e-06,5.82196543897763e-06,5.82196543897763e-06,0.0156249999999999,0.21875
156.0,2.3041508190211656e-06,2.3041508190211656e-06,1.0,-9.358048427107616e-05,0.5357142857142857,-2.1560943576052454e-07,1.328166129774129e-06,0.9843749999999998,0.47395833333333326,2.371500490705631e-06,-0.00015369102736720642,0.027319597080349874,0.0089509379395167,9.52050355710969,0.00017011805610419678,1.611586757942234,3.0,17.7912540435791,7670.8006591796875,702.610107421875,0.0,0.0,1.0,4,2.3041508190211656e-06,2.3041508190211656e-06,-2.1560943576052454e-07,1.328166129774129e-06,0.984375,0.4739583333333333
