roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score,cycleNo_recon,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score_recon,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,object_mean_abs_z,object_mean_residual,roi_mean_delta_last_minus_first,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,first_frame_index,last_frame_index,low_rank_dmd_particle_mse_mean,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,low_rank_dmd_particle_mse_fraction_of_full_mean,low_rank_dmd_particle_mask_area_fraction_mean,low_rank_dmd_mask_fallback_used_mean,persistence_particle_mse_mean,persistence_particle_to_nonparticle_mse_ratio_mean,persistence_particle_mse_fraction_of_full_mean,persistence_particle_mask_area_fraction_mean,persistence_mask_fallback_used_mean,velocity_particle_mse_mean,velocity_particle_to_nonparticle_mse_ratio_mean,velocity_particle_mse_fraction_of_full_mean,velocity_particle_mask_area_fraction_mean,velocity_mask_fallback_used_mean,front_physics_review_score
cycle151_rank4_obj2,151.0,transfer_warning,0,151.0,,,,12438.259448892,7,2.846959257811326e-06,1.1879054390126777e-07,1.0,0.0,2.846959257811326e-06,0.0042699960166277,0.0025306803330875,1.0,0.0,9.838070822310428e-06,5.830687487433623e-06,9.838070822310428e-06,-1.258396450327988e-07,2.9859151530782217e-06,6.652542936091624e-06,0.0016401751088248,0.004094682563558,0.0070389201120856,1.2604166666666663,9.838070822310428e-06,0.8020833333333333,151.0,17_c2_x10_HighHighCOV_150723,5,4,2,23.64798893669939,4,1.4388691546947752,1,1,0,16.844011306762695,5534.52734375,6.1025390625,0.0004011094570159,0.2500000000000227,6188,7425,0.0115374092420097,9.524400422082564,3.235989023916153,0.1280246310763889,0.0,0.0010865358988212,3.164437889036982,1.8348492774237868,0.1280246310763889,0.0,0.0022919531465959,3.1525081743896,1.7492969560184195,0.1280246310763889,0.0,3.4791666666666665
cycle150_rank1_obj3,150.0,transfer_warning,0,150.0,,,,12435.337381064,7,2.8773778913258605e-06,1.2811305522515334e-07,1.0,0.0,2.8773778913258605e-06,0.0022394574689418,0.0019621257839292,1.0,0.0,5.15971000844208e-06,4.520737806172917e-06,5.15971000844208e-06,-8.436951016445604e-07,2.896615120100529e-06,6.1982267839268045e-06,-1.128038790058382e-05,0.002234006156902,0.0050178108535185,1.2604166666666663,5.15971000844208e-06,0.6979166666666666,150.0,17_c2_x10_HighHighCOV_150723,4,1,3,30.064514136526785,1,40.97186183003927,1,1,0,19.133668899536133,6589.99365234375,-17.0048828125,-0.0011341348290443,0.2236067977500298,4950,6187,0.0057201725867344,7.379587632194532,2.7303798505568317,0.1356235080295139,0.0,0.000166199196883,1.962114479916945,1.3729633191500403,0.1356235080295139,0.0,0.00040734088725,1.6854774454822128,1.2397749874592123,0.1356235080295139,0.0,3.1041666666666665
cycle150_rank1_obj2,150.0,transfer_warning,0,150.0,,,,12435.337381064,7,3.987483102929889e-06,6.97779241258328e-07,1.0,0.0,3.987483102929889e-06,0.0007317504868457,0.0003461226740864,1.0,0.0,1.685953121692708e-06,7.974666410951332e-07,1.685953121692708e-06,4.7469648183287e-08,3.8226434771098175e-06,7.946252925864158e-06,-0.0004267620643704,0.0007594533614306,0.0018355726548771,1.21875,1.685953121692708e-06,0.90625,150.0,17_c2_x10_HighHighCOV_150723,4,1,2,30.29101000024845,1,40.97186183003927,1,1,0,20.69387626647949,7190.4619140625,-13.30126953125,-0.0007508136332035,0.2236067977500298,4950,6187,0.0026040776865556,3.4331954066307597,3.064212011871473,0.097320556640625,0.0,0.0001750796744772,1.961397057861782,1.5793839369871592,0.097320556640625,0.0,0.0004473756275729,1.8038905787142556,1.4788672162514565,0.097320556640625,0.0,2.28125
cycle156_rank3_obj2,156.0,transfer_warning,0,156.0,,,,19462.04443982,7,3.2426969483629712e-06,5.739964952655868e-07,1.0,0.0,3.2426969483629712e-06,0.0008353240720802,0.0006072810884611,1.0,0.0,1.924586662072925e-06,1.3991756278143905e-06,1.924586662072925e-06,1.420172864047808e-06,3.351300997708585e-06,5.093123946692938e-06,0.0004506549248024,0.0008537593631571,0.0011780647157672,1.1979166666666663,1.924586662072925e-06,0.7395833333333333,156.0,18_c2_xN_HighHighCOV_170723,0,3,2,24.48233143141416,3,1.611586757942234,0,0,1,20.877092361450195,9714.015625,869.111328125,0.0345103815197944,0.2500000000000227,0,1938,0.0126120635104598,4.500000611313168,3.3236900234915705,0.1136542426215277,0.0,0.0002091535910722,2.3401411311600957,1.7685482891454538,0.1136542426215277,0.0,0.0002600942686967,1.4880046587779974,1.186839139554579,0.1136542426215277,0.0,2.9895833333333335
cycle156_rank3_obj4,156.0,transfer_warning,0,156.0,,,,19462.04443982,7,3.3050077487735446e-06,8.20602352800324e-07,1.0,0.0,3.3050077487735446e-06,0.0001304369470287,0.0005565662391155,0.7142857142857143,0.2857142857142857,3.005267259542838e-07,1.2823286149221747e-06,3.005267259542838e-07,1.2908181814582183e-06,3.264149592174798e-06,4.813795170140239e-06,-0.0001956792038023,0.0001320584048719,0.0004390383432822,1.1354166666666663,3.005267259542838e-07,0.1041666666666666,156.0,18_c2_xN_HighHighCOV_170723,0,3,4,23.174091040856943,3,1.611586757942234,0,0,1,16.62549591064453,7757.61279296875,741.7392578125,0.0348859056830406,0.2500000000000227,0,1938,0.0082690402232401,5.610829973283101,3.7901201006167855,0.1143798828125,0.0,0.000270019579716,2.583490147552938,1.921315803973757,0.1143798828125,0.0,0.00034385859567,1.6383095400691658,1.3044991059337758,0.1143798828125,0.0,2.3854166666666665
cycle116_rank12_obj3,116.0,transfer_warning,0,116.0,,,,9126.745852742,7,5.183254912447831e-06,1.8361543116815295e-06,1.0,0.0,5.183254912447831e-06,-0.0022170481266763,0.0003602688243489,0.0,1.0,-5.108078883862397e-06,8.300593713000792e-07,-6.041162978270216e-06,3.1358602371677557e-06,5.16726335478168e-06,7.366551321630772e-06,-0.0035338917222489,-0.0026257831637996,-0.0019359516289283,1.03125,5.108078883862397e-06,1.2395833333333337,116.0,13_c2_x6_100723,1,12,3,26.1177158996103,12,0.6939075621668416,0,0,1,30.621023178100582,13215.271484375,-11.17822265625,-0.0004914700984954,0.2236067977499281,909,1818,0.0013452227176458,3.6439893642349617,2.014794969235039,0.3044772677951389,0.0,7.103412508513429e-05,1.10840848919884,0.9185291866392172,0.3044772677951389,0.0,0.0002074269732474,1.127185006964802,0.929898751374058,0.3044772677951389,0.0,1.6041666666666665
cycle116_rank12_obj2,116.0,transfer_warning,0,116.0,,,,9126.745852742,7,2.9470402822794685e-06,1.062794404847646e-06,1.0,0.0,2.9470402822794685e-06,-0.0005507999615298,0.000194978413875,0.0,1.0,-1.269043111364743e-06,4.492302655680585e-07,-1.2043995538486076e-06,1.1719807253976127e-06,2.977234282405192e-06,4.844394309710272e-06,-0.0007999516270192,-0.0005358050449893,-0.0002656656119745,1.03125,1.269043111364743e-06,0.8229166666666666,116.0,13_c2_x6_100723,1,12,2,25.378014840116585,12,0.6939075621668416,0,0,1,26.83770179748535,11402.7451171875,-11.09765625,-0.0004377588629722,0.2236067977499281,909,1818,0.0102788366075401,8.228428275306811,3.5727375818118303,0.196563720703125,0.0,6.45002019155072e-05,1.0199348457941486,0.8707749456040567,0.196563720703125,0.0,0.0001851832444117,0.9809526634341617,0.8447130370375815,0.196563720703125,0.0,1.9374999999999998
cycle40_rank8_obj4,40.0,transfer_warning,0,40.0,,,,9322.243530232,7,2.202532801714303e-06,2.345919515039609e-07,1.0,0.0,2.202532801714303e-06,0.0004633870617749,0.000512281666088,0.5714285714285714,0.4285714285714285,1.0676437903295113e-06,1.1802969586668529e-06,1.6084515692821207e-06,2.479345004038346e-07,2.284811972149898e-06,4.33701696032743e-06,0.0002745011284493,0.0007453053391562,0.0011073733363123,0.96875,1.0676437903295113e-06,0.0625,40.0,5_c2_x10_260623,5,8,4,23.491688623886883,8,0.7842017555889671,0,0,0,18.8198184967041,7621.6875,10.68115234375,0.000959850847721,0.2500000000000227,4639,5566,0.0085376924689626,8.62762506741045,3.703971354675917,0.1300489637586805,0.0,7.90824268506185e-05,1.1549670036096007,0.9446748126011456,0.1300489637586805,0.0,0.0002036068244706,1.017237192419673,0.854705923786089,0.1300489637586805,0.0,2.0208333333333335
cycle147_rank11_obj2,147.0,transfer_warning,0,147.0,,,,12424.30955664,7,3.545013670852684e-06,1.5357107291936307e-06,1.0,0.0,3.545013670852684e-06,-0.0030985626073469,0.0006427234010697,0.0,1.0,-7.139088247327485e-06,1.4808347160646824e-06,-7.329787579826575e-06,5.143567338728802e-08,3.792135892850933e-06,6.921873591963848e-06,-0.0036885160063138,-0.0032165935321573,-0.0025558491134804,0.96875,7.139088247327485e-06,1.15625,147.0,17_c2_x10_HighHighCOV_150723,1,11,2,23.264156540689225,11,0.6943342227566772,0,1,0,16.851280212402344,6104.34765625,-26.67578125,-0.0009935721755027,0.2121320343559321,1237,2474,0.0038995192408037,7.296354452021485,2.791040918580009,0.1387769911024305,0.0,0.0001305638934354,1.7960509433611251,1.31222285523313,0.1387769911024305,0.0,0.0003525637930579,1.6551037438892997,1.2208501562968292,0.1387769911024305,0.0,1.9791666666666665
cycle148_rank9_obj3,148.0,transfer_warning,0,148.0,,,,12429.281505696,7,3.208670667020309e-06,1.309024963268962e-06,1.0,0.0,3.208670667020309e-06,-0.001907088840306,0.0005625964160155,0.0,1.0,-4.3939326880650246e-06,1.2962221424999176e-06,-3.896455088859233e-06,3.7397438608818876e-07,3.281502180303384e-06,6.285593785072431e-06,-0.0027795758557366,-0.001785678069547,-0.0002881647226154,0.9479166666666664,4.3939326880650246e-06,1.0104166666666663,148.0,17_c2_x10_HighHighCOV_150723,2,9,3,23.513103415416406,9,0.7480825471472065,1,1,0,17.71686363220215,6349.900390625,-18.26171875,-0.0008971095085144,0.2121320343559321,2475,3712,0.0051523783040465,7.377651354148384,2.638461137473444,0.1359286838107639,0.0,0.0001790544617961,2.1555651876987696,1.4774642048137248,0.1359286838107639,0.0,0.0004913356865472,2.026345949488612,1.3985321603151737,0.1359286838107639,0.0,2.03125
