roi_id,cycleNo,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,threshold_robust_phase_score,phase_slope_median_per_s,diffusion_proxy_median_um2_per_s,threshold_robust_diffusion_score,low_rank_dmd_particle_mse_mean,roi_norm_mean_delta_last_minus_first,front_physics_review_score
cycle151_rank4_obj2,151.0,4,1.4388691546947752,1,1,0,1.2604166666666663,2.846959257811326e-06,9.838070822310428e-06,0.8020833333333333,0.0115374092420097,0.0004011094570159,3.4791666666666665
cycle150_rank1_obj3,150.0,1,40.97186183003927,1,1,0,1.2604166666666663,2.8773778913258605e-06,5.15971000844208e-06,0.6979166666666666,0.0057201725867344,-0.0011341348290443,3.1041666666666665
cycle152_rank5_obj2,152.0,5,1.1876601241161993,1,1,0,0.8854166666666665,2.379398903442321e-06,1.1711172882164502e-05,0.8020833333333334,0.0105221478006569,0.0002936422824859,3.1041666666666665
cycle156_rank3_obj2,156.0,3,1.611586757942234,0,0,1,1.1979166666666663,3.2426969483629712e-06,1.924586662072925e-06,0.7395833333333333,0.0126120635104598,0.0345103815197944,2.9895833333333335
cycle151_rank4_obj3,151.0,4,1.4388691546947752,1,1,0,0.7604166666666666,1.6933994776911942e-06,3.5548311927908026e-06,0.8020833333333333,0.0140752681327285,0.0001749545335769,2.8333333333333335
cycle154_rank6_obj2,154.0,6,1.0097002411185476,1,1,0,0.53125,1.7219407685915105e-06,1.406783869891657e-05,0.8020833333333334,0.0117015752912266,-0.000544436275959,2.8125000000000004
cycle146_rank2_obj1,146.0,2,3.21719464829548,0,1,0,0.8854166666666665,2.8355288227546085e-06,-5.804518945452093e-06,0.96875,0.00553698272779,-0.0010743290185928,2.7708333333333335
cycle153_rank7_obj4,153.0,7,0.8710369083836372,1,1,0,0.59375,-4.713112166780789e-06,1.100830095084398e-05,0.59375,0.0131884730362799,-0.0011079907417297,2.7604166666666665
cycle153_rank7_obj2,153.0,7,0.8710369083836372,1,1,0,0.53125,2.494765311742836e-06,2.0965415290160466e-05,0.7604166666666666,0.0113511280214879,-4.095584154129028e-05,2.7291666666666665
cycle156_rank3_obj1,156.0,3,1.611586757942234,0,0,1,0.7604166666666666,1.0939403501491312e-06,-2.89744567765441e-06,1.03125,0.0101203098602127,0.0163861662149429,2.666666666666667
cycle146_rank2_obj2,146.0,2,3.21719464829548,0,1,0,0.6145833333333333,3.980883653242864e-06,-2.736910349840922e-06,0.59375,0.0086546744496445,-0.0011379420757293,2.4583333333333335
cycle155_rank10_obj3,155.0,10,0.7426923860413742,1,1,0,0.65625,1.6616272975912492e-06,1.222718374967873e-05,0.8020833333333333,0.0090505852858768,0.0029103159904479,2.395833333333333
cycle156_rank3_obj4,156.0,3,1.611586757942234,0,0,1,1.1354166666666663,3.3050077487735446e-06,3.005267259542838e-07,0.1041666666666666,0.0082690402232401,0.0348859056830406,2.3854166666666665
cycle153_rank7_obj1,153.0,7,0.8710369083836372,1,1,0,-0.3333333333333333,-9.976217790658355e-07,1.4778848079399394e-05,0.8437499999999999,0.008984270854853,-0.0008545443415641,2.34375
cycle150_rank1_obj2,150.0,1,40.97186183003927,1,1,0,1.21875,3.987483102929889e-06,1.685953121692708e-06,0.90625,0.0026040776865556,-0.0007508136332035,2.28125
cycle153_rank7_obj3,153.0,7,0.8710369083836372,1,1,0,-0.3020833333333333,-2.358105842964088e-06,7.293103041828939e-06,0.0,0.010196704606642,-0.0009819716215133,2.21875
cycle146_rank2_obj3,146.0,2,3.21719464829548,0,1,0,0.5104166666666667,1.9851639780575305e-06,-9.276277650584762e-06,0.90625,0.0030445552092714,0.0001105815172195,2.1770833333333335
cycle150_rank1_obj1,150.0,1,40.97186183003927,1,1,0,0.90625,1.949243857179767e-06,-8.94348877963008e-07,0.2083333333333333,0.0040274156744999,0.000732198357582,2.15625
cycle146_rank2_obj4,146.0,2,3.21719464829548,0,1,0,0.4270833333333333,1.7641472478071345e-06,-4.9323164869086005e-06,0.4479166666666666,0.0032383133730036,0.0009467750787734,2.03125
cycle148_rank9_obj3,148.0,9,0.7480825471472065,1,1,0,0.9479166666666664,3.208670667020309e-06,-4.3939326880650246e-06,1.0104166666666663,0.0051523783040465,-0.0008971095085144,2.03125
cycle40_rank8_obj4,40.0,8,0.7842017555889671,0,0,0,0.96875,2.202532801714303e-06,1.0676437903295113e-06,0.0625,0.0085376924689626,0.000959850847721,2.0208333333333335
cycle154_rank6_obj1,154.0,6,1.0097002411185476,1,1,0,-0.5625000000000001,-6.813431404043722e-07,8.276832612639884e-06,0.8645833333333333,0.0072957834490807,-0.0004748553037643,2.0104166666666665
cycle151_rank4_obj1,151.0,4,1.4388691546947752,1,1,0,-0.0833333333333333,9.446684719519224e-07,3.2521949982006607e-06,0.6354166666666667,0.0061742809557472,-0.0004784315824508,1.9895833333333335
cycle151_rank4_obj4,151.0,4,1.4388691546947752,1,1,0,-0.34375,-5.815024467303143e-07,2.322205701075035e-06,0.3645833333333333,0.0097698855242924,0.0001768469810485,1.9895833333333335
cycle147_rank11_obj2,147.0,11,0.6943342227566772,0,1,0,0.96875,3.545013670852684e-06,-7.139088247327485e-06,1.15625,0.0038995192408037,-0.0009935721755027,1.9791666666666665
cycle148_rank9_obj1,148.0,9,0.7480825471472065,1,1,0,0.6770833333333333,2.7345169767588627e-06,-7.820668708162389e-06,1.1979166666666663,0.0039590068554389,0.0016496032476425,1.9375
cycle116_rank12_obj2,116.0,12,0.6939075621668416,0,0,1,1.03125,2.9470402822794685e-06,-1.269043111364743e-06,0.8229166666666666,0.0102788366075401,-0.0004377588629722,1.9374999999999998
cycle152_rank5_obj1,152.0,5,1.1876601241161993,1,1,0,-0.4375,-1.0783074451956189e-07,5.773466394105487e-06,0.8854166666666666,0.0058596056187525,-0.000623732805252,1.9270833333333335
cycle152_rank5_obj3,152.0,5,1.1876601241161993,1,1,0,-0.1458333333333334,-2.1025863546349785e-06,1.3434946978268669e-06,0.0416666666666666,0.01099443219573,-0.000570610165596,1.9270833333333335
cycle150_rank1_obj4,150.0,1,40.97186183003927,1,1,0,0.65625,1.0680818486858788e-06,-4.763097805629046e-07,-0.1875,0.004345835364802,0.0005302727222442,1.8958333333333333
cycle154_rank6_obj3,154.0,6,1.0097002411185476,1,1,0,-0.1249999999999999,-2.4222712475944126e-06,2.6789503082236144e-06,0.0624999999999999,0.0088957665284397,-0.000441052019596,1.885416666666667
cycle156_rank3_obj3,156.0,3,1.611586757942234,0,0,1,0.84375,1.5749582287990145e-06,-1.9010545341489733e-07,0.0208333333333333,0.0048023381641542,0.0234959349036216,1.875
cycle154_rank6_obj4,154.0,6,1.0097002411185476,1,1,0,-0.40625,-1.2899862936181575e-06,4.84606529829449e-06,-0.1041666666666667,0.0068573283060686,-0.0003932118415832,1.84375
cycle148_rank9_obj4,148.0,9,0.7480825471472065,1,1,0,0.78125,3.186775303516529e-06,-4.672469430755894e-06,0.96875,0.0031240272983268,0.001376673579216,1.71875
cycle155_rank10_obj2,155.0,10,0.7426923860413742,1,1,0,-0.5729166666666667,-9.068969438737752e-07,7.320888043196729e-06,0.8645833333333334,0.0085474300285568,0.0015108585357666,1.6770833333333335
cycle40_rank8_obj1,40.0,8,0.7842017555889671,0,0,0,0.5520833333333333,1.8999294020920252e-06,4.56673340837489e-06,0.8645833333333333,0.0041175940677931,-0.0001740977168083,1.65625
cycle40_rank8_obj3,40.0,8,0.7842017555889671,0,0,0,0.6145833333333333,1.2572894658880078e-06,2.604996113154949e-06,-0.0625,0.005379147529311,-0.0001339614391326,1.6458333333333335
cycle116_rank12_obj3,116.0,12,0.6939075621668416,0,0,1,1.03125,5.183254912447831e-06,-5.108078883862397e-06,1.2395833333333337,0.0013452227176458,-0.0004914700984954,1.6041666666666665
