roi_id,cycleNo,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,threshold_robust_phase_score,phase_slope_median_per_s,diffusion_proxy_median_um2_per_s,threshold_robust_diffusion_score,low_rank_dmd_particle_mse_mean,roi_norm_mean_delta_last_minus_first,front_physics_review_score
cycle152_rank5_obj4,152.0,5,1.1876601241161993,1,1,0,-0.4895833333333333,-7.878987964506837e-07,1.948021835195176e-06,-0.5,0.0066287732843193,-0.0005436539649963,1.5729166666666665
cycle147_rank11_obj1,147.0,11,0.6943342227566772,0,1,0,0.5729166666666666,2.9196749395072232e-06,-1.2267893506422475e-05,1.0729166666666663,0.0022355726814566,0.0024749115109443,1.5520833333333335
cycle155_rank10_obj4,155.0,10,0.7426923860413742,1,1,0,0.3229166666666666,-2.280259932039236e-06,2.7646803930549897e-06,-0.0833333333333333,0.0054466440487885,0.0008869022130966,1.3645833333333333
cycle147_rank11_obj3,147.0,11,0.6943342227566772,0,1,0,0.6979166666666666,4.198421406853904e-06,-4.630815101511622e-06,1.03125,0.0022021403929102,0.0017741546034812,1.322916666666667
cycle116_rank12_obj1,116.0,12,0.6939075621668416,0,0,1,0.90625,2.787435819630003e-06,1.6532488995223889e-06,0.4687499999999999,0.0032383710240537,-0.0005199462175369,1.3229166666666667
cycle116_rank12_obj4,116.0,12,0.6939075621668416,0,0,1,0.90625,2.0996419977662014e-06,-1.988182720342206e-06,0.6770833333333333,0.0031172876115306,-0.0003072023391723,1.3229166666666667
cycle148_rank9_obj2,148.0,9,0.7480825471472065,1,1,0,0.84375,4.376125567735644e-06,-5.273960130712847e-07,-0.5416666666666666,0.0031004342745291,-2.154707908630371e-05,1.2083333333333335
cycle147_rank11_obj4,147.0,11,0.6943342227566772,0,1,0,0.6770833333333333,4.9734195987324445e-06,-1.3002342023247751e-06,-0.4583333333333333,0.0031506686354987,0.0005997419357299,1.0833333333333335
cycle40_rank8_obj2,40.0,8,0.7842017555889671,0,0,0,0.5104166666666666,9.600876407879318e-07,-1.499595511552432e-06,0.0208333333333333,0.0027451853165985,0.0005745068192481,1.03125
cycle155_rank10_obj1,155.0,10,0.7426923860413742,1,1,0,-0.3437500000000001,-1.1456991870567262e-06,9.751095699800706e-07,-0.7083333333333333,0.0058384288277011,0.0009278282523155,0.96875
