echem_feature,target,n,spearman_rho,p_value,abs_spearman_rho
shape_V_mean,kymograph_temporal_energy,122,0.5918097260478978,7.04882716722486e-13,0.5918097260478978
all_dq_abs_highV_frac,kymograph_temporal_energy,122,0.5402284633205888,1.3435351751004814e-10,0.5402284633205888
all_dq_abs_midV_frac,kymograph_temporal_energy,122,-0.5121112552680552,1.6475982968132032e-09,0.5121112552680552
neg_dq_abs_peak_voltage,masked_minus_background_mean_slope,122,0.49505161527934505,6.77061170459889e-09,0.49505161527934505
dqdv_integral_asymmetry,kymograph_temporal_energy,122,-0.4902995988098133,9.901187412944942e-09,0.4902995988098133
neg_dq_abs_peak_voltage,kymograph_temporal_energy,122,-0.4865780524108375,1.328032928066184e-08,0.4865780524108375
midV_charge_discharge_imbalance,kymograph_temporal_energy,122,0.48653213087611696,1.3328242932141871e-08,0.48653213087611696
voltage_peak_hysteresis_proxy,kymograph_temporal_energy,122,0.4865175029527381,1.334354021629972e-08,0.4865175029527381
dqdv_entropy_asymmetry,masked_minus_background_mean_slope,122,0.47310143817213285,3.736696876166119e-08,0.47310143817213285
echem_regime_pc3,kymograph_temporal_energy,128,0.464781157520304,3.2602494221308614e-08,0.464781157520304
neg_dq_abs_peak_frac,masked_minus_background_mean_slope,122,0.4434640237603884,3.1263287086262645e-07,0.4434640237603884
all_dq_abs_peak_frac,kymograph_temporal_energy,122,-0.4417984063581227,3.502150625113967e-07,0.4417984063581227
voltage_peak_hysteresis_proxy,masked_minus_background_mean_slope,122,-0.4379800205443367,4.532818406711585e-07,0.4379800205443367
shape_V_range,kymograph_temporal_energy,122,0.4372073573015803,4.773893390575534e-07,0.4372073573015803
dqdv_peak_concentration,kymograph_temporal_energy,122,-0.4326242914599288,6.474707594053462e-07,0.4326242914599288
pos_dq_abs_peak_frac,kymograph_temporal_energy,122,-0.4326242914599288,6.474707594053462e-07,0.4326242914599288
echem_regime_pc2,kymograph_temporal_energy,128,0.42650627410739744,5.168841587284518e-07,0.42650627410739744
highV_charge_discharge_imbalance,kymograph_temporal_energy,122,-0.42460024572044225,1.092213254553598e-06,0.42460024572044225
all_dq_abs_lowV_frac,masked_minus_background_mean_slope,122,-0.42251161437474394,1.2487207363397115e-06,0.42251161437474394
capacity_mAh,kymograph_temporal_energy,122,0.4163382546377749,1.8454376660316172e-06,0.4163382546377749
capacity_fade_from_first_mAh,kymograph_temporal_energy,122,-0.4163382546377749,1.8454376660316172e-06,0.4163382546377749
capacity_fraction_of_first,kymograph_temporal_energy,122,0.4163382546377749,1.8454376660316172e-06,0.4163382546377749
shape_charge_mAh_abs,kymograph_temporal_energy,122,0.41374729423425033,2.169191057270684e-06,0.41374729423425033
capacity_mAh,masked_minus_background_mean_slope,122,-0.4078383182119266,3.1204600900537174e-06,0.4078383182119266
capacity_fade_from_first_mAh,masked_minus_background_mean_slope,122,0.4078383182119266,3.1204600900537174e-06,0.4078383182119266
capacity_fraction_of_first,masked_minus_background_mean_slope,122,-0.4078383182119266,3.1204600900537174e-06,0.4078383182119266
shape_V_std,kymograph_temporal_energy,122,0.4024977671760905,4.309040056165931e-06,0.4024977671760905
shape_dVdt_sign_consistency,kymograph_temporal_energy,122,-0.3958485167527597,6.390552241884794e-06,0.3958485167527597
neg_dq_abs_peak_frac,phase_fraction_slope_per_norm_time,122,0.3901642668878846,8.891134155812825e-06,0.3901642668878846
echem_regime_pc4,mask_area_fraction_slope,128,0.3858163188045019,6.872817894315778e-06,0.3858163188045019
shape_charge_mAh_abs,masked_minus_background_mean_slope,122,-0.38360755076467973,1.2915948338885247e-05,0.38360755076467973
all_dq_abs_entropy,kymograph_temporal_energy,122,0.3808711793181003,1.505863953259512e-05,0.3808711793181003
voltage_peak_hysteresis_proxy,mask_area_fraction_slope,122,0.3772334539154953,1.8428207928583263e-05,0.3772334539154953
all_dq_abs_lowV_frac,phase_fraction_slope_per_norm_time,122,-0.37149877663392245,2.5212980846029504e-05,0.37149877663392245
shape_V_range,mask_centroid_path_px,122,0.3686324308985661,2.942482902912374e-05,0.3686324308985661
shape_I_pos_fraction,front_radius2_slope_r2,81,-0.3649361395446136,0.0008090038748140034,0.3649361395446136
shape_I_neg_fraction,front_radius2_slope_r2,81,0.3649361395446136,0.0008090038748140034,0.3649361395446136
neg_dq_abs_peak_frac,kymograph_temporal_energy,122,-0.36487596458205623,3.594861054153869e-05,0.36487596458205623
dqdv_entropy_asymmetry,kymograph_temporal_energy,122,-0.3567726037281761,5.4908719456785235e-05,0.3567726037281761
echem_outlier_score,kymograph_temporal_energy,122,0.35185727718952775,7.060458178820419e-05,0.35185727718952775
echem_regime_pc3,mask_centroid_path_px,128,0.3513071162058436,4.783195332835e-05,0.3513071162058436
all_dq_abs_highV_frac,front_radius_monotonic_fraction,122,-0.34351164233492554,0.00010719108461445963,0.34351164233492554
