roi_id,cohort_role,cycleNo,event_reference_cycle,review_sources,review_priority_tier,combined_review_priority_score,recommended_review_reason,manual_qc_status,manual_qc_decision,manual_qc_notes,manual_particle_identity_ok,manual_front_mask_ok,manual_diffusion_interpretable,manual_reviewer,manual_review_date,auto_review_flags,mode_label,degradation_mode_hypothesis,qc_priority_score,control_balance_priority_score,mode_review_priority,front_quality_score,rollout_mobility_difficulty_score,threshold_robust_phase_score,phase_slope_positive_fraction_protocol_residual,diffusion_proxy_abs_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_ci_positive,q70_radius_ci_crosses_zero,n_components,largest_component_fraction,edge_touch_fraction,q70_fraction_delta,n_frames_percentile,primary_qc_png,control_balanced_qc_png,roi_preview_path,front_crop_preview_path,front_tracking_plot_path,rollout_preview_path
cycle156_rank1_obj1,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,12.849218621808475,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags,pending,,,,,,,,none;already_in_primary_qc,optical_loss_rollout_hard,,5.028846153846153,2.5148246363605105,2.875,1.5087951450912631,1.826923076923077,0.7596153846153847,0.0296361115027952,3.1121066697894616e-06,1.6447021567792111e-06,1.0,0.0,72.0,0.4860706860706861,0.0,0.0784901138406231,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank1_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank1_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank1_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank1_obj1_dmd_rollout.png
cycle156_rank6_obj3,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,medium,12.793660390821584,event_roi;primary_visual_panel;control_balanced_panel;diffusion_ci_check,pending,,,,,,,,diffusion_ci_crosses_zero;already_in_primary_qc,optical_loss_rollout_hard,,4.855769230769231,2.486886060534589,2.798076923076924,1.4367926892737708,2.0576923076923075,0.951923076923077,0.0296361115027952,1.9010545341489733e-07,-1.277299059595353e-06,1.0,1.0,73.0,0.5075787019043918,0.0,0.1066506890353504,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank6_obj3_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank6_obj3_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank6_obj3.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank6_obj3_dmd_rollout.png
cycle62_rank1_obj4,control,62.0,60.0,control_balanced_visual_qc;ranked_review_packet,medium,11.753876369495782,control_roi;control_balanced_panel;fragmentation_check,pending,,,,,,,,fragmented_q70_mask,near_baseline_or_context_like,,4.149038461538462,2.934240955613564,2.625,1.9750338827400629,1.8269230769230769,0.5865384615384616,-0.0739292207347166,2.18166299218825e-06,3.1989018492053685e-07,0.0,0.0,64.0,0.4058044806517311,0.0,0.0094367884961054,0.3370786516853932,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank1_obj4_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank1_obj4.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle62_rank1_obj4_dmd_rollout.png
cycle156_rank8_obj10,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,medium,11.655276676027567,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags;hard_rollout_mobility,pending,,,,,,,,none;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,4.009615384615384,2.593749351319924,2.2403846153846154,1.5796474218170364,2.519230769230769,0.4134615384615384,0.0296361115027952,2.049368662829508e-06,5.819641498192576e-07,1.0,0.0,70.0,0.5495750708215298,0.0,0.1443978430197723,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank8_obj10_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank8_obj10_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank8_obj10.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank8_obj10_dmd_rollout.png
cycle157_rank2_obj2,control,157.0,156.0,control_balanced_visual_qc;ranked_review_packet,medium,10.417215801481326,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check;high_residual_mode_priority;large_conditioned_front_sign_residual,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero,optical_loss_rollout_hard,,4.875,-0.3917239090920952,3.105769230769231,0.6756360226257907,1.8846153846153844,0.451923076923077,-0.0888448999578106,1.838715828077807e-06,3.112057966509353e-07,0.0,1.0,71.0,0.4046961325966851,0.0,-0.121629718394248,0.7696629213483146,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle157_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle157_rank2_obj2.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle157_rank2_obj2_dmd_rollout.png
cycle62_rank4_obj1,control,62.0,60.0,control_balanced_visual_qc;ranked_review_packet,medium,10.255241147783611,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero;active_control,optical_loss_rollout_hard,,4.091346153846154,1.1201096634850307,2.923076923076923,1.1137010944495138,2.1346153846153846,0.2596153846153847,-0.0739292207347166,6.537967484022862e-07,-1.207976058865427e-06,0.0,1.0,82.0,0.3607068607068607,0.0,0.0011983223487118,0.3370786516853932,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank4_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank4_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle62_rank4_obj1_dmd_rollout.png
cycle58_rank6_obj29,control,58.0,60.0,control_balanced_visual_qc;ranked_review_packet,medium,9.910636824715779,control_roi;control_balanced_panel;diffusion_ci_check;large_conditioned_front_sign_residual,pending,,,,,,,,diffusion_ci_crosses_zero,near_baseline_or_context_like,,3.2451923076923075,1.7590923642497396,2.6634615384615383,1.6155277307729818,1.8461538461538465,0.6057692307692308,0.0849698428160106,3.22953107952456e-08,-2.8884899133849952e-06,0.0,1.0,72.0,0.4508492022645394,0.0,0.0004493708807669,0.3539325842696629,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle58_rank6_obj29_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank6_obj29.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle58_rank6_obj29_dmd_rollout.png
cycle158_rank6_obj3,control,158.0,156.0,control_balanced_visual_qc;ranked_review_packet,medium,9.392108374656745,control_roi;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,pending,,,,,,,,fragmented_q70_mask,near_baseline_or_context_like,,3.293269230769231,1.6709359668358303,2.2884615384615383,1.5361833653905674,1.6153846153846154,0.4903846153846154,0.1158999767148418,1.3885535501791292e-06,-1.6898866531743609e-07,0.0,0.0,83.0,0.3601220752797558,0.0,0.0157279808268424,0.7696629213483146,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle158_rank6_obj3_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle158_rank6_obj3.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle158_rank6_obj3_dmd_rollout.png
cycle86_rank5_obj8,event,86.0,86.0,control_balanced_visual_qc;ranked_review_packet,medium,9.26357233528927,event_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero,near_baseline_or_context_like,,3.0769230769230766,2.4751395748073706,1.5673076923076923,1.9606669965442456,1.5961538461538465,0.3942307692307694,0.0650642115750638,6.469866669313556e-07,-1.551461893017579e-06,0.0,1.0,78.0,0.2286419753086419,0.0,0.0095865787896944,0.0786516853932584,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle86_rank5_obj8_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank5_obj8.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front5_obj8_crop_preview.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front5_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle86_rank5_obj8_dmd_rollout.png
cycle58_rank3_obj9,control,58.0,60.0,control_balanced_visual_qc;ranked_review_packet,medium,9.262519420512536,control_roi;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,pending,,,,,,,,fragmented_q70_mask;active_control,near_baseline_or_context_like,,3.3701923076923075,0.76680520822987,2.9134615384615383,0.8161872484866202,2.0961538461538463,0.5480769230769231,0.0849698428160106,3.0287723826118747e-06,1.0798715843163389e-07,1.0,0.0,68.0,0.3744959677419355,0.0,0.0005991611743558,0.3539325842696629,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle58_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank3_obj9.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle58_rank3_obj9_dmd_rollout.png
