n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95,feature_set,method,target,observed_roc_auc
500,0.011976047904191617,0.5005426900584795,0.6222222222222222,acquisition_context,raw,future_any_drop_within_16cycles,0.6970760233918128
500,0.5788423153692615,0.5034058479532163,0.6444444444444445,video_all,raw,future_any_drop_within_16cycles,0.4888888888888889
500,0.4091816367265469,0.5011134502923976,0.6433333333333333,video_all,source_centered,future_any_drop_within_16cycles,0.5228070175438597
500,0.782435129740519,0.49931695906432744,0.6387719298245612,video_all,coral,future_any_drop_within_16cycles,0.4280701754385964
500,0.19760479041916168,0.5017871345029239,0.639766081871345,video_all,acq_resid,future_any_drop_within_16cycles,0.5766081871345029
500,0.93812375249501,0.5045824561403509,0.6444444444444444,video_all,acq_resid_source_centered,future_any_drop_within_16cycles,0.36608187134502923
500,0.7025948103792415,0.5025614035087719,0.629298245614035,video_all,acq_resid_coral,future_any_drop_within_16cycles,0.4619883040935673
500,0.13972055888223553,0.5014596491228069,0.6376023391812863,video_plus_echem,raw,future_any_drop_within_16cycles,0.5953216374269006
500,0.005988023952095809,0.49623859649122803,0.6281286549707601,video_plus_echem,source_centered,future_any_drop_within_16cycles,0.736842105263158
500,0.8163672654690619,0.4979742690058479,0.650409356725146,video_plus_echem,coral,future_any_drop_within_16cycles,0.41988304093567247
500,0.16766467065868262,0.5066140350877193,0.6435964912280698,video_plus_echem,acq_resid,future_any_drop_within_16cycles,0.5953216374269006
500,0.7365269461077845,0.5041134502923976,0.6386842105263157,video_plus_echem,acq_resid_source_centered,future_any_drop_within_16cycles,0.4456140350877193
500,0.9860279441117764,0.5015111111111111,0.6339766081871344,video_plus_echem,acq_resid_coral,future_any_drop_within_16cycles,0.3111111111111111
