feature_set,method,target,n_eval,n_sources,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
acquisition_context,raw,future_any_drop_within_16cycles,72,9,24,57,0.6970760233918128,0.9218202837128742,0.27727892807586335,0.018371145534285944,0.011976047904191617,0.5005426900584795,0.6222222222222222,500.0
video_all,raw,future_any_drop_within_16cycles,72,9,24,57,0.4888888888888889,0.8145320827935935,-0.015632936597748972,0.8963004167927221,0.5788423153692615,0.5034058479532163,0.6444444444444445,500.0
video_all,source_centered,future_any_drop_within_16cycles,72,9,24,57,0.5228070175438597,0.8538768128724062,0.032088659332221575,0.7890188696247851,0.4091816367265469,0.5011134502923976,0.6433333333333333,500.0
video_all,coral,future_any_drop_within_16cycles,72,9,24,57,0.4280701754385964,0.8046989936431442,-0.1012026948170065,0.3976202712407513,0.782435129740519,0.49931695906432744,0.6387719298245612,500.0
video_all,acq_resid,future_any_drop_within_16cycles,72,9,24,57,0.5766081871345029,0.8557948681230567,0.10778498391079554,0.36747743044386444,0.19760479041916168,0.5017871345029239,0.639766081871345,500.0
video_all,acq_resid_source_centered,future_any_drop_within_16cycles,72,9,24,57,0.36608187134502923,0.7942947444033264,-0.1884180253097113,0.11295913695762003,0.93812375249501,0.5045824561403509,0.6444444444444444,500.0
video_all,acq_resid_coral,future_any_drop_within_16cycles,72,9,24,57,0.4619883040935673,0.8414866207242628,-0.053481098887035956,0.6554675752048152,0.7025948103792415,0.5025614035087719,0.629298245614035,500.0
echem_regime,raw,future_any_drop_within_16cycles,72,9,24,57,0.41052631578947363,0.8083206348218641,-0.125983544746569,0.2916517117986816,,,,
echem_regime,source_centered,future_any_drop_within_16cycles,72,9,24,57,0.6526315789473685,0.9162236580112648,0.2149131057441471,0.06984257188362475,,,,
echem_regime,coral,future_any_drop_within_16cycles,72,9,24,57,0.21052631578947367,0.7169666671521069,-0.40759382123889976,0.0003799032112615209,,,,
echem_regime,acq_resid,future_any_drop_within_16cycles,72,9,24,57,0.5824561403508772,0.8722163441543405,0.11602403856719659,0.33177276378709747,,,,
echem_regime,acq_resid_source_centered,future_any_drop_within_16cycles,72,9,24,57,0.4257309941520468,0.8329175496252302,-0.10452325306148043,0.38223601071903685,,,,
echem_regime,acq_resid_coral,future_any_drop_within_16cycles,72,9,24,57,0.335672514619883,0.77227247143788,-0.23120290441934005,0.0506952311404267,,,,
video_plus_echem,raw,future_any_drop_within_16cycles,72,9,24,57,0.5953216374269006,0.867929553249541,0.1341141402859517,0.26136845857321445,0.13972055888223553,0.5014596491228069,0.6376023391812863,500.0
video_plus_echem,source_centered,future_any_drop_within_16cycles,72,9,24,57,0.736842105263158,0.9310996388085894,0.3332283853730702,0.004232580800481279,0.005988023952095809,0.49623859649122803,0.6281286549707601,500.0
video_plus_echem,coral,future_any_drop_within_16cycles,72,9,24,57,0.41988304093567247,0.811941230312148,-0.11272170073113733,0.34581146487844266,0.8163672654690619,0.4979742690058479,0.650409356725146,500.0
video_plus_echem,acq_resid,future_any_drop_within_16cycles,72,9,24,57,0.5953216374269006,0.8749198966251504,0.13412492315903132,0.2613297646410452,0.16766467065868262,0.5066140350877193,0.6435964912280698,500.0
video_plus_echem,acq_resid_source_centered,future_any_drop_within_16cycles,72,9,24,57,0.4456140350877193,0.8432986988661254,-0.07654064987966676,0.5227964113358292,0.7365269461077845,0.5041134502923976,0.6386842105263157,500.0
video_plus_echem,acq_resid_coral,future_any_drop_within_16cycles,72,9,24,57,0.3111111111111111,0.768530206745814,-0.2657599221617325,0.024050450568565175,0.9860279441117764,0.5015111111111111,0.6339766081871344,500.0
