source_stem,n_rows,n_cycles,n_positive_future16,future16_positive_fraction,cycle_min,cycle_max,mean_abs_feature_z_shift
17_c2_x10_HighHighCOV_150723,30,10,30,1.0,146.0,155.0,0.40464033503510305
9_c2_x10_010723,9,3,9,1.0,76.0,84.0,0.6177771174805496
12_c2_x10_070723,6,2,6,1.0,108.0,110.0,0.5593734851070794
11_c2_x10_050723,3,1,3,1.0,104.0,104.0,0.6963384098280984
16_c2_x10_HighHighCOV_130723,9,3,6,0.6666666666666666,139.0,143.0,0.5330869323844527
5_c2_x10_260623,6,2,3,0.5,40.0,44.0,0.7692755665889526
14_c2_x10_HighCOV_110723,3,1,0,0.0,129.0,129.0,0.5994486043894504
15_c2_x5_HighCOV_120723,3,1,0,0.0,131.0,131.0,0.5632011424889025
18_c2_xN_HighHighCOV_170723,3,1,0,0.0,158.0,158.0,0.4102700969641414
