feature,target,n,n_positive,median_positive,median_negative,median_difference,spearman_rho
cross_modal_consensus_score,any_abrupt_drop,89,4,0.7317229829588374,0.49188304060993443,0.239839942348903,0.2976512332991281
n_modal_votes,any_abrupt_drop,89,4,3.0,1.0,2.0,0.27657454830426387
low_frame_rank,any_abrupt_drop,89,4,0.7752808988764045,0.4775280898876404,0.2977528089887641,0.122470417076761
hazard_probability_max,any_abrupt_drop,62,3,0.942168570758731,0.965691112543452,-0.02352254178472102,-0.11550518803203333
cross_modal_consensus_score,future_any_drop_within_8cycles,89,20,0.507557811585539,0.498490114240084,0.00906769734545504,0.06182163699042327
n_modal_votes,future_any_drop_within_8cycles,89,20,1.0,1.0,0.0,0.06780707405364969
low_frame_rank,future_any_drop_within_8cycles,89,20,0.6207865168539326,0.4775280898876404,0.1432584269662922,0.04873669462128556
hazard_probability_max,future_any_drop_within_8cycles,62,16,0.9952055824476262,0.943073284453039,0.052132297994587296,0.4243104658325023
roi_transferred_masked_residual_signature,future_any_drop_within_8cycles,24,12,0.7453874665942903,0.3291327026415064,0.41625476395278393,0.3130032180229999
cross_modal_consensus_score,synchronized_drop_2plus,89,2,0.8039256823941291,0.498490114240084,0.3054355681540451,0.2567276590262353
n_modal_votes,synchronized_drop_2plus,89,2,4.0,1.0,3.0,0.27235123012549056
low_frame_rank,synchronized_drop_2plus,89,2,0.9550561797752809,0.4775280898876404,0.4775280898876405,0.2420370717527361
hazard_probability_max,synchronized_drop_2plus,62,2,0.798762054015926,0.9659903882400436,-0.16722833422411754,-0.14793223054751967
