cycleNo,n_frames,frames_percentile,drop_count,any_abrupt_drop,synchronized_drop_2plus,synchronized_drop_3plus,mean_abs_delta_prev,max_abs_delta_prev,delta_std_across_particles,particle_norm_cv,future_any_drop_within_8cycles,future_sync2_drop_within_8cycles,cycles_to_next_drop_within_8,capacity_mAh,coulombic_efficiency_pct,V_min,V_max,n_points,integrated_n_event_particles,integrated_mean_drop_frac,integrated_n_sustained_next_cycle,integrated_global_frame_percentile,integrated_synchronized_event,integrated_evidence_score,integrated_degradation_mode_hypothesis,hazard_probability_mean,hazard_probability_max,hazard_n_predictions,roi_phase_slope_abs_median_per_s,roi_radius2_slope_median_px2_per_s,roi_diffusion_proxy_abs_median_um2_per_s,roi_threshold_robust_phase_score,roi_threshold_robust_diffusion_score,roi_roi_norm_mean_delta_last_minus_first,roi_stage_drift_xy_sampled,roi_object_mean_residual,roi_transferred_masked_residual_signature,roi_persistence_particle_mse_fraction_of_full_mean,roi_low_rank_dmd_particle_mse_fraction_of_full_mean,roi_velocity_particle_mse_fraction_of_full_mean,roi_selection_subrole,temporal_cycles_to_next_drop,temporal_cycles_since_previous_drop,temporal_radius2_slope_median_px2_per_s,temporal_diffusion_proxy_median_um2_per_s,temporal_persistence_particle_mse_fraction_of_full_mean,state_degradation_state_axis,state_cycle_state_cluster,state_state_step_norm,state_axis_step,state_shape_V_range,state_shape_I_abs_mean_mA,state_shape_dVdt_abs_p95,joint_n_roi,joint_joint_degradation_score,joint_rollout_residual_energy_mean,joint_radius2_slope_full_px2_per_s,joint_active_fraction_last,joint_evidence_score,trace_delta_rank,trace_sync_rank,particle_heterogeneity_rank,low_frame_rank,integrated_evidence_rank,hazard_probability_rank,front_motion_rank,front_threshold_rank,masked_residual_rank,rollout_residual_rank,state_transition_rank,echem_shape_rank,trace_vote_score,trace_vote,acquisition_vote_score,acquisition_vote,integrated_event_vote_score,integrated_event_vote,ai_rollout_vote_score,ai_rollout_vote,front_motion_vote_score,front_motion_vote,echem_state_vote_score,echem_state_vote,cross_modal_consensus_score,n_modal_votes,consensus_class,cross_modal_consensus_z,trace_delta_z,low_frame_z
86,899.0,0.0786516853932584,3,1,1,1,0.1432274429821185,0.1680327868852459,0.0247002224180334,0.0470781101932601,0,0,,0.623164453387729,98.59700920601584,2.999776,4.200073,90230.0,3.0,0.1420951480652973,3.0,0.0786516853932584,1.0,12.399287527913966,synchronized_persistent_drop_low_frame_count,0.6219984479106454,0.942168570758731,5,,,,,,,,,,,,,,,,,,,6.813171681880113,1,8.521464254560303,2.389285221900084,1.2002969999999995,0.500889,0.0096450651383918,5.0,0.0675871942884337,0.0017062032611647,-0.1213475727142185,0.1098795572916666,12.399287527913966,0.9318181818181818,0.9943820224719101,0.47191011235955055,0.9213483146067416,0.75,0.3870967741935484,,,,1.0,0.9318181818181818,0.9259259259259259,0.9943820224719101,1,0.9213483146067416,1,0.75,0,1.0,1,,0,0.9318181818181818,1,0.8126999459104489,4,synchronized_multimodal_degradation_candidate,2.5712224933368453,1.2201305357003445,1.4712029639378998
116,892.0,0.0112359550561797,3,1,1,1,0.2017531876138433,0.2622950819672129,0.0655718888871915,0.1056420171213876,0,0,,0.824414588297882,98.39927188340005,2.987808,4.401795,70712.0,3.0,0.1917019578422557,3.0,0.0112359550561797,1.0,12.929917335181958,synchronized_persistent_drop_low_frame_count,0.1490509235308146,0.6553555372731211,5,,,,,,,,,,,,,,,,,,,-2.1141956086485054,0,13.563520693660344,3.647132959927527,1.413987,0.500889,0.009604703537663,6.0,-0.0563226619070296,0.0006107718304898,-0.1670950078134636,0.0489230685763888,12.929917335181958,0.9772727272727273,0.9943820224719101,0.8764044943820225,0.9887640449438202,1.0,0.16129032258064516,,,,0.5,0.9545454545454546,0.7037037037037037,0.9943820224719101,1,0.9887640449438202,1,1.0,1,0.5,0,,0,0.9545454545454546,1,0.7951514188778093,4,synchronized_multimodal_degradation_candidate,2.425242124466879,2.7276194060825425,1.7034981687701998
150,1237.0,0.848314606741573,0,0,0,0,0.0245821467969932,0.0555555555555555,0.035895299528094,0.0622907982207778,1,0,6.0,0.4018784230033991,46.81331631510453,3.123126,4.61317,46319.0,,,,,,,,0.653134344657451,0.9999994341692892,5,2.8773778913258605e-06,0.0007317504868457,1.685953121692708e-06,1.0,0.5486111111111112,-0.0007508136332035,0.2236067977500298,7190.4619140625,40.97186183003927,1.3729633191500403,4.125978186238448,1.2397749874592123,high_warning_positive,6.0,34.0,0.0007317504868457,1.685953121692708e-06,1.3729633191500403,-6.674485392649005,2,29.647137869789937,3.404189967878925,1.490044,0.500889,0.0069057127222195,,,,,,,0.32386363636363635,0.48314606741573035,0.5955056179775281,0.151685393258427,,0.9838709677419355,0.3333333333333333,1.0,1.0,,1.0,0.5925925925925926,0.5955056179775281,0,0.151685393258427,0,,0,1.0,1,1.0,1,1.0,1,0.6463997608683184,3,multimodal_outlier_without_trace_drop,1.1878264789340236,-0.5786605318571624,-1.1808339578975244
151,1236.0,0.8314606741573034,0,0,0,0,0.0216433848995613,0.0368852459016393,0.016806887252231,0.0558838296006821,1,0,5.0,,,,,,,,,,,,,0.7608619409545072,0.9991591620464354,5,1.6933994776911942e-06,0.0015428954829821,3.5548311927908026e-06,0.8055555555555556,0.6875,0.0001749545335769,0.2500000000000227,7830.56005859375,1.4388691546947752,1.563289421986431,4.167367311529278,1.6346991774399813,high_warning_positive,5.0,35.0,0.0015428954829821,3.5548311927908026e-06,1.563289421986431,0.0135317125971764,1,28.533194056224296,6.688017105246181,,,,,,,,,,0.09090909090909091,0.48314606741573035,0.550561797752809,0.1685393258426966,,0.8870967741935484,0.6666666666666666,0.875,0.9166666666666666,,0.9886363636363636,,0.550561797752809,0,0.1685393258426966,0,,0,0.9166666666666666,1,0.875,1,0.9886363636363636,1,0.6252469725648413,3,multimodal_outlier_without_trace_drop,1.011863457454983,-0.8772452839618493,-1.1227601566894498
104,899.0,0.0786516853932584,0,0,0,0,0.0533210190102362,0.1666666666666667,0.0823361129464682,0.0648176884730777,0,0,,0.6262963091730681,98.70039232971492,2.963871,4.200073,53824.0,,,,,,,,0.8985716542053739,0.9992884665151364,5,3.886094213072397e-07,-0.0008926168145609,2.0565891407483154e-06,0.6666666666666667,0.8541666666666667,-0.0004455596208572,0.2500000000000227,13086.8427734375,0.3719069574735253,0.953346085725471,2.1131483005252427,0.9038673552583648,hard_negative_high_warning,12.0,18.0,-0.0008926168145609,-2.0565891407483154e-06,0.953346085725471,2.958406183783669,1,1.4822759143483983,-0.6596706124988634,1.2362019999999996,0.500889,0.006473669782724,,,,,,,0.8863636363636364,0.48314606741573035,0.6292134831460674,0.9213483146067416,,0.9032258064516129,0.4583333333333333,0.625,0.4583333333333333,,0.3068181818181818,0.5432098765432098,0.8863636363636364,1,0.9213483146067416,1,,0,0.9032258064516129,1,0.625,0,0.5432098765432098,0,0.6214992033011846,3,multimodal_outlier_without_trace_drop,0.9806870095097768,1.1982828709121973,1.4712029639378998
126,1187.0,0.7078651685393258,0,0,0,0,0.007172131147541,0.0163934426229508,0.0084489869377411,0.1057423462744356,0,0,,0.8733915434641674,179.33998347782418,2.999776,4.600042999999999,97789.0,,,,,,,,0.9989304526276725,1.0,5,,,,,,,,,,,,,,,,,,,-8.945608658116742,3,25.535815332623,-2.706808298808081,1.6002669999999992,0.500889,0.004824688269976,,,,,,,0.05113636363636364,0.48314606741573035,0.8876404494382022,0.2921348314606742,,1.0,,,,,0.9659090909090909,0.2716049382716049,0.8876404494382022,1,0.2921348314606742,0,,0,1.0,1,,0,0.9659090909090909,1,0.5645102487330952,3,multimodal_outlier_without_trace_drop,0.5066148213489192,-1.2049602557840668,-0.6968856144968996
76,905.0,0.2022471910112359,0,0,0,0,0.1292465173554991,0.3333333333333332,0.1398284804494115,0.1215650406277644,0,0,,0.6265629096357282,98.49423902936768,2.999969,4.200073,90754.0,,,,,,,,0.8227760165580846,0.9915176758775572,5,7.970035181570776e-07,0.0003649855616665,1.1616820100929252e-06,0.7916666666666667,0.7986111111111112,4.298985004425049e-06,0.2500000000000227,10902.2548828125,0.2739127589669339,0.9647639708160224,3.436079605634891,0.8898933077343856,low_risk_negative,10.0,16.0,0.0003649855616665,8.409267340797663e-07,0.9647639708160224,3.7482156547020216,1,4.530712836386308,-1.486660001994049,1.2001039999999996,0.500889,0.0096458696408513,,,,,,,1.0,0.48314606741573035,0.9662921348314607,0.797752808988764,,0.7096774193548387,0.20833333333333334,0.8333333333333334,0.3333333333333333,,0.8181818181818182,0.9506172839506173,1.0,1,0.797752808988764,0,,0,0.7096774193548387,0,0.8333333333333334,0,0.9506172839506173,1,0.7100667532723229,2,low_consensus,1.7174510462091668,3.8636979750662315,1.04532842174535
125,1189.0,0.7415730337078652,0,0,0,0,0.1727975320044125,0.2222222222222221,0.034801675760408,0.1091429453736047,0,0,,0.8202095282288281,99.05867704193368,2.998618,4.402567,76221.0,,,,,,,,0.25926261139656176,0.974616592397145,5,,,,,,,,,,,,,,,,,,,-6.2388003593086605,0,5.178836359034327,-1.95297427529127,1.4039490000000003,0.500889,0.0096443814167036,,,,,,,0.9545454545454546,0.48314606741573035,0.9101123595505618,0.2584269662921348,,0.5806451612903226,,,,,0.8636363636363636,0.9135802469135802,0.9545454545454546,1,0.2584269662921348,0,,0,0.5806451612903226,0,,0,0.9135802469135802,1,0.7091560885205925,2,low_consensus,1.709875528553057,2.0867545722968734,-0.8130332169130499
88,904.0,0.1797752808988764,0,0,0,0,0.054798096410888,0.1111111111111111,0.0743728411673913,0.1170367635251748,0,0,,0.625657274255596,99.09615709756363,2.99051,4.200073,80850.0,,,,,,,,0.22536007155779733,0.9816603081797028,5,,,,,,,,,,,,,,,,,,,6.01785605119535,1,1.6534033937795864,-0.7953156306847626,1.2095629999999995,0.500889,0.009640585365848,,,,,,,0.7329545454545454,0.48314606741573035,0.9550561797752809,0.8202247191011236,,0.6290322580645161,,,,,0.3977272727272727,0.8641975308641975,0.9550561797752809,1,0.8202247191011236,0,,0,0.6290322580645161,0,,0,0.8641975308641975,1,0.6974769390575238,2,low_consensus,1.6127205625815464,0.3098111695275175,1.1227601566894498
90,902.0,0.1629213483146067,0,0,0,0,0.0614645065291566,0.081967213114754,0.014277159731515,0.1358367456698355,0,0,,0.6261703468961589,98.8631993478899,2.980472,4.200652,59062.0,,,,,,,,0.15969565064423566,0.7970151635594439,5,,,,,,,,,,,,,,,,,,,6.899579395248483,1,2.145574240764198,0.8817233440531327,1.22018,0.5008889999999999,0.0096401261373004,,,,,,,0.6022727272727273,0.48314606741573035,0.9775280898876404,0.8370786516853932,,0.2903225806451613,,,,,0.5340909090909091,0.8518518518518519,0.9775280898876404,1,0.8370786516853932,0,,0,0.2903225806451613,0,,0,0.8518518518518519,1,0.6537558396927734,2,low_consensus,1.249019255868132,-0.15627234595297143,1.1808339578975249
