roi_id,cycleNo,source_stem,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,front_radius_slope_r2,apparent_diffusion_proxy_ds_px2_per_frame,n_event_particles,mean_drop_frac,evidence_score,degradation_mode_hypothesis,roi_mean_delta,timing_elapsed_s,seconds_per_sample,low_threshold,high_threshold,mid_threshold,high_fraction_first,high_fraction_last,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,mid_fraction_delta,mid_fraction_slope_per_frame,high_radius2_delta_px2,high_radius2_slope_px2_per_frame,high_radius2_slope_r2,low_radius2_delta_px2,low_radius2_slope_px2_per_frame,interface_density_mean,interface_density_delta,interface_density_slope_per_frame,centroid_path_px,centroid_net_px,temporal_diff_energy,first_last_corr,cumulative_abs_first_last,high_fraction_slope_per_s,low_fraction_slope_per_s,mid_fraction_slope_per_s,high_radius2_slope_px2_per_s,low_radius2_slope_px2_per_s,interface_density_slope_per_s,validation_score_rollout,low_rank_dmd_mse,low_rank_dmd_mae,low_rank_dmd_psnr,low_rank_dmd_ssim,persistence_mse,persistence_mae,persistence_psnr,persistence_ssim,velocity_mse,velocity_mae,velocity_psnr,velocity_ssim,velocity_mse_ratio_vs_persistence,dmd_mse_ratio_vs_persistence,latent_path_length,latent_mean_step,latent_net_displacement,latent_component0_delta,latent_component1_delta,latent_component0_first,latent_component0_last
cycle58_rank6_obj29,58.0,7_c2_x10_290623,control,0,60.0,,1.6155277307729818,0.5355133694368999,0.0003492805402585,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0001609325408935,9250.204203328,97.37057056134736,0.057907085865736,0.1286580666899681,0.093282576277852,0.2905931695626123,0.2910425404433793,0.0004493708807669,0.0001932055025297,0.0323804504537873,-0.0011983223487118,-0.0001606151415148,-0.0002995805871779,0.0002519593838295,-6.115486732706927,0.0014022868734571,4.060487837076465e-06,6.84578430657848,0.104792625939754,0.1812634187138007,0.0049430796884361,-1.550427068950831e-05,17.31302398149852,0.3845718411844492,0.0002939786936622,0.9707466068408068,0.0224153436720371,1.984228924776045e-06,-1.6495244978938756e-06,2.5876338443636558e-06,1.4401547257788812e-05,0.001076224831955,-1.592295351678154e-07,4.995734664947042,0.0026638595700205,0.0336531223147176,25.930087593690374,0.7631442938831543,0.0003359078732501,0.0130251364898867,35.5839446698016,0.931807892439703,0.0009004953153635,0.0218410589732229,31.03650326930329,0.8384515098920616,2.6807806159787058,7.930327873074667,17.378150939941406,0.1829279065132141,0.960981011390686,0.0238394737243652,0.2176094949245453,-2.253015518188477,-2.2291760444641118
cycle58_rank4_obj2,58.0,7_c2_x10_290623,control,0,60.0,,1.1091514494562902,0.2533090934767632,-0.0004637138116359,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,2.7194619178771973e-06,9250.204203328,97.37057056134736,0.0471499156206846,0.0955252319574356,0.0713375737890601,0.2934391851408028,0.2946375074895146,0.0011983223487118,0.0001411741006974,0.0209712216619007,0.0014979029358897,-0.0002874035222094,0.0034451767525464,0.0002074571183631,3.7592268343959176,0.1492263573379494,0.0463407216075675,-7.789150219309704,0.0213282880753923,0.2093054099261034,0.0044937088076692,2.704332491213375e-05,18.168419645964555,0.1776862231504928,0.0001312042732024,0.9775682648340418,0.0155639443546533,1.4498641620724077e-06,-2.95164668906156e-06,2.1305936400198004e-06,0.0015325611884335,0.0002190424473476,2.7773612454181285e-07,4.914744204591446,0.0011775178263633,0.0221476855222135,29.479756408944457,0.8287720522560568,0.000146795786577,0.0085757102351635,39.139146433240825,0.9623391170350168,0.0003992754691353,0.0145263978047296,34.531250428696495,0.9016611700225622,2.719938211073005,8.021468829731342,13.285588264465332,0.1398482918739318,0.7766522765159607,0.1833696365356445,0.1705983877182006,-0.3477603495121002,-0.1643907129764557
cycle58_rank1_obj1,58.0,7_c2_x10_290623,control,0,60.0,,0.7330214581610461,0.0116381616728487,-3.551275259375952e-05,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.000137373805046,9250.204203328,97.37057056134736,0.0375905215740203,0.0753799021244049,0.0564852118492126,0.2932893948472139,0.2940383463151588,0.0007489514679449,7.200276368374754e-05,0.0087217322853244,0.0025464349910125,-5.549067984149128e-05,0.0,5.819105016406288e-05,-4.31197428213568,-0.1393291741556181,0.2220963382345709,1.8963621105840505,0.045316260079001,0.1869117610345516,-0.0049430796884362,-1.5114149469092066e-05,15.515338684593956,0.2760301077913332,5.24935639987234e-05,0.9835700286614136,0.011886497028172,7.394715186390216e-07,-5.698916985038095e-07,5.976246193134935e-07,-0.0014309166861442,0.000465399964463,-1.5522297324497598e-07,4.759075493154626,0.0005076756733615,0.0128022286517079,33.06320804893692,0.917164437031592,5.8548513379719225e-05,0.0054298640025081,43.08337268748421,0.9772535194003564,0.000157101557761,0.0091273409198038,38.56606114261218,0.9388819238111192,2.683271507546404,8.67102585626632,9.919602394104004,0.1044168695807457,1.1493642330169678,0.4538221359252929,-0.025086760520935,3.8288307189941406,4.282652854919434
cycle58_rank3_obj9,58.0,7_c2_x10_290623,control,0,60.0,,0.8161872484866202,0.0982345201052843,0.0002580614020299,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.0001225546002388,9250.204203328,97.37057056134736,0.0311814531683921,0.0675616219639778,0.0493715375661849,0.2965847813061714,0.2971839424805272,0.0005991611743558,0.000354826425316,0.0755889291825141,0.0053924505692031,-0.0004250848188553,0.0020970641102456,0.0004890890815798,-8.420081867057661,-0.1279147094939237,0.2291132816109663,12.04401091650675,0.2744959940332658,0.2024993134611543,0.0011983223487118,5.083462371345509e-05,23.477281878289432,0.127232584883695,0.0001333668478764,0.9791821792309802,0.0161265470087528,3.644082840127265e-06,-4.3656396014185445e-06,5.022966166884381e-06,-0.0013136896369866,0.0028190858125897,5.22073799304968e-07,4.475129312169529,0.0020956602420483,0.0250968188047409,27.035858765194824,0.8039526847608238,0.0001574423124566,0.0080464938364457,39.463740635050485,0.9625156517469404,0.000403045690291,0.0134376922214869,35.00069609644864,0.903166978109145,2.5599578918920045,13.310654609611266,25.56525230407715,0.2691079080104828,1.8161002397537231,0.0930852890014648,-0.1431903839111328,4.97590970993042,5.068994998931885
cycle60_rank3_obj9,60.0,7_c2_x10_290623,event,1,60.0,,2.4945534720369364,0.6768568396840542,0.0004867846454059,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0001199692487716,9244.36053955,97.30905831105262,0.0318552713841199,0.0684328444302082,0.0501440579071641,0.2874475733972438,0.292540443379269,0.0050928699820251,0.0003471895992382,0.0721998833272673,0.0001497902935889,-0.0004350329099759,0.0,0.0004598045915317,-8.011047527260644,-0.2663244295747791,0.6495584561780495,-5.223214297798677,0.3211669166596207,0.2033528060714999,-0.0026962252846015,3.356668000664527e-05,18.31740583349784,0.3057892894611326,0.0001116131752496,0.8693920360382953,0.03590939193964,3.56790626961385e-06,-4.470631177884269e-06,4.725198244770987e-06,-0.0027368924763762,0.003300483246205,3.449491813942739e-07,6.866497919843912,0.001943252125784,0.0237513482570648,27.36218308898764,0.8229424789639328,0.0001236483637967,0.0078099050442688,39.54921388168831,0.9650335176424756,0.000322759653045,0.0129239688685629,35.285987774065255,0.9086497895848464,2.610302660985264,15.715955036647745,22.6298942565918,0.2382094115018844,4.303770542144775,0.7857608795166016,0.9693689346313475,4.090205669403076,4.875966548919678
cycle60_rank1_obj1,60.0,7_c2_x10_290623,event,1,60.0,,1.990971834925495,0.4067763558179186,0.0002043384224409,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-4.567205905914307e-06,9244.36053955,97.30905831105262,0.0371991209685802,0.0757032066583633,0.0564511638134717,0.2937387657279808,0.292240862792091,-0.0014979029358897,4.582298834805568e-05,0.0039338651424268,-0.0068903535050928,-0.0001029168225796,-0.0004493708807669,8.119601088048343e-05,0.7067566391377795,-0.1714708062577933,0.2242073231091265,-0.3267330699900412,0.0353314352740064,0.1919874675454363,0.0,-1.2518421036374686e-05,15.224074761708977,0.2770224581442401,4.6774617658229545e-05,0.884558694761182,0.0280496031045913,4.7090157014551014e-07,-1.0576283890315524e-06,8.344136947758436e-07,-0.0017621258414574,0.0003630847516894,-1.2864599918703366e-07,6.474067665989688,0.0023131534035201,0.0262955502839759,26.380078155826453,0.7098164207510818,4.967451945958601e-05,0.0052665203111246,43.23898125667127,0.9797657462108282,0.0001333218240233,0.0087641644349787,38.90696523990594,0.9446729021146894,2.6839076748747903,46.56619588241866,9.724720001220703,0.1023654714226722,3.890202283859253,0.1629605293273925,0.025762915611267,4.2158284187316895,4.378788948059082
cycle60_rank2_obj2,60.0,7_c2_x10_290623,event,1,60.0,,1.3721660201122636,0.2123705939250706,-0.0003672763036167,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0013901814818382,9244.36053955,97.30905831105262,0.0364975184202194,0.0767027631402015,0.0566001407802104,0.286848412222888,0.292240862792091,0.005392450569203,0.0001866526851555,0.0267871604422542,-0.0002995805871779,-0.0001550528663018,0.0053924505692031,0.0002194248995519,19.82137780317521,0.1714045385125117,0.4659159279986633,15.903305808024925,0.1850605530389557,0.1679773317355701,0.0001497902935889,-2.92062626159498e-05,18.63219132505973,0.2442245506840225,0.0001017940376186,0.9042864481677793,0.0284551549702882,1.9181429601235163e-06,-1.5934062973484608e-06,2.2549277874061183e-06,0.0017614448386152,0.0019017813577786,-3.0013919693468533e-07,5.384766191610338,0.0021632542266161,0.0266344168921932,26.66557487342609,0.717942619720815,0.0001112566010306,0.0074595763289835,39.96372800072683,0.9626921640472188,0.0002971688777506,0.0124307224468793,35.658929623428136,0.9018459594183038,2.6710224382000196,19.443828110667507,19.44740295410156,0.2047095000743866,2.731466293334961,0.3889734148979187,0.694211483001709,-0.2322756648063659,0.1566977351903915
cycle60_rank4_obj5,60.0,7_c2_x10_290623,event,1,60.0,,1.5337954930279185,0.2649429907887313,-0.000649790520133,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.0002883002161979,9244.36053955,97.30905831105262,0.0485888544470071,0.0988836795091628,0.073736266978085,0.2886458957459556,0.2880467345715997,-0.0005991611743559,7.20515288362995e-05,0.0064143891150633,-0.0065907729179149,-0.0002092197754397,-0.0029958058717795,0.0001249901656942,4.862304590782514,0.0428512364504858,0.0051055376311337,-7.025303029662837,-0.0765608130698532,0.2098624425803874,0.0047932893948472,4.414059058501223e-05,18.5578694782659,0.2356356769851371,0.0001228025066666,0.843922762808349,0.036674365401268,7.404400996871604e-07,-2.150054466367793e-06,1.2844658849200134e-06,0.0004403622560348,-0.000786779919554,4.536123496737058e-07,5.355307596954036,0.0028950763007742,0.0336495288647711,25.38409473168952,0.6658964511759113,0.0001316549019065,0.0085581937455572,39.05624366760874,0.9649204211417632,0.0003613668077377,0.0143692755373194,34.59963632115711,0.9071762087934272,2.744803288785549,21.989886125396644,14.73573112487793,0.1551129519939422,4.038924217224121,0.6281644105911255,0.3593976497650146,-1.7439497709274292,-1.1157853603363037
cycle60_rank6_obj26,60.0,7_c2_x10_290623,event,1,60.0,,1.320031653911962,0.1540931493512387,-0.0002687203200089,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.0003844499588012,9244.36053955,97.30905831105262,0.0577715449035167,0.1308587417006492,0.094315143302083,0.2911923307369682,0.2874475733972438,-0.0037447573397244,0.0001471529115884,0.019801685380678,-0.0035949670461354,-6.933185564084262e-05,-0.0037447573397243,0.0001126231198189,-13.615508334459264,-0.0779463401362384,0.0110585060421721,5.367380815209572,0.1260423858394744,0.1788605327541442,-0.0004493708807669,-3.7454684981990885e-05,17.708546514885768,0.5920211228448706,0.000271154101938,0.8344286417451272,0.0480567663908004,1.5122221316547535e-06,-7.12491281327791e-07,1.1573754979613969e-06,-0.0008010183377489,0.0012952790626806,-3.849044028590366e-07,4.590869322464719,0.0027637045786832,0.0330774242756888,25.750540474288997,0.7525480456484653,0.0002904538964685,0.012828209582949,35.5998912346971,0.934548032499252,0.0007888973632361,0.0213146640453487,31.208615166334827,0.843443234630136,2.7160846276395425,9.515123096249894,16.147092819213867,0.1699693948030471,2.149290084838867,0.7461602687835693,0.1955482959747314,-2.5114729404449463,-1.765312671661377
cycle60_rank5_obj18,60.0,7_c2_x10_290623,event,1,60.0,,1.236404564188312,0.0135792364150086,7.914396233751553e-05,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0001413077116012,9244.36053955,97.30905831105262,0.0382134635001421,0.0727572739124298,0.0554853687062859,0.2855002995805872,0.2756141402037148,-0.0098861593768724,-4.760901206027212e-05,0.0020954270394288,-0.00584182144997,-3.829994762622328e-05,-0.0017974835230676,4.482330272079021e-06,-8.90935147588857,-0.1588673073684552,0.3896033601686282,-0.6756267648272569,0.1052560563070592,0.2216615488316357,0.0035949670461354,9.470599001875166e-06,17.10714176044822,0.0851131969134797,5.0494541937951e-05,0.8976056754686801,0.0300665665417909,-4.892557063710127e-07,-3.935907744970241e-07,4.6062826522799744e-08,-0.0016326055366873,0.0010816676076609,9.732494760767273e-08,4.517043565680912,0.0023813786810933,0.023718568496406,26.77706060144433,0.829129413679748,5.507545063210273e-05,0.0053321769519243,42.97085580603476,0.9816332224551818,0.0001429853430181,0.008802456446574,38.74494233053099,0.9498156333512362,2.596172003625074,43.23847837397861,12.238980293273926,0.1288313716650009,1.6123532056808472,0.2518925666809082,-0.1363824158906936,-4.740033149719238,-4.48814058303833
