cohort_role,event_reference_cycle,cycleNo,n_roi,persistence_mse,persistence_ssim,velocity_mse_ratio_vs_persistence,dmd_mse_ratio_vs_persistence,high_fraction_slope_per_s,cumulative_abs_first_last,first_last_corr,latent_path_length,latent_net_displacement
control,60.0,58.0,4,0.0001746736214158548,0.9584790451555042,2.6609870566225298,9.483369292170899,1.954411861403685e-06,0.0164980830159038,0.9777667698918107,16.537148475646973,1.1757744401693344
control,60.0,62.0,4,7.692324055595171e-05,0.9699948918146231,2.783283543993705,23.151201276087527,1.3842090154988562e-06,0.03362502204254265,0.8625765372226978,10.6941659450531,3.6599140763282776
control,86.0,88.0,4,0.00011189674597742483,0.9625087368178267,2.327418036385967,11.629430444617332,3.4152145515736377e-06,0.008241759380325625,0.9963536859941697,14.751843214035034,0.44840949773788447
control,86.0,90.0,4,9.332894393308209e-05,0.9600364916701515,2.8747522607119893,12.438146481302883,1.6650899568024129e-06,0.009674128494225399,0.9945721516359685,10.545267581939697,0.6022635102272034
control,116.0,118.0,4,8.222315284455296e-05,0.9655451892967692,2.8676095782186293,11.860158789427594,2.552976819462928e-06,0.008487423765473,0.9957391920483731,9.599007248878479,0.5092624798417091
control,156.0,157.0,4,6.397599966587777e-05,0.9773915293837472,2.5253033155777027,20.79551399066201,-1.128773053286509e-06,0.03143891273066395,0.9148545792959375,16.621018886566162,2.947198748588562
control,156.0,158.0,4,0.0002362876800532,0.9659031497289049,1.716019961450622,9.49397059432965,3.1609503877985686e-07,0.0182130238972604,0.9665448700454827,24.359787464141846,1.6619833707809448
event,60.0,60.0,6,0.00012696062221566478,0.9647655173327866,2.6703821156850402,26.078244437559846,1.286726220808963e-06,0.03453530805806313,0.8723657098315688,15.820636908213297,3.121001104513804
event,86.0,86.0,6,9.833250684700204e-05,0.9673970832404155,2.6229876240272616,13.433391515024056,3.0808552369947155e-06,0.01610847578073535,0.9750109661989862,11.581868966420492,1.2354042530059814
event,116.0,116.0,6,0.00010023317347910612,0.9643423342785257,2.892899623093984,10.66940609385299,3.578438175558896e-06,0.008897979355727583,0.9958736981082151,9.354702790578207,0.3827047149340312
event,156.0,156.0,6,0.00011552219710132194,0.9711355384674359,2.0397824350308773,31.77841462411078,2.2410304553384496e-06,0.043845762809117596,0.9059767984759359,18.718299388885498,4.167346954345703
