roi_id,cycleNo,source_stem,cohort_role,is_event_roi,event_reference_cycle,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,n_thresholds,median_apparent_D_um2_per_s,median_abs_apparent_D_um2_per_s,iqr_abs_apparent_D_um2_per_s,threshold_sensitivity_iqr_over_median_abs,positive_D_fraction,negative_D_fraction,sign_entropy_bits,robust_positive_fit_fraction,median_radius2_fit_r2,min_radius2_fit_r2,median_phase_slope_per_s,median_radius2_slope_px2_per_s,D_vs_threshold_spearman_rho,D_vs_threshold_spearman_p,abs_D_vs_threshold_spearman_rho,abs_D_vs_threshold_spearman_p,roi_elapsed_to_h5_median_ratio,h5_dt_max_to_median_ratio,transferred_masked_residual_signature,validation_score_recon,selected_diffusion_um2_per_s,selected_r2,drift_to_motion_ratio,front_quality_score,diffusion_proxy_median_um2_per_s,threshold_robust_diffusion_score,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,mask_instability_score,fallback_frame_fraction,accepted_area_cv,manual_qc_status,positive_estimator_count,negative_estimator_count,automatic_positive_diffusion_proxy_candidate,publication_diffusion_candidate,gate_all_thresholds_present,gate_positive_expansion,gate_fit_quality,gate_threshold_stability,gate_h5_timing_stable,gate_low_drift,gate_q70_positive_ci,diffusion_physics_gate_count,automatic_diffusion_physics_consistent,publication_ready_diffusion_candidate,physics_consistency_score
cycle129_rank7_obj3,129.0,14_c2_x10_HighCOV_110723,future8_negative,0.0,129.0,0.0,0.0,0.0,7,7.621148085757028e-07,1.1546694410922954e-06,5.462299875816598e-07,0.47306178560067946,0.7142857142857143,0.2857142857142857,0.863120568566631,0.0,0.0104396755186293,0.0030434227064157,-2.205351937180663e-07,0.0003307789967776,-0.6071428571428572,0.14823116148116158,-0.14285714285714288,0.7599453002180928,1.0006343138431424,1.1850119123748653,0.2863584478094875,24.56397203893444,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,3.4881944970040037
cycle110_rank24_obj2,110.0,12_c2_x10_070723,future8_positive,0.0,110.0,1.0,1.0,0.0,7,8.629026205325993e-06,8.629026205325993e-06,9.084029317236303e-06,1.0527293695816422,1.0,0.0,0.0,0.0,0.0073458226992808,0.000200286712653,3.743453621075369e-07,0.0037452370682838,1.0,0.0,1.0,0.0,0.9993723977008342,1.1428571332843969,0.1861489207307045,24.24315454606201,,,,,,,,,,,,,,,,,True,True,False,True,True,True,False,5,False,False,3.4809811379084596
cycle76_rank8_obj1,76.0,9_c2_x10_010723,future8_negative,0.0,76.0,0.0,1.0,0.0,7,5.433191566638984e-07,1.2809983223986132e-06,1.1173350524659795e-06,0.8722377171999871,0.5714285714285714,0.42857142857142855,0.9852281360342515,0.14285714285714285,0.1816564312692125,0.1230861946096594,3.785021432779333e-07,0.0002358156061909,-0.5714285714285715,0.18020198891152758,0.5357142857142858,0.2152174556780129,1.0006816495300523,1.1361501308587034,0.2739127589669339,26.288093847288607,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,3.4598232869549332
cycle78_rank22_obj3,78.0,9_c2_x10_010723,future8_positive,0.0,78.0,1.0,1.0,0.0,7,2.0026820214758748e-06,2.0026820214758748e-06,1.9046078129610623e-06,0.9510285669601524,0.8571428571428571,0.14285714285714285,0.5916727785823275,0.0,0.0057345141950972,6.78626400335558e-05,1.706579794072218e-07,0.0008692196273766,0.10714285714285716,0.8191508555699912,0.14285714285714288,0.7599453002180928,1.0019366073960003,1.1361501308587034,0.2683863942126585,24.263112458779265,,,,,,,,,,,,,,,,,True,True,False,True,True,True,False,5,False,False,3.387363087857878
cycle104_rank6_obj3,104.0,11_c2_x10_050723,future8_negative,0.0,104.0,0.0,1.0,0.0,7,2.245946573564594e-07,9.812780358215725e-07,1.6698525401923803e-06,1.7017119299876111,0.5714285714285714,0.42857142857142855,0.9852281360342515,0.2857142857142857,0.1377585473623872,0.0464334675420428,5.762178479228025e-07,9.74803200331855e-05,0.1785714285714286,0.7016579425162728,-0.03571428571428572,0.9394082054712856,1.0023161799909528,1.1244131639269364,0.3719069574735253,26.27643821059555,,,,,,,,,,,,,,,,,True,False,False,False,True,True,False,3,False,False,3.144045439511439
cycle84_rank23_obj1,84.0,9_c2_x10_010723,future8_positive,0.0,84.0,1.0,1.0,0.0,7,-6.310917346603825e-07,7.73167310551858e-07,2.8996514716004165e-07,0.37503544601888994,0.2857142857142857,0.7142857142857143,0.863120568566631,0.0,0.0289617617176461,5.54413738473869e-07,-3.727830286071576e-07,-0.0002739113431685,0.21428571428571433,0.6445115810207203,0.0,1.0,1.002742392551954,1.1361501308587034,0.257364534667413,24.70841394342318,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,3.1271583244224868
cycle76_rank8_obj2,76.0,9_c2_x10_010723,future8_negative,0.0,76.0,0.0,1.0,0.0,7,5.880564378863718e-07,7.89624191067545e-07,1.0606655647729615e-06,1.3432536347942656,0.7142857142857143,0.2857142857142857,0.863120568566631,0.0,0.0452487079887322,0.0054412012681773,1.9647297989605382e-06,0.0002552328289437,0.25,0.5887244480896832,0.28571428571428575,0.5345092286010406,1.0006816495300523,1.1361501308587034,0.2739127589669339,25.083032624261563,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,3.0879076048773135
cycle129_rank7_obj1,129.0,14_c2_x10_HighCOV_110723,future8_negative,0.0,129.0,0.0,0.0,0.0,7,6.216673600956652e-07,9.519499017442924e-07,1.3068327594651004e-06,1.3727957291350554,0.7142857142857143,0.2857142857142857,0.863120568566631,0.0,0.0063640118004077,5.486106553043157e-06,-3.125075136659221e-08,0.0002698209028192,-0.7500000000000002,0.05218140045705778,0.0,1.0,1.0006343138431424,1.1850119123748653,0.2863584478094875,26.13056365775394,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,3.0342518615185945
cycle40_rank2_obj2,40.0,5_c2_x10_260623,future8_negative,0.0,40.0,0.0,0.0,0.0,7,3.7057840704768793e-06,3.7057840704768793e-06,5.309039377389203e-07,0.1432635921689309,1.0,0.0,0.0,0.0,0.0533267825872274,0.0015784149935977,9.600876407879318e-07,0.0016084132250333,-0.5,0.2531699951003226,-0.5,0.2531699951003226,1.0017396340779512,13.783272691633115,0.7842017555889671,24.798367448484505,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.981694986502762
cycle139_rank11_obj1,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,139.0,0.0,0.0,0.0,7,7.264705802971104e-06,7.264705802971104e-06,1.221531053146347e-06,0.16814597676436777,1.0,0.0,0.0,0.0,0.0523081982478367,0.0259316378246207,-7.587457227677348e-06,0.0031530841158728,0.5,0.2531699951003226,0.5,0.2531699951003226,1.0013327461881962,13.736323266163534,0.2177667218010263,25.11639127342968,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.968235209865653
