x,y,n,spearman_rho,abs_rho,p_value
h5_dt_max_to_median_ratio,transferred_masked_residual_signature,72,0.7278010183083281,0.7278010183083281,4.404847087825789e-13
physics_consistency_score,transferred_masked_residual_signature,72,-0.5293494531156766,0.5293494531156766,1.7456000060898978e-06
diffusion_physics_gate_count,transferred_masked_residual_signature,72,-0.46902875867559835,0.46902875867559835,3.242645739289843e-05
median_abs_apparent_D_um2_per_s,validation_score_recon,72,-0.4094797093060648,0.4094797093060648,0.000354657930415763
h5_dt_max_to_median_ratio,cycleNo,72,0.36412667479067995,0.36412667479067995,0.0016646122022678223
transferred_masked_residual_signature,cycleNo,72,0.3565217391304348,0.3565217391304348,0.0021125692959926175
median_apparent_D_um2_per_s,transferred_masked_residual_signature,72,-0.2857695387967176,0.2857695387967176,0.01495880798589424
median_radius2_fit_r2,transferred_masked_residual_signature,72,0.24724857731702496,0.24724857731702496,0.036270202075705346
positive_D_fraction,transferred_masked_residual_signature,72,-0.23597486892346275,0.23597486892346275,0.045983128412807064
physics_consistency_score,cycleNo,72,-0.23392553800825908,0.23392553800825908,0.04796053918855792
median_abs_apparent_D_um2_per_s,cycleNo,72,0.1729098797246356,0.1729098797246356,0.14636919545949464
threshold_sensitivity_iqr_over_median_abs,validation_score_recon,72,0.17036465367547754,0.17036465367547754,0.1524946663958489
median_abs_apparent_D_um2_per_s,transferred_masked_residual_signature,72,-0.14442946960807082,0.14442946960807082,0.2261121517771095
threshold_sensitivity_iqr_over_median_abs,cycleNo,72,-0.13226495545658892,0.13226495545658892,0.2680615539163626
diffusion_physics_gate_count,cycleNo,72,-0.13092409928536697,0.13092409928536697,0.27298621003036244
h5_dt_max_to_median_ratio,validation_score_recon,72,-0.12017700502944327,0.12017700502944327,0.31463741719664506
physics_consistency_score,validation_score_recon,72,0.09479709306064701,0.09479709306064701,0.4283092060251695
median_apparent_D_um2_per_s,cycleNo,72,-0.08418616142930331,0.08418616142930331,0.48199914864117627
median_radius2_fit_r2,validation_score_recon,72,-0.07370248890603899,0.07370248890603899,0.5383705687647174
median_radius2_fit_r2,cycleNo,72,0.06294653354576349,0.06294653354576349,0.5993798150206888
threshold_sensitivity_iqr_over_median_abs,transferred_masked_residual_signature,72,0.062270727204014484,0.062270727204014484,0.6033131938377536
positive_D_fraction,validation_score_recon,72,-0.06196228538354059,0.06196228538354059,0.6051121765078795
robust_positive_fit_fraction,validation_score_recon,72,0.05877003355820153,0.05877003355820153,0.623867258596424
diffusion_physics_gate_count,validation_score_recon,72,-0.054505300884199435,0.054505300884199435,0.6492986012174925
robust_positive_fit_fraction,cycleNo,72,-0.03478028548954878,0.03478028548954878,0.7717831694193129
transferred_masked_residual_signature,validation_score_recon,72,-0.025391009697140792,0.025391009697140792,0.8323307299219456
median_apparent_D_um2_per_s,validation_score_recon,72,0.024181619396745777,0.024181619396745777,0.8402089549257281
robust_positive_fit_fraction,transferred_masked_residual_signature,72,-0.017197347370663807,0.017197347370663807,0.8859892792069928
positive_D_fraction,cycleNo,72,0.006922984419380719,0.006922984419380719,0.9539748106195568
