criterion,n_pass,n_total,fraction_pass
gate_all_thresholds_present,72,72,1.0
gate_positive_expansion,26,72,0.3611111111111111
gate_fit_quality,7,72,0.09722222222222222
gate_threshold_stability,63,72,0.875
gate_h5_timing_stable,24,72,0.3333333333333333
gate_low_drift,72,72,1.0
gate_q70_positive_ci,0,72,0.0
automatic_diffusion_physics_consistent,1,72,0.013888888888888888
publication_ready_diffusion_candidate,0,72,0.0
