feature,context,n,rho,p_value,permutation_p_abs_rho
persistence_particle_mse_fraction_of_full_mean_max,cycle_state_pc2,11,0.9545454545454546,4.988898739949759e-06,0.0001999600079984003
persistence_particle_mse_fraction_of_full_mean_median_rolling2_mean,frames_percentile,11,0.9269503029037629,4.051745215257185e-05,0.0001999600079984003
persistence_particle_mse_fraction_of_full_mean_median,cycle_state_pc2,11,0.9090909090909091,0.00010559337630360875,0.0003999200159968006
persistence_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,frames_percentile,11,0.8904202417055851,0.00023802918144838218,0.0003999200159968006
persistence_particle_to_nonparticle_mse_ratio_mean_median,cycle_state_pc2,11,0.9,0.00015997142806871358,0.0005998800239952009
persistence_particle_mse_fraction_of_full_mean_max,frames_percentile,11,0.9041190146549017,0.00013319774717287036,0.0007998400319936012
persistence_particle_mse_fraction_of_full_mean_median_rolling2_mean,cycle_state_pc2,11,0.8909090909090911,0.0002334581703787317,0.0007998400319936012
persistence_particle_to_nonparticle_mse_ratio_mean_median,frames_percentile,11,0.8767214687562684,0.0003962171790222325,0.0007998400319936012
persistence_particle_to_nonparticle_mse_ratio_mean_max,cycle_state_pc2,11,0.9,0.00015997142806871358,0.0009998000399920016
persistence_particle_mse_fraction_of_full_mean_median,frames_percentile,11,0.8995527570051296,0.00016310776205152286,0.0013997200559888023
persistence_particle_to_nonparticle_mse_ratio_mean_max,frames_percentile,11,0.8538901805074072,0.0008223407868314994,0.0013997200559888023
persistence_particle_to_nonparticle_mse_ratio_mean_median_rolling2_mean,cycle_state_pc2,11,0.8636363636363636,0.0006116938500931699,0.0015996800639872025
persistence_particle_mse_fraction_of_full_mean_max_rolling2_mean,frames_percentile,11,0.8401914075580906,0.0012054910259263944,0.001799640071985603
persistence_particle_mse_mean_median_rolling2_mean,frames_percentile,11,0.8264926346087739,0.0017092848482046978,0.0027994401119776045
velocity_particle_to_nonparticle_mse_ratio_mean_max,cycle_state_pc2,11,0.8363636363636365,0.001333185079950856,0.002999400119976005
persistence_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,frames_percentile,11,0.8082276040096849,0.0026075877950597656,0.003199360127974405
velocity_particle_mse_ratio_vs_persistence_max_rolling2_mean,capacity_mAh,8,0.9047619047619048,0.0020082755054294694,0.004199160167966407
velocity_particle_mse_ratio_vs_persistence_median_rolling2_mean,capacity_mAh,8,0.9047619047619048,0.0020082755054294694,0.004799040191961607
persistence_particle_mse_fraction_of_full_mean_max_rolling2_mean,cycle_state_pc2,11,0.8000000000000002,0.0031104283103858448,0.005198960207958408
persistence_particle_mse_mean_median_rolling2_mean,cycle_state_pc2,11,0.790909090909091,0.0037460829533974053,0.005398920215956809
persistence_particle_mse_mean_median,cycle_state_pc2,11,0.7727272727272727,0.00529948717864386,0.00639872025594881
persistence_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,cycle_state_pc2,11,0.790909090909091,0.0037460829533974053,0.0065986802639472104
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_max_rolling2_mean,particle_norm_range,11,-0.7727272727272727,0.00529948717864386,0.007198560287942412
low_rank_dmd_particle_mse_fraction_of_full_mean_max_rolling2_mean,coulombic_efficiency_pct,8,-0.880952380952381,0.0038503204637324014,0.007798440311937612
velocity_particle_mse_fraction_of_full_mean_max,cycle_state_pc2,11,0.7636363636363637,0.006233059747904751,0.007998400319936013
low_rank_dmd_particle_mse_mean_max_rolling2_mean,particle_norm_range,11,-0.7636363636363637,0.006233059747904751,0.008398320335932814
low_rank_dmd_accepted_area_fraction_median_median,coulombic_efficiency_pct,8,0.8571428571428572,0.006530017254715292,0.009598080383923215
low_rank_dmd_nonparticle_mse_mean_max_rolling2_mean,capacity_mAh,8,-0.8571428571428572,0.006530017254715292,0.009798040391921616
persistence_accepted_area_fraction_median_median,coulombic_efficiency_pct,8,0.8571428571428572,0.006530017254715292,0.009998000399920015
velocity_particle_mse_ratio_vs_persistence_median,cycle_state_pc2,11,-0.7545454545454545,0.007282041008429151,0.010597880423915218
velocity_accepted_area_fraction_median_median,coulombic_efficiency_pct,8,0.8571428571428572,0.006530017254715292,0.010997800439912017
velocity_particle_mse_ratio_vs_persistence_max,cycle_state_pc2,11,-0.7454545454545456,0.008454728885061562,0.010997800439912017
velocity_particle_mse_ratio_vs_persistence_median,frames_percentile,11,-0.7351674816133292,0.009941503143232559,0.010997800439912017
persistence_particle_mse_fraction_of_full_mean_median_rolling2_mean,particle_norm_range,11,-0.7090909090909092,0.014552051953727706,0.011597680463907219
velocity_particle_to_nonparticle_mse_ratio_mean_median,cycle_state_pc2,11,0.7272727272727273,0.011204967253592067,0.01219756048790242
persistence_particle_mse_mean_max_rolling2_mean,mean_abs_delta_prev,11,-0.7363636363636363,0.009759535959916901,0.01259748050389922
velocity_particle_mse_fraction_of_full_mean_median_rolling2_mean,frames_percentile,11,0.7214687086640126,0.01220528367372856,0.014397120575884824
velocity_particle_mse_fraction_of_full_mean_median,cycle_state_pc2,11,0.7272727272727273,0.011204967253592067,0.015196960607878424
velocity_particle_to_nonparticle_mse_ratio_mean_max,frames_percentile,11,0.7214687086640126,0.01220528367372856,0.015596880623875225
low_rank_dmd_particle_mse_mean_max,particle_norm_range,11,-0.7181818181818183,0.012799598068858449,0.015596880623875225
velocity_particle_mse_ratio_vs_persistence_max,frames_percentile,11,-0.7214687086640126,0.01220528367372856,0.015796840631873626
persistence_particle_mse_mean_median,frames_percentile,11,0.6940711627653792,0.017816259325111435,0.01879624075184963
low_rank_dmd_nonparticle_mse_mean_median_rolling2_mean,capacity_mAh,8,-0.8095238095238096,0.014902667686230074,0.01919616076784643
low_rank_dmd_nonparticle_mse_mean_median_rolling2_mean,frames_percentile,11,0.6940711627653792,0.017816259325111435,0.01919616076784643
velocity_particle_mse_fraction_of_full_mean_max_rolling2_mean,frames_percentile,11,0.7077699357146958,0.014820342993614654,0.020195960807838434
velocity_particle_mse_fraction_of_full_mean_median_rolling2_mean,mean_abs_delta_prev,11,-0.690909090909091,0.018565033381595004,0.020795840831833633
low_rank_dmd_particle_mse_fraction_of_full_mean_median_rolling2_mean,particle_norm_range,11,-0.690909090909091,0.018565033381595004,0.02299540091981604
