particle_mse,particle_mae,nonparticle_mse,nonparticle_mae,full_crop_mse,full_crop_mae,particle_to_nonparticle_mse_ratio,particle_mse_fraction_of_full,particle_mask_area_fraction,nonparticle_context_area_fraction,roi_id,cycleNo,cohort_role,event_reference_cycle,method,eval_step,frame_index,validation_score,mask_fallback_used,accepted_area_fraction
7.911743159638718e-05,0.006641057785600424,8.548332698410377e-05,0.007313401438295841,9.872733062366024e-05,0.0077560171484947205,0.925530561194695,0.8013731465907425,0.15049913194444445,0.6042751736111112,cycle40_rank8_obj3,40.0,,,persistence,0,5263,26.09069854419696,0,0.15049913194444445
0.00020637040142901242,0.01074979454278946,0.00024559401208534837,0.012345908209681511,0.00028240971732884645,0.013075792230665684,0.8402908510541982,0.7307482312611377,0.15049913194444445,0.6042751736111112,cycle40_rank8_obj3,40.0,,,velocity,0,5263,26.09069854419696,0,0.15049913194444445
0.002032139338552952,0.029293585568666458,0.0004475454625207931,0.014577503316104412,0.0006959501770325005,0.017127977684140205,4.5406322010437945,2.919949452729361,0.15049913194444445,0.6042751736111112,cycle40_rank8_obj3,40.0,,,low_rank_dmd,0,5263,26.09069854419696,0,0.15049913194444445
0.0001012620487017557,0.00726120313629508,8.517452806700021e-05,0.007317421957850456,0.00010159606608795002,0.00783273670822382,1.1888771326340744,0.9967123000027859,0.1515842013888889,0.6031901041666666,cycle40_rank8_obj3,40.0,,,persistence,1,5273,26.09069854419696,0,0.1515842013888889
0.0002298889448866248,0.011271107010543346,0.0002501988201402128,0.012515423819422722,0.00028697593370452523,0.013205403462052345,0.9188250558407661,0.8010739504146782,0.1515842013888889,0.6031901041666666,cycle40_rank8_obj3,40.0,,,velocity,1,5273,26.09069854419696,0,0.1515842013888889
0.0021959112491458654,0.02992125041782856,0.000459161150502041,0.014856521040201187,0.0007339772419072688,0.017494793981313705,4.782441299192852,2.9917974615121627,0.1515842013888889,0.6031901041666666,cycle40_rank8_obj3,40.0,,,low_rank_dmd,1,5273,26.09069854419696,0,0.1515842013888889
9.702223906060681e-05,0.0071374401450157166,8.394645556109026e-05,0.007225899491459131,9.946066711563617e-05,0.007728680968284607,1.1557633781214374,0.9754834938700505,0.13975694444444445,0.6150173611111112,cycle40_rank8_obj3,40.0,,,persistence,2,5283,26.09069854419696,0,0.13975694444444445
0.00029149866895750165,0.01244534645229578,0.00024907448096200824,0.012449298053979874,0.0002963789156638086,0.013350692577660084,1.1703273166790797,0.983533758818921,0.13975694444444445,0.6150173611111112,cycle40_rank8_obj3,40.0,,,velocity,2,5283,26.09069854419696,0,0.13975694444444445
0.0023909579031169415,0.030553452670574188,0.0004770456289406866,0.015021545812487602,0.0007439490291289985,0.017382489517331123,5.012010923202948,3.2138732755874817,0.13975694444444445,0.6150173611111112,cycle40_rank8_obj3,40.0,,,low_rank_dmd,2,5283,26.09069854419696,0,0.13975694444444445
0.00012122814223403111,0.00777320796623826,8.691172843100503e-05,0.007315011695027351,0.00010599147935863584,0.007923197001218796,1.3948421510253153,1.1437536580071692,0.1615668402777778,0.5932074652777778,cycle40_rank8_obj3,40.0,,,persistence,3,5292,26.09069854419696,0,0.1615668402777778
