feature_set,target,group_col,mode,n_eval,n_groups,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
acquisition_context,future_any_drop_within_8cycles,cycleNo,raw,72,24,24,36,1.0,1.0,0.8661089445557502,9.065255423029341e-23,,,,
echem_regime,future_any_drop_within_8cycles,cycleNo,raw,72,24,24,36,0.7222222222222221,0.6925009018759019,0.38523472987446145,0.0008330098770766682,,,,
echem_regime,future_any_drop_within_8cycles,cycleNo,acquisition_residualized,72,24,24,36,0.4799382716049383,0.4816513889593529,-0.03475128481242207,0.7719683043380163,,,,
video_scalar,future_any_drop_within_8cycles,cycleNo,raw,72,24,24,36,0.8155864197530864,0.8663245821620156,0.5466644418569473,6.768591649323356e-07,,,,
video_scalar,future_any_drop_within_8cycles,cycleNo,acquisition_residualized,72,24,24,36,0.37422839506172845,0.4605325998384754,-0.21786382401633836,0.06599862935564242,,,,
video_embedding,future_any_drop_within_8cycles,cycleNo,raw,72,24,24,36,0.5694444444444444,0.6219726026038664,0.1202929089660764,0.3141675076963189,,,,
video_embedding,future_any_drop_within_8cycles,cycleNo,acquisition_residualized,72,24,24,36,0.36574074074074076,0.4750447096886419,-0.23256629066774773,0.049310247619577606,,,,
video_all,future_any_drop_within_8cycles,cycleNo,raw,72,24,24,36,0.8233024691358025,0.8741078203897893,0.5600303206309557,3.13860180762971e-07,,,,
video_all,future_any_drop_within_8cycles,cycleNo,acquisition_residualized,72,24,24,36,0.37345679012345684,0.453546567143168,-0.2192004118937392,0.06431449468961231,,,,
video_plus_echem,future_any_drop_within_8cycles,cycleNo,raw,72,24,24,36,0.8109567901234568,0.855311479955388,0.538644914592542,1.0566107464123358e-06,,,,
video_plus_echem,future_any_drop_within_8cycles,cycleNo,acquisition_residualized,72,24,24,36,0.47993827160493835,0.47955060217642137,-0.03475128481242207,0.7719683043380163,,,,
acquisition_context,future_any_drop_within_8cycles,source_stem,raw,72,9,24,36,1.0,1.0,0.8661089445557502,9.065255423029341e-23,,,,
echem_regime,future_any_drop_within_8cycles,source_stem,raw,72,9,24,36,0.6180555555555556,0.6258831317461349,0.20465595024580766,0.08462214018380101,,,,
echem_regime,future_any_drop_within_8cycles,source_stem,acquisition_residualized,72,9,24,36,0.5501543209876543,0.5459516051394163,0.08687821203105517,0.4680484781539331,,,,
video_scalar,future_any_drop_within_8cycles,source_stem,raw,72,9,24,36,0.6751543209876544,0.7659711329322703,0.30340544816999265,0.009575179225046129,,,,
video_scalar,future_any_drop_within_8cycles,source_stem,acquisition_residualized,72,9,24,36,0.1126543209876543,0.33496148523689595,-0.6709671144552262,1.1253962189315274e-10,,,,
video_embedding,future_any_drop_within_8cycles,source_stem,raw,72,9,24,36,0.507716049382716,0.5506469293167512,0.01336587877400849,0.911272761433716,,,,
video_embedding,future_any_drop_within_8cycles,source_stem,acquisition_residualized,72,9,24,36,0.2523148148148148,0.4316214273649651,-0.4290447086456725,0.0001696026548171376,,,,
video_all,future_any_drop_within_8cycles,source_stem,raw,72,9,24,36,0.7114197530864197,0.7906798147298508,0.3662250784078326,0.001557086257273233,,,,
video_all,future_any_drop_within_8cycles,source_stem,acquisition_residualized,72,9,24,36,0.10185185185185186,0.3317229770967527,-0.6896793447388381,2.0859223424387983e-11,,,,
video_plus_echem,future_any_drop_within_8cycles,source_stem,raw,72,9,24,36,0.7415123456790123,0.7941565514329407,0.4183520056264657,0.0002552340326061634,,,,
video_plus_echem,future_any_drop_within_8cycles,source_stem,acquisition_residualized,72,9,24,36,0.6782407407407408,0.6162344462201851,0.30875179967959615,0.008319937210686938,,,,
acquisition_context,future_any_drop_within_16cycles,cycleNo,raw,72,24,24,57,0.7274853801169591,0.9327899959730989,0.3200638071854921,0.00612899617232556,0.001996007984031936,0.5030783625730995,0.637485380116959,500.0
echem_regime,future_any_drop_within_16cycles,cycleNo,raw,72,24,24,57,0.6526315789473685,0.8773933745540394,0.2149131057441471,0.06984257188362475,0.03792415169660679,0.5039859649122806,0.6350877192982456,500.0
echem_regime,future_any_drop_within_16cycles,cycleNo,acquisition_residualized,72,24,24,57,0.7719298245614035,0.9209560403870796,0.3826078570689606,0.0009102599422698112,0.001996007984031936,0.5006690058479533,0.6397660818713451,500.0
video_scalar,future_any_drop_within_16cycles,cycleNo,raw,72,24,24,57,0.6035087719298246,0.8764196148236947,0.14563314620008252,0.22222576386342546,,,,
video_scalar,future_any_drop_within_16cycles,cycleNo,acquisition_residualized,72,24,24,57,0.431578947368421,0.7687165392709603,-0.09626597799666473,0.4211552306589181,,,,
video_embedding,future_any_drop_within_16cycles,cycleNo,raw,72,24,24,57,0.512280701754386,0.7770747904194619,0.01727850887119623,0.8854548381351067,,,,
video_embedding,future_any_drop_within_16cycles,cycleNo,acquisition_residualized,72,24,24,57,0.40935672514619886,0.7384989528408804,-0.12753185119216268,0.2857140504133607,,,,
video_all,future_any_drop_within_16cycles,cycleNo,raw,72,24,24,57,0.6970760233918127,0.9128244210107845,0.27727892807586335,0.018371145534285944,0.00998003992015968,0.5012070175438595,0.6198830409356725,500.0
video_all,future_any_drop_within_16cycles,cycleNo,acquisition_residualized,72,24,24,57,0.4690058479532164,0.79241455826625,-0.043607665246352394,0.7160667617269982,0.6227544910179641,0.5004,0.6444444444444444,500.0
video_plus_echem,future_any_drop_within_16cycles,cycleNo,raw,72,24,24,57,0.7520467836257311,0.9277519632406903,0.3546208249278846,0.0022402280124028777,0.001996007984031936,0.5021052631578947,0.639766081871345,500.0
