n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95,target,group_col,feature_set,mode,observed_roc_auc
500,0.001996007984031936,0.5030783625730995,0.637485380116959,future_any_drop_within_16cycles,cycleNo,acquisition_context,raw,0.7274853801169591
500,0.03792415169660679,0.5039859649122806,0.6350877192982456,future_any_drop_within_16cycles,cycleNo,echem_regime,raw,0.6526315789473685
500,0.001996007984031936,0.5006690058479533,0.6397660818713451,future_any_drop_within_16cycles,cycleNo,echem_regime,acquisition_residualized,0.7719298245614035
500,0.00998003992015968,0.5012070175438595,0.6198830409356725,future_any_drop_within_16cycles,cycleNo,video_all,raw,0.6970760233918127
500,0.6227544910179641,0.5004,0.6444444444444444,future_any_drop_within_16cycles,cycleNo,video_all,acquisition_residualized,0.4690058479532164
500,0.001996007984031936,0.5021052631578947,0.639766081871345,future_any_drop_within_16cycles,cycleNo,video_plus_echem,raw,0.7520467836257311
500,0.001996007984031936,0.4998947368421052,0.6538011695906433,future_any_drop_within_16cycles,cycleNo,video_plus_echem,acquisition_residualized,0.7883040935672514
500,0.01996007984031936,0.49867602339181283,0.629298245614035,future_any_drop_within_16cycles,source_stem,acquisition_context,raw,0.6970760233918128
500,0.590818363273453,0.5013543859649123,0.6456140350877193,future_any_drop_within_16cycles,source_stem,echem_regime,raw,0.4842105263157894
500,0.2774451097804391,0.5011625730994153,0.642222222222222,future_any_drop_within_16cycles,source_stem,echem_regime,acquisition_residualized,0.5438596491228069
500,0.5349301397205589,0.4967719298245614,0.6198830409356725,future_any_drop_within_16cycles,source_stem,video_all,raw,0.4888888888888889
500,0.17964071856287425,0.4964046783625731,0.6327485380116958,future_any_drop_within_16cycles,source_stem,video_all,acquisition_residualized,0.5766081871345029
500,0.17365269461077845,0.4988771929824561,0.6409356725146199,future_any_drop_within_16cycles,source_stem,video_plus_echem,raw,0.5812865497076023
500,0.3712574850299401,0.501085380116959,0.6444444444444444,future_any_drop_within_16cycles,source_stem,video_plus_echem,acquisition_residualized,0.527485380116959
