split,residual_feature,residual_base,residual_source_eta2,best_target,best_target_auc,best_target_ap,best_target_direction,best_physics_feature,best_physics_category,best_physics_rho,best_physics_source_centered_rho,n_physics_categories_with_abs_centered_rho_ge_0p30
leave_source,resdict_pc06_std__echem_conditioned_resid_leave_source,resdict_pc06_std,0.33644399555501464,future_any_drop_within_16cycles,0.7660818713450293,0.9349894672315936,higher_in_positive,dictionary_recon_error_mse_slope,rollout_prediction,0.4752016292785557,0.3649165507315207,3
leave_source,residual_energy_mean__echem_conditioned_resid_leave_source,residual_energy_mean,0.4543967324890001,future_any_drop_within_16cycles,0.7543859649122807,0.9313812561178278,higher_in_positive,low_rank_dmd_particle_mse_mean,rollout_prediction,0.5080836852192444,0.6587096853859096,5
leave_source,resdict_pc06_mean__echem_conditioned_resid_leave_source,resdict_pc06_mean,0.08368598244659955,future_any_drop_within_16cycles,0.7461988304093568,0.9231148843844811,lower_in_positive,echem_regime_pc1,echem_state,0.18127940654897126,0.5550626474229543,4
leave_cycle,resdict_pc07_mean__echem_conditioned_resid_leave_cycle,resdict_pc07_mean,0.09021270408872939,future_any_drop_within_16cycles,0.7426900584795322,0.8952845853566187,higher_in_positive,roi_velocity_particle_mse_fraction_of_full_mean,rollout_prediction,-0.175052878349678,-0.46107935940452244,4
leave_cycle,resdict_pc06_last_minus_first__echem_conditioned_resid_leave_cycle,resdict_pc06_last_minus_first,0.0555407244801674,future_any_drop_within_16cycles,0.7415204678362572,0.9190925935658457,lower_in_positive,echem_regime_pc1,echem_state,0.1341904903982608,0.5032117406311324,2
leave_source,resdict_pc01_std__echem_conditioned_resid_leave_source,resdict_pc01_std,0.2618043975599396,future_any_drop_within_16cycles,0.7391812865497076,0.9094892542449834,higher_in_positive,dictionary_recon_energy_mean,rollout_prediction,0.4027749035436304,0.5923685438950962,3
leave_cycle,resdict_pc01_last_minus_first__echem_conditioned_resid_leave_cycle,resdict_pc01_last_minus_first,0.047167206110333836,future_any_drop_within_16cycles,0.7134502923976608,0.9241851015425127,lower_in_positive,all_dq_abs_highV_frac,echem_state,0.1436410239636127,0.6354466636780235,3
leave_source,resdict_pc04_mean__echem_conditioned_resid_leave_source,resdict_pc04_mean,0.08453074879941597,future_any_drop_within_16cycles,0.712280701754386,0.9125619413061474,lower_in_positive,temporal_diffusion_proxy_median_um2_per_s,front_phase_diffusion,0.5924268548924521,0.815008837484705,5
leave_source,resdict_pc06_last_minus_first__echem_conditioned_resid_leave_source,resdict_pc06_last_minus_first,0.08708331424686414,future_any_drop_within_16cycles,0.7076023391812865,0.9087079396758626,lower_in_positive,echem_regime_pc1,echem_state,0.3490387589406558,0.6805599664308335,5
leave_cycle,resdict_pc06_slope__echem_conditioned_resid_leave_cycle,resdict_pc06_slope,0.049178850112584264,future_any_drop_within_16cycles,0.7064327485380117,0.9110181774257997,lower_in_positive,echem_regime_pc1,echem_state,0.14760434758625482,0.5925401552882099,3
