split,feature,n,r2,mae,spearman_rho,spearman_p,residual_std
leave_cycle,resdict_pc03_std,172,0.6136501552773673,0.037575788771696296,0.7825482487644757,8.041538229858973e-37,0.054375738582415976
leave_cycle,resdict_pc04_std,172,0.10233953234199777,0.046958329111163176,0.7880221149458746,1.1868699030931116e-37,0.07805146867217447
leave_cycle,resdict_pc01_std,172,-0.029153553039411362,0.10120610767452108,0.6468949489420344,9.125087686277397e-22,0.15890137609661603
leave_cycle,resdict_pc03_mean,172,-0.23174755495651556,0.0010087795580928985,0.11081925807744732,0.14782841761813761,0.0013199226939273677
leave_cycle,dictionary_recon_energy_mean,172,-0.35735217670860786,0.0001873237030743478,0.5462003386529308,9.204892777193341e-15,0.0002971783345055362
leave_cycle,resdict_pc05_last_minus_first,172,-0.5422769405821903,0.005412081953136136,0.1354728815704477,0.07640574360937592,0.007681808136998524
leave_cycle,resdict_pc02_last_minus_first,172,-0.5464490156457251,0.010041858363955837,0.2823911197020023,0.00017459145097721858,0.016683065825547804
leave_cycle,resdict_pc05_slope,172,-0.5727490134467825,0.00908523620688733,0.16138589521461877,0.03442935390327838,0.01216838589813141
leave_cycle,resdict_pc07_std,172,-0.6712632346195497,0.04051291086021712,0.5720142991391446,2.4769195084182614e-16,0.08767709067897955
leave_cycle,resdict_pc03_last_minus_first,172,-0.9124068591023429,0.017810800381562585,0.12887051691089305,0.092021431118881,0.02906441010047513
leave_cycle,resdict_pc05_mean,172,-0.9805344457160825,0.0008164173297894128,0.18947925753811046,0.012793334800373472,0.0011600852781499936
leave_cycle,resdict_pc01_slope,172,-1.1439713850117355,0.013146093151365919,0.16507680455278737,0.030460949590694956,0.018976260358766914
leave_cycle,resdict_pc03_slope,172,-1.208100434481488,0.02329687466249092,0.12551214317443804,0.10088721669214717,0.039847172104239256
leave_cycle,resdict_pc06_mean,172,-1.32229837938544,0.001229468898671361,-0.0024645369063170624,0.9744031025897186,0.0017381628868016802
leave_cycle,resdict_pc07_mean,172,-1.7896577662008908,0.0014365582080571784,0.04023680780734488,0.6002332098106105,0.0019559268022943314
leave_cycle,resdict_pc08_std,172,-2.1853946762739502,0.04641523873688322,0.5697290012805597,3.4552323484404245e-16,0.09822652212958334
leave_cycle,resdict_pc06_last_minus_first,172,-2.2151077683746543,0.006797465242965727,0.26288000599294864,0.0004940155673046277,0.012691953263189738
leave_cycle,resdict_pc08_mean,172,-2.297466307386854,0.001169210016930916,-0.0698230427257636,0.36274091503154654,0.001923739052648218
leave_cycle,resdict_pc07_slope,172,-2.6744191369058723,0.014418968205499809,0.22058784515799104,0.0036398931625518547,0.025829460211599268
leave_cycle,dictionary_recon_error_last_minus_first,172,-2.675045372488993,0.0001434006931444387,0.16216063241435574,0.03356189433941829,0.00029337032080591107
leave_cycle,resdict_pc02_std,172,-2.903368764235738,0.09991980694830914,0.5862968211531696,2.914041660718069e-17,0.20272862134528957
leave_cycle,resdict_pc01_mean,172,-2.9486332605006957,0.0021383485724491766,0.006559913306144412,0.9319385938320219,0.003168965028594595
leave_cycle,resdict_pc02_slope,172,-2.997504670446586,0.016992001503100155,0.14579563567470585,0.05634484632617853,0.03551801728876507
leave_cycle,resdict_pc06_slope,172,-3.316451468085881,0.012011380420474234,0.2640403429861621,0.0004653860150906427,0.025765297229770175
leave_cycle,resdict_pc01_last_minus_first,172,-3.452585390849756,0.015271084322563163,0.11448186651334244,0.13481310329151797,0.028641487279004035
leave_cycle,resdict_pc05_std,172,-3.4705774839691204,0.053667028100874134,0.6805058080045968,9.820158940289815e-25,0.1250291106512068
