split,feature_set,target,n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95
leave_cycle,residual_dictionary_raw,future_any_drop_within_8cycles,300,0.029900332225913623,0.4978292181069959,0.6199459876543211
leave_cycle,conditioned_residual_dictionary,future_any_drop_within_8cycles,300,1.0,0.5040817901234568,0.6042824074074075
leave_cycle,echem_context,future_any_drop_within_8cycles,300,0.0033222591362126247,0.49696759259259254,0.6142361111111111
leave_cycle,conditioned_residual_plus_echem_context,future_any_drop_within_8cycles,300,0.0033222591362126247,0.49763888888888896,0.6151620370370371
leave_cycle,conditioned_residual_plus_handcrafted_echem,future_any_drop_within_8cycles,300,0.0033222591362126247,0.4984799382716049,0.6111111111111112
leave_cycle,residual_dictionary_raw,future_any_drop_within_16cycles,300,0.5614617940199336,0.49455360623781675,0.6180116959064328
leave_cycle,conditioned_residual_dictionary,future_any_drop_within_16cycles,300,0.019933554817275746,0.5004405458089668,0.6339181286549708
leave_cycle,echem_context,future_any_drop_within_16cycles,300,0.0033222591362126247,0.4972982456140351,0.6188888888888889
leave_cycle,conditioned_residual_plus_echem_context,future_any_drop_within_16cycles,300,0.0033222591362126247,0.4963976608187135,0.6198830409356725
leave_cycle,conditioned_residual_plus_handcrafted_echem,future_any_drop_within_16cycles,300,0.0033222591362126247,0.4948031189083821,0.6142105263157894
leave_source,residual_dictionary_raw,future_any_drop_within_8cycles,300,1.0,0.500054012345679,0.6127314814814816
leave_source,conditioned_residual_dictionary,future_any_drop_within_8cycles,300,1.0,0.4978935185185185,0.6057870370370371
leave_source,echem_context,future_any_drop_within_8cycles,300,0.0033222591362126247,0.49503600823045263,0.6057484567901235
leave_source,conditioned_residual_plus_echem_context,future_any_drop_within_8cycles,300,0.0033222591362126247,0.4947402263374484,0.6072916666666667
leave_source,conditioned_residual_plus_handcrafted_echem,future_any_drop_within_8cycles,300,0.0033222591362126247,0.49561985596707814,0.5997685185185186
leave_source,residual_dictionary_raw,future_any_drop_within_16cycles,300,1.0,0.4914736842105263,0.6246783625730994
leave_source,conditioned_residual_dictionary,future_any_drop_within_16cycles,300,0.0033222591362126247,0.5040194931773879,0.6362573099415205
leave_source,echem_context,future_any_drop_within_16cycles,300,0.05647840531561462,0.49810916179337233,0.6444444444444444
leave_source,conditioned_residual_plus_echem_context,future_any_drop_within_16cycles,300,0.05647840531561462,0.4973450292397661,0.652748538011696
leave_source,conditioned_residual_plus_handcrafted_echem,future_any_drop_within_16cycles,300,0.009966777408637873,0.4939376218323587,0.6415789473684212
