feature,coefficient,abs_mean_coefficient
cumulative_abs_norm_change,0.45396600755794736,0.45396600755794736
stage_drift_xy_sampled,-0.44789832851707867,0.44789832851707867
first_last_corr,-0.35533938057240033,0.35533938057240033
roi_mean_delta_last_minus_first,0.3267327404414586,0.3267327404414586
std_norm_intensity,0.30842379744225,0.30842379744225
roi_norm_mean_delta_last_minus_first,0.2027355380408955,0.2027355380408955
mean_norm_intensity,0.01067083100316761,0.01067083100316761
temporal_diff_energy,0.003646844784080769,0.003646844784080769
